participant,date,expName,psychopyVersion,OS,frameRate,browser,xResolution,yResolution,key_resp.keys,key_resp.rt,training_resp.keys,training_resp.rt,points_trial,points_cumul,trainBlock,training.thisRepN,training.thisTrialN,training.thisN,training.thisIndex,training.ran,LTriangleOpac,LCircleOpac,LHexagonOpac,LStarOpac,RTriangleOpac,RCircleOpac,RHexagonOpac,RStarOpac,LShape_ID,RShape_ID,curr_topStim,curr_bottStim,curr_shape,acc,E1,target_resp_prac1.keys,pracBlock,task1_prac_trials.thisRepN,task1_prac_trials.thisTrialN,task1_prac_trials.thisN,task1_prac_trials.thisIndex,task1_prac_trials.ran,target_resp_prac1.rt
293854,2022-09-21_15h27.00.406,vts_reward_expectancy,2022.2.4,MacIntel,120.0048002,Chrome,1728,1117,,,l,1.2236,10,282,1,0,11,11,5,1,0,1,0,0,0,0,0,1,circle,star,,,,,,,,,,,,,
293854,2022-09-21_15h27.00.406,vts_reward_expectancy,2022.2.4,MacIntel,120.0048002,Chrome,1728,1117,,,a,0.5348,1,283,1,1,0,12,1,1,1,0,0,0,0,0,1,0,triangle,hexagon,,,,,,,,,,,,,
293854,2022-09-21_15h27.00.406,vts_reward_expectancy,2022.2.4,MacIntel,120.0048002,Chrome,1728,1117,,,a,0.4862,1,284,1,1,1,13,3,1,0,1,0,0,1,0,0,0,circle,triangle,,,,,,,,,,,,,
293854,2022-09-21_15h27.00.406,vts_reward_expectancy,2022.2.4,MacIntel,120.0048002,Chrome,1728,1117,,,a,0.5668,1,285,1,1,2,14,11,1,0,0,0,1,0,0,1,0,star,hexagon,,,,,,,,,,,,,
293854,2022-09-21_15h27.00.406,vts_reward_expectancy,2022.2.4,MacIntel,120.0048002,Chrome,1728,1117,,,l,0.6694,1,286,1,1,3,15,4,1,0,1,0,0,0,0,1,0,circle,hexagon,,,,,,,,,,,,,
293854,2022-09-21_15h27.00.406,vts_reward_expectancy,2022.2.4,MacIntel,120.0048002,Chrome,1728,1117,,,l,0.5759,10,296,1,1,4,16,2,1,1,0,0,0,0,0,0,1,triangle,star,,,,,,,,,,,,,
293854,2022-09-21_15h27.00.406,vts_reward_expectancy,2022.2.4,MacIntel,120.0048002,Chrome,1728,1117,,,l,1.0904,1,297,1,1,5,17,7,1,0,0,1,0,0,1,0,0,hexagon,circle,,,,,,,,,,,,,
293854,2022-09-21_15h27.00.406,vts_reward_expectancy,2022.2.4,MacIntel,120.0048002,Chrome,1728,1117,,,l,0.5677,10,307,1,1,6,18,8,1,0,0,1,0,0,0,0,1,hexagon,star,,,,,,,,,,,,,
293854,2022-09-21_15h27.00.406,vts_reward_expectancy,2022.2.4,MacIntel,120.0048002,Chrome,1728,1117,,,a,0.6209,1,308,1,1,7,19,6,1,0,0,1,0,1,0,0,0,hexagon,triangle,,,,,,,,,,,,,
293854,2022-09-21_15h27.00.406,vts_reward_expectancy,2022.2.4,MacIntel,120.0048002,Chrome,1728,1117,,,l,0.4855,10,318,1,1,8,20,5,1,0,1,0,0,0,0,0,1,circle,star,,,,,,,,,,,,,
