LTriangleOpac,LCircleOpac,LHexagonOpac,LStarOpac,RTriangleOpac,RCircleOpac,RHexagonOpac,RStarOpac,LShape_ID,RShape_ID,training_blocks.thisRepN,training_blocks.thisTrialN,training_blocks.thisN,training_blocks.thisIndex,training.thisRepN,training.thisTrialN,training.thisN,training.thisIndex,task1_prac_redo.thisRepN,task1_prac_redo.thisTrialN,task1_prac_redo.thisN,task1_prac_redo.thisIndex,task1_prac_trials.thisRepN,task1_prac_trials.thisTrialN,task1_prac_trials.thisN,task1_prac_trials.thisIndex,key_resp.started,key_resp.keys,key_resp.rt,left_circle.started,right_circle.started,left_triangle.started,right_triangle.started,left_star.started,right_star.started,left_hexagon.started,right_hexagon.started,training_fix.started,training_resp.started,training_resp.keys,training_resp.rt,points_trial,points_cumul,trainBlock,training_feedback_txt.started,fix.started,training_feedback_txt.stopped,curr_topStim,curr_bottStim,curr_shape,ISI.started,tgt_fix_prac1.started,top_target_prac1.started,bott_target_prac1.started,target_resp_prac1.started,top_target_prac1.stopped,tgt_fix_prac1.stopped,bott_target_prac1.stopped,target_resp_prac1.stopped,acc,E1,target_resp_prac1.keys,pracBlock,prac_fback_text.started,prac_fback_text.stopped,fix.stopped,target_resp_prac1.rt,participant,date,expName,psychopyVersion,frameRate,
0,0,0,1,0,1,0,0,star ,circle,0,0,0,0,0,11,11,10,,,,,,,,,,,,105.48915523500182,105.48915523500182,105.48915523500182,105.48915523500182,105.48915523500182,105.48915523500182,105.48915523500182,105.48915523500182,105.48915523500182,105.48915523500182,l,0.4758607968688011,10,75,0,105.98967294115573,107.49131440115161,,,,,,,,,,,,,,,,,,,,,,34124,2022-11-07_14h01.39.495,vts_reward_expectancy_bt_OFFLINE,2022.2.4,60.05055691387439,
0,1,0,0,0,0,1,0,circle,hexagon,0,0,0,0,1,0,12,4,,,,,,,,,,,,107.99179407116026,107.99179407116026,107.99179407116026,107.99179407116026,107.99179407116026,107.99179407116026,107.99179407116026,107.99179407116026,107.99179407116026,107.99179407116026,a,0.6850583120249212,10,85,0,108.70932224113494,110.2108525861986,,,,,,,,,,,,,,,,,,,,,,34124,2022-11-07_14h01.39.495,vts_reward_expectancy_bt_OFFLINE,2022.2.4,60.05055691387439,
0,0,0,1,0,0,1,0,star,hexagon,0,0,0,0,1,1,13,11,,,,,,,,,,,,110.71139659616165,110.71139659616165,110.71139659616165,110.71139659616165,110.71139659616165,110.71139659616165,110.71139659616165,110.71139659616165,110.71139659616165,110.71139659616165,l,1.1713767829351127,10,95,0,111.91292148409411,113.41443338315003,,,,,,,,,,,,,,,,,,,,,,34124,2022-11-07_14h01.39.495,vts_reward_expectancy_bt_OFFLINE,2022.2.4,60.05055691387439,
0,0,0,1,1,0,0,0,star,triangle,0,0,0,0,1,2,14,9,,,,,,,,,,,,113.91507715405896,113.91507715405896,113.91507715405896,113.91507715405896,113.91507715405896,113.91507715405896,113.91507715405896,113.91507715405896,113.91507715405896,113.91507715405896,l,0.6919866639655083,1,96,0,114.63240408618003,116.13421714003198,,,,,,,,,,,,,,,,,,,,,,34124,2022-11-07_14h01.39.495,vts_reward_expectancy_bt_OFFLINE,2022.2.4,60.05055691387439,
0,0,0,1,0,1,0,0,star ,circle,0,0,0,0,1,3,15,10,,,,,,,,,,,,116.63447416899726,116.63447416899726,116.63447416899726,116.63447416899726,116.63447416899726,116.63447416899726,116.63447416899726,116.63447416899726,116.63447416899726,116.63447416899726,l,0.4355705571360886,10,106,0,117.10167354112491,118.60339061613195,,,,,,,,,,,,,,,,,,,,,,34124,2022-11-07_14h01.39.495,vts_reward_expectancy_bt_OFFLINE,2022.2.4,60.05055691387439,
0,1,0,0,1,0,0,0,circle,triangle,0,0,0,0,1,4,16,3,,,,,,,,,,,,119.10408557811752,119.10408557811752,119.10408557811752,119.10408557811752,119.10408557811752,119.10408557811752,119.10408557811752,119.10408557811752,119.10408557811752,119.10408557811752,a,0.5752518051303923,10,116,0,119.70466431416571,121.20656850305386,,,,,,,,,,,,,,,,,,,,,,34124,2022-11-07_14h01.39.495,vts_reward_expectancy_bt_OFFLINE,2022.2.4,60.05055691387439,
1,0,0,0,0,0,0,1,triangle,star,0,0,0,0,1,5,17,2,,,,,,,,,,,,121.70689172600396,121.70689172600396,121.70689172600396,121.70689172600396,121.70689172600396,121.70689172600396,121.70689172600396,121.70689172600396,121.70689172600396,121.70689172600396,l,0.8654763291124254,1,117,0,122.59131722501479,124.09299462614581,124.09299462614581,,,,,,,,,,,,,,,,,,,,,34124,2022-11-07_14h01.39.495,vts_reward_expectancy_bt_OFFLINE,2022.2.4,60.05055691387439,
0,0,1,0,1,0,0,0,hexagon,triangle,0,0,0,0,1,6,18,6,,,,,,,,,,,,124.5934485590551,124.5934485590551,124.5934485590551,124.5934485590551,124.5934485590551,124.5934485590551,124.5934485590551,124.5934485590551,124.5934485590551,124.5934485590551,a,0.9700187940616161,1,118,0,125.59451161604375,127.09615194099024,,,,,,,,,,,,,,,,,,,,,,34124,2022-11-07_14h01.39.495,vts_reward_expectancy_bt_OFFLINE,2022.2.4,60.05055691387439,
1,0,0,0,0,1,0,0,triangle,circle,0,0,0,0,1,7,19,0,,,,,,,,,,,,127.59684408619069,127.59684408619069,127.59684408619069,127.59684408619069,127.59684408619069,127.59684408619069,127.59684408619069,127.59684408619069,127.59684408619069,127.59684408619069,l,0.48661840707063675,10,128,0,128.11390379304066,129.61562599404715,,,,,,,,,,,,,,,,,,,,,,34124,2022-11-07_14h01.39.495,vts_reward_expectancy_bt_OFFLINE,2022.2.4,60.05055691387439,
0,0,1,0,0,1,0,0,hexagon,circle,0,0,0,0,1,8,20,7,,,,,,,,,,,,130.11629967810586,130.11629967810586,130.11629967810586,130.11629967810586,130.11629967810586,130.11629967810586,130.11629967810586,130.11629967810586,130.11629967810586,130.11629967810586,l,0.5443172859959304,10,138,0,130.68366355798207,132.18512309412472,,,,,,,,,,,,,,,,,,,,,,34124,2022-11-07_14h01.39.495,vts_reward_expectancy_bt_OFFLINE,2022.2.4,60.05055691387439,
0,1,0,0,0,0,0,1,circle,star,0,0,0,0,1,9,21,5,,,,,,,,,,,,132.6856888490729,132.6856888490729,132.6856888490729,132.6856888490729,132.6856888490729,132.6856888490729,132.6856888490729,132.6856888490729,132.6856888490729,132.6856888490729,a,0.39439546200446784,10,148,0,133.10272608301602,134.60446980618872,,,,,,,,,,,,,,,,,,,,,,34124,2022-11-07_14h01.39.495,vts_reward_expectancy_bt_OFFLINE,2022.2.4,60.05055691387439,
1,0,0,0,0,0,1,0,triangle,hexagon,0,0,0,0,1,10,22,1,,,,,,,,,,,,135.10519663314335,135.10519663314335,135.10519663314335,135.10519663314335,135.10519663314335,135.10519663314335,135.10519663314335,135.10519663314335,135.10519663314335,135.10519663314335,a,1.4855079259723425,1,149,0,136.6235683390405,138.12504147505388,,,,,,,,,,,,,,,,,,,,,,34124,2022-11-07_14h01.39.495,vts_reward_expectancy_bt_OFFLINE,2022.2.4,60.05055691387439,
0,0,1,0,0,0,0,1,hexagon,star,0,0,0,0,1,11,23,8,,,,,,,,,,,,138.6255644741468,138.6255644741468,138.6255644741468,138.6255644741468,138.6255644741468,138.6255644741468,138.6255644741468,138.6255644741468,138.6255644741468,138.6255644741468,a,0.5851660531479865,1,150,0,139.24288934003562,140.74463018309325,,,,,,,,,,,,,,,,,,,,,,34124,2022-11-07_14h01.39.495,vts_reward_expectancy_bt_OFFLINE,2022.2.4,60.05055691387439,
0,1,0,0,0,0,1,0,circle,hexagon,0,0,0,0,2,0,24,4,,,,,,,,,,,,141.24517998006195,141.24517998006195,141.24517998006195,141.24517998006195,141.24517998006195,141.24517998006195,141.24517998006195,141.24517998006195,141.24517998006195,141.24517998006195,a,0.9139267918653786,10,160,0,142.1795985600911,143.68113106908277,143.68113106908277,,,,,,,,,,,,,,,,,,,,,34124,2022-11-07_14h01.39.495,vts_reward_expectancy_bt_OFFLINE,2022.2.4,60.05055691387439,
1,0,0,0,0,1,0,0,triangle,circle,0,0,0,0,2,1,25,0,,,,,,,,,,,,144.18160831509158,144.18160831509158,144.18160831509158,144.18160831509158,144.18160831509158,144.18160831509158,144.18160831509158,144.18160831509158,144.18160831509158,144.18160831509158,l,0.5194514498580247,10,170,0,144.73244367912412,146.2338468960952,,,,,,,,,,,,,,,,,,,,,,34124,2022-11-07_14h01.39.495,vts_reward_expectancy_bt_OFFLINE,2022.2.4,60.05055691387439,
0,0,0,1,1,0,0,0,star,triangle,0,0,0,0,2,2,26,9,,,,,,,,,,,,146.73425952112302,146.73425952112302,146.73425952112302,146.73425952112302,146.73425952112302,146.73425952112302,146.73425952112302,146.73425952112302,146.73425952112302,146.73425952112302,a,0.892364873085171,10,180,0,147.65220617013983,149.15388780809008,,,,,,,,,,,,,,,,,,,,,,34124,2022-11-07_14h01.39.495,vts_reward_expectancy_bt_OFFLINE,2022.2.4,60.05055691387439,
0,1,0,0,0,0,0,1,circle,star,0,0,0,0,2,3,27,5,,,,,,,,,,,,149.65461785299703,149.65461785299703,149.65461785299703,149.65461785299703,149.65461785299703,149.65461785299703,149.65461785299703,149.65461785299703,149.65461785299703,149.65461785299703,a,0.5939375110901892,10,190,0,150.27174719912,151.77337372815236,,,,,,,,,,,,,,,,,,,,,,34124,2022-11-07_14h01.39.495,vts_reward_expectancy_bt_OFFLINE,2022.2.4,60.05055691387439,
0,0,1,0,0,1,0,0,hexagon,circle,0,0,0,0,2,4,28,7,,,,,,,,,,,,152.27417072909884,152.27417072909884,152.27417072909884,152.27417072909884,152.27417072909884,152.27417072909884,152.27417072909884,152.27417072909884,152.27417072909884,152.27417072909884,l,0.8430852619931102,10,200,0,153.14169200509787,154.64323096512817,,,,,,,,,,,,,,,,,,,,,,34124,2022-11-07_14h01.39.495,vts_reward_expectancy_bt_OFFLINE,2022.2.4,60.05055691387439,
1,0,0,0,0,0,1,0,triangle,hexagon,0,0,0,0,2,5,29,1,,,,,,,,,,,,155.14382369001396,155.14382369001396,155.14382369001396,155.14382369001396,155.14382369001396,155.14382369001396,155.14382369001396,155.14382369001396,155.14382369001396,155.14382369001396,l,1.055590822128579,10,210,0,156.22841969504952,157.73012807499617,,,,,,,,,,,,,,,,,,,,,,34124,2022-11-07_14h01.39.495,vts_reward_expectancy_bt_OFFLINE,2022.2.4,60.05055691387439,
0,0,0,1,0,0,1,0,star,hexagon,0,0,0,0,2,6,30,11,,,,,,,,,,,,158.2307467451319,158.2307467451319,158.2307467451319,158.2307467451319,158.2307467451319,158.2307467451319,158.2307467451319,158.2307467451319,158.2307467451319,158.2307467451319,a,1.130284566897899,1,211,0,159.38178733410314,160.8834225849714,,,,,,,,,,,,,,,,,,,,,,34124,2022-11-07_14h01.39.495,vts_reward_expectancy_bt_OFFLINE,2022.2.4,60.05055691387439,
0,0,1,0,0,0,0,1,hexagon,star,0,0,0,0,2,7,31,8,,,,,,,,,,,,161.38397622504272,161.38397622504272,161.38397622504272,161.38397622504272,161.38397622504272,161.38397622504272,161.38397622504272,161.38397622504272,161.38397622504272,161.38397622504272,a,1.4869860501494259,10,221,0,162.90230029914528,164.4040926999878,,,,,,,,,,,,,,,,,,,,,,34124,2022-11-07_14h01.39.495,vts_reward_expectancy_bt_OFFLINE,2022.2.4,60.05055691387439,
0,1,0,0,1,0,0,0,circle,triangle,0,0,0,0,2,8,32,3,,,,,,,,,,,,164.9046013110783,164.9046013110783,164.9046013110783,164.9046013110783,164.9046013110783,164.9046013110783,164.9046013110783,164.9046013110783,164.9046013110783,164.9046013110783,a,0.6568529070354998,10,231,0,165.58876504399814,167.09045868809335,,,,,,,,,,,,,,,,,,,,,,34124,2022-11-07_14h01.39.495,vts_reward_expectancy_bt_OFFLINE,2022.2.4,60.05055691387439,
0,0,1,0,1,0,0,0,hexagon,triangle,0,0,0,0,2,9,33,6,,,,,,,,,,,,167.59106902615167,167.59106902615167,167.59106902615167,167.59106902615167,167.59106902615167,167.59106902615167,167.59106902615167,167.59106902615167,167.59106902615167,167.59106902615167,a,0.737298381049186,10,241,0,168.35846543801017,169.85992542817257,,,,,,,,,,,,,,,,,,,,,,34124,2022-11-07_14h01.39.495,vts_reward_expectancy_bt_OFFLINE,2022.2.4,60.05055691387439,
1,0,0,0,0,0,0,1,triangle,star,0,0,0,0,2,10,34,2,,,,,,,,,,,,170.3606737991795,170.3606737991795,170.3606737991795,170.3606737991795,170.3606737991795,170.3606737991795,170.3606737991795,170.3606737991795,170.3606737991795,170.3606737991795,l,0.8585484770592302,10,251,0,171.244889796013,172.74672515504062,,,,,,,,,,,,,,,,,,,,,,34124,2022-11-07_14h01.39.495,vts_reward_expectancy_bt_OFFLINE,2022.2.4,60.05055691387439,
0,0,0,1,0,1,0,0,star ,circle,0,0,0,0,2,11,35,10,,,,,,,,,,,,173.24713048501872,173.24713048501872,173.24713048501872,173.24713048501872,173.24713048501872,173.24713048501872,173.24713048501872,173.24713048501872,173.24713048501872,173.24713048501872,l,0.5173947580624372,10,261,0,173.78104539611377,175.28266680403613,175.28266680403613,,,,,,,,,,,,,,,,,,,,,34124,2022-11-07_14h01.39.495,vts_reward_expectancy_bt_OFFLINE,2022.2.4,60.05055691387439,
0,1,0,0,0,0,0,1,circle,star,0,0,0,0,3,0,36,5,,,,,,,,,,,,175.7831896659918,175.7831896659918,175.7831896659918,175.7831896659918,175.7831896659918,175.7831896659918,175.7831896659918,175.7831896659918,175.7831896659918,175.7831896659918,a,0.5444847131147981,1,262,0,176.3507223741617,177.85233892407268,,,,,,,,,,,,,,,,,,,,,,34124,2022-11-07_14h01.39.495,vts_reward_expectancy_bt_OFFLINE,2022.2.4,60.05055691387439,
0,0,1,0,0,0,0,1,hexagon,star,0,0,0,0,3,1,37,8,,,,,,,,,,,,178.3528916311916,178.3528916311916,178.3528916311916,178.3528916311916,178.3528916311916,178.3528916311916,178.3528916311916,178.3528916311916,178.3528916311916,178.3528916311916,l,1.1134462638292462,10,272,0,179.48732926906087,180.98890122910962,,,,,,,,,,,,,,,,,,,,,,34124,2022-11-07_14h01.39.495,vts_reward_expectancy_bt_OFFLINE,2022.2.4,60.05055691387439,
0,1,0,0,0,0,1,0,circle,hexagon,0,0,0,0,3,2,38,4,,,,,,,,,,,,181.48960813507438,181.48960813507438,181.48960813507438,181.48960813507438,181.48960813507438,181.48960813507438,181.48960813507438,181.48960813507438,181.48960813507438,181.48960813507438,a,0.9701157028321177,10,282,0,182.4905817990657,183.99232860002667,,,,,,,,,,,,,,,,,,,,,,34124,2022-11-07_14h01.39.495,vts_reward_expectancy_bt_OFFLINE,2022.2.4,60.05055691387439,
0,0,0,1,0,1,0,0,star ,circle,0,0,0,0,3,3,39,10,,,,,,,,,,,,184.49275066098198,184.49275066098198,184.49275066098198,184.49275066098198,184.49275066098198,184.49275066098198,184.49275066098198,184.49275066098198,184.49275066098198,184.49275066098198,l,0.532819258980453,10,292,0,185.04344829102047,186.54506331519224,186.54506331519224,,,,,,,,,,,,,,,,,,,,,34124,2022-11-07_14h01.39.495,vts_reward_expectancy_bt_OFFLINE,2022.2.4,60.05055691387439,
0,0,1,0,1,0,0,0,hexagon,triangle,0,0,0,0,3,4,40,6,,,,,,,,,,,,187.0455397181213,187.0455397181213,187.0455397181213,187.0455397181213,187.0455397181213,187.0455397181213,187.0455397181213,187.0455397181213,187.0455397181213,187.0455397181213,a,0.6579839361365885,1,293,0,187.72985880519263,189.23156858514994,,,,,,,,,,,,,,,,,,,,,,34124,2022-11-07_14h01.39.495,vts_reward_expectancy_bt_OFFLINE,2022.2.4,60.05055691387439,
1,0,0,0,0,0,1,0,triangle,hexagon,0,0,0,0,3,5,41,1,,,,,,,,,,,,189.73192058107816,189.73192058107816,189.73192058107816,189.73192058107816,189.73192058107816,189.73192058107816,189.73192058107816,189.73192058107816,189.73192058107816,189.73192058107816,l,0.985766485799104,1,294,0,190.74983441410586,192.25144544406794,,,,,,,,,,,,,,,,,,,,,,34124,2022-11-07_14h01.39.495,vts_reward_expectancy_bt_OFFLINE,2022.2.4,60.05055691387439,
1,0,0,0,0,0,0,1,triangle,star,0,0,0,0,3,6,42,2,,,,,,,,,,,,192.7518901100848,192.7518901100848,192.7518901100848,192.7518901100848,192.7518901100848,192.7518901100848,192.7518901100848,192.7518901100848,192.7518901100848,192.7518901100848,l,0.6208843789063394,10,304,0,193.4026157001499,194.90434346999973,,,,,,,,,,,,,,,,,,,,,,34124,2022-11-07_14h01.39.495,vts_reward_expectancy_bt_OFFLINE,2022.2.4,60.05055691387439,
1,0,0,0,0,1,0,0,triangle,circle,0,0,0,0,3,7,43,0,,,,,,,,,,,,195.4051030401606,195.4051030401606,195.4051030401606,195.4051030401606,195.4051030401606,195.4051030401606,195.4051030401606,195.4051030401606,195.4051030401606,195.4051030401606,l,0.36461967788636684,10,314,0,195.7886270750314,197.2902708700858,,,,,,,,,,,,,,,,,,,,,,34124,2022-11-07_14h01.39.495,vts_reward_expectancy_bt_OFFLINE,2022.2.4,60.05055691387439,
0,0,0,1,0,0,1,0,star,hexagon,0,0,0,0,3,8,44,11,,,,,,,,,,,,197.79084889800288,197.79084889800288,197.79084889800288,197.79084889800288,197.79084889800288,197.79084889800288,197.79084889800288,197.79084889800288,197.79084889800288,197.79084889800288,a,1.128314385889098,1,315,0,198.94238477619365,200.4437648251187,,,,,,,,,,,,,,,,,,,,,,34124,2022-11-07_14h01.39.495,vts_reward_expectancy_bt_OFFLINE,2022.2.4,60.05055691387439,
0,1,0,0,1,0,0,0,circle,triangle,0,0,0,0,3,9,45,3,,,,,,,,,,,,200.9442298640497,200.9442298640497,200.9442298640497,200.9442298640497,200.9442298640497,200.9442298640497,200.9442298640497,200.9442298640497,200.9442298640497,200.9442298640497,a,0.4849089088384062,1,316,0,201.46153421117924,202.96322203800082,,,,,,,,,,,,,,,,,,,,,,34124,2022-11-07_14h01.39.495,vts_reward_expectancy_bt_OFFLINE,2022.2.4,60.05055691387439,
0,0,1,0,0,1,0,0,hexagon,circle,0,0,0,0,3,10,46,7,,,,,,,,,,,,203.46372669003904,203.46372669003904,203.46372669003904,203.46372669003904,203.46372669003904,203.46372669003904,203.46372669003904,203.46372669003904,203.46372669003904,203.46372669003904,l,0.562985329888761,1,317,0,204.0477926339954,205.5493825650774,,,,,,,,,,,,,,,,,,,,,,34124,2022-11-07_14h01.39.495,vts_reward_expectancy_bt_OFFLINE,2022.2.4,60.05055691387439,
0,0,0,1,1,0,0,0,star,triangle,0,0,0,0,3,11,47,9,,,,,,,,,,,,206.0500713251531,206.0500713251531,206.0500713251531,206.0500713251531,206.0500713251531,206.0500713251531,206.0500713251531,206.0500713251531,206.0500713251531,206.0500713251531,l,0.9361345518846065,1,318,0,207.01789582916535,208.51942494418472,,,,,,,,,,,,,,,,,,,,,,34124,2022-11-07_14h01.39.495,vts_reward_expectancy_bt_OFFLINE,2022.2.4,60.05055691387439,
0,0,1,0,1,0,0,0,hexagon,triangle,1,0,1,0,0,0,0,6,,,,,,,,,,,,214.80989579111338,214.80989579111338,214.80989579111338,214.80989579111338,214.80989579111338,214.80989579111338,214.80989579111338,214.80989579111338,214.80989579111338,214.80989579111338,a,0.6828757179901004,10,328,1,215.51065185316838,217.0120485140942,217.0120485140942,,,,,,,,,,,,,,,,,,,,,34124,2022-11-07_14h01.39.495,vts_reward_expectancy_bt_OFFLINE,2022.2.4,60.05055691387439,
1,0,0,0,0,0,0,1,triangle,star,1,0,1,0,0,1,1,2,,,,,,,,,,,,217.51259338110685,217.51259338110685,217.51259338110685,217.51259338110685,217.51259338110685,217.51259338110685,217.51259338110685,217.51259338110685,217.51259338110685,217.51259338110685,l,0.7688192590139806,10,338,1,218.31357912905514,219.81507971603423,,,,,,,,,,,,,,,,,,,,,,34124,2022-11-07_14h01.39.495,vts_reward_expectancy_bt_OFFLINE,2022.2.4,60.05055691387439,
0,1,0,0,0,0,1,0,circle,hexagon,1,0,1,0,0,2,2,4,,,,,,,,,,,,220.31578888511285,220.31578888511285,220.31578888511285,220.31578888511285,220.31578888511285,220.31578888511285,220.31578888511285,220.31578888511285,220.31578888511285,220.31578888511285,a,0.610227552941069,10,348,1,220.94991142116487,222.45126878516749,222.45126878516749,,,,,,,,,,,,,,,,,,,,,34124,2022-11-07_14h01.39.495,vts_reward_expectancy_bt_OFFLINE,2022.2.4,60.05055691387439,
0,0,1,0,0,1,0,0,hexagon,circle,1,0,1,0,0,3,3,7,,,,,,,,,,,,222.95198241597973,222.95198241597973,222.95198241597973,222.95198241597973,222.95198241597973,222.95198241597973,222.95198241597973,222.95198241597973,222.95198241597973,222.95198241597973,l,0.4259375468827784,10,358,1,223.40253076818772,224.90422901813872,,,,,,,,,,,,,,,,,,,,,,34124,2022-11-07_14h01.39.495,vts_reward_expectancy_bt_OFFLINE,2022.2.4,60.05055691387439,
