LTriangleOpac,LCircleOpac,LHexagonOpac,LStarOpac,RTriangleOpac,RCircleOpac,RHexagonOpac,RStarOpac,LShape_ID,RShape_ID,training_blocks.thisRepN,training_blocks.thisTrialN,training_blocks.thisN,training_blocks.thisIndex,training.thisRepN,training.thisTrialN,training.thisN,training.thisIndex,task1_prac_redo.thisRepN,task1_prac_redo.thisTrialN,task1_prac_redo.thisN,task1_prac_redo.thisIndex,task1_prac_trials.thisRepN,task1_prac_trials.thisTrialN,task1_prac_trials.thisN,task1_prac_trials.thisIndex,key_resp.started,key_resp.keys,key_resp.rt,left_circle.started,right_circle.started,left_triangle.started,right_triangle.started,left_star.started,right_star.started,left_hexagon.started,right_hexagon.started,training_fix.started,training_resp.started,training_resp.keys,training_resp.rt,points_trial,points_cumul,trainBlock,training_feedback_txt.started,fix.started,training_feedback_txt.stopped,curr_topStim,curr_bottStim,curr_shape,ISI.started,tgt_fix_prac1.started,top_target_prac1.started,bott_target_prac1.started,target_resp_prac1.started,acc,E1,target_resp_prac1.keys,target_resp_prac1.rt,pracBlock,prac_fback_text.started,participant,date,expName,psychopyVersion,frameRate,
0,1,0,0,1,0,0,0,circle,triangle,0,0,0,0,0,9,9,3,,,,,,,,,,,,105.15006280899979,105.15006280899979,105.15006280899979,105.15006280899979,105.15006280899979,105.15006280899979,105.15006280899979,105.15006280899979,105.15006280899979,105.15006280899979,l,0.7023874540172983,1,28,0,105.88421362297959,107.38579212198965,,,,,,,,,,,,,,,,91140,2022-11-21_14h01.53.163,vts_reward_expectancy_bt_OFFLINE,2022.2.4,60.01972860357194,
1,0,0,0,0,0,1,0,triangle,hexagon,0,0,0,0,0,10,10,1,,,,,,,,,,,,107.88662100597867,107.88662100597867,107.88662100597867,107.88662100597867,107.88662100597867,107.88662100597867,107.88662100597867,107.88662100597867,107.88662100597867,107.88662100597867,a,0.6662165840389207,10,38,0,108.57047670599422,110.07229300600011,,,,,,,,,,,,,,,,91140,2022-11-21_14h01.53.163,vts_reward_expectancy_bt_OFFLINE,2022.2.4,60.01972860357194,
0,0,0,1,0,0,1,0,star,hexagon,0,0,0,0,0,11,11,11,,,,,,,,,,,,110.57281751098344,110.57281751098344,110.57281751098344,110.57281751098344,110.57281751098344,110.57281751098344,110.57281751098344,110.57281751098344,110.57281751098344,110.57281751098344,a,0.7127598410297651,10,48,0,111.30688256397843,112.80845334197511,,,,,,,,,,,,,,,,91140,2022-11-21_14h01.53.163,vts_reward_expectancy_bt_OFFLINE,2022.2.4,60.01972860357194,
0,0,0,1,0,0,1,0,star,hexagon,0,0,0,0,1,0,12,11,,,,,,,,,,,,113.30898457599687,113.30898457599687,113.30898457599687,113.30898457599687,113.30898457599687,113.30898457599687,113.30898457599687,113.30898457599687,113.30898457599687,113.30898457599687,a,0.5084964480192866,10,58,0,113.84277216097689,115.3445355949807,,,,,,,,,,,,,,,,91140,2022-11-21_14h01.53.163,vts_reward_expectancy_bt_OFFLINE,2022.2.4,60.01972860357194,
1,0,0,0,0,1,0,0,triangle,circle,0,0,0,0,1,1,13,0,,,,,,,,,,,,115.84504834900144,115.84504834900144,115.84504834900144,115.84504834900144,115.84504834900144,115.84504834900144,115.84504834900144,115.84504834900144,115.84504834900144,115.84504834900144,a,1.5504769140097778,10,68,0,117.41350272897398,118.91516047497862,,,,,,,,,,,,,,,,91140,2022-11-21_14h01.53.163,vts_reward_expectancy_bt_OFFLINE,2022.2.4,60.01972860357194,
0,0,1,0,0,0,0,1,hexagon,star,0,0,0,0,1,2,14,8,,,,,,,,,,,,119.41573030099971,119.41573030099971,119.41573030099971,119.41573030099971,119.41573030099971,119.41573030099971,119.41573030099971,119.41573030099971,119.41573030099971,119.41573030099971,l,0.6013762540242169,1,69,0,120.04968728197855,121.55149855697528,,,,,,,,,,,,,,,,91140,2022-11-21_14h01.53.163,vts_reward_expectancy_bt_OFFLINE,2022.2.4,60.01972860357194,
1,0,0,0,0,0,1,0,triangle,hexagon,0,0,0,0,1,3,15,1,,,,,,,,,,,,122.05208797898376,122.05208797898376,122.05208797898376,122.05208797898376,122.05208797898376,122.05208797898376,122.05208797898376,122.05208797898376,122.05208797898376,122.05208797898376,l,0.8780209990218282,1,70,0,122.9531636859756,124.45482827498927,,,,,,,,,,,,,,,,91140,2022-11-21_14h01.53.163,vts_reward_expectancy_bt_OFFLINE,2022.2.4,60.01972860357194,
0,1,0,0,0,0,1,0,circle,hexagon,0,0,0,0,1,4,16,4,,,,,,,,,,,,124.95530192999286,124.95530192999286,124.95530192999286,124.95530192999286,124.95530192999286,124.95530192999286,124.95530192999286,124.95530192999286,124.95530192999286,124.95530192999286,l,0.5069027590216137,10,80,0,125.48920771799749,126.99101088999305,,,,,,,,,,,,,,,,91140,2022-11-21_14h01.53.163,vts_reward_expectancy_bt_OFFLINE,2022.2.4,60.01972860357194,
0,0,1,0,0,1,0,0,hexagon,circle,0,0,0,0,1,5,17,7,,,,,,,,,,,,127.49170839099679,127.49170839099679,127.49170839099679,127.49170839099679,127.49170839099679,127.49170839099679,127.49170839099679,127.49170839099679,127.49170839099679,127.49170839099679,a,0.46725981403142214,10,90,0,127.99210003699409,129.49368685099762,,,,,,,,,,,,,,,,91140,2022-11-21_14h01.53.163,vts_reward_expectancy_bt_OFFLINE,2022.2.4,60.01972860357194,
0,1,0,0,0,0,0,1,circle,star,0,0,0,0,1,6,18,5,,,,,,,,,,,,129.99408705797396,129.99408705797396,129.99408705797396,129.99408705797396,129.99408705797396,129.99408705797396,129.99408705797396,129.99408705797396,129.99408705797396,129.99408705797396,l,0.4179532260459382,1,91,0,130.44475761297508,131.94642129697604,,,,,,,,,,,,,,,,91140,2022-11-21_14h01.53.163,vts_reward_expectancy_bt_OFFLINE,2022.2.4,60.01972860357194,
