training_blocks.thisRepN,training_blocks.thisTrialN,training_blocks.thisN,training_blocks.thisIndex,task1_prac_redo.thisRepN,task1_prac_redo.thisTrialN,task1_prac_redo.thisN,task1_prac_redo.thisIndex,task1_prac_trials.thisRepN,task1_prac_trials.thisTrialN,task1_prac_trials.thisN,task1_prac_trials.thisIndex,task2_prac_redo.thisRepN,task2_prac_redo.thisTrialN,task2_prac_redo.thisN,task2_prac_redo.thisIndex,task2_praac_trials.thisRepN,task2_praac_trials.thisTrialN,task2_praac_trials.thisN,task2_praac_trials.thisIndex,vts_prac_redo.thisRepN,vts_prac_redo.thisTrialN,vts_prac_redo.thisN,vts_prac_redo.thisIndex,vts_practice_trials.thisRepN,vts_practice_trials.thisTrialN,vts_practice_trials.thisN,vts_practice_trials.thisIndex,trials_norew.thisRepN,trials_norew.thisTrialN,trials_norew.thisN,trials_norew.thisIndex,block.thisRepN,block.thisTrialN,block.thisN,block.thisIndex,trials_rew.thisRepN,trials_rew.thisTrialN,trials_rew.thisN,trials_rew.thisIndex,key_resp.started,key_resp.keys,key_resp.rt,curr_topStim,curr_bottStim,curr_shape,ISI.started,tgt_fix_prac1.started,top_target_prac1.started,bott_target_prac1.started,target_resp_prac1.started,top_target_prac1.stopped,tgt_fix_prac1.stopped,bott_target_prac1.stopped,target_resp_prac1.stopped,acc,E1,target_resp_prac1.keys,pracBlock,prac_fback_text.started,prac_fback_text.stopped,fix.started,fix.stopped,target_resp_prac1.rt,tgt_fix_prac2.started,top_target_prac2.started,bott_target_prac2.started,target_resp_prac2.started,target_resp_prac2.keys,target_resp_prac2.rt,star.started,hegagon.started,triangle.started,circle.started,top_target.started,tgt_fix.started,bot_target.started,target_resp.started,star.stopped,hegagon.stopped,triangle.stopped,circle.stopped,alt,task,condition,target_resp.keys,target_resp.rt,rewCond,points_trial,points_cumul,vts_fback.started,vts_fback.stopped,blockNum,norew_fback.started,norew_fback.stopped,key_resp_2.keys,key_resp_2.rt,rewExpectancy,feedbk_text.started,feedbk_text.stopped,text_3.started,text_3.stopped,button.started,debrief.index,debrief.itemText,debrief.type,debrief.granularity,debrief.font,debrief.markerColor,debrief.response,debrief.rt,button.numClicks,button.timesOn,button.timesOff,participant,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,0,0,0,0,9,0,9,0,,,,,,,,,,,,,,,,,,,,,,,,D,146,hexagon,0.0006959999991522636,,,,,,,,,1,0,,1,183.04878800900042,,184.55046435999975,,,181.14670458100045,182.64845230600076,182.64845230600076,182.64845230600076,j,0.3787290710006346,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37688,2022-10-25_10h29.05.330,vts_reward_expectancy_bt_OFFLINE,2022.2.4,59.99429622191361,
,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,B,132,star,0.0020300229989516083,,,,,,,,,1,0,,2,,,218.10437644000012,,,,,,,,,213.99971049600026,213.99971049600026,213.99971049600026,213.99971049600026,215.48475203400085,215.48475203400085,215.48475203400085,215.48475203400085,215.50170318900018,215.50170318900018,215.50170318900018,215.50170318900018,-1,letter,NA,d,1.0857274010013498,vtsPrac,0,0,216.6024007649994,,,,,,,,,,,,,,,,,,,,,,,,37688,2022-10-25_10h29.05.330,vts_reward_expectancy_bt_OFFLINE,2022.2.4,59.99429622191361,
,,,,,,,,,,,,,,,,,,,,0,0,0,0,1,0,1,0,,,,,,,,,,,,,,,,F,146,hexagon,0.0012105950008844957,,,,,,,,,1,0,,2,,,223.04295272499985,,,,,,,,,219.09010894600033,219.09010894600033,219.09010894600033,219.09010894600033,220.59023161699952,220.59023161699952,220.59023161699952,220.59023161699952,220.59023161699952,220.59023161699952,220.59023161699952,220.59023161699952,repeat,letter,lettRpt,d,0.9345089990001725,vtsPrac,0,0,221.54151201700006,223.04295272499985,,,,,,,,,,,,,,,,,,,,,,,37688,2022-10-25_10h29.05.330,vts_reward_expectancy_bt_OFFLINE,2022.2.4,59.99429622191361,
,,,,,,,,,,,,,,,,,,,,0,0,0,0,2,0,2,0,,,,,,,,,,,,,,,,W,125,star,0.0007211110005300725,,,,,,,,,1,0,,2,,,227.71486058899973,,,,,,,,,224.02833958100018,224.02833958100018,224.02833958100018,224.02833958100018,225.52903228600007,225.52903228600007,225.52903228600007,225.52903228600007,225.52903228600007,225.52903228600007,225.52903228600007,225.52903228600007,repeat,letter,lettRpt,f,0.6674576530003833,vtsPrac,0,0,226.2132469240005,227.71486058899973,,,,,,,,,,,,,,,,,,,,,,,37688,2022-10-25_10h29.05.330,vts_reward_expectancy_bt_OFFLINE,2022.2.4,59.99429622191361,
,,,,,,,,,,,,,,,,,,,,0,0,0,0,3,0,3,0,,,,,,,,,,,,,,,,D,181,hexagon,0.0008323789988935459,,,,,,,,,1,0,,2,,,232.16998275699916,,,,,,,,,228.69975360399985,228.69975360399985,228.69975360399985,228.69975360399985,230.2009354439997,230.2009354439997,230.2009354439997,230.2009354439997,230.2009354439997,230.2009354439997,230.2009354439997,230.2009354439997,repeat,letter,lettRpt,d,0.4508821410017845,vtsPrac,0,0,230.66836551100096,232.16998275699916,,,,,,,,,,,,,,,,,,,,,,,37688,2022-10-25_10h29.05.330,vts_reward_expectancy_bt_OFFLINE,2022.2.4,59.99429622191361,
,,,,,,,,,,,,,,,,,,,,0,0,0,0,4,0,4,0,,,,,,,,,,,,,,,,B,132,hexagon,0.000750201001210371,,,,,,,,,1,0,,2,,,236.34087708900006,,,,,,,,,233.15409706600076,233.15409706600076,233.15409706600076,233.15409706600076,234.65612599499946,234.65612599499946,234.65612599499946,234.65612599499946,234.65612599499946,234.65612599499946,234.65612599499946,234.65612599499946,repeat,letter,lettRpt,d,0.1554388940003264,vtsPrac,0,0,234.83920142900024,,,,,,,,,,,,,,,,,,,,,,,,37688,2022-10-25_10h29.05.330,vts_reward_expectancy_bt_OFFLINE,2022.2.4,59.99429622191361,
,,,,,,,,,,,,,,,,,,,,0,0,0,0,5,0,5,0,,,,,,,,,,,,,,,,F,146,star,0.0013869069989596028,,,,,,,,,0,0,,2,,,240.59574462700039,,,,,,,,,237.32551528899967,237.32551528899967,237.32551528899967,237.32551528899967,238.8270763670007,238.8270763670007,238.8270763670007,238.8270763670007,238.8270763670007,238.8270763670007,238.8270763670007,238.8270763670007,repeat,letter,NA,f,0.24039639600050577,vtsPrac,0,0,239.09399497400045,240.59574462700039,,,,,,,,,,,,,,,,,,,,,,,37688,2022-10-25_10h29.05.330,vts_reward_expectancy_bt_OFFLINE,2022.2.4,59.99429622191361,
,,,,,,,,,,,,,,,,,,,,0,0,0,0,6,0,6,0,,,,,,,,,,,,,,,,W,125,star,0.0007328449992201058,,,,,,,,,1,1,,2,,,244.9838673710001,,,,,,,,,241.5799898690002,241.5799898690002,241.5799898690002,241.5799898690002,243.0817192249997,243.0817192249997,243.0817192249997,243.0817192249997,243.0817192249997,243.0817192249997,243.0817192249997,243.0817192249997,repeat,letter,lettRpt,f,0.3683788739999727,vtsPrac,0,0,243.48213323900018,,,,,,,,,,,,,,,,,,,,,,,,37688,2022-10-25_10h29.05.330,vts_reward_expectancy_bt_OFFLINE,2022.2.4,59.99429622191361,
,,,,,,,,,,,,,,,,,,,,0,0,0,0,7,0,7,0,,,,,,,,,,,,,,,,D,181,hexagon,0.0011281040005997056,,,,,,,,,1,0,,2,,,249.5221806770005,,,,,,,,,245.96830930100077,245.96830930100077,245.96830930100077,245.96830930100077,247.46996811099962,247.46996811099962,247.46996811099962,247.46996811099962,247.46996811099962,247.46996811099962,247.46996811099962,247.46996811099962,repeat,letter,lettRpt,d,0.5179868400009582,vtsPrac,0,0,248.02062134600055,,,,,,,,,,,,,,,,,,,,,,,,37688,2022-10-25_10h29.05.330,vts_reward_expectancy_bt_OFFLINE,2022.2.4,59.99429622191361,
,,,,,,,,,,,,,,,,,,,,0,0,0,0,8,0,8,0,,,,,,,,,,,,,,,,W,167,hexagon,0.0014108979994489346,,,,,,,,,1,0,,2,,,254.01039976500033,,,,,,,,,250.5076115259999,250.5076115259999,250.5076115259999,250.5076115259999,252.00831362600002,252.00831362600002,252.00831362600002,252.00831362600002,252.00831362600002,252.00831362600002,252.00831362600002,252.00831362600002,repeat,letter,lettRpt,f,0.4680921569997736,vtsPrac,0,0,252.50899189099982,,,,,,,,,,,,,,,,,,,,,,,,37688,2022-10-25_10h29.05.330,vts_reward_expectancy_bt_OFFLINE,2022.2.4,59.99429622191361,
