LTriangleOpac,LCircleOpac,LHexagonOpac,LStarOpac,RTriangleOpac,RCircleOpac,RHexagonOpac,RStarOpac,LShape_ID,RShape_ID,training_blocks.thisRepN,training_blocks.thisTrialN,training_blocks.thisN,training_blocks.thisIndex,training.thisRepN,training.thisTrialN,training.thisN,training.thisIndex,task1_prac_redo.thisRepN,task1_prac_redo.thisTrialN,task1_prac_redo.thisN,task1_prac_redo.thisIndex,task1_prac_trials.thisRepN,task1_prac_trials.thisTrialN,task1_prac_trials.thisN,task1_prac_trials.thisIndex,key_resp.started,key_resp.keys,key_resp.rt,left_circle.started,right_circle.started,left_triangle.started,right_triangle.started,left_star.started,right_star.started,left_hexagon.started,right_hexagon.started,training_fix.started,training_resp.started,training_resp.keys,training_resp.rt,points_trial,points_cumul,trainBlock,training_feedback_txt.started,fix.started,training_feedback_txt.stopped,fix.stopped,curr_topStim,curr_bottStim,curr_shape,ISI.started,tgt_fix_prac1.started,top_target_prac1.started,bott_target_prac1.started,target_resp_prac1.started,top_target_prac1.stopped,bott_target_prac1.stopped,target_resp_prac1.stopped,acc,E1,target_resp_prac1.keys,pracBlock,prac_fback_text.started,target_resp_prac1.rt,prac_fback_text.stopped,participant,date,expName,psychopyVersion,frameRate,
0,1,0,0,0,0,1,0,circle,hexagon,0,0,0,0,0,10,10,4,,,,,,,,,,,,115.87123377993703,115.87123377993703,115.87123377993703,115.87123377993703,115.87123377993703,115.87123377993703,115.87123377993703,115.87123377993703,115.87123377993703,115.87123377993703,l,0.8823850519256666,1,65,0,116.77233892900404,118.27221537590958,118.27221537590958,,,,,,,,,,,,,,,,,,,,58294,2022-11-08_10h17.39.240,vts_reward_expectancy_bt_OFFLINE,2022.2.4,60.147013149159356,
0,0,1,0,0,0,0,1,hexagon,star,0,0,0,0,0,11,11,8,,,,,,,,,,,,118.77550264296588,118.77550264296588,118.77550264296588,118.77550264296588,118.77550264296588,118.77550264296588,118.77550264296588,118.77550264296588,118.77550264296588,118.77550264296588,a,1.3759635899914429,10,75,0,120.1754260729067,121.67519700201228,121.67519700201228,122.17545636091381,,,,,,,,,,,,,,,,,,,58294,2022-11-08_10h17.39.240,vts_reward_expectancy_bt_OFFLINE,2022.2.4,60.147013149159356,
0,0,1,0,1,0,0,0,hexagon,triangle,0,0,0,0,1,0,12,6,,,,,,,,,,,,122.17545636091381,122.17545636091381,122.17545636091381,122.17545636091381,122.17545636091381,122.17545636091381,122.17545636091381,122.17545636091381,122.17545636091381,122.17545636091381,a,1.1939484730828553,10,85,0,123.39229972101748,124.89504783297889,,,,,,,,,,,,,,,,,,,,,58294,2022-11-08_10h17.39.240,vts_reward_expectancy_bt_OFFLINE,2022.2.4,60.147013149159356,
0,0,0,1,0,1,0,0,star ,circle,0,0,0,0,1,1,13,10,,,,,,,,,,,,125.39521541295107,125.39521541295107,125.39521541295107,125.39521541295107,125.39521541295107,125.39521541295107,125.39521541295107,125.39521541295107,125.39521541295107,125.39521541295107,l,0.6067463019862771,10,95,0,126.02861748298164,127.52939409099054,127.52939409099054,128.02930434094742,,,,,,,,,,,,,,,,,,,58294,2022-11-08_10h17.39.240,vts_reward_expectancy_bt_OFFLINE,2022.2.4,60.147013149159356,
0,0,0,1,0,0,1,0,star,hexagon,0,0,0,0,1,2,14,11,,,,,,,,,,,,128.02930434094742,128.02930434094742,128.02930434094742,128.02930434094742,128.02930434094742,128.02930434094742,128.02930434094742,128.02930434094742,128.02930434094742,128.02930434094742,l,1.876028988044709,10,105,0,129.93180645699613,131.43259558198042,131.43259558198042,131.93274790397845,,,,,,,,,,,,,,,,,,,58294,2022-11-08_10h17.39.240,vts_reward_expectancy_bt_OFFLINE,2022.2.4,60.147013149159356,
0,0,0,1,1,0,0,0,star,triangle,0,0,0,0,1,3,15,9,,,,,,,,,,,,131.93274790397845,131.93274790397845,131.93274790397845,131.93274790397845,131.93274790397845,131.93274790397845,131.93274790397845,131.93274790397845,131.93274790397845,131.93274790397845,l,1.382369727944024,10,115,0,133.3330828989856,134.8355037739966,,,,,,,,,,,,,,,,,,,,,58294,2022-11-08_10h17.39.240,vts_reward_expectancy_bt_OFFLINE,2022.2.4,60.147013149159356,
0,1,0,0,1,0,0,0,circle,triangle,0,0,0,0,1,4,16,3,,,,,,,,,,,,135.33573521999642,135.33573521999642,135.33573521999642,135.33573521999642,135.33573521999642,135.33573521999642,135.33573521999642,135.33573521999642,135.33573521999642,135.33573521999642,a,0.7464809640077874,1,116,0,136.1030477390159,137.6029962769244,,,,,,,,,,,,,,,,,,,,,58294,2022-11-08_10h17.39.240,vts_reward_expectancy_bt_OFFLINE,2022.2.4,60.147013149159356,
0,1,0,0,0,0,0,1,circle,star,0,0,0,0,1,5,17,5,,,,,,,,,,,,138.1033629690064,138.1033629690064,138.1033629690064,138.1033629690064,138.1033629690064,138.1033629690064,138.1033629690064,138.1033629690064,138.1033629690064,138.1033629690064,a,0.702277022995986,1,117,0,138.8221971919993,140.32316618098412,140.32316618098412,140.82305331190582,,,,,,,,,,,,,,,,,,,58294,2022-11-08_10h17.39.240,vts_reward_expectancy_bt_OFFLINE,2022.2.4,60.147013149159356,
1,0,0,0,0,0,0,1,triangle,star,0,0,0,0,1,6,18,2,,,,,,,,,,,,140.82305331190582,140.82305331190582,140.82305331190582,140.82305331190582,140.82305331190582,140.82305331190582,140.82305331190582,140.82305331190582,140.82305331190582,140.82305331190582,a,0.9179719279054552,1,118,0,141.7733510530088,143.27414642099757,143.27414642099757,,,,,,,,,,,,,,,,,,,,58294,2022-11-08_10h17.39.240,vts_reward_expectancy_bt_OFFLINE,2022.2.4,60.147013149159356,
1,0,0,0,0,1,0,0,triangle,circle,0,0,0,0,1,7,19,0,,,,,,,,,,,,143.78004028100986,143.78004028100986,143.78004028100986,143.78004028100986,143.78004028100986,143.78004028100986,143.78004028100986,143.78004028100986,143.78004028100986,143.78004028100986,l,0.5387074360623956,10,128,0,144.34362548193894,145.84313335700426,145.84313335700426,146.34327950398438,,,,,,,,,,,,,,,,,,,58294,2022-11-08_10h17.39.240,vts_reward_expectancy_bt_OFFLINE,2022.2.4,60.147013149159356,
0,1,0,0,0,0,1,0,circle,hexagon,0,0,0,0,1,8,20,4,,,,,,,,,,,,146.34327950398438,146.34327950398438,146.34327950398438,146.34327950398438,146.34327950398438,146.34327950398438,146.34327950398438,146.34327950398438,146.34327950398438,146.34327950398438,l,1.0119436359964311,1,129,0,147.37785590300336,148.8796938000014,,,,,,,,,,,,,,,,,,,,,58294,2022-11-08_10h17.39.240,vts_reward_expectancy_bt_OFFLINE,2022.2.4,60.147013149159356,
0,0,1,0,0,0,0,1,hexagon,star,0,0,0,0,1,9,21,8,,,,,,,,,,,,149.37982861790806,149.37982861790806,149.37982861790806,149.37982861790806,149.37982861790806,149.37982861790806,149.37982861790806,149.37982861790806,149.37982861790806,149.37982861790806,a,0.6537773379823193,10,139,0,150.0639982779976,151.56371227197815,151.56371227197815,,,,,,,,,,,,,,,,,,,,58294,2022-11-08_10h17.39.240,vts_reward_expectancy_bt_OFFLINE,2022.2.4,60.147013149159356,
0,0,1,0,0,1,0,0,hexagon,circle,0,0,0,0,1,10,22,7,,,,,,,,,,,,152.06400639598724,152.06400639598724,152.06400639598724,152.06400639598724,152.06400639598724,152.06400639598724,152.06400639598724,152.06400639598724,152.06400639598724,152.06400639598724,l,0.5787707159761339,10,149,0,152.66406307497527,154.16646593890619,,,,,,,,,,,,,,,,,,,,,58294,2022-11-08_10h17.39.240,vts_reward_expectancy_bt_OFFLINE,2022.2.4,60.147013149159356,
1,0,0,0,0,0,1,0,triangle,hexagon,0,0,0,0,1,11,23,1,,,,,,,,,,,,154.6666181369219,154.6666181369219,154.6666181369219,154.6666181369219,154.6666181369219,154.6666181369219,154.6666181369219,154.6666181369219,154.6666181369219,154.6666181369219,l,1.7902383409673348,10,159,0,156.48430771392304,157.98505934292916,157.98505934292916,158.48486184200738,,,,,,,,,,,,,,,,,,,58294,2022-11-08_10h17.39.240,vts_reward_expectancy_bt_OFFLINE,2022.2.4,60.147013149159356,
