LTriangleOpac,LCircleOpac,LHexagonOpac,LStarOpac,RTriangleOpac,RCircleOpac,RHexagonOpac,RStarOpac,LShape_ID,RShape_ID,training_blocks.thisRepN,training_blocks.thisTrialN,training_blocks.thisN,training_blocks.thisIndex,training.thisRepN,training.thisTrialN,training.thisN,training.thisIndex,task1_prac_redo.thisRepN,task1_prac_redo.thisTrialN,task1_prac_redo.thisN,task1_prac_redo.thisIndex,key_resp.started,key_resp.keys,key_resp.rt,left_circle.started,right_circle.started,left_triangle.started,right_triangle.started,left_star.started,right_star.started,left_hexagon.started,right_hexagon.started,training_fix.started,training_resp.started,training_resp.keys,training_resp.rt,points_trial,points_cumul,trainBlock,training_feedback_txt.started,training_feedback_txt.stopped,fix.started,fix.stopped,participant,date,expName,psychopyVersion,frameRate,
0,0,0,1,1,0,0,0,star,triangle,0,0,0,0,0,9,9,9,,,,,,,,103.90061081199997,103.90061081199997,103.90061081199997,103.90061081199997,103.90061081199997,103.90061081199997,103.90061081199997,103.90061081199997,103.90061081199997,103.90061081199997,l,0.6264089799997237,1,46,0,104.55111241400004,,106.05263633499999,,51419,2022-10-25_08h14.48.778,vts_reward_expectancy_bt_OFFLINE,2022.2.4,59.901096221799214,
0,0,1,0,0,1,0,0,hexagon,circle,0,0,0,0,0,10,10,7,,,,,,,,106.55350567599999,106.55350567599999,106.55350567599999,106.55350567599999,106.55350567599999,106.55350567599999,106.55350567599999,106.55350567599999,106.55350567599999,106.55350567599999,a,0.46877885300000344,10,56,0,107.05375836400003,108.55560513900014,108.55560513900014,,51419,2022-10-25_08h14.48.778,vts_reward_expectancy_bt_OFFLINE,2022.2.4,59.901096221799214,
1,0,0,0,0,0,1,0,triangle,hexagon,0,0,0,0,0,11,11,1,,,,,,,,109.05614836600012,109.05614836600012,109.05614836600012,109.05614836600012,109.05614836600012,109.05614836600012,109.05614836600012,109.05614836600012,109.05614836600012,109.05614836600012,l,0.4702981729999465,1,57,0,109.55665876600006,,111.05813487400019,,51419,2022-10-25_08h14.48.778,vts_reward_expectancy_bt_OFFLINE,2022.2.4,59.901096221799214,
0,1,0,0,0,0,1,0,circle,hexagon,0,0,0,0,1,0,12,4,,,,,,,,111.5586759580001,111.5586759580001,111.5586759580001,111.5586759580001,111.5586759580001,111.5586759580001,111.5586759580001,111.5586759580001,111.5586759580001,111.5586759580001,a,0.42420993299992915,1,58,0,112.00911916300015,,113.51090338900008,,51419,2022-10-25_08h14.48.778,vts_reward_expectancy_bt_OFFLINE,2022.2.4,59.901096221799214,
0,1,0,0,1,0,0,0,circle,triangle,0,0,0,0,1,1,13,3,,,,,,,,114.01140172200007,114.01140172200007,114.01140172200007,114.01140172200007,114.01140172200007,114.01140172200007,114.01140172200007,114.01140172200007,114.01140172200007,114.01140172200007,l,0.42787242600002173,10,68,0,114.46199626099997,,115.96348339700012,,51419,2022-10-25_08h14.48.778,vts_reward_expectancy_bt_OFFLINE,2022.2.4,59.901096221799214,
0,0,0,1,0,1,0,0,star ,circle,0,0,0,0,1,2,14,10,,,,,,,,116.46415984999999,116.46415984999999,116.46415984999999,116.46415984999999,116.46415984999999,116.46415984999999,116.46415984999999,116.46415984999999,116.46415984999999,116.46415984999999,l,0.3429044959998464,10,78,0,116.83109004300013,,118.33309800899997,,51419,2022-10-25_08h14.48.778,vts_reward_expectancy_bt_OFFLINE,2022.2.4,59.901096221799214,
0,1,0,0,0,0,0,1,circle,star,0,0,0,0,1,3,15,5,,,,,,,,118.83324365500016,118.83324365500016,118.83324365500016,118.83324365500016,118.83324365500016,118.83324365500016,118.83324365500016,118.83324365500016,118.83324365500016,118.83324365500016,a,0.39778230399974746,10,88,0,119.25061728700007,,120.75224018600011,,51419,2022-10-25_08h14.48.778,vts_reward_expectancy_bt_OFFLINE,2022.2.4,59.901096221799214,
0,0,1,0,0,1,0,0,hexagon,circle,0,0,0,0,1,4,16,7,,,,,,,,121.25294760600013,121.25294760600013,121.25294760600013,121.25294760600013,121.25294760600013,121.25294760600013,121.25294760600013,121.25294760600013,121.25294760600013,121.25294760600013,l,0.4258594749999247,10,98,0,121.70328092199998,,123.2049281510001,,51419,2022-10-25_08h14.48.778,vts_reward_expectancy_bt_OFFLINE,2022.2.4,59.901096221799214,
1,0,0,0,0,0,1,0,triangle,hexagon,0,0,0,0,1,5,17,1,,,,,,,,123.705560934,123.705560934,123.705560934,123.705560934,123.705560934,123.705560934,123.705560934,123.705560934,123.705560934,123.705560934,a,0.35689420499988955,1,99,0,124.08929845700004,,125.5909433060001,,51419,2022-10-25_08h14.48.778,vts_reward_expectancy_bt_OFFLINE,2022.2.4,59.901096221799214,
0,0,1,0,1,0,0,0,hexagon,triangle,0,0,0,0,1,6,18,6,,,,,,,,126.0914869400001,126.0914869400001,126.0914869400001,126.0914869400001,126.0914869400001,126.0914869400001,126.0914869400001,126.0914869400001,126.0914869400001,126.0914869400001,l,0.38680378799995196,10,109,0,126.50874497400014,,128.01016589699998,,51419,2022-10-25_08h14.48.778,vts_reward_expectancy_bt_OFFLINE,2022.2.4,59.901096221799214,
0,0,0,1,0,0,1,0,star,hexagon,0,0,0,0,1,7,19,11,,,,,,,,128.51070982600004,128.51070982600004,128.51070982600004,128.51070982600004,128.51070982600004,128.51070982600004,128.51070982600004,128.51070982600004,128.51070982600004,128.51070982600004,l,0.5598475109998162,1,110,0,129.094794503,,130.59649772500006,,51419,2022-10-25_08h14.48.778,vts_reward_expectancy_bt_OFFLINE,2022.2.4,59.901096221799214,
0,0,0,1,1,0,0,0,star,triangle,0,0,0,0,1,8,20,9,,,,,,,,131.09719324800017,131.09719324800017,131.09719324800017,131.09719324800017,131.09719324800017,131.09719324800017,131.09719324800017,131.09719324800017,131.09719324800017,131.09719324800017,a,0.4292881960000159,1,111,0,131.54735231300015,,133.04891678100012,,51419,2022-10-25_08h14.48.778,vts_reward_expectancy_bt_OFFLINE,2022.2.4,59.901096221799214,
1,0,0,0,0,1,0,0,triangle,circle,0,0,0,0,1,9,21,0,,,,,,,,133.54967502199997,133.54967502199997,133.54967502199997,133.54967502199997,133.54967502199997,133.54967502199997,133.54967502199997,133.54967502199997,133.54967502199997,133.54967502199997,l,0.5611895659999391,10,121,0,134.13378836700008,,135.63533340200001,,51419,2022-10-25_08h14.48.778,vts_reward_expectancy_bt_OFFLINE,2022.2.4,59.901096221799214,
1,0,0,0,0,0,0,1,triangle,star,0,0,0,0,1,10,22,2,,,,,,,,136.13609406600017,136.13609406600017,136.13609406600017,136.13609406600017,136.13609406600017,136.13609406600017,136.13609406600017,136.13609406600017,136.13609406600017,136.13609406600017,l,0.4782254629999443,1,122,0,136.63668100600012,,138.13846830700004,,51419,2022-10-25_08h14.48.778,vts_reward_expectancy_bt_OFFLINE,2022.2.4,59.901096221799214,
0,0,1,0,0,0,0,1,hexagon,star,0,0,0,0,1,11,23,8,,,,,,,,138.63847946200008,138.63847946200008,138.63847946200008,138.63847946200008,138.63847946200008,138.63847946200008,138.63847946200008,138.63847946200008,138.63847946200008,138.63847946200008,a,0.43997085999967567,10,132,0,139.10597486200004,,140.6075497480001,,51419,2022-10-25_08h14.48.778,vts_reward_expectancy_bt_OFFLINE,2022.2.4,59.901096221799214,
0,0,1,0,1,0,0,0,hexagon,triangle,0,0,0,0,2,0,24,6,,,,,,,,141.10793880100005,141.10793880100005,141.10793880100005,141.10793880100005,141.10793880100005,141.10793880100005,141.10793880100005,141.10793880100005,141.10793880100005,141.10793880100005,a,0.45140866099995947,1,133,0,141.5920577070001,,143.09353725200003,,51419,2022-10-25_08h14.48.778,vts_reward_expectancy_bt_OFFLINE,2022.2.4,59.901096221799214,
1,0,0,0,0,0,1,0,triangle,hexagon,0,0,0,0,2,1,25,1,,,,,,,,143.59390380000013,143.59390380000013,143.59390380000013,143.59390380000013,143.59390380000013,143.59390380000013,143.59390380000013,143.59390380000013,143.59390380000013,143.59390380000013,l,0.4771657469998445,1,134,0,144.09449662400016,,145.59617146000005,,51419,2022-10-25_08h14.48.778,vts_reward_expectancy_bt_OFFLINE,2022.2.4,59.901096221799214,
0,1,0,0,0,0,1,0,circle,hexagon,0,0,0,0,2,2,26,4,,,,,,,,146.09663308200015,146.09663308200015,146.09663308200015,146.09663308200015,146.09663308200015,146.09663308200015,146.09663308200015,146.09663308200015,146.09663308200015,146.09663308200015,l,0.367578617999925,1,135,0,146.48044554700004,147.9820777120001,147.9820777120001,,51419,2022-10-25_08h14.48.778,vts_reward_expectancy_bt_OFFLINE,2022.2.4,59.901096221799214,
0,0,1,0,0,0,0,1,hexagon,star,0,0,0,0,2,3,27,8,,,,,,,,148.48258977199998,148.48258977199998,148.48258977199998,148.48258977199998,148.48258977199998,148.48258977199998,148.48258977199998,148.48258977199998,148.48258977199998,148.48258977199998,a,0.30814631199996256,1,136,0,148.81665990200008,,150.31805620199998,,51419,2022-10-25_08h14.48.778,vts_reward_expectancy_bt_OFFLINE,2022.2.4,59.901096221799214,
0,0,0,1,0,1,0,0,star ,circle,0,0,0,0,2,4,28,10,,,,,,,,150.8187403060001,150.8187403060001,150.8187403060001,150.8187403060001,150.8187403060001,150.8187403060001,150.8187403060001,150.8187403060001,150.8187403060001,150.8187403060001,l,0.2761259730000347,10,146,0,151.11890078800002,,152.62055700700012,,51419,2022-10-25_08h14.48.778,vts_reward_expectancy_bt_OFFLINE,2022.2.4,59.901096221799214,
1,0,0,0,0,0,0,1,triangle,star,0,0,0,0,2,5,29,2,,,,,,,,153.12111187300002,153.12111187300002,153.12111187300002,153.12111187300002,153.12111187300002,153.12111187300002,153.12111187300002,153.12111187300002,153.12111187300002,153.12111187300002,l,0.6933757239999068,10,156,0,153.83857439400003,,155.34023262200003,,51419,2022-10-25_08h14.48.778,vts_reward_expectancy_bt_OFFLINE,2022.2.4,59.901096221799214,
0,1,0,0,1,0,0,0,circle,triangle,0,0,0,0,2,6,30,3,,,,,,,,155.84126768400006,155.84126768400006,155.84126768400006,155.84126768400006,155.84126768400006,155.84126768400006,155.84126768400006,155.84126768400006,155.84126768400006,155.84126768400006,l,0.9255197239999688,1,157,0,156.79185680700016,,158.29370927200011,,51419,2022-10-25_08h14.48.778,vts_reward_expectancy_bt_OFFLINE,2022.2.4,59.901096221799214,
0,1,0,0,0,0,0,1,circle,star,0,0,0,0,2,7,31,5,,,,,,,,158.79436201099998,158.79436201099998,158.79436201099998,158.79436201099998,158.79436201099998,158.79436201099998,158.79436201099998,158.79436201099998,158.79436201099998,158.79436201099998,a,0.4927419209998334,1,158,0,159.3114019080001,,160.813160702,,51419,2022-10-25_08h14.48.778,vts_reward_expectancy_bt_OFFLINE,2022.2.4,59.901096221799214,
0,0,1,0,0,1,0,0,hexagon,circle,0,0,0,0,2,8,32,7,,,,,,,,161.3137146670001,161.3137146670001,161.3137146670001,161.3137146670001,161.3137146670001,161.3137146670001,161.3137146670001,161.3137146670001,161.3137146670001,161.3137146670001,l,0.5092004250000173,10,168,0,161.847409061,,163.3491479490001,,51419,2022-10-25_08h14.48.778,vts_reward_expectancy_bt_OFFLINE,2022.2.4,59.901096221799214,
0,0,0,1,1,0,0,0,star,triangle,0,0,0,0,2,9,33,9,,,,,,,,163.8498508770001,163.8498508770001,163.8498508770001,163.8498508770001,163.8498508770001,163.8498508770001,163.8498508770001,163.8498508770001,163.8498508770001,163.8498508770001,a,0.7648448309998912,1,169,0,164.633856961,,166.1354171810001,,51419,2022-10-25_08h14.48.778,vts_reward_expectancy_bt_OFFLINE,2022.2.4,59.901096221799214,
1,0,0,0,0,1,0,0,triangle,circle,0,0,0,0,2,10,34,0,,,,,,,,166.6363277360001,166.6363277360001,166.6363277360001,166.6363277360001,166.6363277360001,166.6363277360001,166.6363277360001,166.6363277360001,166.6363277360001,166.6363277360001,a,0.8581981199997699,1,170,0,167.52052967100008,,169.02224557900013,,51419,2022-10-25_08h14.48.778,vts_reward_expectancy_bt_OFFLINE,2022.2.4,59.901096221799214,
0,0,0,1,0,0,1,0,star,hexagon,0,0,0,0,2,11,35,11,,,,,,,,169.52273990599997,169.52273990599997,169.52273990599997,169.52273990599997,169.52273990599997,169.52273990599997,169.52273990599997,169.52273990599997,169.52273990599997,169.52273990599997,l,0.5327717549998852,1,171,0,170.07368252800006,171.57484475700016,171.57484475700016,,51419,2022-10-25_08h14.48.778,vts_reward_expectancy_bt_OFFLINE,2022.2.4,59.901096221799214,
0,1,0,0,0,0,1,0,circle,hexagon,0,0,0,0,3,0,36,4,,,,,,,,172.07554450400016,172.07554450400016,172.07554450400016,172.07554450400016,172.07554450400016,172.07554450400016,172.07554450400016,172.07554450400016,172.07554450400016,172.07554450400016,a,0.7008986889998141,1,172,0,172.79306635700004,174.29459596800007,174.29459596800007,,51419,2022-10-25_08h14.48.778,vts_reward_expectancy_bt_OFFLINE,2022.2.4,59.901096221799214,
0,0,1,0,1,0,0,0,hexagon,triangle,0,0,0,0,3,1,37,6,,,,,,,,174.7948479180002,174.7948479180002,174.7948479180002,174.7948479180002,174.7948479180002,174.7948479180002,174.7948479180002,174.7948479180002,174.7948479180002,174.7948479180002,l,0.29196462499976406,10,182,0,175.11194495100017,,176.61368950700012,,51419,2022-10-25_08h14.48.778,vts_reward_expectancy_bt_OFFLINE,2022.2.4,59.901096221799214,
0,0,1,0,0,1,0,0,hexagon,circle,0,0,0,0,3,2,38,7,,,,,,,,177.11417104200018,177.11417104200018,177.11417104200018,177.11417104200018,177.11417104200018,177.11417104200018,177.11417104200018,177.11417104200018,177.11417104200018,177.11417104200018,l,0.6120662449998235,10,192,0,177.74840251,,179.25000590600007,,51419,2022-10-25_08h14.48.778,vts_reward_expectancy_bt_OFFLINE,2022.2.4,59.901096221799214,
1,0,0,0,0,0,1,0,triangle,hexagon,0,0,0,0,3,3,39,1,,,,,,,,179.75056701500012,179.75056701500012,179.75056701500012,179.75056701500012,179.75056701500012,179.75056701500012,179.75056701500012,179.75056701500012,179.75056701500012,179.75056701500012,l,0.5764701719997447,1,193,0,180.3511868160001,,181.85287429000005,,51419,2022-10-25_08h14.48.778,vts_reward_expectancy_bt_OFFLINE,2022.2.4,59.901096221799214,
0,1,0,0,0,0,0,1,circle,star,0,0,0,0,3,4,40,5,,,,,,,,182.35374779300014,182.35374779300014,182.35374779300014,182.35374779300014,182.35374779300014,182.35374779300014,182.35374779300014,182.35374779300014,182.35374779300014,182.35374779300014,a,0.6444598099997165,10,203,0,183.02107186000012,,184.522497874,,51419,2022-10-25_08h14.48.778,vts_reward_expectancy_bt_OFFLINE,2022.2.4,59.901096221799214,
0,1,0,0,1,0,0,0,circle,triangle,0,0,0,0,3,5,41,3,,,,,,,,185.02304446100015,185.02304446100015,185.02304446100015,185.02304446100015,185.02304446100015,185.02304446100015,185.02304446100015,185.02304446100015,185.02304446100015,185.02304446100015,l,1.224254333999852,1,204,0,186.2745597590001,,187.77609444200016,,51419,2022-10-25_08h14.48.778,vts_reward_expectancy_bt_OFFLINE,2022.2.4,59.901096221799214,
1,0,0,0,0,0,0,1,triangle,star,0,0,0,0,3,6,42,2,,,,,,,,188.27693083300005,188.27693083300005,188.27693083300005,188.27693083300005,188.27693083300005,188.27693083300005,188.27693083300005,188.27693083300005,188.27693083300005,188.27693083300005,l,0.8185784269999203,10,214,0,189.12767779,,190.62936847000014,,51419,2022-10-25_08h14.48.778,vts_reward_expectancy_bt_OFFLINE,2022.2.4,59.901096221799214,
0,0,0,1,0,0,1,0,star,hexagon,0,0,0,0,3,7,43,11,,,,,,,,191.12985862000005,191.12985862000005,191.12985862000005,191.12985862000005,191.12985862000005,191.12985862000005,191.12985862000005,191.12985862000005,191.12985862000005,191.12985862000005,a,0.7248498019998806,10,224,0,191.88084711600004,,193.38236992800012,,51419,2022-10-25_08h14.48.778,vts_reward_expectancy_bt_OFFLINE,2022.2.4,59.901096221799214,
0,0,0,1,0,1,0,0,star ,circle,0,0,0,0,3,8,44,10,,,,,,,,193.88307412000017,193.88307412000017,193.88307412000017,193.88307412000017,193.88307412000017,193.88307412000017,193.88307412000017,193.88307412000017,193.88307412000017,193.88307412000017,l,0.443164866999723,10,234,0,194.35005538300015,,195.85041643099999,,51419,2022-10-25_08h14.48.778,vts_reward_expectancy_bt_OFFLINE,2022.2.4,59.901096221799214,
0,0,0,1,1,0,0,0,star,triangle,0,0,0,0,3,9,45,9,,,,,,,,196.3523906790001,196.3523906790001,196.3523906790001,196.3523906790001,196.3523906790001,196.3523906790001,196.3523906790001,196.3523906790001,196.3523906790001,196.3523906790001,a,1.0460269019999942,10,244,0,197.42007855200018,,198.92208428000004,,51419,2022-10-25_08h14.48.778,vts_reward_expectancy_bt_OFFLINE,2022.2.4,59.901096221799214,
1,0,0,0,0,1,0,0,triangle,circle,0,0,0,0,3,10,46,0,,,,,,,,199.42270521,199.42270521,199.42270521,199.42270521,199.42270521,199.42270521,199.42270521,199.42270521,199.42270521,199.42270521,l,0.43930446900003517,10,254,0,199.88967605800008,,201.39118917700011,,51419,2022-10-25_08h14.48.778,vts_reward_expectancy_bt_OFFLINE,2022.2.4,59.901096221799214,
0,0,1,0,0,0,0,1,hexagon,star,0,0,0,0,3,11,47,8,,,,,,,,201.891474495,201.891474495,201.891474495,201.891474495,201.891474495,201.891474495,201.891474495,201.891474495,201.891474495,201.891474495,a,0.4185108539998055,1,255,0,202.34210375400016,,203.84408055500012,,51419,2022-10-25_08h14.48.778,vts_reward_expectancy_bt_OFFLINE,2022.2.4,59.901096221799214,
0,1,0,0,0,0,0,1,circle,star,1,0,1,0,0,0,0,5,,,,,,,,207.57025398500014,207.57025398500014,207.57025398500014,207.57025398500014,207.57025398500014,207.57025398500014,207.57025398500014,207.57025398500014,207.57025398500014,207.57025398500014,a,1.18789922499991,1,256,1,208.7825880140001,,210.28418184800012,,51419,2022-10-25_08h14.48.778,vts_reward_expectancy_bt_OFFLINE,2022.2.4,59.901096221799214,
1,0,0,0,0,1,0,0,triangle,circle,1,0,1,0,0,1,1,0,,,,,,,,210.78464147,210.78464147,210.78464147,210.78464147,210.78464147,210.78464147,210.78464147,210.78464147,210.78464147,210.78464147,l,0.41454219100000955,10,266,1,211.218584211,,212.72010912600012,,51419,2022-10-25_08h14.48.778,vts_reward_expectancy_bt_OFFLINE,2022.2.4,59.901096221799214,
0,0,1,0,0,1,0,0,hexagon,circle,1,0,1,0,0,2,2,7,,,,,,,,213.22077146200013,213.22077146200013,213.22077146200013,213.22077146200013,213.22077146200013,213.22077146200013,213.22077146200013,213.22077146200013,213.22077146200013,213.22077146200013,l,0.44137923599987516,10,276,1,213.68791136000004,,215.18952113,,51419,2022-10-25_08h14.48.778,vts_reward_expectancy_bt_OFFLINE,2022.2.4,59.901096221799214,
1,0,0,0,0,0,0,1,triangle,star,1,0,1,0,0,3,3,2,,,,,,,,215.69006920300012,215.69006920300012,215.69006920300012,215.69006920300012,215.69006920300012,215.69006920300012,215.69006920300012,215.69006920300012,215.69006920300012,215.69006920300012,l,0.7483403639998869,1,277,1,216.45774774799997,,217.95929996100017,,51419,2022-10-25_08h14.48.778,vts_reward_expectancy_bt_OFFLINE,2022.2.4,59.901096221799214,
0,0,0,1,0,0,1,0,star,hexagon,1,0,1,0,0,4,4,11,,,,,,,,218.4599665820001,218.4599665820001,218.4599665820001,218.4599665820001,218.4599665820001,218.4599665820001,218.4599665820001,218.4599665820001,218.4599665820001,218.4599665820001,l,0.6352708179997535,1,278,1,219.12735378700017,,220.6288432230001,,51419,2022-10-25_08h14.48.778,vts_reward_expectancy_bt_OFFLINE,2022.2.4,59.901096221799214,
1,0,0,0,0,0,1,0,triangle,hexagon,1,0,1,0,0,5,5,1,,,,,,,,221.129559256,221.129559256,221.129559256,221.129559256,221.129559256,221.129559256,221.129559256,221.129559256,221.129559256,221.129559256,a,0.48483626399979585,1,279,1,221.6469157260001,,223.14858194500016,,51419,2022-10-25_08h14.48.778,vts_reward_expectancy_bt_OFFLINE,2022.2.4,59.901096221799214,
0,0,1,0,0,0,0,1,hexagon,star,1,0,1,0,0,6,6,8,,,,,,,,223.64915816799999,223.64915816799999,223.64915816799999,223.64915816799999,223.64915816799999,223.64915816799999,223.64915816799999,223.64915816799999,223.64915816799999,223.64915816799999,l,0.4367113219998373,10,289,1,224.11619376300018,,225.61814188400012,,51419,2022-10-25_08h14.48.778,vts_reward_expectancy_bt_OFFLINE,2022.2.4,59.901096221799214,
0,0,1,0,1,0,0,0,hexagon,triangle,1,0,1,0,0,7,7,6,,,,,,,,226.11841117000017,226.11841117000017,226.11841117000017,226.11841117000017,226.11841117000017,226.11841117000017,226.11841117000017,226.11841117000017,226.11841117000017,226.11841117000017,l,0.423645039999883,1,290,1,226.56897765100007,,228.0706395870002,,51419,2022-10-25_08h14.48.778,vts_reward_expectancy_bt_OFFLINE,2022.2.4,59.901096221799214,
0,0,0,1,1,0,0,0,star,triangle,1,0,1,0,0,8,8,9,,,,,,,,228.57142439200015,228.57142439200015,228.57142439200015,228.57142439200015,228.57142439200015,228.57142439200015,228.57142439200015,228.57142439200015,228.57142439200015,228.57142439200015,a,0.9948235539998223,10,300,1,229.58898118800016,,231.09086010700003,,51419,2022-10-25_08h14.48.778,vts_reward_expectancy_bt_OFFLINE,2022.2.4,59.901096221799214,
0,1,0,0,1,0,0,0,circle,triangle,1,0,1,0,0,9,9,3,,,,,,,,231.59137833299997,231.59137833299997,231.59137833299997,231.59137833299997,231.59137833299997,231.59137833299997,231.59137833299997,231.59137833299997,231.59137833299997,231.59137833299997,a,0.38469360599992797,10,310,1,232.00810373500008,,233.50979591700002,,51419,2022-10-25_08h14.48.778,vts_reward_expectancy_bt_OFFLINE,2022.2.4,59.901096221799214,
0,0,0,1,0,1,0,0,star ,circle,1,0,1,0,0,10,10,10,,,,,,,,234.01059947600015,234.01059947600015,234.01059947600015,234.01059947600015,234.01059947600015,234.01059947600015,234.01059947600015,234.01059947600015,234.01059947600015,234.01059947600015,a,0.6922087649998048,10,320,1,234.72815116700008,,236.22943342200006,,51419,2022-10-25_08h14.48.778,vts_reward_expectancy_bt_OFFLINE,2022.2.4,59.901096221799214,
0,1,0,0,0,0,1,0,circle,hexagon,1,0,1,0,0,11,11,4,,,,,,,,236.7302846760001,236.7302846760001,236.7302846760001,236.7302846760001,236.7302846760001,236.7302846760001,236.7302846760001,236.7302846760001,236.7302846760001,236.7302846760001,a,0.5488607160000356,10,330,1,237.29756398900008,238.79910318200018,238.79910318200018,,51419,2022-10-25_08h14.48.778,vts_reward_expectancy_bt_OFFLINE,2022.2.4,59.901096221799214,
