LTriangleOpac,LCircleOpac,LHexagonOpac,LStarOpac,RTriangleOpac,RCircleOpac,RHexagonOpac,RStarOpac,LShape_ID,RShape_ID,training_blocks.thisRepN,training_blocks.thisTrialN,training_blocks.thisN,training_blocks.thisIndex,training.thisRepN,training.thisTrialN,training.thisN,training.thisIndex,task1_prac_redo.thisRepN,task1_prac_redo.thisTrialN,task1_prac_redo.thisN,task1_prac_redo.thisIndex,task1_prac_trials.thisRepN,task1_prac_trials.thisTrialN,task1_prac_trials.thisN,task1_prac_trials.thisIndex,task2_prac_redo.thisRepN,task2_prac_redo.thisTrialN,task2_prac_redo.thisN,task2_prac_redo.thisIndex,task2_praac_trials.thisRepN,task2_praac_trials.thisTrialN,task2_praac_trials.thisN,task2_praac_trials.thisIndex,key_resp.started,key_resp.keys,key_resp.rt,left_circle.started,right_circle.started,left_triangle.started,right_triangle.started,left_star.started,right_star.started,left_hexagon.started,right_hexagon.started,training_fix.started,training_resp.started,training_resp.keys,training_resp.rt,points_trial,points_cumul,trainBlock,training_feedback_txt.started,training_feedback_txt.stopped,fix.started,fix.stopped,curr_topStim,curr_bottStim,curr_shape,ISI.started,tgt_fix_prac1.started,top_target_prac1.started,bott_target_prac1.started,target_resp_prac1.started,acc,E1,target_resp_prac1.keys,target_resp_prac1.rt,pracBlock,prac_fback_text.started,prac_fback_text.stopped,tgt_fix_prac2.started,top_target_prac2.started,bott_target_prac2.started,target_resp_prac2.started,target_resp_prac2.keys,target_resp_prac2.rt,top_target_prac2.stopped,bott_target_prac2.stopped,target_resp_prac2.stopped,participant,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,228.83610825799406,space,21.483341020997614,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,90376,2022-11-11_14h54.10.806,vts_reward_expectancy_bt_OFFLINE,2022.2.4,59.923432812272395,
0,0,0,1,1,0,0,0,star,triangle,0,0,0,0,1,7,19,9,,,,,,,,,,,,,,,,,,,,344.21115208487026,344.21115208487026,344.21115208487026,344.21115208487026,344.21115208487026,344.21115208487026,344.21115208487026,344.21115208487026,344.21115208487026,344.21115208487026,l,1.0181482818443328,10,146,0,345.25455069891177,,346.76341668795794,,,,,,,,,,,,,,,,,,,,,,,,,,90376,2022-11-11_14h54.10.806,vts_reward_expectancy_bt_OFFLINE,2022.2.4,59.923432812272395,
1,0,0,0,0,0,1,0,triangle,hexagon,0,0,0,0,1,8,20,1,,,,,,,,,,,,,,,,,,,,347.26390438200906,347.26390438200906,347.26390438200906,347.26390438200906,347.26390438200906,347.26390438200906,347.26390438200906,347.26390438200906,347.26390438200906,347.26390438200906,l,1.1385047051589936,1,147,0,348.4321728700306,349.93144397693686,349.93144397693686,,,,,,,,,,,,,,,,,,,,,,,,,,90376,2022-11-11_14h54.10.806,vts_reward_expectancy_bt_OFFLINE,2022.2.4,59.923432812272395,
0,1,0,0,1,0,0,0,circle,triangle,0,0,0,0,1,9,21,3,,,,,,,,,,,,,,,,,,,,350.43340178299695,350.43340178299695,350.43340178299695,350.43340178299695,350.43340178299695,350.43340178299695,350.43340178299695,350.43340178299695,350.43340178299695,350.43340178299695,l,0.7589951399713755,1,148,0,351.2171063348651,,352.71771664498374,,,,,,,,,,,,,,,,,,,,,,,,,,90376,2022-11-11_14h54.10.806,vts_reward_expectancy_bt_OFFLINE,2022.2.4,59.923432812272395,
0,0,0,1,0,0,1,0,star,hexagon,0,0,0,0,1,10,22,11,,,,,,,,,,,,,,,,,,,,353.2179291129578,353.2179291129578,353.2179291129578,353.2179291129578,353.2179291129578,353.2179291129578,353.2179291129578,353.2179291129578,353.2179291129578,353.2179291129578,a,1.1243476138915867,10,158,0,354.3692168018315,,355.8703746679239,,,,,,,,,,,,,,,,,,,,,,,,,,90376,2022-11-11_14h54.10.806,vts_reward_expectancy_bt_OFFLINE,2022.2.4,59.923432812272395,
0,0,1,0,0,1,0,0,hexagon,circle,0,0,0,0,1,11,23,7,,,,,,,,,,,,,,,,,,,,356.3709354798775,356.3709354798775,356.3709354798775,356.3709354798775,356.3709354798775,356.3709354798775,356.3709354798775,356.3709354798775,356.3709354798775,356.3709354798775,a,1.1103761999402195,10,168,0,357.5046827078331,359.0049655488692,359.0049655488692,359.5054691808764,,,,,,,,,,,,,,,,,,,,,,,,,90376,2022-11-11_14h54.10.806,vts_reward_expectancy_bt_OFFLINE,2022.2.4,59.923432812272395,
0,1,0,0,1,0,0,0,circle,triangle,0,0,0,0,2,0,24,3,,,,,,,,,,,,,,,,,,,,359.5054691808764,359.5054691808764,359.5054691808764,359.5054691808764,359.5054691808764,359.5054691808764,359.5054691808764,359.5054691808764,359.5054691808764,359.5054691808764,l,0.8344158648978919,1,169,0,360.35870497790165,361.85814100387506,361.85814100387506,362.35827401583083,,,,,,,,,,,,,,,,,,,,,,,,,90376,2022-11-11_14h54.10.806,vts_reward_expectancy_bt_OFFLINE,2022.2.4,59.923432812272395,
0,0,1,0,1,0,0,0,hexagon,triangle,0,0,0,0,2,1,25,6,,,,,,,,,,,,,,,,,,,,362.35827401583083,362.35827401583083,362.35827401583083,362.35827401583083,362.35827401583083,362.35827401583083,362.35827401583083,362.35827401583083,362.35827401583083,362.35827401583083,l,1.5930984348524362,1,170,0,363.9752645320259,,365.47788688889705,,,,,,,,,,,,,,,,,,,,,,,,,,90376,2022-11-11_14h54.10.806,vts_reward_expectancy_bt_OFFLINE,2022.2.4,59.923432812272395,
1,0,0,0,0,0,0,1,triangle,star,0,0,0,0,2,2,26,2,,,,,,,,,,,,,,,,,,,,365.9778878299985,365.9778878299985,365.9778878299985,365.9778878299985,365.9778878299985,365.9778878299985,365.9778878299985,365.9778878299985,365.9778878299985,365.9778878299985,a,0.9546954799443483,10,180,0,366.96331157395616,,368.47902275202796,,,,,,,,,,,,,,,,,,,,,,,,,,90376,2022-11-11_14h54.10.806,vts_reward_expectancy_bt_OFFLINE,2022.2.4,59.923432812272395,
0,0,1,0,0,0,0,1,hexagon,star,0,0,0,0,2,3,27,8,,,,,,,,,,,,,,,,,,,,368.9787799709011,368.9787799709011,368.9787799709011,368.9787799709011,368.9787799709011,368.9787799709011,368.9787799709011,368.9787799709011,368.9787799709011,368.9787799709011,l,1.3966785150114447,1,181,0,370.39912332990207,371.89864278188907,371.89864278188907,372.3988891309127,,,,,,,,,,,,,,,,,,,,,,,,,90376,2022-11-11_14h54.10.806,vts_reward_expectancy_bt_OFFLINE,2022.2.4,59.923432812272395,
0,0,0,1,0,1,0,0,star ,circle,0,0,0,0,2,4,28,10,,,,,,,,,,,,,,,,,,,,372.3988891309127,372.3988891309127,372.3988891309127,372.3988891309127,372.3988891309127,372.3988891309127,372.3988891309127,372.3988891309127,372.3988891309127,372.3988891309127,l,1.4528503948822618,10,191,0,373.88269118289463,,375.38512808294035,,,,,,,,,,,,,,,,,,,,,,,,,,90376,2022-11-11_14h54.10.806,vts_reward_expectancy_bt_OFFLINE,2022.2.4,59.923432812272395,
