LTriangleOpac,LCircleOpac,LHexagonOpac,LStarOpac,RTriangleOpac,RCircleOpac,RHexagonOpac,RStarOpac,LShape_ID,RShape_ID,training_blocks.thisRepN,training_blocks.thisTrialN,training_blocks.thisN,training_blocks.thisIndex,training.thisRepN,training.thisTrialN,training.thisN,training.thisIndex,key_resp.started,key_resp.keys,key_resp.rt,left_circle.started,right_circle.started,left_triangle.started,right_triangle.started,left_star.started,right_star.started,left_hexagon.started,right_hexagon.started,training_fix.started,training_resp.started,training_resp.keys,training_resp.rt,points_trial,points_cumul,trainBlock,training_feedback_txt.started,training_feedback_txt.stopped,fix.started,fix.stopped,participant,date,expName,psychopyVersion,frameRate,
0,0,1,0,1,0,0,0,hexagon,triangle,0,0,0,0,0,11,11,6,,,,98.26451461901888,98.26451461901888,98.26451461901888,98.26451461901888,98.26451461901888,98.26451461901888,98.26451461901888,98.26451461901888,98.26451461901888,98.26451461901888,l,1.8925128580303863,10,66,0,100.18305580492597,,101.68499493401032,,17658,2022-12-01_14h05.39.560,vts_reward_expectancy_bt_OFFLINE,2022.2.4,59.837240199536105,
0,1,0,0,1,0,0,0,circle,triangle,0,0,0,0,1,0,12,3,,,,102.1857009989908,102.1857009989908,102.1857009989908,102.1857009989908,102.1857009989908,102.1857009989908,102.1857009989908,102.1857009989908,102.1857009989908,102.1857009989908,l,1.7527100979350507,1,67,0,103.97098342492245,,105.47242728399578,,17658,2022-12-01_14h05.39.560,vts_reward_expectancy_bt_OFFLINE,2022.2.4,59.837240199536105,
1,0,0,0,0,0,0,1,triangle,star,0,0,0,0,1,1,13,2,,,,105.97307782492135,105.97307782492135,105.97307782492135,105.97307782492135,105.97307782492135,105.97307782492135,105.97307782492135,105.97307782492135,105.97307782492135,105.97307782492135,a,1.6980641289846972,10,77,0,107.69180911500007,,109.19320910994429,,17658,2022-12-01_14h05.39.560,vts_reward_expectancy_bt_OFFLINE,2022.2.4,59.837240199536105,
0,0,0,1,1,0,0,0,star,triangle,0,0,0,0,1,2,14,9,,,,109.69383025402203,109.69383025402203,109.69383025402203,109.69383025402203,109.69383025402203,109.69383025402203,109.69383025402203,109.69383025402203,109.69383025402203,109.69383025402203,l,1.5207668410148472,1,78,0,111.24569087696727,112.74720226891804,112.74720226891804,,17658,2022-12-01_14h05.39.560,vts_reward_expectancy_bt_OFFLINE,2022.2.4,59.837240199536105,
1,0,0,0,0,1,0,0,triangle,circle,0,0,0,0,1,3,15,0,,,,113.24781922693364,113.24781922693364,113.24781922693364,113.24781922693364,113.24781922693364,113.24781922693364,113.24781922693364,113.24781922693364,113.24781922693364,113.24781922693364,l,1.726047066040337,1,79,0,114.99962016497739,,116.50130190397613,,17658,2022-12-01_14h05.39.560,vts_reward_expectancy_bt_OFFLINE,2022.2.4,59.837240199536105,
0,1,0,0,0,0,1,0,circle,hexagon,0,0,0,0,1,4,16,4,,,,117.00203975697514,117.00203975697514,117.00203975697514,117.00203975697514,117.00203975697514,117.00203975697514,117.00203975697514,117.00203975697514,117.00203975697514,117.00203975697514,a,1.4591571560595185,1,80,0,118.4868576870067,,119.98850957397372,,17658,2022-12-01_14h05.39.560,vts_reward_expectancy_bt_OFFLINE,2022.2.4,59.837240199536105,
0,0,0,1,0,1,0,0,star ,circle,0,0,0,0,1,5,17,10,,,,120.48905461095273,120.48905461095273,120.48905461095273,120.48905461095273,120.48905461095273,120.48905461095273,120.48905461095273,120.48905461095273,120.48905461095273,120.48905461095273,a,0.9993626390350983,1,81,0,121.50683669396676,,123.00840203592088,,17658,2022-12-01_14h05.39.560,vts_reward_expectancy_bt_OFFLINE,2022.2.4,59.837240199536105,
0,0,1,0,1,0,0,0,hexagon,triangle,0,0,0,0,1,6,18,6,,,,123.50901591498405,123.50901591498405,123.50901591498405,123.50901591498405,123.50901591498405,123.50901591498405,123.50901591498405,123.50901591498405,123.50901591498405,123.50901591498405,l,0.8021986189996824,10,91,0,124.34321364492644,,125.84503501898143,,17658,2022-12-01_14h05.39.560,vts_reward_expectancy_bt_OFFLINE,2022.2.4,59.837240199536105,
0,0,1,0,0,1,0,0,hexagon,circle,0,0,0,0,1,7,19,7,,,,126.34544597100466,126.34544597100466,126.34544597100466,126.34544597100466,126.34544597100466,126.34544597100466,126.34544597100466,126.34544597100466,126.34544597100466,126.34544597100466,l,1.2740503289969638,1,92,0,127.64688909996767,,129.1487371099647,,17658,2022-12-01_14h05.39.560,vts_reward_expectancy_bt_OFFLINE,2022.2.4,59.837240199536105,
0,1,0,0,0,0,0,1,circle,star,0,0,0,0,1,8,20,5,,,,129.64905375696253,129.64905375696253,129.64905375696253,129.64905375696253,129.64905375696253,129.64905375696253,129.64905375696253,129.64905375696253,129.64905375696253,129.64905375696253,l,0.6818498040083796,10,102,0,130.35007327096537,,131.85149814595934,,17658,2022-12-01_14h05.39.560,vts_reward_expectancy_bt_OFFLINE,2022.2.4,59.837240199536105,
