LTriangleOpac,LCircleOpac,LHexagonOpac,LStarOpac,RTriangleOpac,RCircleOpac,RHexagonOpac,RStarOpac,LShape_ID,RShape_ID,training_blocks.thisRepN,training_blocks.thisTrialN,training_blocks.thisN,training_blocks.thisIndex,training.thisRepN,training.thisTrialN,training.thisN,training.thisIndex,task1_prac_redo.thisRepN,task1_prac_redo.thisTrialN,task1_prac_redo.thisN,task1_prac_redo.thisIndex,key_resp.started,key_resp.keys,key_resp.rt,left_circle.started,right_circle.started,left_triangle.started,right_triangle.started,left_star.started,right_star.started,left_hexagon.started,right_hexagon.started,training_fix.started,training_resp.started,training_resp.keys,training_resp.rt,points_trial,points_cumul,trainBlock,training_feedback_txt.started,fix.started,training_feedback_txt.stopped,fix.stopped,participant,date,expName,psychopyVersion,frameRate,
0,1,0,0,1,0,0,0,circle,triangle,0,0,0,0,0,9,9,3,,,,,,,,666.2363666940073,666.2363666940073,666.2363666940073,666.2363666940073,666.2363666940073,666.2363666940073,666.2363666940073,666.2363666940073,666.2363666940073,666.2363666940073,a,0.6405137020046823,10,73,0,666.9036575240025,668.4055007790012,,,40673,2022-10-26_14h41.08.712,vts_reward_expectancy_bt_OFFLINE,2022.2.4,60.10340526239601,
0,0,1,0,1,0,0,0,hexagon,triangle,0,0,0,0,0,10,10,6,,,,,,,,668.9060673180065,668.9060673180065,668.9060673180065,668.9060673180065,668.9060673180065,668.9060673180065,668.9060673180065,668.9060673180065,668.9060673180065,668.9060673180065,a,1.0349094220000552,10,83,0,669.9740141899965,671.4754047800088,,,40673,2022-10-26_14h41.08.712,vts_reward_expectancy_bt_OFFLINE,2022.2.4,60.10340526239601,
0,1,0,0,0,0,0,1,circle,star,0,0,0,0,0,11,11,5,,,,,,,,671.9760414900084,671.9760414900084,671.9760414900084,671.9760414900084,671.9760414900084,671.9760414900084,671.9760414900084,671.9760414900084,671.9760414900084,671.9760414900084,a,1.3950947400007863,10,93,0,673.3943055470008,674.8961459340062,,,40673,2022-10-26_14h41.08.712,vts_reward_expectancy_bt_OFFLINE,2022.2.4,60.10340526239601,
0,0,0,1,0,1,0,0,star ,circle,0,0,0,0,1,0,12,10,,,,,,,,675.3964892020012,675.3964892020012,675.3964892020012,675.3964892020012,675.3964892020012,675.3964892020012,675.3964892020012,675.3964892020012,675.3964892020012,675.3964892020012,l,0.6159762919996865,10,103,0,676.0305616080004,677.532159594004,,,40673,2022-10-26_14h41.08.712,vts_reward_expectancy_bt_OFFLINE,2022.2.4,60.10340526239601,
0,0,0,1,1,0,0,0,star,triangle,0,0,0,0,1,1,13,9,,,,,,,,678.0330036480009,678.0330036480009,678.0330036480009,678.0330036480009,678.0330036480009,678.0330036480009,678.0330036480009,678.0330036480009,678.0330036480009,678.0330036480009,a,0.6589773739979137,10,113,0,678.7167906329996,680.2183402990049,,,40673,2022-10-26_14h41.08.712,vts_reward_expectancy_bt_OFFLINE,2022.2.4,60.10340526239601,
0,1,0,0,1,0,0,0,circle,triangle,0,0,0,0,1,2,14,3,,,,,,,,680.7191763370065,680.7191763370065,680.7191763370065,680.7191763370065,680.7191763370065,680.7191763370065,680.7191763370065,680.7191763370065,680.7191763370065,680.7191763370065,a,0.4850134779990185,10,123,0,681.2361694370047,682.7380704640091,,,40673,2022-10-26_14h41.08.712,vts_reward_expectancy_bt_OFFLINE,2022.2.4,60.10340526239601,
0,1,0,0,0,0,0,1,circle,star,0,0,0,0,1,3,15,5,,,,,,,,683.2385765289946,683.2385765289946,683.2385765289946,683.2385765289946,683.2385765289946,683.2385765289946,683.2385765289946,683.2385765289946,683.2385765289946,683.2385765289946,a,0.46859407098963857,10,133,0,683.7388605320011,685.2405398889969,,,40673,2022-10-26_14h41.08.712,vts_reward_expectancy_bt_OFFLINE,2022.2.4,60.10340526239601,
0,0,1,0,0,0,0,1,hexagon,star,0,0,0,0,1,4,16,8,,,,,,,,685.7413868919975,685.7413868919975,685.7413868919975,685.7413868919975,685.7413868919975,685.7413868919975,685.7413868919975,685.7413868919975,685.7413868919975,685.7413868919975,l,1.061712169990642,10,143,0,686.8256581339956,688.3273533620086,,,40673,2022-10-26_14h41.08.712,vts_reward_expectancy_bt_OFFLINE,2022.2.4,60.10340526239601,
1,0,0,0,0,0,0,1,triangle,star,0,0,0,0,1,5,17,2,,,,,,,,688.8280435519991,688.8280435519991,688.8280435519991,688.8280435519991,688.8280435519991,688.8280435519991,688.8280435519991,688.8280435519991,688.8280435519991,688.8280435519991,l,0.801289920011186,10,153,0,689.6620967430063,691.1639821069984,,,40673,2022-10-26_14h41.08.712,vts_reward_expectancy_bt_OFFLINE,2022.2.4,60.10340526239601,
0,1,0,0,0,0,1,0,circle,hexagon,0,0,0,0,1,6,18,4,,,,,,,,691.6645130389952,691.6645130389952,691.6645130389952,691.6645130389952,691.6645130389952,691.6645130389952,691.6645130389952,691.6645130389952,691.6645130389952,691.6645130389952,a,0.4909219950059196,10,163,0,692.181533007999,693.6833279330021,,,40673,2022-10-26_14h41.08.712,vts_reward_expectancy_bt_OFFLINE,2022.2.4,60.10340526239601,
