LTriangleOpac,LCircleOpac,LHexagonOpac,LStarOpac,RTriangleOpac,RCircleOpac,RHexagonOpac,RStarOpac,LShape_ID,RShape_ID,training_blocks.thisRepN,training_blocks.thisTrialN,training_blocks.thisN,training_blocks.thisIndex,training.thisRepN,training.thisTrialN,training.thisN,training.thisIndex,task1_prac_redo.thisRepN,task1_prac_redo.thisTrialN,task1_prac_redo.thisN,task1_prac_redo.thisIndex,task1_prac_trials.thisRepN,task1_prac_trials.thisTrialN,task1_prac_trials.thisN,task1_prac_trials.thisIndex,key_resp.started,key_resp.keys,key_resp.rt,left_circle.started,right_circle.started,left_triangle.started,right_triangle.started,left_star.started,right_star.started,left_hexagon.started,right_hexagon.started,training_fix.started,training_resp.started,training_resp.keys,training_resp.rt,points_trial,points_cumul,trainBlock,training_feedback_txt.started,training_feedback_txt.stopped,fix.started,fix.stopped,curr_topStim,curr_bottStim,curr_shape,ISI.started,tgt_fix_prac1.started,top_target_prac1.started,bott_target_prac1.started,target_resp_prac1.started,top_target_prac1.stopped,tgt_fix_prac1.stopped,bott_target_prac1.stopped,target_resp_prac1.stopped,acc,E1,target_resp_prac1.keys,pracBlock,prac_fback_text.started,prac_fback_text.stopped,target_resp_prac1.rt,participant,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,,,,,,,,,,385.91779097518884,space,18.76176110212691,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22483,2022-11-08_08h01.33.672,vts_reward_expectancy_bt_OFFLINE,2022.2.4,59.976697863035355,
0,0,0,1,0,0,1,0,star,hexagon,0,0,0,0,2,0,24,11,,,,,,,,,,,,518.3626127990428,518.3626127990428,518.3626127990428,518.3626127990428,518.3626127990428,518.3626127990428,518.3626127990428,518.3626127990428,518.3626127990428,518.3626127990428,a,2.020561106968671,1,178,0,520.4147217890713,,521.9165589241311,,,,,,,,,,,,,,,,,,,,,22483,2022-11-08_08h01.33.672,vts_reward_expectancy_bt_OFFLINE,2022.2.4,59.976697863035355,
1,0,0,0,0,0,1,0,triangle,hexagon,0,0,0,0,2,1,25,1,,,,,,,,,,,,522.4168763530906,522.4168763530906,522.4168763530906,522.4168763530906,522.4168763530906,522.4168763530906,522.4168763530906,522.4168763530906,522.4168763530906,522.4168763530906,l,1.89327894593589,10,188,0,524.3358565960079,,525.8375489490572,,,,,,,,,,,,,,,,,,,,,22483,2022-11-08_08h01.33.672,vts_reward_expectancy_bt_OFFLINE,2022.2.4,59.976697863035355,
0,1,0,0,0,0,0,1,circle,star,0,0,0,0,2,2,26,5,,,,,,,,,,,,526.3381335150916,526.3381335150916,526.3381335150916,526.3381335150916,526.3381335150916,526.3381335150916,526.3381335150916,526.3381335150916,526.3381335150916,526.3381335150916,l,0.7615963669959456,1,189,0,527.1221736141015,528.6237843851559,528.6237843851559,,,,,,,,,,,,,,,,,,,,,22483,2022-11-08_08h01.33.672,vts_reward_expectancy_bt_OFFLINE,2022.2.4,59.976697863035355,
0,0,1,0,0,1,0,0,hexagon,circle,0,0,0,0,2,3,27,7,,,,,,,,,,,,529.124234543182,529.124234543182,529.124234543182,529.124234543182,529.124234543182,529.124234543182,529.124234543182,529.124234543182,529.124234543182,529.124234543182,a,0.754056422971189,10,199,0,529.9085829681717,,531.4102971160319,,,,,,,,,,,,,,,,,,,,,22483,2022-11-08_08h01.33.672,vts_reward_expectancy_bt_OFFLINE,2022.2.4,59.976697863035355,
0,0,1,0,1,0,0,0,hexagon,triangle,0,0,0,0,2,4,28,6,,,,,,,,,,,,531.9106861401815,531.9106861401815,531.9106861401815,531.9106861401815,531.9106861401815,531.9106861401815,531.9106861401815,531.9106861401815,531.9106861401815,531.9106861401815,a,1.8276785400230438,10,209,0,533.76276328112,535.2645800251048,535.2645800251048,,,,,,,,,,,,,,,,,,,,,22483,2022-11-08_08h01.33.672,vts_reward_expectancy_bt_OFFLINE,2022.2.4,59.976697863035355,
0,0,1,0,0,0,0,1,hexagon,star,0,0,0,0,2,5,29,8,,,,,,,,,,,,535.7651816850994,535.7651816850994,535.7651816850994,535.7651816850994,535.7651816850994,535.7651816850994,535.7651816850994,535.7651816850994,535.7651816850994,535.7651816850994,a,1.6862336699850857,10,219,0,537.4837453311775,,538.9852687180974,,,,,,,,,,,,,,,,,,,,,22483,2022-11-08_08h01.33.672,vts_reward_expectancy_bt_OFFLINE,2022.2.4,59.976697863035355,
1,0,0,0,0,0,0,1,triangle,star,0,0,0,0,2,6,30,2,,,,,,,,,,,,539.4856885210611,539.4856885210611,539.4856885210611,539.4856885210611,539.4856885210611,539.4856885210611,539.4856885210611,539.4856885210611,539.4856885210611,539.4856885210611,a,2.510982220992446,10,229,0,542.0219419300556,,543.5235472091008,,,,,,,,,,,,,,,,,,,,,22483,2022-11-08_08h01.33.672,vts_reward_expectancy_bt_OFFLINE,2022.2.4,59.976697863035355,
0,0,0,1,0,1,0,0,star ,circle,0,0,0,0,2,7,31,10,,,,,,,,,,,,544.0241391891614,544.0241391891614,544.0241391891614,544.0241391891614,544.0241391891614,544.0241391891614,544.0241391891614,544.0241391891614,544.0241391891614,544.0241391891614,l,0.6038926029577851,10,239,0,544.6583496651147,,546.1598050810862,,,,,,,,,,,,,,,,,,,,,22483,2022-11-08_08h01.33.672,vts_reward_expectancy_bt_OFFLINE,2022.2.4,59.976697863035355,
0,1,0,0,1,0,0,0,circle,triangle,0,0,0,0,2,8,32,3,,,,,,,,,,,,546.6604595191311,546.6604595191311,546.6604595191311,546.6604595191311,546.6604595191311,546.6604595191311,546.6604595191311,546.6604595191311,546.6604595191311,546.6604595191311,l,1.0403190238866955,10,249,0,547.7281663750764,,549.2299481441732,,,,,,,,,,,,,,,,,,,,,22483,2022-11-08_08h01.33.672,vts_reward_expectancy_bt_OFFLINE,2022.2.4,59.976697863035355,
0,1,0,0,0,0,1,0,circle,hexagon,0,0,0,0,2,9,33,4,,,,,,,,,,,,549.7305621730629,549.7305621730629,549.7305621730629,549.7305621730629,549.7305621730629,549.7305621730629,549.7305621730629,549.7305621730629,549.7305621730629,549.7305621730629,l,1.1423511519096792,10,259,0,550.8984158129897,,552.4002261802088,,,,,,,,,,,,,,,,,,,,,22483,2022-11-08_08h01.33.672,vts_reward_expectancy_bt_OFFLINE,2022.2.4,59.976697863035355,
