LTriangleOpac,LCircleOpac,LHexagonOpac,LStarOpac,RTriangleOpac,RCircleOpac,RHexagonOpac,RStarOpac,LShape_ID,RShape_ID,training_blocks.thisRepN,training_blocks.thisTrialN,training_blocks.thisN,training_blocks.thisIndex,training.thisRepN,training.thisTrialN,training.thisN,training.thisIndex,key_resp.started,key_resp.keys,key_resp.rt,left_circle.started,right_circle.started,left_triangle.started,right_triangle.started,left_star.started,right_star.started,left_hexagon.started,right_hexagon.started,training_fix.started,training_resp.started,training_resp.keys,training_resp.rt,points_trial,points_cumul,trainBlock,training_feedback_txt.started,fix.started,training_feedback_txt.stopped,fix.stopped,participant,date,expName,psychopyVersion,frameRate,
0,0,0,1,0,0,1,0,star,hexagon,0,0,0,0,1,8,20,11,,,,78.93842415200197,78.93842415200197,78.93842415200197,78.93842415200197,78.93842415200197,78.93842415200197,78.93842415200197,78.93842415200197,78.93842415200197,78.93842415200197,a,0.4267151950043626,10,84,0,79.38853390401346,80.89023810799699,,,25726,2022-11-29_14h07.46.306,vts_reward_expectancy_bt_OFFLINE,2022.2.4,59.946027953898465,
1,0,0,0,0,1,0,0,triangle,circle,0,0,0,0,1,9,21,0,,,,81.39087269999436,81.39087269999436,81.39087269999436,81.39087269999436,81.39087269999436,81.39087269999436,81.39087269999436,81.39087269999436,81.39087269999436,81.39087269999436,l,0.8421205090126023,1,85,0,82.25833921000594,83.76002168201376,,,25726,2022-11-29_14h07.46.306,vts_reward_expectancy_bt_OFFLINE,2022.2.4,59.946027953898465,
0,0,1,0,0,1,0,0,hexagon,circle,0,0,0,0,1,10,22,7,,,,84.26084932801314,84.26084932801314,84.26084932801314,84.26084932801314,84.26084932801314,84.26084932801314,84.26084932801314,84.26084932801314,84.26084932801314,84.26084932801314,a,0.7065390670031775,1,86,0,84.99479115899885,86.49633509200066,,,25726,2022-11-29_14h07.46.306,vts_reward_expectancy_bt_OFFLINE,2022.2.4,59.946027953898465,
0,0,1,0,1,0,0,0,hexagon,triangle,0,0,0,0,1,11,23,6,,,,86.99702559801517,86.99702559801517,86.99702559801517,86.99702559801517,86.99702559801517,86.99702559801517,86.99702559801517,86.99702559801517,86.99702559801517,86.99702559801517,l,1.1658543959783856,10,96,0,88.1815704460023,89.68344676599372,,,25726,2022-11-29_14h07.46.306,vts_reward_expectancy_bt_OFFLINE,2022.2.4,59.946027953898465,
0,1,0,0,0,0,0,1,circle,star,0,0,0,0,2,0,24,5,,,,90.1838250530127,90.1838250530127,90.1838250530127,90.1838250530127,90.1838250530127,90.1838250530127,90.1838250530127,90.1838250530127,90.1838250530127,90.1838250530127,l,0.8927607569785323,1,97,0,91.10159520799061,92.60332777400617,,,25726,2022-11-29_14h07.46.306,vts_reward_expectancy_bt_OFFLINE,2022.2.4,59.946027953898465,
0,0,0,1,1,0,0,0,star,triangle,0,0,0,0,2,1,25,9,,,,93.10368045899668,93.10368045899668,93.10368045899668,93.10368045899668,93.10368045899668,93.10368045899668,93.10368045899668,93.10368045899668,93.10368045899668,93.10368045899668,a,0.7734946369891986,10,107,0,93.90469420500449,95.40623739699367,,,25726,2022-11-29_14h07.46.306,vts_reward_expectancy_bt_OFFLINE,2022.2.4,59.946027953898465,
0,0,1,0,0,1,0,0,hexagon,circle,0,0,0,0,2,2,26,7,,,,95.90702465799404,95.90702465799404,95.90702465799404,95.90702465799404,95.90702465799404,95.90702465799404,95.90702465799404,95.90702465799404,95.90702465799404,95.90702465799404,a,0.35637340098037384,10,117,0,96.29072772100335,97.79219104201184,,,25726,2022-11-29_14h07.46.306,vts_reward_expectancy_bt_OFFLINE,2022.2.4,59.946027953898465,
0,0,0,1,0,0,1,0,star,hexagon,0,0,0,0,2,3,27,11,,,,98.29280586101231,98.29280586101231,98.29280586101231,98.29280586101231,98.29280586101231,98.29280586101231,98.29280586101231,98.29280586101231,98.29280586101231,98.29280586101231,a,1.3561314149701502,1,118,0,99.67788755899528,101.17945365799824,,,25726,2022-11-29_14h07.46.306,vts_reward_expectancy_bt_OFFLINE,2022.2.4,59.946027953898465,
1,0,0,0,0,1,0,0,triangle,circle,0,0,0,0,2,4,28,0,,,,101.67983373699826,101.67983373699826,101.67983373699826,101.67983373699826,101.67983373699826,101.67983373699826,101.67983373699826,101.67983373699826,101.67983373699826,101.67983373699826,l,1.850300892983796,10,128,0,103.54866395899444,105.05017852599849,105.05017852599849,,25726,2022-11-29_14h07.46.306,vts_reward_expectancy_bt_OFFLINE,2022.2.4,59.946027953898465,
0,0,1,0,1,0,0,0,hexagon,triangle,0,0,0,0,2,5,29,6,,,,105.55101516199647,105.55101516199647,105.55101516199647,105.55101516199647,105.55101516199647,105.55101516199647,105.55101516199647,105.55101516199647,105.55101516199647,105.55101516199647,a,0.7018623430049047,10,138,0,106.28520296799252,107.78672787500545,,,25726,2022-11-29_14h07.46.306,vts_reward_expectancy_bt_OFFLINE,2022.2.4,59.946027953898465,
