LTriangleOpac,LCircleOpac,LHexagonOpac,LStarOpac,RTriangleOpac,RCircleOpac,RHexagonOpac,RStarOpac,LShape_ID,RShape_ID,training_blocks.thisRepN,training_blocks.thisTrialN,training_blocks.thisN,training_blocks.thisIndex,training.thisRepN,training.thisTrialN,training.thisN,training.thisIndex,task1_prac_redo.thisRepN,task1_prac_redo.thisTrialN,task1_prac_redo.thisN,task1_prac_redo.thisIndex,key_resp.started,key_resp.keys,key_resp.rt,left_circle.started,right_circle.started,left_triangle.started,right_triangle.started,left_star.started,right_star.started,left_hexagon.started,right_hexagon.started,training_fix.started,training_resp.started,training_resp.keys,training_resp.rt,points_trial,points_cumul,trainBlock,training_feedback_txt.started,fix.started,training_feedback_txt.stopped,participant,date,expName,psychopyVersion,frameRate,
0,0,1,0,0,0,0,1,hexagon,star,0,0,0,0,2,11,35,8,,,,,,,,710.102360154,710.102360154,710.102360154,710.102360154,710.102360154,710.102360154,710.102360154,710.102360154,710.102360154,710.102360154,l,1.2708068740012095,10,161,0,711.4038324189987,712.9055662739993,,37688,2022-10-25_10h15.41.314,vts_reward_expectancy_bt_OFFLINE,2022.2.4,59.97729967155138,
0,0,0,1,1,0,0,0,star,triangle,0,0,0,0,3,0,36,9,,,,,,,,713.4062904879993,713.4062904879993,713.4062904879993,713.4062904879993,713.4062904879993,713.4062904879993,713.4062904879993,713.4062904879993,713.4062904879993,713.4062904879993,a,2.0867515900008584,10,171,0,715.525408214,717.0268209490005,,37688,2022-10-25_10h15.41.314,vts_reward_expectancy_bt_OFFLINE,2022.2.4,59.97729967155138,
0,1,0,0,1,0,0,0,circle,triangle,0,0,0,0,3,1,37,3,,,,,,,,717.5274021179994,717.5274021179994,717.5274021179994,717.5274021179994,717.5274021179994,717.5274021179994,717.5274021179994,717.5274021179994,717.5274021179994,717.5274021179994,l,1.12539095899956,1,172,0,718.6786868069994,720.180229829999,,37688,2022-10-25_10h15.41.314,vts_reward_expectancy_bt_OFFLINE,2022.2.4,59.97729967155138,
1,0,0,0,0,1,0,0,triangle,circle,0,0,0,0,3,2,38,0,,,,,,,,720.6806304399997,720.6806304399997,720.6806304399997,720.6806304399997,720.6806304399997,720.6806304399997,720.6806304399997,720.6806304399997,720.6806304399997,720.6806304399997,l,1.4442067990003125,1,173,0,722.1489991849994,723.6508538969993,,37688,2022-10-25_10h15.41.314,vts_reward_expectancy_bt_OFFLINE,2022.2.4,59.97729967155138,
1,0,0,0,0,0,0,1,triangle,star,0,0,0,0,3,3,39,2,,,,,,,,724.1514762440002,724.1514762440002,724.1514762440002,724.1514762440002,724.1514762440002,724.1514762440002,724.1514762440002,724.1514762440002,724.1514762440002,724.1514762440002,a,1.0620014440009982,10,183,0,725.2357789670004,726.7376401820002,,37688,2022-10-25_10h15.41.314,vts_reward_expectancy_bt_OFFLINE,2022.2.4,59.97729967155138,
0,0,0,1,0,0,1,0,star,hexagon,0,0,0,0,3,4,40,11,,,,,,,,727.2381939240004,727.2381939240004,727.2381939240004,727.2381939240004,727.2381939240004,727.2381939240004,727.2381939240004,727.2381939240004,727.2381939240004,727.2381939240004,a,2.447699742000623,1,184,0,729.7078588189997,731.2092207149999,,37688,2022-10-25_10h15.41.314,vts_reward_expectancy_bt_OFFLINE,2022.2.4,59.97729967155138,
0,0,1,0,1,0,0,0,hexagon,triangle,0,0,0,0,3,5,41,6,,,,,,,,731.7099647769992,731.7099647769992,731.7099647769992,731.7099647769992,731.7099647769992,731.7099647769992,731.7099647769992,731.7099647769992,731.7099647769992,731.7099647769992,a,0.9923475730010978,10,194,0,732.7275864929998,734.2291913779991,,37688,2022-10-25_10h15.41.314,vts_reward_expectancy_bt_OFFLINE,2022.2.4,59.97729967155138,
0,0,0,1,0,1,0,0,star ,circle,0,0,0,0,3,6,42,10,,,,,,,,734.7297543589993,734.7297543589993,734.7297543589993,734.7297543589993,734.7297543589993,734.7297543589993,734.7297543589993,734.7297543589993,734.7297543589993,734.7297543589993,l,0.771406936000858,1,195,0,735.5306040340001,737.0324390349997,,37688,2022-10-25_10h15.41.314,vts_reward_expectancy_bt_OFFLINE,2022.2.4,59.97729967155138,
0,1,0,0,0,0,0,1,circle,star,0,0,0,0,3,7,43,5,,,,,,,,737.5329106049994,737.5329106049994,737.5329106049994,737.5329106049994,737.5329106049994,737.5329106049994,737.5329106049994,737.5329106049994,737.5329106049994,737.5329106049994,l,0.4249862899996515,10,205,0,737.9835101230001,739.4851987339989,,37688,2022-10-25_10h15.41.314,vts_reward_expectancy_bt_OFFLINE,2022.2.4,59.97729967155138,
1,0,0,0,0,0,1,0,triangle,hexagon,0,0,0,0,3,8,44,1,,,,,,,,739.9857551599998,739.9857551599998,739.9857551599998,739.9857551599998,739.9857551599998,739.9857551599998,739.9857551599998,739.9857551599998,739.9857551599998,739.9857551599998,a,1.155025554000531,1,206,0,741.1704544490003,742.6717402499999,,37688,2022-10-25_10h15.41.314,vts_reward_expectancy_bt_OFFLINE,2022.2.4,59.97729967155138,
0,1,0,0,0,0,1,0,circle,hexagon,0,0,0,0,3,9,45,4,,,,,,,,743.1724170029993,743.1724170029993,743.1724170029993,743.1724170029993,743.1724170029993,743.1724170029993,743.1724170029993,743.1724170029993,743.1724170029993,743.1724170029993,l,2.5292683579991717,1,207,0,745.7252813470004,747.2268523989987,,37688,2022-10-25_10h15.41.314,vts_reward_expectancy_bt_OFFLINE,2022.2.4,59.97729967155138,
0,0,1,0,0,0,0,1,hexagon,star,0,0,0,0,3,10,46,8,,,,,,,,747.7275662119991,747.7275662119991,747.7275662119991,747.7275662119991,747.7275662119991,747.7275662119991,747.7275662119991,747.7275662119991,747.7275662119991,747.7275662119991,l,1.3580981450013496,10,217,0,749.1124883329994,750.6139613769992,,37688,2022-10-25_10h15.41.314,vts_reward_expectancy_bt_OFFLINE,2022.2.4,59.97729967155138,
0,0,1,0,0,1,0,0,hexagon,circle,0,0,0,0,3,11,47,7,,,,,,,,751.1146413789993,751.1146413789993,751.1146413789993,751.1146413789993,751.1146413789993,751.1146413789993,751.1146413789993,751.1146413789993,751.1146413789993,751.1146413789993,l,1.9786295869998867,1,218,0,753.116762009,754.6184670029998,,37688,2022-10-25_10h15.41.314,vts_reward_expectancy_bt_OFFLINE,2022.2.4,59.97729967155138,
1,0,0,0,0,0,1,0,triangle,hexagon,1,0,1,0,0,0,0,1,,,,,,,,768.7672243099987,768.7672243099987,768.7672243099987,768.7672243099987,768.7672243099987,768.7672243099987,768.7672243099987,768.7672243099987,768.7672243099987,768.7672243099987,a,3.0216512759998295,1,219,1,771.8207192689988,773.3220114799988,,37688,2022-10-25_10h15.41.314,vts_reward_expectancy_bt_OFFLINE,2022.2.4,59.97729967155138,
0,1,0,0,1,0,0,0,circle,triangle,1,0,1,0,0,1,1,3,,,,,,,,773.8229032130002,773.8229032130002,773.8229032130002,773.8229032130002,773.8229032130002,773.8229032130002,773.8229032130002,773.8229032130002,773.8229032130002,773.8229032130002,a,2.0299756229997,10,229,1,775.8751542379996,777.3769998939988,,37688,2022-10-25_10h15.41.314,vts_reward_expectancy_bt_OFFLINE,2022.2.4,59.97729967155138,
1,0,0,0,0,1,0,0,triangle,circle,1,0,1,0,0,2,2,0,,,,,,,,777.8772818369998,777.8772818369998,777.8772818369998,777.8772818369998,777.8772818369998,777.8772818369998,777.8772818369998,777.8772818369998,777.8772818369998,777.8772818369998,a,1.7198934440002631,10,239,1,779.6291893380003,781.1309843620002,,37688,2022-10-25_10h15.41.314,vts_reward_expectancy_bt_OFFLINE,2022.2.4,59.97729967155138,
