LTriangleOpac,LCircleOpac,LHexagonOpac,LStarOpac,RTriangleOpac,RCircleOpac,RHexagonOpac,RStarOpac,LShape_ID,RShape_ID,training_blocks.thisRepN,training_blocks.thisTrialN,training_blocks.thisN,training_blocks.thisIndex,training.thisRepN,training.thisTrialN,training.thisN,training.thisIndex,task1_prac_redo.thisRepN,task1_prac_redo.thisTrialN,task1_prac_redo.thisN,task1_prac_redo.thisIndex,task1_prac_trials.thisRepN,task1_prac_trials.thisTrialN,task1_prac_trials.thisN,task1_prac_trials.thisIndex,key_resp.started,key_resp.keys,key_resp.rt,left_circle.started,right_circle.started,left_triangle.started,right_triangle.started,left_star.started,right_star.started,left_hexagon.started,right_hexagon.started,training_fix.started,training_resp.started,training_resp.keys,training_resp.rt,points_trial,points_cumul,trainBlock,training_feedback_txt.started,training_feedback_txt.stopped,fix.started,fix.stopped,curr_topStim,curr_bottStim,curr_shape,ISI.started,tgt_fix_prac1.started,top_target_prac1.started,bott_target_prac1.started,target_resp_prac1.started,acc,E1,target_resp_prac1.keys,target_resp_prac1.rt,pracBlock,prac_fback_text.started,top_target_prac1.stopped,tgt_fix_prac1.stopped,bott_target_prac1.stopped,target_resp_prac1.stopped,prac_fback_text.stopped,participant,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,,,,,,,,,,311.1591957830824,space,17.258227292913944,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,85891,2022-11-11_15h01.07.648,vts_reward_expectancy_bt_OFFLINE,2022.2.4,60.74368475417396,
0,0,0,1,1,0,0,0,star,triangle,0,0,0,0,1,7,19,9,,,,,,,,,,,,422.2483056469355,422.2483056469355,422.2483056469355,422.2483056469355,422.2483056469355,422.2483056469355,422.2483056469355,422.2483056469355,422.2483056469355,422.2483056469355,l,1.3709552448708564,10,119,0,423.6499647120945,425.15151677210815,425.15151677210815,,,,,,,,,,,,,,,,,,,,,85891,2022-11-11_15h01.07.648,vts_reward_expectancy_bt_OFFLINE,2022.2.4,60.74368475417396,
1,0,0,0,0,0,0,1,triangle,star,0,0,0,0,1,8,20,2,,,,,,,,,,,,425.65197617397644,425.65197617397644,425.65197617397644,425.65197617397644,425.65197617397644,425.65197617397644,425.65197617397644,425.65197617397644,425.65197617397644,425.65197617397644,a,0.6245659708511084,10,129,0,426.302600444993,,427.8043373289984,,,,,,,,,,,,,,,,,,,,,85891,2022-11-11_15h01.07.648,vts_reward_expectancy_bt_OFFLINE,2022.2.4,60.74368475417396,
0,1,0,0,1,0,0,0,circle,triangle,0,0,0,0,1,9,21,3,,,,,,,,,,,,428.30501264799386,428.30501264799386,428.30501264799386,428.30501264799386,428.30501264799386,428.30501264799386,428.30501264799386,428.30501264799386,428.30501264799386,428.30501264799386,a,1.6716668498702347,10,139,0,430.00666642794386,,431.50853220000863,,,,,,,,,,,,,,,,,,,,,85891,2022-11-11_15h01.07.648,vts_reward_expectancy_bt_OFFLINE,2022.2.4,60.74368475417396,
0,1,0,0,0,0,0,1,circle,star,0,0,0,0,1,10,22,5,,,,,,,,,,,,432.0091715150047,432.0091715150047,432.0091715150047,432.0091715150047,432.0091715150047,432.0091715150047,432.0091715150047,432.0091715150047,432.0091715150047,432.0091715150047,a,0.5012531909160316,10,149,0,432.5430565881543,,434.0446677771397,,,,,,,,,,,,,,,,,,,,,85891,2022-11-11_15h01.07.648,vts_reward_expectancy_bt_OFFLINE,2022.2.4,60.74368475417396,
0,0,1,0,0,1,0,0,hexagon,circle,0,0,0,0,1,11,23,7,,,,,,,,,,,,434.54535747808404,434.54535747808404,434.54535747808404,434.54535747808404,434.54535747808404,434.54535747808404,434.54535747808404,434.54535747808404,434.54535747808404,434.54535747808404,l,0.5741259139031172,10,159,0,435.14574239915237,,436.64745021797717,,,,,,,,,,,,,,,,,,,,,85891,2022-11-11_15h01.07.648,vts_reward_expectancy_bt_OFFLINE,2022.2.4,60.74368475417396,
0,0,1,0,1,0,0,0,hexagon,triangle,0,0,0,0,2,0,24,6,,,,,,,,,,,,437.1480562130455,437.1480562130455,437.1480562130455,437.1480562130455,437.1480562130455,437.1480562130455,437.1480562130455,437.1480562130455,437.1480562130455,437.1480562130455,l,0.7034072037786245,10,169,0,437.8823964979965,,439.3840512020979,,,,,,,,,,,,,,,,,,,,,85891,2022-11-11_15h01.07.648,vts_reward_expectancy_bt_OFFLINE,2022.2.4,60.74368475417396,
0,1,0,0,0,0,1,0,circle,hexagon,0,0,0,0,2,1,25,4,,,,,,,,,,,,439.88425381295383,439.88425381295383,439.88425381295383,439.88425381295383,439.88425381295383,439.88425381295383,439.88425381295383,439.88425381295383,439.88425381295383,439.88425381295383,a,0.712541245855391,10,179,0,440.61844555893913,,442.1201503491029,,,,,,,,,,,,,,,,,,,,,85891,2022-11-11_15h01.07.648,vts_reward_expectancy_bt_OFFLINE,2022.2.4,60.74368475417396,
1,0,0,0,0,0,1,0,triangle,hexagon,0,0,0,0,2,2,26,1,,,,,,,,,,,,442.62059210194275,442.62059210194275,442.62059210194275,442.62059210194275,442.62059210194275,442.62059210194275,442.62059210194275,442.62059210194275,442.62059210194275,442.62059210194275,a,0.8019401677884161,10,189,0,443.4549948051572,,444.95675085205585,,,,,,,,,,,,,,,,,,,,,85891,2022-11-11_15h01.07.648,vts_reward_expectancy_bt_OFFLINE,2022.2.4,60.74368475417396,
0,0,0,1,0,0,1,0,star,hexagon,0,0,0,0,2,3,27,11,,,,,,,,,,,,445.45713570015505,445.45713570015505,445.45713570015505,445.45713570015505,445.45713570015505,445.45713570015505,445.45713570015505,445.45713570015505,445.45713570015505,445.45713570015505,l,2.643863716861233,1,190,0,448.12685787910596,,449.62832308211364,,,,,,,,,,,,,,,,,,,,,85891,2022-11-11_15h01.07.648,vts_reward_expectancy_bt_OFFLINE,2022.2.4,60.74368475417396,
0,1,0,0,1,0,0,0,circle,triangle,0,0,0,0,2,4,28,3,,,,,,,,,,,,450.1289525090251,450.1289525090251,450.1289525090251,450.1289525090251,450.1289525090251,450.1289525090251,450.1289525090251,450.1289525090251,450.1289525090251,450.1289525090251,a,0.5606932940427214,10,200,0,450.7129069331568,,452.2146185140591,,,,,,,,,,,,,,,,,,,,,85891,2022-11-11_15h01.07.648,vts_reward_expectancy_bt_OFFLINE,2022.2.4,60.74368475417396,
