participant,date,expName,psychopyVersion,OS,frameRate,browser,xResolution,yResolution,key_resp.keys,key_resp.rt,training_resp.keys,training_resp.rt,points_trial,points_cumul,trainBlock,training.thisRepN,training.thisTrialN,training.thisN,training.thisIndex,training.ran,LTriangleOpac,LCircleOpac,LHexagonOpac,LStarOpac,RTriangleOpac,RCircleOpac,RHexagonOpac,RStarOpac,LShape_ID,RShape_ID,curr_topStim,curr_bottStim,curr_shape,acc,E1,target_resp_prac1.keys,target_resp_prac1.rt,pracBlock,task1_prac_trials.thisRepN,task1_prac_trials.thisTrialN,task1_prac_trials.thisN,task1_prac_trials.thisIndex,task1_prac_trials.ran,target_resp_prac2.keys,task2_praac_trials.thisRepN,task2_praac_trials.thisTrialN,task2_praac_trials.thisN,task2_praac_trials.thisIndex,task2_praac_trials.ran,target_resp_prac2.rt,alt,task,condition,target_resp.keys,target_resp.rt,rewCond,vts_practice_trials.thisRepN,vts_practice_trials.thisTrialN,vts_practice_trials.thisN,vts_practice_trials.thisIndex,vts_practice_trials.ran,blockNum,trials_norew.thisRepN,trials_norew.thisTrialN,trials_norew.thisN,trials_norew.thisIndex,trials_norew.ran,key_resp_2.keys,key_resp_2.rt,rewExpect,trials_rew.thisRepN,trials_rew.thisTrialN,trials_rew.thisN,trials_rew.thisIndex,trials_rew.ran,Q1,Q2,Q2_text,Q3,Q4,Q5,Q5_text,xRes,yRes
297484,2022-09-25_15h40.03.818,vts_reward_expectancy,2022.2.4,Win32,59.96282305,Chrome,1280,720,,,l,0.9978,10,334,1,1,6,18,8,1,0,0,1,0,0,0,0,1,hexagon,star,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
297484,2022-09-25_15h40.03.818,vts_reward_expectancy,2022.2.4,Win32,59.96282305,Chrome,1280,720,,,a,1.1662,10,344,1,1,7,19,1,1,1,0,0,0,0,0,1,0,triangle,hexagon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
297484,2022-09-25_15h40.03.818,vts_reward_expectancy,2022.2.4,Win32,59.96282305,Chrome,1280,720,,,l,0.9345,10,354,1,1,8,20,6,1,0,0,1,0,1,0,0,0,hexagon,triangle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
297484,2022-09-25_15h40.03.818,vts_reward_expectancy,2022.2.4,Win32,59.96282305,Chrome,1280,720,,,a,0.6753,1,355,1,1,9,21,9,1,0,0,0,1,1,0,0,0,star,triangle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
297484,2022-09-25_15h40.03.818,vts_reward_expectancy,2022.2.4,Win32,59.96282305,Chrome,1280,720,,,l,1.1988,10,365,1,1,10,22,5,1,0,1,0,0,0,0,0,1,circle,star,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
297484,2022-09-25_15h40.03.818,vts_reward_expectancy,2022.2.4,Win32,59.96282305,Chrome,1280,720,,,l,1.3027,1,366,1,1,11,23,4,1,0,1,0,0,0,0,1,0,circle,hexagon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
297484,2022-09-25_15h40.03.818,vts_reward_expectancy,2022.2.4,Win32,59.96282305,Chrome,1280,720,,,a,1.1096,1,367,1,2,0,24,4,1,0,1,0,0,0,0,1,0,circle,hexagon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
297484,2022-09-25_15h40.03.818,vts_reward_expectancy,2022.2.4,Win32,59.96282305,Chrome,1280,720,,,a,1.0548,10,377,1,2,1,25,11,1,0,0,0,1,0,0,1,0,star,hexagon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
297484,2022-09-25_15h40.03.818,vts_reward_expectancy,2022.2.4,Win32,59.96282305,Chrome,1280,720,,,a,1.5339,1,378,1,2,2,26,9,1,0,0,0,1,1,0,0,0,star,triangle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
297484,2022-09-25_15h40.03.818,vts_reward_expectancy,2022.2.4,Win32,59.96282305,Chrome,1280,720,,,l,1.2823,10,388,1,2,3,27,7,1,0,0,1,0,0,1,0,0,hexagon,circle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
297484,2022-09-25_15h40.03.818,vts_reward_expectancy,2022.2.4,Win32,59.96282305,Chrome,1280,720,,,a,1.4722,10,398,1,2,4,28,6,1,0,0,1,0,1,0,0,0,hexagon,triangle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
297484,2022-09-25_15h40.03.818,vts_reward_expectancy,2022.2.4,Win32,59.96282305,Chrome,1280,720,,,l,0.815,10,408,1,2,5,29,2,1,1,0,0,0,0,0,0,1,triangle,star,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
297484,2022-09-25_15h40.03.818,vts_reward_expectancy,2022.2.4,Win32,59.96282305,Chrome,1280,720,,,l,1.1851,1,409,1,2,6,30,1,1,1,0,0,0,0,0,1,0,triangle,hexagon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
297484,2022-09-25_15h40.03.818,vts_reward_expectancy,2022.2.4,Win32,59.96282305,Chrome,1280,720,,,l,0.5176,10,419,1,2,7,31,8,1,0,0,1,0,0,0,0,1,hexagon,star,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
297484,2022-09-25_15h40.03.818,vts_reward_expectancy,2022.2.4,Win32,59.96282305,Chrome,1280,720,,,a,0.8397,1,420,1,2,8,32,0,1,1,0,0,0,0,1,0,0,triangle,circle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
297484,2022-09-25_15h40.03.818,vts_reward_expectancy,2022.2.4,Win32,59.96282305,Chrome,1280,720,,,a,1.3949,10,430,1,2,9,33,3,1,0,1,0,0,1,0,0,0,circle,triangle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
297484,2022-09-25_15h40.03.818,vts_reward_expectancy,2022.2.4,Win32,59.96282305,Chrome,1280,720,,,l,0.5544,10,440,1,2,10,34,5,1,0,1,0,0,0,0,0,1,circle,star,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
297484,2022-09-25_15h40.03.818,vts_reward_expectancy,2022.2.4,Win32,59.96282305,Chrome,1280,720,,,l,0.8339,1,441,1,2,11,35,10,1,0,0,0,1,0,1,0,0,star ,circle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
