participant,date,expName,psychopyVersion,OS,frameRate,browser,xResolution,yResolution,key_resp.keys,key_resp.rt,training_resp.keys,training_resp.rt,points_trial,points_cumul,trainBlock,training.thisRepN,training.thisTrialN,training.thisN,training.thisIndex,training.ran,LTriangleOpac,LCircleOpac,LHexagonOpac,LStarOpac,RTriangleOpac,RCircleOpac,RHexagonOpac,RStarOpac,LShape_ID,RShape_ID,curr_topStim,curr_bottStim,curr_shape,acc,E1,target_resp_prac1.keys,pracBlock,task1_prac_trials.thisRepN,task1_prac_trials.thisTrialN,task1_prac_trials.thisN,task1_prac_trials.thisIndex,task1_prac_trials.ran,target_resp_prac1.rt,target_resp_prac2.keys,target_resp_prac2.rt,task2_praac_trials.thisRepN,task2_praac_trials.thisTrialN,task2_praac_trials.thisN,task2_praac_trials.thisIndex,task2_praac_trials.ran,alt,task,condition,target_resp.keys,rewCond,vts_practice_trials.thisRepN,vts_practice_trials.thisTrialN,vts_practice_trials.thisN,vts_practice_trials.thisIndex,vts_practice_trials.ran,target_resp.rt,blockNum,trials_norew.thisRepN,trials_norew.thisTrialN,trials_norew.thisN,trials_norew.thisIndex,trials_norew.ran,key_resp_2.keys,key_resp_2.rt,rewExpect,trials_rew.thisRepN,trials_rew.thisTrialN,trials_rew.thisN,trials_rew.thisIndex,trials_rew.ran,Q1,Q2_text,Q5_text,xRes,yRes
293053,2022-10-05_19h48.49.254,vts_reward_expectancy,2022.2.4,Win32,168.2368775,Chrome,1536,864,,,,,,,,,,,,,,,,,,,,,,,F,174,star,0,0,,0,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
293053,2022-10-05_19h48.49.254,vts_reward_expectancy,2022.2.4,Win32,168.2368775,Chrome,1536,864,,,,,,,,,,,,,,,,,,,,,,,W,160,triangle,0,1,,0,1,0,1,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
293053,2022-10-05_19h48.49.254,vts_reward_expectancy,2022.2.4,Win32,168.2368775,Chrome,1536,864,,,,,,,,,,,,,,,,,,,,,,,U,132,circle,1,1,f,0,2,0,2,0,1,1.5271,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
293053,2022-10-05_19h48.49.254,vts_reward_expectancy,2022.2.4,Win32,168.2368775,Chrome,1536,864,,,,,,,,,,,,,,,,,,,,,,,H,146,hexagon,0,0,f,0,3,0,3,0,1,1.2245,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
293053,2022-10-05_19h48.49.254,vts_reward_expectancy,2022.2.4,Win32,168.2368775,Chrome,1536,864,,,,,,,,,,,,,,,,,,,,,,,D,125,star,0,1,,0,4,0,4,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
293053,2022-10-05_19h48.49.254,vts_reward_expectancy,2022.2.4,Win32,168.2368775,Chrome,1536,864,,,,,,,,,,,,,,,,,,,,,,,Y,139,triangle,1,1,f,0,5,0,5,0,1,1.2848,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
293053,2022-10-05_19h48.49.254,vts_reward_expectancy,2022.2.4,Win32,168.2368775,Chrome,1536,864,,,,,,,,,,,,,,,,,,,,,,,S,181,circle,0,0,d,0,6,0,6,0,1,0.5765,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
293053,2022-10-05_19h48.49.254,vts_reward_expectancy,2022.2.4,Win32,168.2368775,Chrome,1536,864,,,,,,,,,,,,,,,,,,,,,,,B,167,hexagon,0,1,f,0,7,0,7,0,1,2.0251,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
293053,2022-10-05_19h48.49.254,vts_reward_expectancy,2022.2.4,Win32,168.2368775,Chrome,1536,864,,,,,,,,,,,,,,,,,,,,,,,F,174,star,0,1,f,0,8,0,8,0,1,1.3665,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
293053,2022-10-05_19h48.49.254,vts_reward_expectancy,2022.2.4,Win32,168.2368775,Chrome,1536,864,,,,,,,,,,,,,,,,,,,,,,,W,160,circle,1,1,f,0,9,0,9,0,1,1.1423,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
