participant,date,expName,psychopyVersion,OS,frameRate,browser,xResolution,yResolution,key_resp.keys,key_resp.rt,training_resp.keys,training_resp.rt,points_trial,points_cumul,trainBlock,training.thisRepN,training.thisTrialN,training.thisN,training.thisIndex,training.ran,LTriangleOpac,LCircleOpac,LHexagonOpac,LStarOpac,RTriangleOpac,RCircleOpac,RHexagonOpac,RStarOpac,LShape_ID,RShape_ID,curr_topStim,curr_bottStim,curr_shape,acc,E1,target_resp_prac1.keys,target_resp_prac1.rt,pracBlock,task1_prac_trials.thisRepN,task1_prac_trials.thisTrialN,task1_prac_trials.thisN,task1_prac_trials.thisIndex,task1_prac_trials.ran,target_resp_prac2.keys,target_resp_prac2.rt,task2_praac_trials.thisRepN,task2_praac_trials.thisTrialN,task2_praac_trials.thisN,task2_praac_trials.thisIndex,task2_praac_trials.ran,alt,task,condition,target_resp.keys,target_resp.rt,rewCond,vts_practice_trials.thisRepN,vts_practice_trials.thisTrialN,vts_practice_trials.thisN,vts_practice_trials.thisIndex,vts_practice_trials.ran,blockNum,trials_norew.thisRepN,trials_norew.thisTrialN,trials_norew.thisN,trials_norew.thisIndex,trials_norew.ran,key_resp_2.keys,key_resp_2.rt,rewExpectancy,trials_rew.thisRepN,trials_rew.thisTrialN,trials_rew.thisN,trials_rew.thisIndex,trials_rew.ran,Q1,Q2,Q2_text,Q3,Q4,Q5_text,xRes,yRes
298126,2022-12-04_17h52.51.798,vts_reward_expectancy_bt,2022.2.4,Win32,143.9263097,Chrome,1080,1920,,,l,0.5844,10,106,0,2,0,24,4,1,0,1,0,0,0,0,1,0,circle,hexagon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
298126,2022-12-04_17h52.51.798,vts_reward_expectancy_bt,2022.2.4,Win32,143.9263097,Chrome,1080,1920,,,l,0.975,1,107,0,2,1,25,5,1,0,1,0,0,0,0,0,1,circle,star,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
298126,2022-12-04_17h52.51.798,vts_reward_expectancy_bt,2022.2.4,Win32,143.9263097,Chrome,1080,1920,,,a,1.4465,10,117,0,2,2,26,0,1,1,0,0,0,0,1,0,0,triangle,circle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
298126,2022-12-04_17h52.51.798,vts_reward_expectancy_bt,2022.2.4,Win32,143.9263097,Chrome,1080,1920,,,a,1.3735,1,118,0,2,3,27,7,1,0,0,1,0,0,1,0,0,hexagon,circle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
298126,2022-12-04_17h52.51.798,vts_reward_expectancy_bt,2022.2.4,Win32,143.9263097,Chrome,1080,1920,,,l,1.221,1,119,0,2,4,28,8,1,0,0,1,0,0,0,0,1,hexagon,star,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
298126,2022-12-04_17h52.51.798,vts_reward_expectancy_bt,2022.2.4,Win32,143.9263097,Chrome,1080,1920,,,a,1.056,1,120,0,2,5,29,10,1,0,0,0,1,0,1,0,0,star ,circle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
298126,2022-12-04_17h52.51.798,vts_reward_expectancy_bt,2022.2.4,Win32,143.9263097,Chrome,1080,1920,,,a,1.1571,1,121,0,2,6,30,6,1,0,0,1,0,1,0,0,0,hexagon,triangle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
298126,2022-12-04_17h52.51.798,vts_reward_expectancy_bt,2022.2.4,Win32,143.9263097,Chrome,1080,1920,,,l,0.4896,1,122,0,2,7,31,1,1,1,0,0,0,0,0,1,0,triangle,hexagon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
298126,2022-12-04_17h52.51.798,vts_reward_expectancy_bt,2022.2.4,Win32,143.9263097,Chrome,1080,1920,,,l,0.5907,1,123,0,2,8,32,2,1,1,0,0,0,0,0,0,1,triangle,star,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
298126,2022-12-04_17h52.51.798,vts_reward_expectancy_bt,2022.2.4,Win32,143.9263097,Chrome,1080,1920,,,a,0.9931,10,133,0,2,9,33,11,1,0,0,0,1,0,0,1,0,star,hexagon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
298126,2022-12-04_17h52.51.798,vts_reward_expectancy_bt,2022.2.4,Win32,143.9263097,Chrome,1080,1920,,,a,1.0351,10,143,0,2,10,34,9,1,0,0,0,1,1,0,0,0,star,triangle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
298126,2022-12-04_17h52.51.798,vts_reward_expectancy_bt,2022.2.4,Win32,143.9263097,Chrome,1080,1920,,,a,1.4658,10,153,0,2,11,35,3,1,0,1,0,0,1,0,0,0,circle,triangle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
298126,2022-12-04_17h52.51.798,vts_reward_expectancy_bt,2022.2.4,Win32,143.9263097,Chrome,1080,1920,,,a,1.4739,10,163,1,0,0,0,11,1,0,0,0,1,0,0,1,0,star,hexagon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
298126,2022-12-04_17h52.51.798,vts_reward_expectancy_bt,2022.2.4,Win32,143.9263097,Chrome,1080,1920,,,a,1.1895,1,164,1,0,1,1,6,1,0,0,1,0,1,0,0,0,hexagon,triangle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
298126,2022-12-04_17h52.51.798,vts_reward_expectancy_bt,2022.2.4,Win32,143.9263097,Chrome,1080,1920,,,l,0.6012,1,165,1,0,2,2,0,1,1,0,0,0,0,1,0,0,triangle,circle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
298126,2022-12-04_17h52.51.798,vts_reward_expectancy_bt,2022.2.4,Win32,143.9263097,Chrome,1080,1920,,,l,0.6818,10,175,1,0,3,3,8,1,0,0,1,0,0,0,0,1,hexagon,star,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
