participant,date,expName,psychopyVersion,OS,frameRate,browser,xResolution,yResolution,key_resp.keys,key_resp.rt,training_resp.keys,training_resp.rt,points_trial,points_cumul,trainBlock,training.thisRepN,training.thisTrialN,training.thisN,training.thisIndex,training.ran,LTriangleOpac,LCircleOpac,LHexagonOpac,LStarOpac,RTriangleOpac,RCircleOpac,RHexagonOpac,RStarOpac,LShape_ID,RShape_ID,curr_topStim,curr_bottStim,curr_shape,acc,E1,target_resp_prac1.keys,target_resp_prac1.rt,pracBlock,task1_prac_trials.thisRepN,task1_prac_trials.thisTrialN,task1_prac_trials.thisN,task1_prac_trials.thisIndex,task1_prac_trials.ran,target_resp_prac2.keys,target_resp_prac2.rt,task2_praac_trials.thisRepN,task2_praac_trials.thisTrialN,task2_praac_trials.thisN,task2_praac_trials.thisIndex,task2_praac_trials.ran,alt,task,condition,target_resp.keys,target_resp.rt,rewCond,vts_practice_trials.thisRepN,vts_practice_trials.thisTrialN,vts_practice_trials.thisN,vts_practice_trials.thisIndex,vts_practice_trials.ran,blockNum,trials_norew.thisRepN,trials_norew.thisTrialN,trials_norew.thisN,trials_norew.thisIndex,trials_norew.ran,key_resp_2.keys,key_resp_2.rt,rewExpectancy,trials_rew.thisRepN,trials_rew.thisTrialN,trials_rew.thisN,trials_rew.thisIndex,trials_rew.ran,Q1,Q2,Q2_text,Q3,Q4,Q5,Q5_text,xRes,yRes
298000,2022-11-25_02h18.34.500,vts_reward_expectancy_bt,2022.2.4,MacIntel,142.8571429,Safari,1470,956,,,l,1.705,1,157,0,2,6,30,1,1,1,0,0,0,0,0,1,0,triangle,hexagon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
298000,2022-11-25_02h18.34.500,vts_reward_expectancy_bt,2022.2.4,MacIntel,142.8571429,Safari,1470,956,,,a,0.806,1,158,0,2,7,31,9,1,0,0,0,1,1,0,0,0,star,triangle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
298000,2022-11-25_02h18.34.500,vts_reward_expectancy_bt,2022.2.4,MacIntel,142.8571429,Safari,1470,956,,,l,0.382,10,168,0,2,8,32,2,1,1,0,0,0,0,0,0,1,triangle,star,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
298000,2022-11-25_02h18.34.500,vts_reward_expectancy_bt,2022.2.4,MacIntel,142.8571429,Safari,1470,956,,,a,0.467,10,178,0,2,9,33,8,1,0,0,1,0,0,0,0,1,hexagon,star,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
298000,2022-11-25_02h18.34.500,vts_reward_expectancy_bt,2022.2.4,MacIntel,142.8571429,Safari,1470,956,,,a,0.319,1,179,0,2,10,34,5,1,0,1,0,0,0,0,0,1,circle,star,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
298000,2022-11-25_02h18.34.500,vts_reward_expectancy_bt,2022.2.4,MacIntel,142.8571429,Safari,1470,956,,,a,0.301,1,180,0,2,11,35,6,1,0,0,1,0,1,0,0,0,hexagon,triangle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
298000,2022-11-25_02h18.34.500,vts_reward_expectancy_bt,2022.2.4,MacIntel,142.8571429,Safari,1470,956,,,a,0.716,10,190,1,0,0,0,3,1,0,1,0,0,1,0,0,0,circle,triangle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
298000,2022-11-25_02h18.34.500,vts_reward_expectancy_bt,2022.2.4,MacIntel,142.8571429,Safari,1470,956,,,l,1.279,1,191,1,0,1,1,2,1,1,0,0,0,0,0,0,1,triangle,star,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
298000,2022-11-25_02h18.34.500,vts_reward_expectancy_bt,2022.2.4,MacIntel,142.8571429,Safari,1470,956,,,a,0.399,1,192,1,0,2,2,5,1,0,1,0,0,0,0,0,1,circle,star,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
298000,2022-11-25_02h18.34.500,vts_reward_expectancy_bt,2022.2.4,MacIntel,142.8571429,Safari,1470,956,,,l,0.268,10,202,1,0,3,3,10,1,0,0,0,1,0,1,0,0,star ,circle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
298000,2022-11-25_02h18.34.500,vts_reward_expectancy_bt,2022.2.4,MacIntel,142.8571429,Safari,1470,956,,,a,0.497,1,203,1,0,4,4,9,1,0,0,0,1,1,0,0,0,star,triangle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
298000,2022-11-25_02h18.34.500,vts_reward_expectancy_bt,2022.2.4,MacIntel,142.8571429,Safari,1470,956,,,l,0.333,10,213,1,0,5,5,8,1,0,0,1,0,0,0,0,1,hexagon,star,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
298000,2022-11-25_02h18.34.500,vts_reward_expectancy_bt,2022.2.4,MacIntel,142.8571429,Safari,1470,956,,,l,0.628,10,223,1,0,6,6,0,1,1,0,0,0,0,1,0,0,triangle,circle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
298000,2022-11-25_02h18.34.500,vts_reward_expectancy_bt,2022.2.4,MacIntel,142.8571429,Safari,1470,956,,,l,0.35,1,224,1,0,7,7,4,1,0,1,0,0,0,0,1,0,circle,hexagon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
298000,2022-11-25_02h18.34.500,vts_reward_expectancy_bt,2022.2.4,MacIntel,142.8571429,Safari,1470,956,,,a,0.314,1,225,1,0,8,8,11,1,0,0,0,1,0,0,1,0,star,hexagon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
298000,2022-11-25_02h18.34.500,vts_reward_expectancy_bt,2022.2.4,MacIntel,142.8571429,Safari,1470,956,,,l,0.299,10,235,1,0,9,9,6,1,0,0,1,0,1,0,0,0,hexagon,triangle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
298000,2022-11-25_02h18.34.500,vts_reward_expectancy_bt,2022.2.4,MacIntel,142.8571429,Safari,1470,956,,,l,0.51,10,245,1,0,10,10,7,1,0,0,1,0,0,1,0,0,hexagon,circle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
298000,2022-11-25_02h18.34.500,vts_reward_expectancy_bt,2022.2.4,MacIntel,142.8571429,Safari,1470,956,,,a,0.333,1,246,1,0,11,11,1,1,1,0,0,0,0,0,1,0,triangle,hexagon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
298000,2022-11-25_02h18.34.500,vts_reward_expectancy_bt,2022.2.4,MacIntel,142.8571429,Safari,1470,956,,,l,0.32,1,247,1,1,0,12,3,1,0,1,0,0,1,0,0,0,circle,triangle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
298000,2022-11-25_02h18.34.500,vts_reward_expectancy_bt,2022.2.4,MacIntel,142.8571429,Safari,1470,956,,,l,0.29,1,248,1,1,1,13,8,1,0,0,1,0,0,0,0,1,hexagon,star,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
298000,2022-11-25_02h18.34.500,vts_reward_expectancy_bt,2022.2.4,MacIntel,142.8571429,Safari,1470,956,,,a,0.118,10,258,1,1,2,14,2,1,1,0,0,0,0,0,0,1,triangle,star,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
298000,2022-11-25_02h18.34.500,vts_reward_expectancy_bt,2022.2.4,MacIntel,142.8571429,Safari,1470,956,,,l,0.411,10,268,1,1,3,15,0,1,1,0,0,0,0,1,0,0,triangle,circle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
298000,2022-11-25_02h18.34.500,vts_reward_expectancy_bt,2022.2.4,MacIntel,142.8571429,Safari,1470,956,,,l,0.458,10,278,1,1,4,16,5,1,0,1,0,0,0,0,0,1,circle,star,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
298000,2022-11-25_02h18.34.500,vts_reward_expectancy_bt,2022.2.4,MacIntel,142.8571429,Safari,1470,956,,,l,0.583,10,288,1,1,5,17,4,1,0,1,0,0,0,0,1,0,circle,hexagon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
298000,2022-11-25_02h18.34.500,vts_reward_expectancy_bt,2022.2.4,MacIntel,142.8571429,Safari,1470,956,,,l,0.565,1,289,1,1,6,18,11,1,0,0,0,1,0,0,1,0,star,hexagon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
298000,2022-11-25_02h18.34.500,vts_reward_expectancy_bt,2022.2.4,MacIntel,142.8571429,Safari,1470,956,,,a,0.65,10,299,1,1,7,19,7,1,0,0,1,0,0,1,0,0,hexagon,circle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
298000,2022-11-25_02h18.34.500,vts_reward_expectancy_bt,2022.2.4,MacIntel,142.8571429,Safari,1470,956,,,a,0.441,10,309,1,1,8,20,10,1,0,0,0,1,0,1,0,0,star ,circle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
298000,2022-11-25_02h18.34.500,vts_reward_expectancy_bt,2022.2.4,MacIntel,142.8571429,Safari,1470,956,,,l,0.632,10,319,1,1,9,21,1,1,1,0,0,0,0,0,1,0,triangle,hexagon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
298000,2022-11-25_02h18.34.500,vts_reward_expectancy_bt,2022.2.4,MacIntel,142.8571429,Safari,1470,956,,,a,0.707,1,320,1,1,10,22,9,1,0,0,0,1,1,0,0,0,star,triangle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
298000,2022-11-25_02h18.34.500,vts_reward_expectancy_bt,2022.2.4,MacIntel,142.8571429,Safari,1470,956,,,l,0.331,1,321,1,1,11,23,6,1,0,0,1,0,1,0,0,0,hexagon,triangle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
298000,2022-11-25_02h18.34.500,vts_reward_expectancy_bt,2022.2.4,MacIntel,142.8571429,Safari,1470,956,,,l,0.343,1,322,1,2,0,24,1,1,1,0,0,0,0,0,1,0,triangle,hexagon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
298000,2022-11-25_02h18.34.500,vts_reward_expectancy_bt,2022.2.4,MacIntel,142.8571429,Safari,1470,956,,,a,0.304,1,323,1,2,1,25,3,1,0,1,0,0,1,0,0,0,circle,triangle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
298000,2022-11-25_02h18.34.500,vts_reward_expectancy_bt,2022.2.4,MacIntel,142.8571429,Safari,1470,956,,,l,0.269,1,324,1,2,2,26,6,1,0,0,1,0,1,0,0,0,hexagon,triangle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
298000,2022-11-25_02h18.34.500,vts_reward_expectancy_bt,2022.2.4,MacIntel,142.8571429,Safari,1470,956,,,l,0.297,10,334,1,2,3,27,10,1,0,0,0,1,0,1,0,0,star ,circle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
298000,2022-11-25_02h18.34.500,vts_reward_expectancy_bt,2022.2.4,MacIntel,142.8571429,Safari,1470,956,,,l,0.531,10,344,1,2,4,28,8,1,0,0,1,0,0,0,0,1,hexagon,star,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
298000,2022-11-25_02h18.34.500,vts_reward_expectancy_bt,2022.2.4,MacIntel,142.8571429,Safari,1470,956,,,l,1.188,10,354,1,2,5,29,0,1,1,0,0,0,0,1,0,0,triangle,circle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
298000,2022-11-25_02h18.34.500,vts_reward_expectancy_bt,2022.2.4,MacIntel,142.8571429,Safari,1470,956,,,l,0.634,10,364,1,2,6,30,5,1,0,1,0,0,0,0,0,1,circle,star,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
298000,2022-11-25_02h18.34.500,vts_reward_expectancy_bt,2022.2.4,MacIntel,142.8571429,Safari,1470,956,,,a,0.718,10,374,1,2,7,31,11,1,0,0,0,1,0,0,1,0,star,hexagon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
298000,2022-11-25_02h18.34.500,vts_reward_expectancy_bt,2022.2.4,MacIntel,142.8571429,Safari,1470,956,,,l,0.812,10,384,1,2,8,32,9,1,0,0,0,1,1,0,0,0,star,triangle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
298000,2022-11-25_02h18.34.500,vts_reward_expectancy_bt,2022.2.4,MacIntel,142.8571429,Safari,1470,956,,,l,0.499,1,385,1,2,9,33,4,1,0,1,0,0,0,0,1,0,circle,hexagon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
298000,2022-11-25_02h18.34.500,vts_reward_expectancy_bt,2022.2.4,MacIntel,142.8571429,Safari,1470,956,,,l,0.486,1,386,1,2,10,34,2,1,1,0,0,0,0,0,0,1,triangle,star,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
