participant,date,expName,psychopyVersion,OS,frameRate,browser,xResolution,yResolution,key_resp.keys,key_resp.rt,training_resp.keys,training_resp.rt,points_trial,points_cumul,trainBlock,training.thisRepN,training.thisTrialN,training.thisN,training.thisIndex,training.ran,LTriangleOpac,LCircleOpac,LHexagonOpac,LStarOpac,RTriangleOpac,RCircleOpac,RHexagonOpac,RStarOpac,LShape_ID,RShape_ID,curr_topStim,curr_bottStim,curr_shape,acc,E1,target_resp_prac1.keys,pracBlock,task1_prac_trials.thisRepN,task1_prac_trials.thisTrialN,task1_prac_trials.thisN,task1_prac_trials.thisIndex,task1_prac_trials.ran,target_resp_prac1.rt,target_resp_prac2.keys,target_resp_prac2.rt,task2_praac_trials.thisRepN,task2_praac_trials.thisTrialN,task2_praac_trials.thisN,task2_praac_trials.thisIndex,task2_praac_trials.ran,alt,task,condition,target_resp.keys,target_resp.rt,rewCond,vts_practice_trials.thisRepN,vts_practice_trials.thisTrialN,vts_practice_trials.thisN,vts_practice_trials.thisIndex,vts_practice_trials.ran,blockNum,trials_norew.thisRepN,trials_norew.thisTrialN,trials_norew.thisN,trials_norew.thisIndex,trials_norew.ran,key_resp_2.keys,key_resp_2.rt,rewExpectancy,trials_rew.thisRepN,trials_rew.thisTrialN,trials_rew.thisN,trials_rew.thisIndex,trials_rew.ran,Q1,Q2_text,Q5_text,xRes,yRes
295570,2022-12-03_00h22.44.931,vts_reward_expectancy_bt,2022.2.4,MacIntel,66.66666667,Safari,820,1180,,,a,1.31,1,271,1,0,0,0,1,1,1,0,0,0,0,0,1,0,triangle,hexagon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
295570,2022-12-03_00h22.44.931,vts_reward_expectancy_bt,2022.2.4,MacIntel,66.66666667,Safari,820,1180,,,l,0.752,1,272,1,0,1,1,4,1,0,1,0,0,0,0,1,0,circle,hexagon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
295570,2022-12-03_00h22.44.931,vts_reward_expectancy_bt,2022.2.4,MacIntel,66.66666667,Safari,820,1180,,,l,0.891,10,282,1,0,2,2,0,1,1,0,0,0,0,1,0,0,triangle,circle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
295570,2022-12-03_00h22.44.931,vts_reward_expectancy_bt,2022.2.4,MacIntel,66.66666667,Safari,820,1180,,,a,1.103,10,292,1,0,3,3,7,1,0,0,1,0,0,1,0,0,hexagon,circle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
295570,2022-12-03_00h22.44.931,vts_reward_expectancy_bt,2022.2.4,MacIntel,66.66666667,Safari,820,1180,,,a,0.638,1,293,1,0,4,4,6,1,0,0,1,0,1,0,0,0,hexagon,triangle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
295570,2022-12-03_00h22.44.931,vts_reward_expectancy_bt,2022.2.4,MacIntel,66.66666667,Safari,820,1180,,,a,1.473,1,294,1,0,5,5,9,1,0,0,0,1,1,0,0,0,star,triangle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
295570,2022-12-03_00h22.44.931,vts_reward_expectancy_bt,2022.2.4,MacIntel,66.66666667,Safari,820,1180,,,a,0.726,10,304,1,0,6,6,8,1,0,0,1,0,0,0,0,1,hexagon,star,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
295570,2022-12-03_00h22.44.931,vts_reward_expectancy_bt,2022.2.4,MacIntel,66.66666667,Safari,820,1180,,,l,1.089,10,314,1,0,7,7,2,1,1,0,0,0,0,0,0,1,triangle,star,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
295570,2022-12-03_00h22.44.931,vts_reward_expectancy_bt,2022.2.4,MacIntel,66.66666667,Safari,820,1180,,,a,0.997,10,324,1,0,8,8,11,1,0,0,0,1,0,0,1,0,star,hexagon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
295570,2022-12-03_00h22.44.931,vts_reward_expectancy_bt,2022.2.4,MacIntel,66.66666667,Safari,820,1180,,,a,0.82,10,334,1,0,9,9,10,1,0,0,0,1,0,1,0,0,star ,circle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
295570,2022-12-03_00h22.44.931,vts_reward_expectancy_bt,2022.2.4,MacIntel,66.66666667,Safari,820,1180,,,l,0.605,10,344,1,0,10,10,5,1,0,1,0,0,0,0,0,1,circle,star,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
295570,2022-12-03_00h22.44.931,vts_reward_expectancy_bt,2022.2.4,MacIntel,66.66666667,Safari,820,1180,,,a,1.39,10,354,1,0,11,11,3,1,0,1,0,0,1,0,0,0,circle,triangle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
295570,2022-12-03_00h22.44.931,vts_reward_expectancy_bt,2022.2.4,MacIntel,66.66666667,Safari,820,1180,,,l,1.474,10,364,1,1,0,12,4,1,0,1,0,0,0,0,1,0,circle,hexagon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
295570,2022-12-03_00h22.44.931,vts_reward_expectancy_bt,2022.2.4,MacIntel,66.66666667,Safari,820,1180,,,a,0.865,10,374,1,1,1,13,10,1,0,0,0,1,0,1,0,0,star ,circle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
295570,2022-12-03_00h22.44.931,vts_reward_expectancy_bt,2022.2.4,MacIntel,66.66666667,Safari,820,1180,,,l,0.768,1,375,1,1,2,14,2,1,1,0,0,0,0,0,0,1,triangle,star,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
295570,2022-12-03_00h22.44.931,vts_reward_expectancy_bt,2022.2.4,MacIntel,66.66666667,Safari,820,1180,,,l,0.756,1,376,1,1,3,15,8,1,0,0,1,0,0,0,0,1,hexagon,star,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
295570,2022-12-03_00h22.44.931,vts_reward_expectancy_bt,2022.2.4,MacIntel,66.66666667,Safari,820,1180,,,l,0.709,1,377,1,1,4,16,11,1,0,0,0,1,0,0,1,0,star,hexagon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
295570,2022-12-03_00h22.44.931,vts_reward_expectancy_bt,2022.2.4,MacIntel,66.66666667,Safari,820,1180,,,a,0.559,1,378,1,1,5,17,7,1,0,0,1,0,0,1,0,0,hexagon,circle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
295570,2022-12-03_00h22.44.931,vts_reward_expectancy_bt,2022.2.4,MacIntel,66.66666667,Safari,820,1180,,,a,1.086,10,388,1,1,6,18,1,1,1,0,0,0,0,0,1,0,triangle,hexagon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
295570,2022-12-03_00h22.44.931,vts_reward_expectancy_bt,2022.2.4,MacIntel,66.66666667,Safari,820,1180,,,l,0.706,10,398,1,1,7,19,3,1,0,1,0,0,1,0,0,0,circle,triangle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
295570,2022-12-03_00h22.44.931,vts_reward_expectancy_bt,2022.2.4,MacIntel,66.66666667,Safari,820,1180,,,l,0.812,10,408,1,1,8,20,9,1,0,0,0,1,1,0,0,0,star,triangle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
295570,2022-12-03_00h22.44.931,vts_reward_expectancy_bt,2022.2.4,MacIntel,66.66666667,Safari,820,1180,,,a,0.731,1,409,1,1,9,21,0,1,1,0,0,0,0,1,0,0,triangle,circle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
295570,2022-12-03_00h22.44.931,vts_reward_expectancy_bt,2022.2.4,MacIntel,66.66666667,Safari,820,1180,,,a,0.413,1,410,1,1,10,22,5,1,0,1,0,0,0,0,0,1,circle,star,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
295570,2022-12-03_00h22.44.931,vts_reward_expectancy_bt,2022.2.4,MacIntel,66.66666667,Safari,820,1180,,,a,1.021,10,420,1,1,11,23,6,1,0,0,1,0,1,0,0,0,hexagon,triangle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
295570,2022-12-03_00h22.44.931,vts_reward_expectancy_bt,2022.2.4,MacIntel,66.66666667,Safari,820,1180,,,l,0.553,10,430,1,2,0,24,4,1,0,1,0,0,0,0,1,0,circle,hexagon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
295570,2022-12-03_00h22.44.931,vts_reward_expectancy_bt,2022.2.4,MacIntel,66.66666667,Safari,820,1180,,,a,0.589,1,431,1,2,1,25,6,1,0,0,1,0,1,0,0,0,hexagon,triangle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
295570,2022-12-03_00h22.44.931,vts_reward_expectancy_bt,2022.2.4,MacIntel,66.66666667,Safari,820,1180,,,l,0.675,10,441,1,2,2,26,2,1,1,0,0,0,0,0,0,1,triangle,star,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
295570,2022-12-03_00h22.44.931,vts_reward_expectancy_bt,2022.2.4,MacIntel,66.66666667,Safari,820,1180,,,l,1.034,1,442,1,2,3,27,7,1,0,0,1,0,0,1,0,0,hexagon,circle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
295570,2022-12-03_00h22.44.931,vts_reward_expectancy_bt,2022.2.4,MacIntel,66.66666667,Safari,820,1180,,,a,0.618,1,443,1,2,4,28,3,1,0,1,0,0,1,0,0,0,circle,triangle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
295570,2022-12-03_00h22.44.931,vts_reward_expectancy_bt,2022.2.4,MacIntel,66.66666667,Safari,820,1180,,,a,0.74,10,453,1,2,5,29,11,1,0,0,0,1,0,0,1,0,star,hexagon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
295570,2022-12-03_00h22.44.931,vts_reward_expectancy_bt,2022.2.4,MacIntel,66.66666667,Safari,820,1180,,,l,0.591,10,463,1,2,6,30,5,1,0,1,0,0,0,0,0,1,circle,star,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
