participant,date,expName,psychopyVersion,OS,frameRate,browser,xResolution,yResolution,key_resp.keys,key_resp.rt,training_resp.keys,training_resp.rt,points_trial,points_cumul,trainBlock,training.thisRepN,training.thisTrialN,training.thisN,training.thisIndex,training.ran,LTriangleOpac,LCircleOpac,LHexagonOpac,LStarOpac,RTriangleOpac,RCircleOpac,RHexagonOpac,RStarOpac,LShape_ID,RShape_ID,curr_topStim,curr_bottStim,curr_shape,acc,E1,target_resp_prac1.keys,pracBlock,task1_prac_trials.thisRepN,task1_prac_trials.thisTrialN,task1_prac_trials.thisN,task1_prac_trials.thisIndex,task1_prac_trials.ran,target_resp_prac1.rt,target_resp_prac2.keys,target_resp_prac2.rt,task2_praac_trials.thisRepN,task2_praac_trials.thisTrialN,task2_praac_trials.thisN,task2_praac_trials.thisIndex,task2_praac_trials.ran,alt,task,condition,target_resp.keys,rewCond,vts_practice_trials.thisRepN,vts_practice_trials.thisTrialN,vts_practice_trials.thisN,vts_practice_trials.thisIndex,vts_practice_trials.ran,target_resp.rt,blockNum,trials_norew.thisRepN,trials_norew.thisTrialN,trials_norew.thisN,trials_norew.thisIndex,trials_norew.ran,key_resp_2.keys,key_resp_2.rt,rewExpectancy,trials_rew.thisRepN,trials_rew.thisTrialN,trials_rew.thisN,trials_rew.thisIndex,trials_rew.ran,Q1,Q2,Q2_text,Q3,Q4,Q5,Q5_text,xRes,yRes
296086,2022-12-04_20h51.22.540,vts_reward_expectancy_bt,2022.2.4,Linux x86_64,60.04924038,Chrome,1366,768,,,a,0.3104,1,245,1,0,10,10,4,1,0,1,0,0,0,0,1,0,circle,hexagon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
296086,2022-12-04_20h51.22.540,vts_reward_expectancy_bt,2022.2.4,Linux x86_64,60.04924038,Chrome,1366,768,,,l,0.2634,1,246,1,0,11,11,3,1,0,1,0,0,1,0,0,0,circle,triangle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
296086,2022-12-04_20h51.22.540,vts_reward_expectancy_bt,2022.2.4,Linux x86_64,60.04924038,Chrome,1366,768,,,a,1.2303,10,256,1,1,0,12,1,1,1,0,0,0,0,0,1,0,triangle,hexagon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
296086,2022-12-04_20h51.22.540,vts_reward_expectancy_bt,2022.2.4,Linux x86_64,60.04924038,Chrome,1366,768,,,l,0.7644,1,257,1,1,1,13,4,1,0,1,0,0,0,0,1,0,circle,hexagon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
296086,2022-12-04_20h51.22.540,vts_reward_expectancy_bt,2022.2.4,Linux x86_64,60.04924038,Chrome,1366,768,,,a,1.9485,10,267,1,1,2,14,9,1,0,0,0,1,1,0,0,0,star,triangle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
296086,2022-12-04_20h51.22.540,vts_reward_expectancy_bt,2022.2.4,Linux x86_64,60.04924038,Chrome,1366,768,,,l,0.3922,1,268,1,1,3,15,2,1,1,0,0,0,0,0,0,1,triangle,star,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
296086,2022-12-04_20h51.22.540,vts_reward_expectancy_bt,2022.2.4,Linux x86_64,60.04924038,Chrome,1366,768,,,a,0.2568,10,278,1,1,4,16,3,1,0,1,0,0,1,0,0,0,circle,triangle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
296086,2022-12-04_20h51.22.540,vts_reward_expectancy_bt,2022.2.4,Linux x86_64,60.04924038,Chrome,1366,768,,,l,0.498,10,288,1,1,5,17,5,1,0,1,0,0,0,0,0,1,circle,star,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
296086,2022-12-04_20h51.22.540,vts_reward_expectancy_bt,2022.2.4,Linux x86_64,60.04924038,Chrome,1366,768,,,a,0.3571,1,289,1,1,6,18,6,1,0,0,1,0,1,0,0,0,hexagon,triangle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
296086,2022-12-04_20h51.22.540,vts_reward_expectancy_bt,2022.2.4,Linux x86_64,60.04924038,Chrome,1366,768,,,l,0.9736,10,299,1,1,7,19,8,1,0,0,1,0,0,0,0,1,hexagon,star,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
