participant,date,expName,psychopyVersion,OS,frameRate,browser,xResolution,yResolution,key_resp.keys,key_resp.rt,training_resp.keys,training_resp.rt,points_trial,points_cumul,trainBlock,training.thisRepN,training.thisTrialN,training.thisN,training.thisIndex,training.ran,LTriangleOpac,LCircleOpac,LHexagonOpac,LStarOpac,RTriangleOpac,RCircleOpac,RHexagonOpac,RStarOpac,LShape_ID,RShape_ID,curr_topStim,curr_bottStim,curr_shape,acc,E1,target_resp_prac1.keys,target_resp_prac1.rt,pracBlock,task1_prac_trials.thisRepN,task1_prac_trials.thisTrialN,task1_prac_trials.thisN,task1_prac_trials.thisIndex,task1_prac_trials.ran,target_resp_prac2.keys,task2_praac_trials.thisRepN,task2_praac_trials.thisTrialN,task2_praac_trials.thisN,task2_praac_trials.thisIndex,task2_praac_trials.ran,target_resp_prac2.rt,alt,task,condition,target_resp.keys,target_resp.rt,rewCond,vts_practice_trials.thisRepN,vts_practice_trials.thisTrialN,vts_practice_trials.thisN,vts_practice_trials.thisIndex,vts_practice_trials.ran,blockNum,trials_norew.thisRepN,trials_norew.thisTrialN,trials_norew.thisN,trials_norew.thisIndex,trials_norew.ran,key_resp_2.keys,key_resp_2.rt,rewExpectancy,trials_rew.thisRepN,trials_rew.thisTrialN,trials_rew.thisN,trials_rew.thisIndex,trials_rew.ran,Q1,Q2,Q2_text,Q3,Q4,Q5,Q5_text,xRes,yRes
297490,2022-12-05_23h30.52.934,vts_reward_expectancy_bt,2022.2.4,MacIntel,20.00080003,Chrome,1440,900,,,a,1.1006,10,253,1,0,9,9,7,1,0,0,1,0,0,1,0,0,hexagon,circle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
297490,2022-12-05_23h30.52.934,vts_reward_expectancy_bt,2022.2.4,MacIntel,20.00080003,Chrome,1440,900,,,l,2.0153,1,254,1,0,10,10,3,1,0,1,0,0,1,0,0,0,circle,triangle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
297490,2022-12-05_23h30.52.934,vts_reward_expectancy_bt,2022.2.4,MacIntel,20.00080003,Chrome,1440,900,,,l,2.7795,1,255,1,0,11,11,0,1,1,0,0,0,0,1,0,0,triangle,circle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
297490,2022-12-05_23h30.52.934,vts_reward_expectancy_bt,2022.2.4,MacIntel,20.00080003,Chrome,1440,900,,,a,1.3011,1,256,1,1,0,12,7,1,0,0,1,0,0,1,0,0,hexagon,circle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
297490,2022-12-05_23h30.52.934,vts_reward_expectancy_bt,2022.2.4,MacIntel,20.00080003,Chrome,1440,900,,,a,0.8876,10,266,1,1,1,13,2,1,1,0,0,0,0,0,0,1,triangle,star,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
297490,2022-12-05_23h30.52.934,vts_reward_expectancy_bt,2022.2.4,MacIntel,20.00080003,Chrome,1440,900,,,l,0.6167,1,267,1,1,2,14,0,1,1,0,0,0,0,1,0,0,triangle,circle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
297490,2022-12-05_23h30.52.934,vts_reward_expectancy_bt,2022.2.4,MacIntel,20.00080003,Chrome,1440,900,,,l,0.934,10,277,1,1,3,15,1,1,1,0,0,0,0,0,1,0,triangle,hexagon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
297490,2022-12-05_23h30.52.934,vts_reward_expectancy_bt,2022.2.4,MacIntel,20.00080003,Chrome,1440,900,,,l,0.4822,10,287,1,1,4,16,3,1,0,1,0,0,1,0,0,0,circle,triangle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
297490,2022-12-05_23h30.52.934,vts_reward_expectancy_bt,2022.2.4,MacIntel,20.00080003,Chrome,1440,900,,,l,0.6153,10,297,1,1,5,17,6,1,0,0,1,0,1,0,0,0,hexagon,triangle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
297490,2022-12-05_23h30.52.934,vts_reward_expectancy_bt,2022.2.4,MacIntel,20.00080003,Chrome,1440,900,,,l,1.6517,10,307,1,1,6,18,11,1,0,0,0,1,0,0,1,0,star,hexagon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
297490,2022-12-05_23h30.52.934,vts_reward_expectancy_bt,2022.2.4,MacIntel,20.00080003,Chrome,1440,900,,,l,0.6485,10,317,1,1,7,19,9,1,0,0,0,1,1,0,0,0,star,triangle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
297490,2022-12-05_23h30.52.934,vts_reward_expectancy_bt,2022.2.4,MacIntel,20.00080003,Chrome,1440,900,,,l,6.4677,10,327,1,1,8,20,5,1,0,1,0,0,0,0,0,1,circle,star,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
297490,2022-12-05_23h30.52.934,vts_reward_expectancy_bt,2022.2.4,MacIntel,20.00080003,Chrome,1440,900,,,l,0.4958,1,328,1,1,9,21,10,1,0,0,0,1,0,1,0,0,star ,circle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
297490,2022-12-05_23h30.52.934,vts_reward_expectancy_bt,2022.2.4,MacIntel,20.00080003,Chrome,1440,900,,,l,1.8455,10,338,1,1,10,22,8,1,0,0,1,0,0,0,0,1,hexagon,star,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
297490,2022-12-05_23h30.52.934,vts_reward_expectancy_bt,2022.2.4,MacIntel,20.00080003,Chrome,1440,900,,,l,1.5979,10,348,1,1,11,23,4,1,0,1,0,0,0,0,1,0,circle,hexagon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
297490,2022-12-05_23h30.52.934,vts_reward_expectancy_bt,2022.2.4,MacIntel,20.00080003,Chrome,1440,900,,,l,4.8181,1,349,1,2,0,24,0,1,1,0,0,0,0,1,0,0,triangle,circle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
297490,2022-12-05_23h30.52.934,vts_reward_expectancy_bt,2022.2.4,MacIntel,20.00080003,Chrome,1440,900,,,l,3.6011,10,359,1,2,1,25,11,1,0,0,0,1,0,0,1,0,star,hexagon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
297490,2022-12-05_23h30.52.934,vts_reward_expectancy_bt,2022.2.4,MacIntel,20.00080003,Chrome,1440,900,,,l,0.3485,10,369,1,2,2,26,2,1,1,0,0,0,0,0,0,1,triangle,star,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
297490,2022-12-05_23h30.52.934,vts_reward_expectancy_bt,2022.2.4,MacIntel,20.00080003,Chrome,1440,900,,,l,0.9978,10,379,1,2,3,27,7,1,0,0,1,0,0,1,0,0,hexagon,circle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
297490,2022-12-05_23h30.52.934,vts_reward_expectancy_bt,2022.2.4,MacIntel,20.00080003,Chrome,1440,900,,,l,0.1292,1,380,1,2,4,28,3,1,0,1,0,0,1,0,0,0,circle,triangle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
297490,2022-12-05_23h30.52.934,vts_reward_expectancy_bt,2022.2.4,MacIntel,20.00080003,Chrome,1440,900,,,l,0.4479,1,381,1,2,5,29,10,1,0,0,0,1,0,1,0,0,star ,circle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
297490,2022-12-05_23h30.52.934,vts_reward_expectancy_bt,2022.2.4,MacIntel,20.00080003,Chrome,1440,900,,,l,0.7816,1,382,1,2,6,30,8,1,0,0,1,0,0,0,0,1,hexagon,star,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
297490,2022-12-05_23h30.52.934,vts_reward_expectancy_bt,2022.2.4,MacIntel,20.00080003,Chrome,1440,900,,,l,0.0005,10,392,1,2,7,31,4,1,0,1,0,0,0,0,1,0,circle,hexagon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
297490,2022-12-05_23h30.52.934,vts_reward_expectancy_bt,2022.2.4,MacIntel,20.00080003,Chrome,1440,900,,,l,0.1123,10,402,1,2,8,32,1,1,1,0,0,0,0,0,1,0,triangle,hexagon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
297490,2022-12-05_23h30.52.934,vts_reward_expectancy_bt,2022.2.4,MacIntel,20.00080003,Chrome,1440,900,,,l,0.4143,1,403,1,2,9,33,6,1,0,0,1,0,1,0,0,0,hexagon,triangle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
