participant,date,expName,psychopyVersion,OS,frameRate,browser,xResolution,yResolution,key_resp.keys,key_resp.rt,training_resp.keys,training_resp.rt,points_trial,points_cumul,trainBlock,training.thisRepN,training.thisTrialN,training.thisN,training.thisIndex,training.ran,LTriangleOpac,LCircleOpac,LHexagonOpac,LStarOpac,RTriangleOpac,RCircleOpac,RHexagonOpac,RStarOpac,LShape_ID,RShape_ID,curr_topStim,curr_bottStim,curr_shape,acc,E1,target_resp_prac1.keys,target_resp_prac1.rt,pracBlock,task1_prac_trials.thisRepN,task1_prac_trials.thisTrialN,task1_prac_trials.thisN,task1_prac_trials.thisIndex,task1_prac_trials.ran,target_resp_prac2.keys,target_resp_prac2.rt,task2_praac_trials.thisRepN,task2_praac_trials.thisTrialN,task2_praac_trials.thisN,task2_praac_trials.thisIndex,task2_praac_trials.ran,alt,task,condition,target_resp.keys,target_resp.rt,rewCond,vts_practice_trials.thisRepN,vts_practice_trials.thisTrialN,vts_practice_trials.thisN,vts_practice_trials.thisIndex,vts_practice_trials.ran,blockNum,trials_norew.thisRepN,trials_norew.thisTrialN,trials_norew.thisN,trials_norew.thisIndex,trials_norew.ran,key_resp_2.keys,key_resp_2.rt,rewExpectancy,trials_rew.thisRepN,trials_rew.thisTrialN,trials_rew.thisN,trials_rew.thisIndex,trials_rew.ran,Q1,Q2_text,Q5_text,xRes,yRes
295660,2022-11-15_14h28.55.910,vts_reward_expectancy_bt,2022.2.4,Win32,60.0240096,Chrome,1920,1080,,,l,1.9565,10,254,1,0,10,10,1,1,1,0,0,0,0,0,1,0,triangle,hexagon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
295660,2022-11-15_14h28.55.910,vts_reward_expectancy_bt,2022.2.4,Win32,60.0240096,Chrome,1920,1080,,,l,1.2439,1,255,1,0,11,11,7,1,0,0,1,0,0,1,0,0,hexagon,circle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
295660,2022-11-15_14h28.55.910,vts_reward_expectancy_bt,2022.2.4,Win32,60.0240096,Chrome,1920,1080,,,l,1.1216,10,265,1,1,0,12,9,1,0,0,0,1,1,0,0,0,star,triangle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
295660,2022-11-15_14h28.55.910,vts_reward_expectancy_bt,2022.2.4,Win32,60.0240096,Chrome,1920,1080,,,a,2.4402,1,266,1,1,1,13,11,1,0,0,0,1,0,0,1,0,star,hexagon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
295660,2022-11-15_14h28.55.910,vts_reward_expectancy_bt,2022.2.4,Win32,60.0240096,Chrome,1920,1080,,,l,1.0969,10,276,1,1,2,14,8,1,0,0,1,0,0,0,0,1,hexagon,star,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
295660,2022-11-15_14h28.55.910,vts_reward_expectancy_bt,2022.2.4,Win32,60.0240096,Chrome,1920,1080,,,l,3.6608,10,286,1,1,3,15,3,1,0,1,0,0,1,0,0,0,circle,triangle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
295660,2022-11-15_14h28.55.910,vts_reward_expectancy_bt,2022.2.4,Win32,60.0240096,Chrome,1920,1080,,,l,1.488,10,296,1,1,4,16,0,1,1,0,0,0,0,1,0,0,triangle,circle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
295660,2022-11-15_14h28.55.910,vts_reward_expectancy_bt,2022.2.4,Win32,60.0240096,Chrome,1920,1080,,,l,2.0966,10,306,1,1,5,17,1,1,1,0,0,0,0,0,1,0,triangle,hexagon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
295660,2022-11-15_14h28.55.910,vts_reward_expectancy_bt,2022.2.4,Win32,60.0240096,Chrome,1920,1080,,,l,1.6787,1,307,1,1,6,18,5,1,0,1,0,0,0,0,0,1,circle,star,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
295660,2022-11-15_14h28.55.910,vts_reward_expectancy_bt,2022.2.4,Win32,60.0240096,Chrome,1920,1080,,,l,1.7704,1,308,1,1,7,19,10,1,0,0,0,1,0,1,0,0,star ,circle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
295660,2022-11-15_14h28.55.910,vts_reward_expectancy_bt,2022.2.4,Win32,60.0240096,Chrome,1920,1080,,,a,1.2072,1,309,1,1,8,20,7,1,0,0,1,0,0,1,0,0,hexagon,circle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
295660,2022-11-15_14h28.55.910,vts_reward_expectancy_bt,2022.2.4,Win32,60.0240096,Chrome,1920,1080,,,l,0.651,10,319,1,1,9,21,2,1,1,0,0,0,0,0,0,1,triangle,star,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
295660,2022-11-15_14h28.55.910,vts_reward_expectancy_bt,2022.2.4,Win32,60.0240096,Chrome,1920,1080,,,a,2.468,1,320,1,1,10,22,4,1,0,1,0,0,0,0,1,0,circle,hexagon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
295660,2022-11-15_14h28.55.910,vts_reward_expectancy_bt,2022.2.4,Win32,60.0240096,Chrome,1920,1080,,,l,1.0608,1,321,1,1,11,23,6,1,0,0,1,0,1,0,0,0,hexagon,triangle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
295660,2022-11-15_14h28.55.910,vts_reward_expectancy_bt,2022.2.4,Win32,60.0240096,Chrome,1920,1080,,,a,0.9059,10,331,1,2,0,24,2,1,1,0,0,0,0,0,0,1,triangle,star,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
295660,2022-11-15_14h28.55.910,vts_reward_expectancy_bt,2022.2.4,Win32,60.0240096,Chrome,1920,1080,,,l,0.992,1,332,1,2,1,25,10,1,0,0,0,1,0,1,0,0,star ,circle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
295660,2022-11-15_14h28.55.910,vts_reward_expectancy_bt,2022.2.4,Win32,60.0240096,Chrome,1920,1080,,,l,5.1295,10,342,1,2,2,26,3,1,0,1,0,0,1,0,0,0,circle,triangle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
295660,2022-11-15_14h28.55.910,vts_reward_expectancy_bt,2022.2.4,Win32,60.0240096,Chrome,1920,1080,,,l,1.2554,1,343,1,2,3,27,0,1,1,0,0,0,0,1,0,0,triangle,circle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
295660,2022-11-15_14h28.55.910,vts_reward_expectancy_bt,2022.2.4,Win32,60.0240096,Chrome,1920,1080,,,a,1.4077,1,344,1,2,4,28,11,1,0,0,0,1,0,0,1,0,star,hexagon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
295660,2022-11-15_14h28.55.910,vts_reward_expectancy_bt,2022.2.4,Win32,60.0240096,Chrome,1920,1080,,,l,2.0285,10,354,1,2,5,29,4,1,0,1,0,0,0,0,1,0,circle,hexagon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
