LTriangleOpac,LCircleOpac,LHexagonOpac,LStarOpac,RTriangleOpac,RCircleOpac,RHexagonOpac,RStarOpac,LShape_ID,RShape_ID,training_blocks.thisRepN,training_blocks.thisTrialN,training_blocks.thisN,training_blocks.thisIndex,training.thisRepN,training.thisTrialN,training.thisN,training.thisIndex,task1_prac_redo.thisRepN,task1_prac_redo.thisTrialN,task1_prac_redo.thisN,task1_prac_redo.thisIndex,task1_prac_trials.thisRepN,task1_prac_trials.thisTrialN,task1_prac_trials.thisN,task1_prac_trials.thisIndex,task2_prac_redo.thisRepN,task2_prac_redo.thisTrialN,task2_prac_redo.thisN,task2_prac_redo.thisIndex,task2_praac_trials.thisRepN,task2_praac_trials.thisTrialN,task2_praac_trials.thisN,task2_praac_trials.thisIndex,vts_prac_redo.thisRepN,vts_prac_redo.thisTrialN,vts_prac_redo.thisN,vts_prac_redo.thisIndex,vts_practice_trials.thisRepN,vts_practice_trials.thisTrialN,vts_practice_trials.thisN,vts_practice_trials.thisIndex,trials_norew.thisRepN,trials_norew.thisTrialN,trials_norew.thisN,trials_norew.thisIndex,block.thisRepN,block.thisTrialN,block.thisN,block.thisIndex,trials_rew.thisRepN,trials_rew.thisTrialN,trials_rew.thisN,trials_rew.thisIndex,key_resp.started,key_resp.keys,key_resp.rt,left_circle.started,right_circle.started,left_triangle.started,right_triangle.started,left_star.started,right_star.started,left_hexagon.started,right_hexagon.started,training_fix.started,training_resp.started,training_resp.keys,training_resp.rt,points_trial,points_cumul,trainBlock,training_feedback_txt.started,fix.started,training_feedback_txt.stopped,fix.stopped,curr_topStim,curr_bottStim,curr_shape,ISI.started,tgt_fix_prac1.started,top_target_prac1.started,bott_target_prac1.started,target_resp_prac1.started,acc,E1,target_resp_prac1.keys,target_resp_prac1.rt,pracBlock,prac_fback_text.started,prac_fback_text.stopped,tgt_fix_prac2.started,top_target_prac2.started,bott_target_prac2.started,target_resp_prac2.started,target_resp_prac2.keys,target_resp_prac2.rt,star.started,hegagon.started,triangle.started,circle.started,top_target.started,tgt_fix.started,bot_target.started,target_resp.started,star.stopped,hegagon.stopped,triangle.stopped,circle.stopped,alt,task,condition,target_resp.keys,target_resp.rt,rewCond,vts_fback.started,vts_fback.stopped,top_target.stopped,tgt_fix.stopped,bot_target.stopped,target_resp.stopped,blockNum,norew_fback.started,norew_fback.stopped,key_resp_2.keys,key_resp_2.rt,rewExpectancy,feedbk_text.started,feedbk_text.stopped,text_3.started,debrief.started,text_3.stopped,button.started,participant,date,expName,psychopyVersion,frameRate,
0,0,1,0,0,0,0,1,hexagon,star,0,0,0,0,1,7,19,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,147.27158194826916,147.27158194826916,147.27158194826916,147.27158194826916,147.27158194826916,147.27158194826916,147.27158194826916,147.27158194826916,147.27158194826916,147.27158194826916,l,1.2927746758796275,1,110,0,148.58975660707802,150.08912583393976,150.08912583393976,150.58924405509606,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,98412,2022-11-28_13h58.19.191,vts_reward_expectancy_bt_OFFLINE,2022.2.4,60.05075682412279,
0,1,0,0,1,0,0,0,circle,triangle,0,0,0,0,1,8,20,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,150.58924405509606,150.58924405509606,150.58924405509606,150.58924405509606,150.58924405509606,150.58924405509606,150.58924405509606,150.58924405509606,150.58924405509606,150.58924405509606,a,2.5209497585892677,10,120,0,153.14204647298902,154.64266983792186,154.64266983792186,155.14245043229312,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,98412,2022-11-28_13h58.19.191,vts_reward_expectancy_bt_OFFLINE,2022.2.4,60.05075682412279,
0,0,1,0,1,0,0,0,hexagon,triangle,0,0,0,0,1,9,21,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,155.14245043229312,155.14245043229312,155.14245043229312,155.14245043229312,155.14245043229312,155.14245043229312,155.14245043229312,155.14245043229312,155.14245043229312,155.14245043229312,a,1.0381640186533332,10,130,0,156.2115484061651,157.71206644224003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,98412,2022-11-28_13h58.19.191,vts_reward_expectancy_bt_OFFLINE,2022.2.4,60.05075682412279,
0,0,0,1,0,0,1,0,star,hexagon,0,0,0,0,1,10,22,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,158.21242660004646,158.21242660004646,158.21242660004646,158.21242660004646,158.21242660004646,158.21242660004646,158.21242660004646,158.21242660004646,158.21242660004646,158.21242660004646,a,1.5805363836698234,1,131,0,159.81410329416394,161.31519129686058,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,98412,2022-11-28_13h58.19.191,vts_reward_expectancy_bt_OFFLINE,2022.2.4,60.05075682412279,
1,0,0,0,0,0,1,0,triangle,hexagon,0,0,0,0,1,11,23,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,161.8155370890163,161.8155370890163,161.8155370890163,161.8155370890163,161.8155370890163,161.8155370890163,161.8155370890163,161.8155370890163,161.8155370890163,161.8155370890163,l,1.3631789716891944,10,141,0,163.20042065205052,164.70005221804604,164.70005221804604,165.20005108928308,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,98412,2022-11-28_13h58.19.191,vts_reward_expectancy_bt_OFFLINE,2022.2.4,60.05075682412279,
0,1,0,0,0,0,1,0,circle,hexagon,0,0,0,0,2,0,24,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,165.20005108928308,165.20005108928308,165.20005108928308,165.20005108928308,165.20005108928308,165.20005108928308,165.20005108928308,165.20005108928308,165.20005108928308,165.20005108928308,l,0.893211614806205,1,142,0,166.1200951570645,167.61928081326187,167.61928081326187,168.11978689115494,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,98412,2022-11-28_13h58.19.191,vts_reward_expectancy_bt_OFFLINE,2022.2.4,60.05075682412279,
1,0,0,0,0,1,0,0,triangle,circle,0,0,0,0,2,1,25,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,168.11978689115494,168.11978689115494,168.11978689115494,168.11978689115494,168.11978689115494,168.11978689115494,168.11978689115494,168.11978689115494,168.11978689115494,168.11978689115494,l,2.720542021561414,10,152,0,170.87237141514197,172.3731729350984,172.3731729350984,172.8732874970883,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,98412,2022-11-28_13h58.19.191,vts_reward_expectancy_bt_OFFLINE,2022.2.4,60.05075682412279,
1,0,0,0,0,0,1,0,triangle,hexagon,0,0,0,0,2,2,26,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,172.8732874970883,172.8732874970883,172.8732874970883,172.8732874970883,172.8732874970883,172.8732874970883,172.8732874970883,172.8732874970883,172.8732874970883,172.8732874970883,l,2.2983475564979017,1,153,0,175.19189843395725,176.69261989416555,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,98412,2022-11-28_13h58.19.191,vts_reward_expectancy_bt_OFFLINE,2022.2.4,60.05075682412279,
0,0,1,0,0,0,0,1,hexagon,star,0,0,0,0,2,3,27,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,177.1933424412273,177.1933424412273,177.1933424412273,177.1933424412273,177.1933424412273,177.1933424412273,177.1933424412273,177.1933424412273,177.1933424412273,177.1933424412273,l,1.0383514454588294,10,163,0,178.26142542110756,179.76066871220246,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,98412,2022-11-28_13h58.19.191,vts_reward_expectancy_bt_OFFLINE,2022.2.4,60.05075682412279,
0,0,0,1,0,0,1,0,star,hexagon,0,0,0,0,2,4,28,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,180.26097704516724,180.26097704516724,180.26097704516724,180.26097704516724,180.26097704516724,180.26097704516724,180.26097704516724,180.26097704516724,180.26097704516724,180.26097704516724,l,1.8411173266358674,1,164,0,182.13140871888027,183.63057249598205,183.63057249598205,184.13071517227218,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,98412,2022-11-28_13h58.19.191,vts_reward_expectancy_bt_OFFLINE,2022.2.4,60.05075682412279,
