LTriangleOpac,LCircleOpac,LHexagonOpac,LStarOpac,RTriangleOpac,RCircleOpac,RHexagonOpac,RStarOpac,LShape_ID,RShape_ID,training_blocks.thisRepN,training_blocks.thisTrialN,training_blocks.thisN,training_blocks.thisIndex,training.thisRepN,training.thisTrialN,training.thisN,training.thisIndex,task1_prac_redo.thisRepN,task1_prac_redo.thisTrialN,task1_prac_redo.thisN,task1_prac_redo.thisIndex,task1_prac_trials.thisRepN,task1_prac_trials.thisTrialN,task1_prac_trials.thisN,task1_prac_trials.thisIndex,task2_prac_redo.thisRepN,task2_prac_redo.thisTrialN,task2_prac_redo.thisN,task2_prac_redo.thisIndex,task2_praac_trials.thisRepN,task2_praac_trials.thisTrialN,task2_praac_trials.thisN,task2_praac_trials.thisIndex,vts_prac_redo.thisRepN,vts_prac_redo.thisTrialN,vts_prac_redo.thisN,vts_prac_redo.thisIndex,vts_practice_trials.thisRepN,vts_practice_trials.thisTrialN,vts_practice_trials.thisN,vts_practice_trials.thisIndex,trials_norew.thisRepN,trials_norew.thisTrialN,trials_norew.thisN,trials_norew.thisIndex,block.thisRepN,block.thisTrialN,block.thisN,block.thisIndex,trials_rew.thisRepN,trials_rew.thisTrialN,trials_rew.thisN,trials_rew.thisIndex,key_resp.started,key_resp.keys,key_resp.rt,left_circle.started,right_circle.started,left_triangle.started,right_triangle.started,left_star.started,right_star.started,left_hexagon.started,right_hexagon.started,training_fix.started,training_resp.started,training_resp.keys,training_resp.rt,points_trial,points_cumul,trainBlock,training_feedback_txt.started,fix.started,training_feedback_txt.stopped,fix.stopped,curr_topStim,curr_bottStim,curr_shape,ISI.started,tgt_fix_prac1.started,top_target_prac1.started,bott_target_prac1.started,target_resp_prac1.started,acc,E1,target_resp_prac1.keys,target_resp_prac1.rt,pracBlock,prac_fback_text.started,prac_fback_text.stopped,tgt_fix_prac2.started,top_target_prac2.started,bott_target_prac2.started,target_resp_prac2.started,target_resp_prac2.keys,target_resp_prac2.rt,star.started,hegagon.started,triangle.started,circle.started,top_target.started,tgt_fix.started,bot_target.started,target_resp.started,star.stopped,hegagon.stopped,triangle.stopped,circle.stopped,top_target.stopped,tgt_fix.stopped,bot_target.stopped,target_resp.stopped,alt,task,condition,target_resp.keys,rewCond,vts_fback.started,target_resp.rt,vts_fback.stopped,blockNum,norew_fback.started,norew_fback.stopped,key_resp_2.keys,key_resp_2.rt,rewExpectancy,feedbk_text.started,feedbk_text.stopped,text_3.started,text_3.stopped,button.started,debrief.index,debrief.itemText,debrief.type,debrief.granularity,debrief.font,debrief.markerColor,debrief.response,debrief.rt,button.numClicks,button.timesOn,button.timesOff,participant,date,expName,psychopyVersion,frameRate,
0,0,0,1,0,0,1,0,star,hexagon,0,0,0,0,1,7,19,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,105.64205387700349,105.64205387700349,105.64205387700349,105.64205387700349,105.64205387700349,105.64205387700349,105.64205387700349,105.64205387700349,105.64205387700349,105.64205387700349,l,1.9353863610012922,1,110,0,107.6092897579947,109.10980027299956,109.10980027299956,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,61617,2022-10-27_13h53.33.350,vts_reward_expectancy_bt_OFFLINE,2022.2.4,60.05368427426278,
1,0,0,0,0,0,0,1,triangle,star,0,0,0,0,1,8,20,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,109.61172342700593,109.61172342700593,109.61172342700593,109.61172342700593,109.61172342700593,109.61172342700593,109.61172342700593,109.61172342700593,109.61172342700593,109.61172342700593,a,1.094490092014894,10,120,0,110.72997914699954,112.22938939499727,112.22938939499727,112.72944434000237,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,61617,2022-10-27_13h53.33.350,vts_reward_expectancy_bt_OFFLINE,2022.2.4,60.05368427426278,
0,0,1,0,1,0,0,0,hexagon,triangle,0,0,0,0,1,9,21,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,112.72944434000237,112.72944434000237,112.72944434000237,112.72944434000237,112.72944434000237,112.72944434000237,112.72944434000237,112.72944434000237,112.72944434000237,112.72944434000237,a,5.897116709005786,1,121,0,118.65112693999254,120.15244260299369,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,61617,2022-10-27_13h53.33.350,vts_reward_expectancy_bt_OFFLINE,2022.2.4,60.05368427426278,
0,0,1,0,0,1,0,0,hexagon,circle,0,0,0,0,1,10,22,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,120.65285622800002,120.65285622800002,120.65285622800002,120.65285622800002,120.65285622800002,120.65285622800002,120.65285622800002,120.65285622800002,120.65285622800002,120.65285622800002,a,1.1808222610125085,1,122,0,121.85314175799431,123.35361591400579,123.35361591400579,123.85399504800444,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,61617,2022-10-27_13h53.33.350,vts_reward_expectancy_bt_OFFLINE,2022.2.4,60.05368427426278,
0,0,0,1,0,1,0,0,star ,circle,0,0,0,0,1,11,23,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,123.85399504800444,123.85399504800444,123.85399504800444,123.85399504800444,123.85399504800444,123.85399504800444,123.85399504800444,123.85399504800444,123.85399504800444,123.85399504800444,l,2.211889889003942,10,132,0,126.09094753899262,127.59050182699866,127.59050182699866,128.09050533099798,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,61617,2022-10-27_13h53.33.350,vts_reward_expectancy_bt_OFFLINE,2022.2.4,60.05368427426278,
0,0,0,1,1,0,0,0,star,triangle,0,0,0,0,2,0,24,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,128.09050533099798,128.09050533099798,128.09050533099798,128.09050533099798,128.09050533099798,128.09050533099798,128.09050533099798,128.09050533099798,128.09050533099798,128.09050533099798,l,0.9760662600165233,10,142,0,129.0907889319933,130.5932371270028,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,61617,2022-10-27_13h53.33.350,vts_reward_expectancy_bt_OFFLINE,2022.2.4,60.05368427426278,
0,0,1,0,0,0,0,1,hexagon,star,0,0,0,0,2,1,25,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,131.09344769899326,131.09344769899326,131.09344769899326,131.09344769899326,131.09344769899326,131.09344769899326,131.09344769899326,131.09344769899326,131.09344769899326,131.09344769899326,a,0.8119811120122904,1,143,0,131.92790090100607,133.42782563700166,133.42782563700166,133.92793711999548,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,61617,2022-10-27_13h53.33.350,vts_reward_expectancy_bt_OFFLINE,2022.2.4,60.05368427426278,
0,1,0,0,1,0,0,0,circle,triangle,0,0,0,0,2,2,26,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,133.92793711999548,133.92793711999548,133.92793711999548,133.92793711999548,133.92793711999548,133.92793711999548,133.92793711999548,133.92793711999548,133.92793711999548,133.92793711999548,a,0.9054962789959973,10,153,0,134.86430432400084,136.36409412699868,136.36409412699868,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,61617,2022-10-27_13h53.33.350,vts_reward_expectancy_bt_OFFLINE,2022.2.4,60.05368427426278,
0,0,1,0,1,0,0,0,hexagon,triangle,0,0,0,0,2,3,27,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,136.86413314599486,136.86413314599486,136.86413314599486,136.86413314599486,136.86413314599486,136.86413314599486,136.86413314599486,136.86413314599486,136.86413314599486,136.86413314599486,l,2.4497045910102315,1,154,0,139.3327601320052,140.83392207199358,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,61617,2022-10-27_13h53.33.350,vts_reward_expectancy_bt_OFFLINE,2022.2.4,60.05368427426278,
0,1,0,0,0,0,1,0,circle,hexagon,0,0,0,0,2,4,28,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,141.33417591400212,141.33417591400212,141.33417591400212,141.33417591400212,141.33417591400212,141.33417591400212,141.33417591400212,141.33417591400212,141.33417591400212,141.33417591400212,a,1.8201496789988596,10,164,0,143.18612430000212,144.68711782099854,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,61617,2022-10-27_13h53.33.350,vts_reward_expectancy_bt_OFFLINE,2022.2.4,60.05368427426278,
0,0,0,1,0,1,0,0,star ,circle,0,0,0,0,2,5,29,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,145.18740222600172,145.18740222600172,145.18740222600172,145.18740222600172,145.18740222600172,145.18740222600172,145.18740222600172,145.18740222600172,145.18740222600172,145.18740222600172,l,5.58256974600954,10,174,0,150.79137456900207,152.29188109499228,152.29188109499228,152.79191549100506,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,61617,2022-10-27_13h53.33.350,vts_reward_expectancy_bt_OFFLINE,2022.2.4,60.05368427426278,
