LTriangleOpac,LCircleOpac,LHexagonOpac,LStarOpac,RTriangleOpac,RCircleOpac,RHexagonOpac,RStarOpac,LShape_ID,RShape_ID,training_blocks.thisRepN,training_blocks.thisTrialN,training_blocks.thisN,training_blocks.thisIndex,training.thisRepN,training.thisTrialN,training.thisN,training.thisIndex,task1_prac_redo.thisRepN,task1_prac_redo.thisTrialN,task1_prac_redo.thisN,task1_prac_redo.thisIndex,task1_prac_trials.thisRepN,task1_prac_trials.thisTrialN,task1_prac_trials.thisN,task1_prac_trials.thisIndex,task2_prac_redo.thisRepN,task2_prac_redo.thisTrialN,task2_prac_redo.thisN,task2_prac_redo.thisIndex,task2_praac_trials.thisRepN,task2_praac_trials.thisTrialN,task2_praac_trials.thisN,task2_praac_trials.thisIndex,vts_prac_redo.thisRepN,vts_prac_redo.thisTrialN,vts_prac_redo.thisN,vts_prac_redo.thisIndex,vts_practice_trials.thisRepN,vts_practice_trials.thisTrialN,vts_practice_trials.thisN,vts_practice_trials.thisIndex,trials_norew.thisRepN,trials_norew.thisTrialN,trials_norew.thisN,trials_norew.thisIndex,block.thisRepN,block.thisTrialN,block.thisN,block.thisIndex,trials_rew.thisRepN,trials_rew.thisTrialN,trials_rew.thisN,trials_rew.thisIndex,key_resp.started,key_resp.keys,key_resp.rt,left_circle.started,right_circle.started,left_triangle.started,right_triangle.started,left_star.started,right_star.started,left_hexagon.started,right_hexagon.started,training_fix.started,training_resp.started,training_resp.keys,training_resp.rt,points_trial,points_cumul,trainBlock,training_feedback_txt.started,fix.started,training_feedback_txt.stopped,fix.stopped,curr_topStim,curr_bottStim,curr_shape,ISI.started,tgt_fix_prac1.started,top_target_prac1.started,bott_target_prac1.started,target_resp_prac1.started,top_target_prac1.stopped,bott_target_prac1.stopped,target_resp_prac1.stopped,acc,E1,target_resp_prac1.keys,pracBlock,prac_fback_text.started,target_resp_prac1.rt,prac_fback_text.stopped,tgt_fix_prac2.started,top_target_prac2.started,bott_target_prac2.started,target_resp_prac2.started,target_resp_prac2.keys,target_resp_prac2.rt,star.started,hegagon.started,triangle.started,circle.started,top_target.started,tgt_fix.started,bot_target.started,target_resp.started,star.stopped,hegagon.stopped,triangle.stopped,circle.stopped,alt,task,condition,target_resp.keys,target_resp.rt,rewCond,vts_fback.started,vts_fback.stopped,blockNum,norew_fback.started,top_target.stopped,tgt_fix.stopped,bot_target.stopped,target_resp.stopped,norew_fback.stopped,key_resp_2.keys,key_resp_2.rt,rewExpectancy,feedbk_text.started,feedbk_text.stopped,text_3.started,debrief.started,text_3.stopped,button.started,debrief.index,debrief.itemText,debrief.type,debrief.granularity,debrief.font,debrief.markerColor,debrief.response,debrief.rt,button.numClicks,button.timesOn,button.timesOff,participant,date,expName,psychopyVersion,frameRate,
0,0,0,1,0,0,1,0,star,hexagon,0,0,0,0,0,9,9,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,86.95953093096614,86.95953093096614,86.95953093096614,86.95953093096614,86.95953093096614,86.95953093096614,86.95953093096614,86.95953093096614,86.95953093096614,86.95953093096614,a,0.6633153758011758,1,37,0,87.6432424033992,89.14370671333745,89.14370671333745,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16771,2022-12-01_14h02.20.602,vts_reward_expectancy_bt_OFFLINE,2022.2.4,59.94994940911568,
1,0,0,0,0,0,0,1,triangle,star,0,0,0,0,0,10,10,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,89.64589656703174,89.64589656703174,89.64589656703174,89.64589656703174,89.64589656703174,89.64589656703174,89.64589656703174,89.64589656703174,89.64589656703174,89.64589656703174,a,1.5671885940246284,1,38,0,91.22980630025268,92.73019221331924,92.73019221331924,93.23048558039591,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16771,2022-12-01_14h02.20.602,vts_reward_expectancy_bt_OFFLINE,2022.2.4,59.94994940911568,
0,1,0,0,0,0,1,0,circle,hexagon,0,0,0,0,0,11,11,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,93.23048558039591,93.23048558039591,93.23048558039591,93.23048558039591,93.23048558039591,93.23048558039591,93.23048558039591,93.23048558039591,93.23048558039591,93.23048558039591,a,1.4138580369763076,1,39,0,94.66606562631205,96.1666280310601,96.1666280310601,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16771,2022-12-01_14h02.20.602,vts_reward_expectancy_bt_OFFLINE,2022.2.4,59.94994940911568,
0,0,0,1,0,0,1,0,star,hexagon,0,0,0,0,1,0,12,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,96.6666436851956,96.6666436851956,96.6666436851956,96.6666436851956,96.6666436851956,96.6666436851956,96.6666436851956,96.6666436851956,96.6666436851956,96.6666436851956,a,0.5425603119656444,10,49,0,97.23552396241575,98.75083019537851,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16771,2022-12-01_14h02.20.602,vts_reward_expectancy_bt_OFFLINE,2022.2.4,59.94994940911568,
0,0,0,1,1,0,0,0,star,triangle,0,0,0,0,1,1,13,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99.25099067436531,99.25099067436531,99.25099067436531,99.25099067436531,99.25099067436531,99.25099067436531,99.25099067436531,99.25099067436531,99.25099067436531,99.25099067436531,a,2.4583582188934088,10,59,0,101.73725746804848,103.23788318037987,103.23788318037987,103.73783879401162,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16771,2022-12-01_14h02.20.602,vts_reward_expectancy_bt_OFFLINE,2022.2.4,59.94994940911568,
0,0,0,1,0,1,0,0,star ,circle,0,0,0,0,1,2,14,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,103.73783879401162,103.73783879401162,103.73783879401162,103.73783879401162,103.73783879401162,103.73783879401162,103.73783879401162,103.73783879401162,103.73783879401162,103.73783879401162,l,0.5582365687005222,1,60,0,104.3233745591715,105.8240207079798,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16771,2022-12-01_14h02.20.602,vts_reward_expectancy_bt_OFFLINE,2022.2.4,59.94994940911568,
0,0,1,0,0,1,0,0,hexagon,circle,0,0,0,0,1,3,15,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,106.32413883134723,106.32413883134723,106.32413883134723,106.32413883134723,106.32413883134723,106.32413883134723,106.32413883134723,106.32413883134723,106.32413883134723,106.32413883134723,l,0.8746866071596742,10,70,0,107.22617953736335,108.74158872524276,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16771,2022-12-01_14h02.20.602,vts_reward_expectancy_bt_OFFLINE,2022.2.4,59.94994940911568,
1,0,0,0,0,0,1,0,triangle,hexagon,0,0,0,0,1,4,16,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,109.24147648923099,109.24147648923099,109.24147648923099,109.24147648923099,109.24147648923099,109.24147648923099,109.24147648923099,109.24147648923099,109.24147648923099,109.24147648923099,l,1.715307445731014,10,80,0,110.97762918099761,112.4779512854293,112.4779512854293,112.9780782032758,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16771,2022-12-01_14h02.20.602,vts_reward_expectancy_bt_OFFLINE,2022.2.4,59.94994940911568,
0,1,0,0,1,0,0,0,circle,triangle,0,0,0,0,1,5,17,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,112.9780782032758,112.9780782032758,112.9780782032758,112.9780782032758,112.9780782032758,112.9780782032758,112.9780782032758,112.9780782032758,112.9780782032758,112.9780782032758,a,2.636275125667453,10,90,0,115.63072113599628,117.13162019429728,117.13162019429728,117.63163512013853,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16771,2022-12-01_14h02.20.602,vts_reward_expectancy_bt_OFFLINE,2022.2.4,59.94994940911568,
0,0,1,0,1,0,0,0,hexagon,triangle,0,0,0,0,1,6,18,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,117.63163512013853,117.63163512013853,117.63163512013853,117.63163512013853,117.63163512013853,117.63163512013853,117.63163512013853,117.63163512013853,117.63163512013853,117.63163512013853,a,1.2685700827278197,1,91,0,118.93296639807522,120.43481542216614,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16771,2022-12-01_14h02.20.602,vts_reward_expectancy_bt_OFFLINE,2022.2.4,59.94994940911568,
1,0,0,0,0,1,0,0,triangle,circle,0,0,0,0,1,7,19,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,120.9348228033632,120.9348228033632,120.9348228033632,120.9348228033632,120.9348228033632,120.9348228033632,120.9348228033632,120.9348228033632,120.9348228033632,120.9348228033632,l,1.5757677326910198,1,92,0,122.53525372315198,124.0360846943222,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16771,2022-12-01_14h02.20.602,vts_reward_expectancy_bt_OFFLINE,2022.2.4,59.94994940911568,
1,0,0,0,0,0,0,1,triangle,star,0,0,0,0,1,8,20,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,124.53788540139794,124.53788540139794,124.53788540139794,124.53788540139794,124.53788540139794,124.53788540139794,124.53788540139794,124.53788540139794,124.53788540139794,124.53788540139794,l,0.616784012876451,10,102,0,125.17347300238907,126.68877613404766,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16771,2022-12-01_14h02.20.602,vts_reward_expectancy_bt_OFFLINE,2022.2.4,59.94994940911568,
0,1,0,0,0,0,1,0,circle,hexagon,0,0,0,0,1,9,21,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,127.18891813233495,127.18891813233495,127.18891813233495,127.18891813233495,127.18891813233495,127.18891813233495,127.18891813233495,127.18891813233495,127.18891813233495,127.18891813233495,l,2.702956823632121,1,103,0,129.91054268321022,131.42553871823475,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16771,2022-12-01_14h02.20.602,vts_reward_expectancy_bt_OFFLINE,2022.2.4,59.94994940911568,
0,0,1,0,0,0,0,1,hexagon,star,0,0,0,0,1,10,22,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,131.92574917525053,131.92574917525053,131.92574917525053,131.92574917525053,131.92574917525053,131.92574917525053,131.92574917525053,131.92574917525053,131.92574917525053,131.92574917525053,l,0.7107471767812967,10,113,0,132.6610769443214,134.17660193610936,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16771,2022-12-01_14h02.20.602,vts_reward_expectancy_bt_OFFLINE,2022.2.4,59.94994940911568,
0,1,0,0,0,0,0,1,circle,star,0,0,0,0,1,11,23,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,134.66215554717928,134.66215554717928,134.66215554717928,134.66215554717928,134.66215554717928,134.66215554717928,134.66215554717928,134.66215554717928,134.66215554717928,134.66215554717928,a,0.7986625689081848,10,123,0,135.47891215141863,136.9792373580858,136.9792373580858,137.47966480301693,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16771,2022-12-01_14h02.20.602,vts_reward_expectancy_bt_OFFLINE,2022.2.4,59.94994940911568,
0,1,0,0,0,0,0,1,circle,star,0,0,0,0,2,0,24,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,137.47966480301693,137.47966480301693,137.47966480301693,137.47966480301693,137.47966480301693,137.47966480301693,137.47966480301693,137.47966480301693,137.47966480301693,137.47966480301693,a,0.5232954267412424,10,133,0,138.02977818530053,139.53225798811764,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16771,2022-12-01_14h02.20.602,vts_reward_expectancy_bt_OFFLINE,2022.2.4,59.94994940911568,
1,0,0,0,0,0,0,1,triangle,star,0,0,0,0,2,1,25,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,140.0320801991038,140.0320801991038,140.0320801991038,140.0320801991038,140.0320801991038,140.0320801991038,140.0320801991038,140.0320801991038,140.0320801991038,140.0320801991038,l,0.8734715986065567,10,143,0,140.93301158817485,142.43335818499327,142.43335818499327,142.93308696709573,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16771,2022-12-01_14h02.20.602,vts_reward_expectancy_bt_OFFLINE,2022.2.4,59.94994940911568,
0,0,0,1,1,0,0,0,star,triangle,0,0,0,0,2,2,26,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,142.93308696709573,142.93308696709573,142.93308696709573,142.93308696709573,142.93308696709573,142.93308696709573,142.93308696709573,142.93308696709573,142.93308696709573,142.93308696709573,a,0.8758542686700821,10,153,0,143.833855594974,145.3357053999789,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16771,2022-12-01_14h02.20.602,vts_reward_expectancy_bt_OFFLINE,2022.2.4,59.94994940911568,
0,1,0,0,1,0,0,0,circle,triangle,0,0,0,0,2,3,27,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,145.83626270014793,145.83626270014793,145.83626270014793,145.83626270014793,145.83626270014793,145.83626270014793,145.83626270014793,145.83626270014793,145.83626270014793,145.83626270014793,a,2.259171994868666,10,163,0,148.12044248124585,149.6227527251467,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16771,2022-12-01_14h02.20.602,vts_reward_expectancy_bt_OFFLINE,2022.2.4,59.94994940911568,
0,0,1,0,1,0,0,0,hexagon,triangle,0,0,0,0,2,4,28,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,150.12277983501554,150.12277983501554,150.12277983501554,150.12277983501554,150.12277983501554,150.12277983501554,150.12277983501554,150.12277983501554,150.12277983501554,150.12277983501554,a,1.0325794876553118,1,164,0,151.1754552903585,152.69043414201587,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16771,2022-12-01_14h02.20.602,vts_reward_expectancy_bt_OFFLINE,2022.2.4,59.94994940911568,
1,0,0,0,0,1,0,0,triangle,circle,0,0,0,0,2,5,29,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,153.19075983716175,153.19075983716175,153.19075983716175,153.19075983716175,153.19075983716175,153.19075983716175,153.19075983716175,153.19075983716175,153.19075983716175,153.19075983716175,l,1.3503371118567884,10,174,0,154.56197520717978,156.07702950714156,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16771,2022-12-01_14h02.20.602,vts_reward_expectancy_bt_OFFLINE,2022.2.4,59.94994940911568,
0,1,0,0,0,0,1,0,circle,hexagon,0,0,0,0,2,6,30,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,156.57693835813552,156.57693835813552,156.57693835813552,156.57693835813552,156.57693835813552,156.57693835813552,156.57693835813552,156.57693835813552,156.57693835813552,156.57693835813552,a,1.4634985937736928,10,184,0,158.06103911204264,159.5634369063191,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16771,2022-12-01_14h02.20.602,vts_reward_expectancy_bt_OFFLINE,2022.2.4,59.94994940911568,
0,0,1,0,0,0,0,1,hexagon,star,0,0,0,0,2,7,31,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,160.06337343808264,160.06337343808264,160.06337343808264,160.06337343808264,160.06337343808264,160.06337343808264,160.06337343808264,160.06337343808264,160.06337343808264,160.06337343808264,l,0.9016914395615458,10,194,0,160.99754098197445,162.4978865920566,162.4978865920566,162.9979748101905,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16771,2022-12-01_14h02.20.602,vts_reward_expectancy_bt_OFFLINE,2022.2.4,59.94994940911568,
1,0,0,0,0,0,1,0,triangle,hexagon,0,0,0,0,2,8,32,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,162.9979748101905,162.9979748101905,162.9979748101905,162.9979748101905,162.9979748101905,162.9979748101905,162.9979748101905,162.9979748101905,162.9979748101905,162.9979748101905,l,1.2298578256741166,10,204,0,164.24838311504573,165.75079351617023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16771,2022-12-01_14h02.20.602,vts_reward_expectancy_bt_OFFLINE,2022.2.4,59.94994940911568,
