LTriangleOpac,LCircleOpac,LHexagonOpac,LStarOpac,RTriangleOpac,RCircleOpac,RHexagonOpac,RStarOpac,LShape_ID,RShape_ID,training_blocks.thisRepN,training_blocks.thisTrialN,training_blocks.thisN,training_blocks.thisIndex,training.thisRepN,training.thisTrialN,training.thisN,training.thisIndex,task1_prac_redo.thisRepN,task1_prac_redo.thisTrialN,task1_prac_redo.thisN,task1_prac_redo.thisIndex,task1_prac_trials.thisRepN,task1_prac_trials.thisTrialN,task1_prac_trials.thisN,task1_prac_trials.thisIndex,task2_prac_redo.thisRepN,task2_prac_redo.thisTrialN,task2_prac_redo.thisN,task2_prac_redo.thisIndex,task2_praac_trials.thisRepN,task2_praac_trials.thisTrialN,task2_praac_trials.thisN,task2_praac_trials.thisIndex,vts_prac_redo.thisRepN,vts_prac_redo.thisTrialN,vts_prac_redo.thisN,vts_prac_redo.thisIndex,vts_practice_trials.thisRepN,vts_practice_trials.thisTrialN,vts_practice_trials.thisN,vts_practice_trials.thisIndex,trials_norew.thisRepN,trials_norew.thisTrialN,trials_norew.thisN,trials_norew.thisIndex,block.thisRepN,block.thisTrialN,block.thisN,block.thisIndex,trials_rew.thisRepN,trials_rew.thisTrialN,trials_rew.thisN,trials_rew.thisIndex,key_resp.started,key_resp.keys,key_resp.rt,left_circle.started,right_circle.started,left_triangle.started,right_triangle.started,left_star.started,right_star.started,left_hexagon.started,right_hexagon.started,training_fix.started,training_resp.started,training_resp.keys,training_resp.rt,points_trial,points_cumul,trainBlock,training_feedback_txt.started,fix.started,training_feedback_txt.stopped,curr_topStim,curr_bottStim,curr_shape,ISI.started,tgt_fix_prac1.started,top_target_prac1.started,bott_target_prac1.started,target_resp_prac1.started,acc,E1,target_resp_prac1.keys,target_resp_prac1.rt,pracBlock,prac_fback_text.started,tgt_fix_prac2.started,top_target_prac2.started,bott_target_prac2.started,target_resp_prac2.started,target_resp_prac2.keys,target_resp_prac2.rt,star.started,hegagon.started,triangle.started,circle.started,star.stopped,hegagon.stopped,triangle.stopped,circle.stopped,top_target.started,tgt_fix.started,bot_target.started,target_resp.started,top_target.stopped,tgt_fix.stopped,bot_target.stopped,target_resp.stopped,alt,task,condition,target_resp.keys,rewCond,vts_fback.started,vts_fback.stopped,fix.stopped,target_resp.rt,blockNum,norew_fback.started,norew_fback.stopped,key_resp_2.keys,key_resp_2.rt,rewExpectancy,feedbk_text.started,feedbk_text.stopped,text_3.started,debrief.started,text_3.stopped,button.started,debrief.index,debrief.itemText,debrief.type,debrief.granularity,debrief.font,debrief.markerColor,debrief.response,debrief.rt,button.numClicks,button.timesOn,button.timesOff,participant,date,expName,psychopyVersion,frameRate,
0,0,1,0,0,0,0,1,hexagon,star,0,0,0,0,1,7,19,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,983.873013681994,983.873013681994,983.873013681994,983.873013681994,983.873013681994,983.873013681994,983.873013681994,983.873013681994,983.873013681994,983.873013681994,a,1.1114078199898358,1,137,0,985.0073895179958,986.5091830199963,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17022,2022-11-03_11h17.55.310,vts_reward_expectancy_bt_OFFLINE,2022.2.4,59.929231485705024,
0,0,0,1,0,0,1,0,star,hexagon,0,0,0,0,1,8,20,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,987.0096253989905,987.0096253989905,987.0096253989905,987.0096253989905,987.0096253989905,987.0096253989905,987.0096253989905,987.0096253989905,987.0096253989905,987.0096253989905,a,0.924617466997006,1,138,0,987.9608897339931,989.4623272209865,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17022,2022-11-03_11h17.55.310,vts_reward_expectancy_bt_OFFLINE,2022.2.4,59.929231485705024,
1,0,0,0,0,0,0,1,triangle,star,0,0,0,0,1,9,21,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,989.9629894499958,989.9629894499958,989.9629894499958,989.9629894499958,989.9629894499958,989.9629894499958,989.9629894499958,989.9629894499958,989.9629894499958,989.9629894499958,l,1.8405310590023873,1,139,0,991.8318515099963,993.3335724229983,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17022,2022-11-03_11h17.55.310,vts_reward_expectancy_bt_OFFLINE,2022.2.4,59.929231485705024,
0,1,0,0,0,0,0,1,circle,star,0,0,0,0,1,10,22,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,993.8339711569861,993.8339711569861,993.8339711569861,993.8339711569861,993.8339711569861,993.8339711569861,993.8339711569861,993.8339711569861,993.8339711569861,993.8339711569861,l,1.2757051980006509,1,140,0,995.1352277259866,996.6368606679898,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17022,2022-11-03_11h17.55.310,vts_reward_expectancy_bt_OFFLINE,2022.2.4,59.929231485705024,
0,1,0,0,1,0,0,0,circle,triangle,0,0,0,0,1,11,23,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,997.1375023799919,997.1375023799919,997.1375023799919,997.1375023799919,997.1375023799919,997.1375023799919,997.1375023799919,997.1375023799919,997.1375023799919,997.1375023799919,l,0.8306230610032799,10,150,0,997.9883303639945,999.48997843299,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17022,2022-11-03_11h17.55.310,vts_reward_expectancy_bt_OFFLINE,2022.2.4,59.929231485705024,
0,0,1,0,0,1,0,0,hexagon,circle,0,0,0,0,2,0,24,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,999.9904945179878,999.9904945179878,999.9904945179878,999.9904945179878,999.9904945179878,999.9904945179878,999.9904945179878,999.9904945179878,999.9904945179878,999.9904945179878,l,0.9025310880097095,1,151,0,1000.9249442719884,1002.4265530699922,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17022,2022-11-03_11h17.55.310,vts_reward_expectancy_bt_OFFLINE,2022.2.4,59.929231485705024,
1,0,0,0,0,0,0,1,triangle,star,0,0,0,0,2,1,25,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1002.9274756769883,1002.9274756769883,1002.9274756769883,1002.9274756769883,1002.9274756769883,1002.9274756769883,1002.9274756769883,1002.9274756769883,1002.9274756769883,1002.9274756769883,l,0.7563201150042005,10,161,0,1003.7114983119973,1005.2132423399889,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17022,2022-11-03_11h17.55.310,vts_reward_expectancy_bt_OFFLINE,2022.2.4,59.929231485705024,
1,0,0,0,0,1,0,0,triangle,circle,0,0,0,0,2,2,26,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1005.7137377009931,1005.7137377009931,1005.7137377009931,1005.7137377009931,1005.7137377009931,1005.7137377009931,1005.7137377009931,1005.7137377009931,1005.7137377009931,1005.7137377009931,a,0.9858090670022648,10,171,0,1006.7313393669901,1008.2334387129958,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17022,2022-11-03_11h17.55.310,vts_reward_expectancy_bt_OFFLINE,2022.2.4,59.929231485705024,
0,0,1,0,0,0,0,1,hexagon,star,0,0,0,0,2,3,27,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1008.733687777989,1008.733687777989,1008.733687777989,1008.733687777989,1008.733687777989,1008.733687777989,1008.733687777989,1008.733687777989,1008.733687777989,1008.733687777989,a,1.1587244840047788,1,172,0,1009.9182386129978,1011.4198500459897,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17022,2022-11-03_11h17.55.310,vts_reward_expectancy_bt_OFFLINE,2022.2.4,59.929231485705024,
0,0,1,0,1,0,0,0,hexagon,triangle,0,0,0,0,2,4,28,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1011.9204611769965,1011.9204611769965,1011.9204611769965,1011.9204611769965,1011.9204611769965,1011.9204611769965,1011.9204611769965,1011.9204611769965,1011.9204611769965,1011.9204611769965,a,2.3936321520013735,10,182,0,1014.3394284979877,1015.841813313993,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17022,2022-11-03_11h17.55.310,vts_reward_expectancy_bt_OFFLINE,2022.2.4,59.929231485705024,
