LTriangleOpac,LCircleOpac,LHexagonOpac,LStarOpac,RTriangleOpac,RCircleOpac,RHexagonOpac,RStarOpac,LShape_ID,RShape_ID,training_blocks.thisRepN,training_blocks.thisTrialN,training_blocks.thisN,training_blocks.thisIndex,training.thisRepN,training.thisTrialN,training.thisN,training.thisIndex,task1_prac_redo.thisRepN,task1_prac_redo.thisTrialN,task1_prac_redo.thisN,task1_prac_redo.thisIndex,task1_prac_trials.thisRepN,task1_prac_trials.thisTrialN,task1_prac_trials.thisN,task1_prac_trials.thisIndex,task2_prac_redo.thisRepN,task2_prac_redo.thisTrialN,task2_prac_redo.thisN,task2_prac_redo.thisIndex,task2_praac_trials.thisRepN,task2_praac_trials.thisTrialN,task2_praac_trials.thisN,task2_praac_trials.thisIndex,vts_prac_redo.thisRepN,vts_prac_redo.thisTrialN,vts_prac_redo.thisN,vts_prac_redo.thisIndex,vts_practice_trials.thisRepN,vts_practice_trials.thisTrialN,vts_practice_trials.thisN,vts_practice_trials.thisIndex,trials_norew.thisRepN,trials_norew.thisTrialN,trials_norew.thisN,trials_norew.thisIndex,block.thisRepN,block.thisTrialN,block.thisN,block.thisIndex,trials_rew.thisRepN,trials_rew.thisTrialN,trials_rew.thisN,trials_rew.thisIndex,key_resp.started,key_resp.keys,key_resp.rt,left_circle.started,right_circle.started,left_triangle.started,right_triangle.started,left_star.started,right_star.started,left_hexagon.started,right_hexagon.started,training_fix.started,training_resp.started,training_resp.keys,training_resp.rt,points_trial,points_cumul,trainBlock,training_feedback_txt.started,fix.started,training_feedback_txt.stopped,curr_topStim,curr_bottStim,curr_shape,ISI.started,tgt_fix_prac1.started,top_target_prac1.started,bott_target_prac1.started,target_resp_prac1.started,top_target_prac1.stopped,tgt_fix_prac1.stopped,bott_target_prac1.stopped,target_resp_prac1.stopped,acc,E1,target_resp_prac1.keys,pracBlock,prac_fback_text.started,prac_fback_text.stopped,fix.stopped,target_resp_prac1.rt,tgt_fix_prac2.started,top_target_prac2.started,bott_target_prac2.started,target_resp_prac2.started,target_resp_prac2.keys,target_resp_prac2.rt,star.started,hegagon.started,triangle.started,circle.started,star.stopped,hegagon.stopped,triangle.stopped,circle.stopped,top_target.started,tgt_fix.started,bot_target.started,target_resp.started,alt,task,condition,target_resp.keys,target_resp.rt,rewCond,vts_fback.started,blockNum,norew_fback.started,norew_fback.stopped,key_resp_2.keys,key_resp_2.rt,rewExpectancy,feedbk_text.started,feedbk_text.stopped,text_3.started,text_3.stopped,button.started,debrief.index,debrief.itemText,debrief.type,debrief.granularity,debrief.font,debrief.markerColor,debrief.response,debrief.rt,button.numClicks,button.timesOn,button.timesOff,participant,date,expName,psychopyVersion,frameRate,
1,0,0,0,0,1,0,0,triangle,circle,0,0,0,0,1,7,19,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1126.4473978140013,1126.4473978140013,1126.4473978140013,1126.4473978140013,1126.4473978140013,1126.4473978140013,1126.4473978140013,1126.4473978140013,1126.4473978140013,1126.4473978140013,a,2.2481303550011944,10,110,0,1128.7166047139908,1130.2181671809958,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,90200,2022-10-28_14h56.09.170,vts_reward_expectancy_bt_OFFLINE,2022.2.4,59.94487158089674,
0,0,1,0,0,1,0,0,hexagon,circle,0,0,0,0,1,8,20,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1130.7187540070008,1130.7187540070008,1130.7187540070008,1130.7187540070008,1130.7187540070008,1130.7187540070008,1130.7187540070008,1130.7187540070008,1130.7187540070008,1130.7187540070008,a,1.1859548720094608,1,111,0,1131.9369202980015,1133.4383136480028,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,90200,2022-10-28_14h56.09.170,vts_reward_expectancy_bt_OFFLINE,2022.2.4,59.94487158089674,
0,0,0,1,1,0,0,0,star,triangle,0,0,0,0,1,9,21,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1133.938962426997,1133.938962426997,1133.938962426997,1133.938962426997,1133.938962426997,1133.938962426997,1133.938962426997,1133.938962426997,1133.938962426997,1133.938962426997,l,0.7568526989925886,10,121,0,1134.723109116996,1136.2247042410017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,90200,2022-10-28_14h56.09.170,vts_reward_expectancy_bt_OFFLINE,2022.2.4,59.94487158089674,
0,1,0,0,0,0,1,0,circle,hexagon,0,0,0,0,1,10,22,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1136.725332556991,1136.725332556991,1136.725332556991,1136.725332556991,1136.725332556991,1136.725332556991,1136.725332556991,1136.725332556991,1136.725332556991,1136.725332556991,l,1.554174150005565,10,131,0,1138.3104380540026,1139.811897120002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,90200,2022-10-28_14h56.09.170,vts_reward_expectancy_bt_OFFLINE,2022.2.4,59.94487158089674,
1,0,0,0,0,0,1,0,triangle,hexagon,0,0,0,0,1,11,23,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1140.312877121003,1140.312877121003,1140.312877121003,1140.312877121003,1140.312877121003,1140.312877121003,1140.312877121003,1140.312877121003,1140.312877121003,1140.312877121003,l,1.9829058769973926,10,141,0,1142.314978659997,1143.8166336229915,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,90200,2022-10-28_14h56.09.170,vts_reward_expectancy_bt_OFFLINE,2022.2.4,59.94487158089674,
0,0,0,1,1,0,0,0,star,triangle,0,0,0,0,2,0,24,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1144.3170494880032,1144.3170494880032,1144.3170494880032,1144.3170494880032,1144.3170494880032,1144.3170494880032,1144.3170494880032,1144.3170494880032,1144.3170494880032,1144.3170494880032,a,0.9948450959927868,1,142,0,1145.3350057019998,1146.8366416450008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,90200,2022-10-28_14h56.09.170,vts_reward_expectancy_bt_OFFLINE,2022.2.4,59.94487158089674,
0,1,0,0,1,0,0,0,circle,triangle,0,0,0,0,2,1,25,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1147.3370132639975,1147.3370132639975,1147.3370132639975,1147.3370132639975,1147.3370132639975,1147.3370132639975,1147.3370132639975,1147.3370132639975,1147.3370132639975,1147.3370132639975,l,1.3420715370011749,1,143,0,1148.7053610430012,1150.207007178993,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,90200,2022-10-28_14h56.09.170,vts_reward_expectancy_bt_OFFLINE,2022.2.4,59.94487158089674,
0,1,0,0,0,0,0,1,circle,star,0,0,0,0,2,2,26,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1150.7074718520016,1150.7074718520016,1150.7074718520016,1150.7074718520016,1150.7074718520016,1150.7074718520016,1150.7074718520016,1150.7074718520016,1150.7074718520016,1150.7074718520016,l,1.1724165019841166,10,153,0,1151.9089681640035,1153.4104756960005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,90200,2022-10-28_14h56.09.170,vts_reward_expectancy_bt_OFFLINE,2022.2.4,59.94487158089674,
1,0,0,0,0,0,1,0,triangle,hexagon,0,0,0,0,2,3,27,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1153.911059502003,1153.911059502003,1153.911059502003,1153.911059502003,1153.911059502003,1153.911059502003,1153.911059502003,1153.911059502003,1153.911059502003,1153.911059502003,l,1.6245906619878951,1,154,0,1155.5629258599947,1157.0642622430023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,90200,2022-10-28_14h56.09.170,vts_reward_expectancy_bt_OFFLINE,2022.2.4,59.94487158089674,
0,0,1,0,0,1,0,0,hexagon,circle,0,0,0,0,2,4,28,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1157.5649679429916,1157.5649679429916,1157.5649679429916,1157.5649679429916,1157.5649679429916,1157.5649679429916,1157.5649679429916,1157.5649679429916,1157.5649679429916,1157.5649679429916,a,0.6263152110041119,10,164,0,1158.2156890469923,1159.7174156690016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,90200,2022-10-28_14h56.09.170,vts_reward_expectancy_bt_OFFLINE,2022.2.4,59.94487158089674,
