LTriangleOpac,LCircleOpac,LHexagonOpac,LStarOpac,RTriangleOpac,RCircleOpac,RHexagonOpac,RStarOpac,LShape_ID,RShape_ID,training_blocks.thisRepN,training_blocks.thisTrialN,training_blocks.thisN,training_blocks.thisIndex,training.thisRepN,training.thisTrialN,training.thisN,training.thisIndex,task1_prac_redo.thisRepN,task1_prac_redo.thisTrialN,task1_prac_redo.thisN,task1_prac_redo.thisIndex,task1_prac_trials.thisRepN,task1_prac_trials.thisTrialN,task1_prac_trials.thisN,task1_prac_trials.thisIndex,task2_prac_redo.thisRepN,task2_prac_redo.thisTrialN,task2_prac_redo.thisN,task2_prac_redo.thisIndex,task2_praac_trials.thisRepN,task2_praac_trials.thisTrialN,task2_praac_trials.thisN,task2_praac_trials.thisIndex,vts_prac_redo.thisRepN,vts_prac_redo.thisTrialN,vts_prac_redo.thisN,vts_prac_redo.thisIndex,vts_practice_trials.thisRepN,vts_practice_trials.thisTrialN,vts_practice_trials.thisN,vts_practice_trials.thisIndex,trials_norew.thisRepN,trials_norew.thisTrialN,trials_norew.thisN,trials_norew.thisIndex,block.thisRepN,block.thisTrialN,block.thisN,block.thisIndex,trials_rew.thisRepN,trials_rew.thisTrialN,trials_rew.thisN,trials_rew.thisIndex,key_resp.started,key_resp.keys,key_resp.rt,left_circle.started,right_circle.started,left_triangle.started,right_triangle.started,left_star.started,right_star.started,left_hexagon.started,right_hexagon.started,training_fix.started,training_resp.started,training_resp.keys,training_resp.rt,points_trial,points_cumul,trainBlock,training_feedback_txt.started,fix.started,training_feedback_txt.stopped,fix.stopped,curr_topStim,curr_bottStim,curr_shape,ISI.started,tgt_fix_prac1.started,top_target_prac1.started,bott_target_prac1.started,target_resp_prac1.started,acc,E1,target_resp_prac1.keys,target_resp_prac1.rt,pracBlock,prac_fback_text.started,tgt_fix_prac2.started,top_target_prac2.started,bott_target_prac2.started,target_resp_prac2.started,target_resp_prac2.keys,target_resp_prac2.rt,prac_fback_text.stopped,star.started,hegagon.started,triangle.started,circle.started,star.stopped,hegagon.stopped,triangle.stopped,circle.stopped,top_target.started,tgt_fix.started,bot_target.started,target_resp.started,top_target.stopped,tgt_fix.stopped,bot_target.stopped,target_resp.stopped,alt,task,condition,target_resp.keys,rewCond,vts_fback.started,vts_fback.stopped,target_resp.rt,blockNum,norew_fback.started,norew_fback.stopped,key_resp_2.keys,key_resp_2.rt,rewExpectancy,feedbk_text.started,feedbk_text.stopped,text_3.started,debrief.started,text_3.stopped,button.started,debrief.index,debrief.itemText,debrief.type,debrief.granularity,debrief.font,debrief.markerColor,debrief.response,debrief.rt,button.numClicks,button.timesOn,button.timesOff,participant,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,56,0,56,0,,,,,,,,,,,,,,,,,,,,,,,,0,990,,,1134.4467819370038,,,139,B,circle,0.0014011540042702109,,,,,1,0,,,,,,,,,,,,1130.3521424930077,1130.3521424930077,1130.3521424930077,1130.3521424930077,1131.8606788350153,1131.8606788350153,1131.8606788350153,1131.8606788350153,1131.8606788350153,1131.8606788350153,1131.8606788350153,1131.8606788350153,,,,,repeat,number,numRpt,d,noRew,,,1.0535736290039495,0,1132.9450697579887,,,,,,,,,,,,,,,,,,,,,,82645,2022-11-17_14h04.31.668,vts_reward_expectancy_bt_OFFLINE,2022.2.4,59.952219880520786,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,57,0,57,0,,,,,,,,,,,,,,,,,,,,,,,,0,990,,,1139.4187306200038,,1139.9193120750133,146,H,star,0.0015643719816580415,,,,,1,0,,,,,,,,,,,,1135.4242472210026,1135.4242472210026,1135.4242472210026,1135.4242472210026,1136.932847671007,1136.932847671007,1136.932847671007,1136.932847671007,1136.932847671007,1136.932847671007,1136.932847671007,1136.932847671007,,,,,switch,letter,lettSwt,j,noRew,,,0.9666302239929792,0,1137.917127015011,1139.4187306200038,,,,,,,,,,,,,,,,,,,,,82645,2022-11-17_14h04.31.668,vts_reward_expectancy_bt_OFFLINE,2022.2.4,59.952219880520786,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,58,0,58,0,,,,,,,,,,,,,,,,,,,,,,,,0,990,,,1144.3409590449883,,,167,U,circle,0.0007634070061612874,,,,,1,0,,,,,,,,,,,,1140.3980272879999,1140.3980272879999,1140.3980272879999,1140.3980272879999,1141.9049318199977,1141.9049318199977,1141.9049318199977,1141.9049318199977,1141.9049318199977,1141.9049318199977,1141.9049318199977,1141.9049318199977,,,,,repeat,letter,lettRpt,k,noRew,,,0.9100525339890737,0,1142.8392624749977,,,,,,,,,,,,,,,,,,,,,,82645,2022-11-17_14h04.31.668,vts_reward_expectancy_bt_OFFLINE,2022.2.4,59.952219880520786,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,59,0,59,0,,,,,,,,,,,,,,,,,,,,,,,,0,990,,,1149.3130712730053,,,181,F,triangle,0.0022187109861988574,,,,,1,0,,,,,,,,,,,,1145.319103317015,1145.319103317015,1145.319103317015,1145.319103317015,1146.827076673013,1146.827076673013,1146.827076673013,1146.827076673013,1146.827076673013,1146.827076673013,1146.827076673013,1146.827076673013,,,,,repeat,letter,lettRpt,j,noRew,,,0.9609210110211279,0,1147.8114213329973,,,,,,,,,,,,,,,,,,,,,,82645,2022-11-17_14h04.31.668,vts_reward_expectancy_bt_OFFLINE,2022.2.4,59.952219880520786,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60,0,60,0,,,,,,,,,,,,,,,,,,,,,,,,0,990,,,1154.2517000939988,,,139,S,triangle,0.0018161899934057146,,,,,1,0,,,,,,,,,,,,1150.2918999319954,1150.2918999319954,1150.2918999319954,1150.2918999319954,1151.7990667239937,1151.7990667239937,1151.7990667239937,1151.7990667239937,1151.7990667239937,1151.7990667239937,1151.7990667239937,1151.7990667239937,,,,,repeat,letter,lettRpt,k,noRew,,,0.9274174050078727,0,1152.7502162920136,,,,,,,,,,,,,,,,,,,,,,82645,2022-11-17_14h04.31.668,vts_reward_expectancy_bt_OFFLINE,2022.2.4,59.952219880520786,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,61,0,61,0,,,,,,,,,,,,,,,,,,,,,,,,0,990,,,1159.807854609011,,,146,U,circle,0.0016829599917400628,,,,,1,0,,,,,,,,,,,,1155.2297512730001,1155.2297512730001,1155.2297512730001,1155.2297512730001,1156.7377840300032,1156.7377840300032,1156.7377840300032,1156.7377840300032,1156.7377840300032,1156.7377840300032,1156.7377840300032,1156.7377840300032,,,,,switch,number,numSwt,d,noRew,,,1.5463795510004275,0,1158.3064488919917,,,,,,,,,,,,,,,,,,,,,,82645,2022-11-17_14h04.31.668,vts_reward_expectancy_bt_OFFLINE,2022.2.4,59.952219880520786,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,62,0,62,0,,,,,,,,,,,,,,,,,,,,,,,,0,990,,,1164.930170106003,,,132,D,circle,0.0015863569860812277,,,,,1,0,,,,,,,,,,,,1160.787102405011,1160.787102405011,1160.787102405011,1160.787102405011,1162.2941050440131,1162.2941050440131,1162.2941050440131,1162.2941050440131,1162.2941050440131,1162.2941050440131,1162.2941050440131,1162.2941050440131,,,,,repeat,number,numRpt,d,noRew,,,1.1094878720177803,0,1163.4284692530055,,,,,,,,,,,,,,,,,,,,,,82645,2022-11-17_14h04.31.668,vts_reward_expectancy_bt_OFFLINE,2022.2.4,59.952219880520786,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,63,0,63,0,,,,,,,,,,,,,,,,,,,,,,,,0,990,,,1169.8026749349956,,,125,Y,hexagon,0.0014032410108484328,,,,,1,0,,,,,,,,,,,,1165.9091801980103,1165.9091801980103,1165.9091801980103,1165.9091801980103,1167.4161815620027,1167.4161815620027,1167.4161815620027,1167.4161815620027,1167.4161815620027,1167.4161815620027,1167.4161815620027,1167.4161815620027,,,,,switch,letter,lettSwt,k,noRew,,,0.8592486520064995,0,1168.3007192779914,,,,,,,,,,,,,,,,,,,,,,82645,2022-11-17_14h04.31.668,vts_reward_expectancy_bt_OFFLINE,2022.2.4,59.952219880520786,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,0,990,,,1202.1882032119902,,,174,B,triangle,0.001994261023355648,,,,,1,0,,,,,,,,,,,,1198.193951666006,1198.193951666006,1198.193951666006,1198.193951666006,1199.7022793559881,1199.7022793559881,1199.7022793559881,1199.7022793559881,1199.7022793559881,1199.7022793559881,1199.7022793559881,1199.7022793559881,,,,,switch,number,numSwt,f,Hi,,,0.952363393997075,0,,,space,8.082742872007657,high,1200.686622573994,,,,,,,,,,,,,,,,,82645,2022-11-17_14h04.31.668,vts_reward_expectancy_bt_OFFLINE,2022.2.4,59.952219880520786,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,1,0,1,0,,,,,,,,,,,,,,,,1,991,,,1206.7262561309908,,,132,D,circle,0.0016841339820530266,,,,,1,0,,,,,,,,,,,,1203.1660894209926,1203.1660894209926,1203.1660894209926,1203.1660894209926,1204.6741984040127,1204.6741984040127,1204.6741984040127,1204.6741984040127,1204.6741984040127,1204.6741984040127,1204.6741984040127,1204.6741984040127,,,,,repeat,number,numRpt,d,Lo,,,0.5247216130082961,0,,,,,high,1205.224572348001,,,,,,,,,,,,,,,,,82645,2022-11-17_14h04.31.668,vts_reward_expectancy_bt_OFFLINE,2022.2.4,59.952219880520786,
