LTriangleOpac,LCircleOpac,LHexagonOpac,LStarOpac,RTriangleOpac,RCircleOpac,RHexagonOpac,RStarOpac,LShape_ID,RShape_ID,training_blocks.thisRepN,training_blocks.thisTrialN,training_blocks.thisN,training_blocks.thisIndex,training.thisRepN,training.thisTrialN,training.thisN,training.thisIndex,task1_prac_redo.thisRepN,task1_prac_redo.thisTrialN,task1_prac_redo.thisN,task1_prac_redo.thisIndex,task1_prac_trials.thisRepN,task1_prac_trials.thisTrialN,task1_prac_trials.thisN,task1_prac_trials.thisIndex,task2_prac_redo.thisRepN,task2_prac_redo.thisTrialN,task2_prac_redo.thisN,task2_prac_redo.thisIndex,task2_praac_trials.thisRepN,task2_praac_trials.thisTrialN,task2_praac_trials.thisN,task2_praac_trials.thisIndex,vts_prac_redo.thisRepN,vts_prac_redo.thisTrialN,vts_prac_redo.thisN,vts_prac_redo.thisIndex,vts_practice_trials.thisRepN,vts_practice_trials.thisTrialN,vts_practice_trials.thisN,vts_practice_trials.thisIndex,trials_norew.thisRepN,trials_norew.thisTrialN,trials_norew.thisN,trials_norew.thisIndex,block.thisRepN,block.thisTrialN,block.thisN,block.thisIndex,trials_rew.thisRepN,trials_rew.thisTrialN,trials_rew.thisN,trials_rew.thisIndex,key_resp.started,key_resp.keys,key_resp.rt,left_circle.started,right_circle.started,left_triangle.started,right_triangle.started,left_star.started,right_star.started,left_hexagon.started,right_hexagon.started,training_fix.started,training_resp.started,training_resp.keys,training_resp.rt,points_trial,points_cumul,trainBlock,training_feedback_txt.started,fix.started,training_feedback_txt.stopped,fix.stopped,curr_topStim,curr_bottStim,curr_shape,ISI.started,tgt_fix_prac1.started,top_target_prac1.started,bott_target_prac1.started,target_resp_prac1.started,acc,E1,target_resp_prac1.keys,target_resp_prac1.rt,pracBlock,prac_fback_text.started,tgt_fix_prac2.started,top_target_prac2.started,bott_target_prac2.started,target_resp_prac2.started,target_resp_prac2.keys,target_resp_prac2.rt,star.started,hegagon.started,triangle.started,circle.started,top_target.started,tgt_fix.started,bot_target.started,target_resp.started,star.stopped,hegagon.stopped,triangle.stopped,circle.stopped,top_target.stopped,tgt_fix.stopped,bot_target.stopped,target_resp.stopped,alt,task,condition,target_resp.keys,rewCond,vts_fback.started,target_resp.rt,vts_fback.stopped,blockNum,norew_fback.started,norew_fback.stopped,key_resp_2.keys,key_resp_2.rt,rewExpectancy,feedbk_text.started,feedbk_text.stopped,text_3.started,debrief.started,text_3.stopped,button.started,debrief.index,debrief.itemText,debrief.type,debrief.granularity,debrief.font,debrief.markerColor,debrief.response,debrief.rt,button.numClicks,button.timesOn,button.timesOff,participant,date,expName,psychopyVersion,frameRate,
0,0,1,0,1,0,0,0,hexagon,triangle,0,0,0,0,1,7,19,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,191.08449588506483,191.08449588506483,191.08449588506483,191.08449588506483,191.08449588506483,191.08449588506483,191.08449588506483,191.08449588506483,191.08449588506483,191.08449588506483,a,3.9813027450582013,1,137,0,195.0890202090377,196.59073085000273,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17658,2022-12-01_14h11.18.460,vts_reward_expectancy_bt_OFFLINE,2022.2.4,59.940586410437234,
0,0,1,0,0,1,0,0,hexagon,circle,0,0,0,0,1,8,20,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,197.09138520609122,197.09138520609122,197.09138520609122,197.09138520609122,197.09138520609122,197.09138520609122,197.09138520609122,197.09138520609122,197.09138520609122,197.09138520609122,l,5.220751827931963,1,138,0,202.33022237604018,203.83197575609665,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17658,2022-12-01_14h11.18.460,vts_reward_expectancy_bt_OFFLINE,2022.2.4,59.940586410437234,
0,1,0,0,1,0,0,0,circle,triangle,0,0,0,0,1,9,21,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,204.3326732980786,204.3326732980786,204.3326732980786,204.3326732980786,204.3326732980786,204.3326732980786,204.3326732980786,204.3326732980786,204.3326732980786,204.3326732980786,a,4.47166150494013,10,148,0,208.82055412908085,210.32254492409993,210.32254492409993,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17658,2022-12-01_14h11.18.460,vts_reward_expectancy_bt_OFFLINE,2022.2.4,59.940586410437234,
0,0,0,1,0,0,1,0,star,hexagon,0,0,0,0,1,10,22,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,210.82296356500592,210.82296356500592,210.82296356500592,210.82296356500592,210.82296356500592,210.82296356500592,210.82296356500592,210.82296356500592,210.82296356500592,210.82296356500592,a,10.00676883396227,1,149,0,220.85068498004694,222.35247347911354,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17658,2022-12-01_14h11.18.460,vts_reward_expectancy_bt_OFFLINE,2022.2.4,59.940586410437234,
0,0,1,0,0,0,0,1,hexagon,star,0,0,0,0,1,11,23,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,222.85276896506548,222.85276896506548,222.85276896506548,222.85276896506548,222.85276896506548,222.85276896506548,222.85276896506548,222.85276896506548,222.85276896506548,222.85276896506548,a,13.52552465593908,1,150,0,236.40129617101047,237.90267749503255,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17658,2022-12-01_14h11.18.460,vts_reward_expectancy_bt_OFFLINE,2022.2.4,59.940586410437234,
0,0,1,0,0,1,0,0,hexagon,circle,0,0,0,0,2,0,24,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,238.40327161806636,238.40327161806636,238.40327161806636,238.40327161806636,238.40327161806636,238.40327161806636,238.40327161806636,238.40327161806636,238.40327161806636,238.40327161806636,l,7.099565802025609,1,151,0,245.5280232850928,247.02969781809952,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17658,2022-12-01_14h11.18.460,vts_reward_expectancy_bt_OFFLINE,2022.2.4,59.940586410437234,
0,0,0,1,0,1,0,0,star ,circle,0,0,0,0,2,1,25,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,247.53019488009159,247.53019488009159,247.53019488009159,247.53019488009159,247.53019488009159,247.53019488009159,247.53019488009159,247.53019488009159,247.53019488009159,247.53019488009159,l,12.014383852947503,10,161,0,259.5767496731132,261.0786224449985,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17658,2022-12-01_14h11.18.460,vts_reward_expectancy_bt_OFFLINE,2022.2.4,59.940586410437234,
0,1,0,0,0,0,1,0,circle,hexagon,0,0,0,0,2,2,26,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,261.57891105802264,261.57891105802264,261.57891105802264,261.57891105802264,261.57891105802264,261.57891105802264,261.57891105802264,261.57891105802264,261.57891105802264,261.57891105802264,l,3.7051512399921194,10,171,0,265.31643073505256,266.8182307400275,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17658,2022-12-01_14h11.18.460,vts_reward_expectancy_bt_OFFLINE,2022.2.4,59.940586410437234,
0,0,0,1,1,0,0,0,star,triangle,0,0,0,0,2,3,27,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,267.31869355402887,267.31869355402887,267.31869355402887,267.31869355402887,267.31869355402887,267.31869355402887,267.31869355402887,267.31869355402887,267.31869355402887,267.31869355402887,a,4.409962804988027,10,181,0,271.7569739490282,273.2587441240903,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17658,2022-12-01_14h11.18.460,vts_reward_expectancy_bt_OFFLINE,2022.2.4,59.940586410437234,
0,0,1,0,1,0,0,0,hexagon,triangle,0,0,0,0,2,4,28,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,273.75906370102894,273.75906370102894,273.75906370102894,273.75906370102894,273.75906370102894,273.75906370102894,273.75906370102894,273.75906370102894,273.75906370102894,273.75906370102894,l,4.529884526971728,1,182,0,278.31397930905223,279.8157339990139,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17658,2022-12-01_14h11.18.460,vts_reward_expectancy_bt_OFFLINE,2022.2.4,59.940586410437234,
1,0,0,0,0,1,0,0,triangle,circle,0,0,0,0,2,5,29,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,280.3163559680106,280.3163559680106,280.3163559680106,280.3163559680106,280.3163559680106,280.3163559680106,280.3163559680106,280.3163559680106,280.3163559680106,280.3163559680106,l,6.724783426034264,10,192,0,287.0738416661043,288.5755543090636,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17658,2022-12-01_14h11.18.460,vts_reward_expectancy_bt_OFFLINE,2022.2.4,59.940586410437234,
