LTriangleOpac,LCircleOpac,LHexagonOpac,LStarOpac,RTriangleOpac,RCircleOpac,RHexagonOpac,RStarOpac,LShape_ID,RShape_ID,training_blocks.thisRepN,training_blocks.thisTrialN,training_blocks.thisN,training_blocks.thisIndex,training.thisRepN,training.thisTrialN,training.thisN,training.thisIndex,task1_prac_redo.thisRepN,task1_prac_redo.thisTrialN,task1_prac_redo.thisN,task1_prac_redo.thisIndex,task1_prac_trials.thisRepN,task1_prac_trials.thisTrialN,task1_prac_trials.thisN,task1_prac_trials.thisIndex,task2_prac_redo.thisRepN,task2_prac_redo.thisTrialN,task2_prac_redo.thisN,task2_prac_redo.thisIndex,task2_praac_trials.thisRepN,task2_praac_trials.thisTrialN,task2_praac_trials.thisN,task2_praac_trials.thisIndex,vts_prac_redo.thisRepN,vts_prac_redo.thisTrialN,vts_prac_redo.thisN,vts_prac_redo.thisIndex,vts_practice_trials.thisRepN,vts_practice_trials.thisTrialN,vts_practice_trials.thisN,vts_practice_trials.thisIndex,trials_norew.thisRepN,trials_norew.thisTrialN,trials_norew.thisN,trials_norew.thisIndex,block.thisRepN,block.thisTrialN,block.thisN,block.thisIndex,trials_rew.thisRepN,trials_rew.thisTrialN,trials_rew.thisN,trials_rew.thisIndex,key_resp.started,key_resp.keys,key_resp.rt,left_circle.started,right_circle.started,left_triangle.started,right_triangle.started,left_star.started,right_star.started,left_hexagon.started,right_hexagon.started,training_fix.started,training_resp.started,training_resp.keys,training_resp.rt,points_trial,points_cumul,trainBlock,training_feedback_txt.started,fix.started,training_feedback_txt.stopped,fix.stopped,curr_topStim,curr_bottStim,curr_shape,ISI.started,tgt_fix_prac1.started,top_target_prac1.started,bott_target_prac1.started,target_resp_prac1.started,acc,E1,target_resp_prac1.keys,target_resp_prac1.rt,pracBlock,prac_fback_text.started,prac_fback_text.stopped,tgt_fix_prac2.started,top_target_prac2.started,bott_target_prac2.started,target_resp_prac2.started,target_resp_prac2.keys,target_resp_prac2.rt,star.started,hegagon.started,triangle.started,circle.started,top_target.started,tgt_fix.started,bot_target.started,target_resp.started,star.stopped,hegagon.stopped,triangle.stopped,circle.stopped,alt,task,condition,target_resp.keys,target_resp.rt,rewCond,vts_fback.started,vts_fback.stopped,blockNum,norew_fback.started,norew_fback.stopped,key_resp_2.keys,key_resp_2.rt,rewExpectancy,feedbk_text.started,feedbk_text.stopped,top_target.stopped,tgt_fix.stopped,bot_target.stopped,target_resp.stopped,text_3.started,debrief.started,text_3.stopped,button.started,debrief.index,debrief.itemText,debrief.type,debrief.granularity,debrief.font,debrief.markerColor,debrief.response,debrief.rt,button.numClicks,button.timesOn,button.timesOff,participant,date,expName,psychopyVersion,frameRate,
0,1,0,0,1,0,0,0,circle,triangle,0,0,0,0,0,9,9,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1623.7534872246906,1623.7534872246906,1623.7534872246906,1623.7534872246906,1623.7534872246906,1623.7534872246906,1623.7534872246906,1623.7534872246906,1623.7534872246906,1623.7534872246906,l,1.0084326229989529,10,64,0,1624.7890330869704,1626.28981316695,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13675,2022-12-02_14h50.48.413,vts_reward_expectancy_bt_OFFLINE,2022.2.4,60.01774342024522,
0,0,0,1,0,0,1,0,star,hexagon,0,0,0,0,0,10,10,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1626.789950271137,1626.789950271137,1626.789950271137,1626.789950271137,1626.789950271137,1626.789950271137,1626.789950271137,1626.789950271137,1626.789950271137,1626.789950271137,a,1.4940239661373198,10,74,0,1628.3073330069892,1629.8076985389926,1629.8076985389926,1630.307895774953,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13675,2022-12-02_14h50.48.413,vts_reward_expectancy_bt_OFFLINE,2022.2.4,60.01774342024522,
0,1,0,0,0,0,1,0,circle,hexagon,0,0,0,0,0,11,11,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1630.307895774953,1630.307895774953,1630.307895774953,1630.307895774953,1630.307895774953,1630.307895774953,1630.307895774953,1630.307895774953,1630.307895774953,1630.307895774953,a,1.3508486710488796,1,75,0,1631.6781385079958,1633.177478776779,1633.177478776779,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13675,2022-12-02_14h50.48.413,vts_reward_expectancy_bt_OFFLINE,2022.2.4,60.01774342024522,
1,0,0,0,0,0,1,0,triangle,hexagon,0,0,0,0,1,0,12,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1633.6774903028272,1633.6774903028272,1633.6774903028272,1633.6774903028272,1633.6774903028272,1633.6774903028272,1633.6774903028272,1633.6774903028272,1633.6774903028272,1633.6774903028272,a,1.2443824242800474,10,85,0,1634.9466949598864,1636.4470529318787,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13675,2022-12-02_14h50.48.413,vts_reward_expectancy_bt_OFFLINE,2022.2.4,60.01774342024522,
0,1,0,0,0,0,1,0,circle,hexagon,0,0,0,0,1,1,13,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1636.9473201679066,1636.9473201679066,1636.9473201679066,1636.9473201679066,1636.9473201679066,1636.9473201679066,1636.9473201679066,1636.9473201679066,1636.9473201679066,1636.9473201679066,l,1.7542747124098241,1,86,0,1638.732803309802,1640.2318015000783,1640.2318015000783,1640.7320276000537,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13675,2022-12-02_14h50.48.413,vts_reward_expectancy_bt_OFFLINE,2022.2.4,60.01774342024522,
0,0,1,0,0,0,0,1,hexagon,star,0,0,0,0,1,2,14,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1640.7320276000537,1640.7320276000537,1640.7320276000537,1640.7320276000537,1640.7320276000537,1640.7320276000537,1640.7320276000537,1640.7320276000537,1640.7320276000537,1640.7320276000537,l,1.0970682725310326,10,96,0,1641.8528354307637,1643.3681521466933,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13675,2022-12-02_14h50.48.413,vts_reward_expectancy_bt_OFFLINE,2022.2.4,60.01774342024522,
0,0,1,0,1,0,0,0,hexagon,triangle,0,0,0,0,1,3,15,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1643.8683408908546,1643.8683408908546,1643.8683408908546,1643.8683408908546,1643.8683408908546,1643.8683408908546,1643.8683408908546,1643.8683408908546,1643.8683408908546,1643.8683408908546,l,0.7397040352225304,10,106,0,1644.6354097221047,1646.1358419489115,1646.1358419489115,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13675,2022-12-02_14h50.48.413,vts_reward_expectancy_bt_OFFLINE,2022.2.4,60.01774342024522,
0,1,0,0,1,0,0,0,circle,triangle,0,0,0,0,1,4,16,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1646.6377559998073,1646.6377559998073,1646.6377559998073,1646.6377559998073,1646.6377559998073,1646.6377559998073,1646.6377559998073,1646.6377559998073,1646.6377559998073,1646.6377559998073,l,0.6703379051759839,10,116,0,1647.3379927980714,1648.8385874400847,1648.8385874400847,1649.3386858808808,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13675,2022-12-02_14h50.48.413,vts_reward_expectancy_bt_OFFLINE,2022.2.4,60.01774342024522,
0,0,0,1,1,0,0,0,star,triangle,0,0,0,0,1,5,17,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1649.3386858808808,1649.3386858808808,1649.3386858808808,1649.3386858808808,1649.3386858808808,1649.3386858808808,1649.3386858808808,1649.3386858808808,1649.3386858808808,1649.3386858808808,l,0.5016910033300519,10,126,0,1649.8725046827458,1651.3748750397936,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13675,2022-12-02_14h50.48.413,vts_reward_expectancy_bt_OFFLINE,2022.2.4,60.01774342024522,
0,0,0,1,0,1,0,0,star ,circle,0,0,0,0,1,6,18,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1651.8747192779556,1651.8747192779556,1651.8747192779556,1651.8747192779556,1651.8747192779556,1651.8747192779556,1651.8747192779556,1651.8747192779556,1651.8747192779556,1651.8747192779556,a,0.7334106988273561,10,136,0,1652.6255150660872,1654.1256927750073,1654.1256927750073,1654.6257898327895,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13675,2022-12-02_14h50.48.413,vts_reward_expectancy_bt_OFFLINE,2022.2.4,60.01774342024522,
0,1,0,0,0,0,0,1,circle,star,0,0,0,0,1,7,19,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1654.6257898327895,1654.6257898327895,1654.6257898327895,1654.6257898327895,1654.6257898327895,1654.6257898327895,1654.6257898327895,1654.6257898327895,1654.6257898327895,1654.6257898327895,l,0.8621750031597912,10,146,0,1655.5096845789813,1657.0116324960254,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13675,2022-12-02_14h50.48.413,vts_reward_expectancy_bt_OFFLINE,2022.2.4,60.01774342024522,
0,0,1,0,0,1,0,0,hexagon,circle,0,0,0,0,1,8,20,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1657.5119531629607,1657.5119531629607,1657.5119531629607,1657.5119531629607,1657.5119531629607,1657.5119531629607,1657.5119531629607,1657.5119531629607,1657.5119531629607,1657.5119531629607,a,1.890415937639773,10,156,0,1659.429433179088,1660.9300345410593,1660.9300345410593,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13675,2022-12-02_14h50.48.413,vts_reward_expectancy_bt_OFFLINE,2022.2.4,60.01774342024522,
0,0,0,1,0,0,1,0,star,hexagon,0,0,0,0,1,9,21,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1661.4320549811237,1661.4320549811237,1661.4320549811237,1661.4320549811237,1661.4320549811237,1661.4320549811237,1661.4320549811237,1661.4320549811237,1661.4320549811237,1661.4320549811237,l,0.7832247852347791,1,157,0,1662.2337618931197,1663.7329082340002,1663.7329082340002,1664.232949649915,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13675,2022-12-02_14h50.48.413,vts_reward_expectancy_bt_OFFLINE,2022.2.4,60.01774342024522,
1,0,0,0,0,1,0,0,triangle,circle,0,0,0,0,1,10,22,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1664.232949649915,1664.232949649915,1664.232949649915,1664.232949649915,1664.232949649915,1664.232949649915,1664.232949649915,1664.232949649915,1664.232949649915,1664.232949649915,a,0.6492420402355492,10,167,0,1664.9016785761341,1666.4023956838064,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13675,2022-12-02_14h50.48.413,vts_reward_expectancy_bt_OFFLINE,2022.2.4,60.01774342024522,
1,0,0,0,0,0,0,1,triangle,star,0,0,0,0,1,11,23,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1666.902271579951,1666.902271579951,1666.902271579951,1666.902271579951,1666.902271579951,1666.902271579951,1666.902271579951,1666.902271579951,1666.902271579951,1666.902271579951,a,0.7129493490792811,1,168,0,1667.6376911820844,1669.1533634099178,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13675,2022-12-02_14h50.48.413,vts_reward_expectancy_bt_OFFLINE,2022.2.4,60.01774342024522,
0,0,1,0,0,0,0,1,hexagon,star,0,0,0,0,2,0,24,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1669.6532517429441,1669.6532517429441,1669.6532517429441,1669.6532517429441,1669.6532517429441,1669.6532517429441,1669.6532517429441,1669.6532517429441,1669.6532517429441,1669.6532517429441,a,1.8886096449568868,1,169,0,1671.5726932547987,1673.0729696839117,1673.0729696839117,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13675,2022-12-02_14h50.48.413,vts_reward_expectancy_bt_OFFLINE,2022.2.4,60.01774342024522,
0,1,0,0,0,0,1,0,circle,hexagon,0,0,0,0,2,1,25,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1673.5732981888577,1673.5732981888577,1673.5732981888577,1673.5732981888577,1673.5732981888577,1673.5732981888577,1673.5732981888577,1673.5732981888577,1673.5732981888577,1673.5732981888577,l,1.1749539580196142,1,170,0,1674.7740303040482,1676.276173508726,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13675,2022-12-02_14h50.48.413,vts_reward_expectancy_bt_OFFLINE,2022.2.4,60.01774342024522,
0,1,0,0,1,0,0,0,circle,triangle,0,0,0,0,2,2,26,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1676.7764398669824,1676.7764398669824,1676.7764398669824,1676.7764398669824,1676.7764398669824,1676.7764398669824,1676.7764398669824,1676.7764398669824,1676.7764398669824,1676.7764398669824,a,0.5484245610423386,1,171,0,1677.343186008744,1678.8439640128054,1678.8439640128054,1679.3436790057458,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13675,2022-12-02_14h50.48.413,vts_reward_expectancy_bt_OFFLINE,2022.2.4,60.01774342024522,
1,0,0,0,0,0,1,0,triangle,hexagon,0,0,0,0,2,3,27,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1679.3436790057458,1679.3436790057458,1679.3436790057458,1679.3436790057458,1679.3436790057458,1679.3436790057458,1679.3436790057458,1679.3436790057458,1679.3436790057458,1679.3436790057458,l,0.8722596750594676,10,181,0,1680.2458492000587,1681.746694387868,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13675,2022-12-02_14h50.48.413,vts_reward_expectancy_bt_OFFLINE,2022.2.4,60.01774342024522,
0,0,0,1,0,1,0,0,star ,circle,0,0,0,0,2,4,28,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1682.247021961026,1682.247021961026,1682.247021961026,1682.247021961026,1682.247021961026,1682.247021961026,1682.247021961026,1682.247021961026,1682.247021961026,1682.247021961026,a,0.8384932782500982,10,191,0,1683.1138010397553,1684.6144559658132,1684.6144559658132,1685.114583909046,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13675,2022-12-02_14h50.48.413,vts_reward_expectancy_bt_OFFLINE,2022.2.4,60.01774342024522,
0,0,1,0,1,0,0,0,hexagon,triangle,0,0,0,0,2,5,29,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1685.114583909046,1685.114583909046,1685.114583909046,1685.114583909046,1685.114583909046,1685.114583909046,1685.114583909046,1685.114583909046,1685.114583909046,1685.114583909046,l,0.6479848162271082,10,201,0,1685.781462312676,1687.2837757021189,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13675,2022-12-02_14h50.48.413,vts_reward_expectancy_bt_OFFLINE,2022.2.4,60.01774342024522,
1,0,0,0,0,1,0,0,triangle,circle,0,0,0,0,2,6,30,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1687.7837639660574,1687.7837639660574,1687.7837639660574,1687.7837639660574,1687.7837639660574,1687.7837639660574,1687.7837639660574,1687.7837639660574,1687.7837639660574,1687.7837639660574,a,0.8710651420988142,10,211,0,1688.684467177838,1690.1848861128092,1690.1848861128092,1690.68495849194,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13675,2022-12-02_14h50.48.413,vts_reward_expectancy_bt_OFFLINE,2022.2.4,60.01774342024522,
0,1,0,0,0,0,0,1,circle,star,0,0,0,0,2,7,31,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1690.68495849194,1690.68495849194,1690.68495849194,1690.68495849194,1690.68495849194,1690.68495849194,1690.68495849194,1690.68495849194,1690.68495849194,1690.68495849194,l,1.1653083423152566,10,221,0,1691.8704769890755,1693.3712574858218,1693.3712574858218,1693.8714342508465,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13675,2022-12-02_14h50.48.413,vts_reward_expectancy_bt_OFFLINE,2022.2.4,60.01774342024522,
0,0,0,1,1,0,0,0,star,triangle,0,0,0,0,2,8,32,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1693.8714342508465,1693.8714342508465,1693.8714342508465,1693.8714342508465,1693.8714342508465,1693.8714342508465,1693.8714342508465,1693.8714342508465,1693.8714342508465,1693.8714342508465,l,0.5103312353603542,10,231,0,1694.4046267271042,1695.9055013549514,1695.9055013549514,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13675,2022-12-02_14h50.48.413,vts_reward_expectancy_bt_OFFLINE,2022.2.4,60.01774342024522,
