LTriangleOpac,LCircleOpac,LHexagonOpac,LStarOpac,RTriangleOpac,RCircleOpac,RHexagonOpac,RStarOpac,LShape_ID,RShape_ID,training_blocks.thisRepN,training_blocks.thisTrialN,training_blocks.thisN,training_blocks.thisIndex,training.thisRepN,training.thisTrialN,training.thisN,training.thisIndex,task1_prac_redo.thisRepN,task1_prac_redo.thisTrialN,task1_prac_redo.thisN,task1_prac_redo.thisIndex,task1_prac_trials.thisRepN,task1_prac_trials.thisTrialN,task1_prac_trials.thisN,task1_prac_trials.thisIndex,task2_prac_redo.thisRepN,task2_prac_redo.thisTrialN,task2_prac_redo.thisN,task2_prac_redo.thisIndex,task2_praac_trials.thisRepN,task2_praac_trials.thisTrialN,task2_praac_trials.thisN,task2_praac_trials.thisIndex,vts_prac_redo.thisRepN,vts_prac_redo.thisTrialN,vts_prac_redo.thisN,vts_prac_redo.thisIndex,vts_practice_trials.thisRepN,vts_practice_trials.thisTrialN,vts_practice_trials.thisN,vts_practice_trials.thisIndex,trials_norew.thisRepN,trials_norew.thisTrialN,trials_norew.thisN,trials_norew.thisIndex,block.thisRepN,block.thisTrialN,block.thisN,block.thisIndex,trials_rew.thisRepN,trials_rew.thisTrialN,trials_rew.thisN,trials_rew.thisIndex,key_resp.started,key_resp.keys,key_resp.rt,left_circle.started,right_circle.started,left_triangle.started,right_triangle.started,left_star.started,right_star.started,left_hexagon.started,right_hexagon.started,training_fix.started,training_resp.started,training_resp.keys,training_resp.rt,points_trial,points_cumul,trainBlock,training_feedback_txt.started,fix.started,training_feedback_txt.stopped,fix.stopped,curr_topStim,curr_bottStim,curr_shape,ISI.started,tgt_fix_prac1.started,top_target_prac1.started,bott_target_prac1.started,target_resp_prac1.started,acc,E1,target_resp_prac1.keys,target_resp_prac1.rt,pracBlock,prac_fback_text.started,top_target_prac1.stopped,bott_target_prac1.stopped,target_resp_prac1.stopped,tgt_fix_prac2.started,top_target_prac2.started,bott_target_prac2.started,target_resp_prac2.started,target_resp_prac2.keys,target_resp_prac2.rt,prac_fback_text.stopped,star.started,hegagon.started,triangle.started,circle.started,top_target.started,tgt_fix.started,bot_target.started,target_resp.started,star.stopped,hegagon.stopped,triangle.stopped,circle.stopped,alt,task,condition,target_resp.keys,target_resp.rt,rewCond,vts_fback.started,top_target.stopped,tgt_fix.stopped,bot_target.stopped,target_resp.stopped,blockNum,norew_fback.started,key_resp_2.keys,key_resp_2.rt,rewExpectancy,feedbk_text.started,text_3.started,debrief.started,text_3.stopped,button.started,debrief.index,debrief.itemText,debrief.type,debrief.granularity,debrief.font,debrief.markerColor,debrief.response,debrief.rt,button.numClicks,button.timesOn,button.timesOff,participant,date,expName,psychopyVersion,frameRate,
0,0,0,1,1,0,0,0,star,triangle,0,0,0,0,1,7,19,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,405.03009133413434,405.03009133413434,405.03009133413434,405.03009133413434,405.03009133413434,405.03009133413434,405.03009133413434,405.03009133413434,405.03009133413434,405.03009133413434,l,2.432569184806198,10,92,0,407.48052950622514,408.9833146841265,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,54640,2022-12-01_08h06.47.788,vts_reward_expectancy_bt_OFFLINE,2022.2.4,60.0205125541495,
0,0,0,1,0,0,1,0,star,hexagon,0,0,0,0,1,8,20,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,409.4835613621399,409.4835613621399,409.4835613621399,409.4835613621399,409.4835613621399,409.4835613621399,409.4835613621399,409.4835613621399,409.4835613621399,409.4835613621399,l,1.7478692708536983,1,93,0,411.2520390972495,412.75148870330304,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,54640,2022-12-01_08h06.47.788,vts_reward_expectancy_bt_OFFLINE,2022.2.4,60.0205125541495,
0,1,0,0,0,0,0,1,circle,star,0,0,0,0,1,9,21,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,413.25142710702494,413.25142710702494,413.25142710702494,413.25142710702494,413.25142710702494,413.25142710702494,413.25142710702494,413.25142710702494,413.25142710702494,413.25142710702494,l,1.4572998117655516,1,94,0,414.73697416996583,416.23774290597066,416.23774290597066,416.73792363516986,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,54640,2022-12-01_08h06.47.788,vts_reward_expectancy_bt_OFFLINE,2022.2.4,60.0205125541495,
0,0,1,0,0,1,0,0,hexagon,circle,0,0,0,0,1,10,22,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,416.73792363516986,416.73792363516986,416.73792363516986,416.73792363516986,416.73792363516986,416.73792363516986,416.73792363516986,416.73792363516986,416.73792363516986,416.73792363516986,l,1.4246187158860266,1,95,0,418.1883872789331,419.6905887820758,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,54640,2022-12-01_08h06.47.788,vts_reward_expectancy_bt_OFFLINE,2022.2.4,60.0205125541495,
0,0,1,0,0,0,0,1,hexagon,star,0,0,0,0,1,11,23,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,420.1908272849396,420.1908272849396,420.1908272849396,420.1908272849396,420.1908272849396,420.1908272849396,420.1908272849396,420.1908272849396,420.1908272849396,420.1908272849396,a,1.470898738130927,10,105,0,421.6931344810873,423.2086999421008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,54640,2022-12-01_08h06.47.788,vts_reward_expectancy_bt_OFFLINE,2022.2.4,60.0205125541495,
0,0,0,1,0,1,0,0,star ,circle,0,0,0,0,2,0,24,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,423.6941580493003,423.6941580493003,423.6941580493003,423.6941580493003,423.6941580493003,423.6941580493003,423.6941580493003,423.6941580493003,423.6941580493003,423.6941580493003,l,2.478995672892779,10,115,0,426.195086538326,427.6954282899387,427.6954282899387,428.1956121902913,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,54640,2022-12-01_08h06.47.788,vts_reward_expectancy_bt_OFFLINE,2022.2.4,60.0205125541495,
0,1,0,0,1,0,0,0,circle,triangle,0,0,0,0,2,1,25,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,428.1956121902913,428.1956121902913,428.1956121902913,428.1956121902913,428.1956121902913,428.1956121902913,428.1956121902913,428.1956121902913,428.1956121902913,428.1956121902913,a,1.0932407900691032,10,125,0,429.3143128938973,430.81526818405837,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,54640,2022-12-01_08h06.47.788,vts_reward_expectancy_bt_OFFLINE,2022.2.4,60.0205125541495,
0,0,0,1,1,0,0,0,star,triangle,0,0,0,0,2,2,26,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,431.3152028070763,431.3152028070763,431.3152028070763,431.3152028070763,431.3152028070763,431.3152028070763,431.3152028070763,431.3152028070763,431.3152028070763,431.3152028070763,a,2.0581709151156247,10,135,0,433.39942533290014,434.90168936923146,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,54640,2022-12-01_08h06.47.788,vts_reward_expectancy_bt_OFFLINE,2022.2.4,60.0205125541495,
1,0,0,0,0,0,0,1,triangle,star,0,0,0,0,2,3,27,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,435.40202317293733,435.40202317293733,435.40202317293733,435.40202317293733,435.40202317293733,435.40202317293733,435.40202317293733,435.40202317293733,435.40202317293733,435.40202317293733,l,1.458276396151632,10,145,0,436.88567174691707,438.38613866921514,438.38613866921514,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,54640,2022-12-01_08h06.47.788,vts_reward_expectancy_bt_OFFLINE,2022.2.4,60.0205125541495,
0,1,0,0,0,0,1,0,circle,hexagon,0,0,0,0,2,4,28,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,438.8882055892609,438.8882055892609,438.8882055892609,438.8882055892609,438.8882055892609,438.8882055892609,438.8882055892609,438.8882055892609,438.8882055892609,438.8882055892609,a,1.336774280294776,1,146,0,440.2574573121965,441.77263584407046,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,54640,2022-12-01_08h06.47.788,vts_reward_expectancy_bt_OFFLINE,2022.2.4,60.0205125541495,
