LTriangleOpac,LCircleOpac,LHexagonOpac,LStarOpac,RTriangleOpac,RCircleOpac,RHexagonOpac,RStarOpac,LShape_ID,RShape_ID,training_blocks.thisRepN,training_blocks.thisTrialN,training_blocks.thisN,training_blocks.thisIndex,training.thisRepN,training.thisTrialN,training.thisN,training.thisIndex,task1_prac_redo.thisRepN,task1_prac_redo.thisTrialN,task1_prac_redo.thisN,task1_prac_redo.thisIndex,task1_prac_trials.thisRepN,task1_prac_trials.thisTrialN,task1_prac_trials.thisN,task1_prac_trials.thisIndex,task2_prac_redo.thisRepN,task2_prac_redo.thisTrialN,task2_prac_redo.thisN,task2_prac_redo.thisIndex,task2_praac_trials.thisRepN,task2_praac_trials.thisTrialN,task2_praac_trials.thisN,task2_praac_trials.thisIndex,vts_prac_redo.thisRepN,vts_prac_redo.thisTrialN,vts_prac_redo.thisN,vts_prac_redo.thisIndex,vts_practice_trials.thisRepN,vts_practice_trials.thisTrialN,vts_practice_trials.thisN,vts_practice_trials.thisIndex,trials_norew.thisRepN,trials_norew.thisTrialN,trials_norew.thisN,trials_norew.thisIndex,block.thisRepN,block.thisTrialN,block.thisN,block.thisIndex,trials_rew.thisRepN,trials_rew.thisTrialN,trials_rew.thisN,trials_rew.thisIndex,key_resp.started,key_resp.keys,key_resp.rt,left_circle.started,right_circle.started,left_triangle.started,right_triangle.started,left_star.started,right_star.started,left_hexagon.started,right_hexagon.started,training_fix.started,training_resp.started,training_resp.keys,training_resp.rt,points_trial,points_cumul,trainBlock,training_feedback_txt.started,training_feedback_txt.stopped,fix.started,fix.stopped,curr_topStim,curr_bottStim,curr_shape,ISI.started,tgt_fix_prac1.started,top_target_prac1.started,bott_target_prac1.started,target_resp_prac1.started,acc,E1,target_resp_prac1.keys,target_resp_prac1.rt,pracBlock,prac_fback_text.started,prac_fback_text.stopped,tgt_fix_prac2.started,top_target_prac2.started,bott_target_prac2.started,target_resp_prac2.started,target_resp_prac2.keys,target_resp_prac2.rt,star.started,hegagon.started,triangle.started,circle.started,top_target.started,tgt_fix.started,bot_target.started,target_resp.started,star.stopped,hegagon.stopped,triangle.stopped,circle.stopped,alt,task,condition,target_resp.keys,target_resp.rt,rewCond,vts_fback.started,vts_fback.stopped,blockNum,norew_fback.started,norew_fback.stopped,top_target.stopped,tgt_fix.stopped,bot_target.stopped,target_resp.stopped,key_resp_2.keys,key_resp_2.rt,rewExpectancy,feedbk_text.started,feedbk_text.stopped,text_3.started,text_3.stopped,button.started,debrief.index,debrief.itemText,debrief.type,debrief.granularity,debrief.font,debrief.markerColor,debrief.response,debrief.rt,button.numClicks,button.timesOn,button.timesOff,participant,date,expName,psychopyVersion,frameRate,
1,0,0,0,0,0,0,1,triangle,star,0,0,0,0,1,7,19,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,143.0922855079989,143.0922855079989,143.0922855079989,143.0922855079989,143.0922855079989,143.0922855079989,143.0922855079989,143.0922855079989,143.0922855079989,143.0922855079989,l,0.908102388959378,1,101,0,144.02607031201478,145.52703361201566,145.52703361201566,146.02693597599864,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12431,2022-10-31_10h44.42.806,vts_reward_expectancy_bt_OFFLINE,2022.2.4,60.05725992252821,
0,0,0,1,1,0,0,0,star,triangle,0,0,0,0,1,8,20,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,146.02693597599864,146.02693597599864,146.02693597599864,146.02693597599864,146.02693597599864,146.02693597599864,146.02693597599864,146.02693597599864,146.02693597599864,146.02693597599864,a,1.0293091309722513,10,111,0,147.0779626290314,,148.57976771803806,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12431,2022-10-31_10h44.42.806,vts_reward_expectancy_bt_OFFLINE,2022.2.4,60.05725992252821,
0,0,1,0,0,0,0,1,hexagon,star,0,0,0,0,1,9,21,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,149.07967080402886,149.07967080402886,149.07967080402886,149.07967080402886,149.07967080402886,149.07967080402886,149.07967080402886,149.07967080402886,149.07967080402886,149.07967080402886,a,1.0806942000053823,1,112,0,150.18034855101723,,151.68058805004694,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12431,2022-10-31_10h44.42.806,vts_reward_expectancy_bt_OFFLINE,2022.2.4,60.05725992252821,
1,0,0,0,0,1,0,0,triangle,circle,0,0,0,0,1,10,22,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,152.1827484340174,152.1827484340174,152.1827484340174,152.1827484340174,152.1827484340174,152.1827484340174,152.1827484340174,152.1827484340174,152.1827484340174,152.1827484340174,l,0.7372869369573891,10,122,0,152.95022388501093,154.45028632500907,154.45028632500907,154.95006404502783,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12431,2022-10-31_10h44.42.806,vts_reward_expectancy_bt_OFFLINE,2022.2.4,60.05725992252821,
0,1,0,0,1,0,0,0,circle,triangle,0,0,0,0,1,11,23,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,154.95006404502783,154.95006404502783,154.95006404502783,154.95006404502783,154.95006404502783,154.95006404502783,154.95006404502783,154.95006404502783,154.95006404502783,154.95006404502783,a,0.7615149169578217,10,132,0,155.73410773504293,,157.23624883801676,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12431,2022-10-31_10h44.42.806,vts_reward_expectancy_bt_OFFLINE,2022.2.4,60.05725992252821,
1,0,0,0,0,0,0,1,triangle,star,0,0,0,0,2,0,24,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,157.736180701002,157.736180701002,157.736180701002,157.736180701002,157.736180701002,157.736180701002,157.736180701002,157.736180701002,157.736180701002,157.736180701002,a,1.5839202239876613,1,133,0,159.3378253170522,160.83738899801392,160.83738899801392,161.33769338100683,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12431,2022-10-31_10h44.42.806,vts_reward_expectancy_bt_OFFLINE,2022.2.4,60.05725992252821,
0,0,1,0,1,0,0,0,hexagon,triangle,0,0,0,0,2,1,25,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,161.33769338100683,161.33769338100683,161.33769338100683,161.33769338100683,161.33769338100683,161.33769338100683,161.33769338100683,161.33769338100683,161.33769338100683,161.33769338100683,a,1.9659721339703538,10,143,0,163.32442496804288,164.82415160501841,164.82415160501841,165.32411140500335,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12431,2022-10-31_10h44.42.806,vts_reward_expectancy_bt_OFFLINE,2022.2.4,60.05725992252821,
0,1,0,0,0,0,0,1,circle,star,0,0,0,0,2,2,26,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,165.32411140500335,165.32411140500335,165.32411140500335,165.32411140500335,165.32411140500335,165.32411140500335,165.32411140500335,165.32411140500335,165.32411140500335,165.32411140500335,a,0.7236090349615552,10,153,0,166.07464713405352,,167.57695523905568,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12431,2022-10-31_10h44.42.806,vts_reward_expectancy_bt_OFFLINE,2022.2.4,60.05725992252821,
1,0,0,0,0,0,1,0,triangle,hexagon,0,0,0,0,2,3,27,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,168.07714066305198,168.07714066305198,168.07714066305198,168.07714066305198,168.07714066305198,168.07714066305198,168.07714066305198,168.07714066305198,168.07714066305198,168.07714066305198,l,1.522440291941166,1,154,0,169.6288815390435,171.12842255004216,171.12842255004216,171.62830434704665,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12431,2022-10-31_10h44.42.806,vts_reward_expectancy_bt_OFFLINE,2022.2.4,60.05725992252821,
0,0,0,1,1,0,0,0,star,triangle,0,0,0,0,2,4,28,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,171.62830434704665,171.62830434704665,171.62830434704665,171.62830434704665,171.62830434704665,171.62830434704665,171.62830434704665,171.62830434704665,171.62830434704665,171.62830434704665,a,1.0032940050004981,10,164,0,172.6638981970027,174.1645652350271,174.1645652350271,174.66450888902182,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12431,2022-10-31_10h44.42.806,vts_reward_expectancy_bt_OFFLINE,2022.2.4,60.05725992252821,
