LTriangleOpac,LCircleOpac,LHexagonOpac,LStarOpac,RTriangleOpac,RCircleOpac,RHexagonOpac,RStarOpac,LShape_ID,RShape_ID,training_blocks.thisRepN,training_blocks.thisTrialN,training_blocks.thisN,training_blocks.thisIndex,training.thisRepN,training.thisTrialN,training.thisN,training.thisIndex,task1_prac_redo.thisRepN,task1_prac_redo.thisTrialN,task1_prac_redo.thisN,task1_prac_redo.thisIndex,task1_prac_trials.thisRepN,task1_prac_trials.thisTrialN,task1_prac_trials.thisN,task1_prac_trials.thisIndex,task2_prac_redo.thisRepN,task2_prac_redo.thisTrialN,task2_prac_redo.thisN,task2_prac_redo.thisIndex,task2_praac_trials.thisRepN,task2_praac_trials.thisTrialN,task2_praac_trials.thisN,task2_praac_trials.thisIndex,vts_prac_redo.thisRepN,vts_prac_redo.thisTrialN,vts_prac_redo.thisN,vts_prac_redo.thisIndex,vts_practice_trials.thisRepN,vts_practice_trials.thisTrialN,vts_practice_trials.thisN,vts_practice_trials.thisIndex,trials_norew.thisRepN,trials_norew.thisTrialN,trials_norew.thisN,trials_norew.thisIndex,block.thisRepN,block.thisTrialN,block.thisN,block.thisIndex,trials_rew.thisRepN,trials_rew.thisTrialN,trials_rew.thisN,trials_rew.thisIndex,key_resp.started,key_resp.keys,key_resp.rt,left_circle.started,right_circle.started,left_triangle.started,right_triangle.started,left_star.started,right_star.started,left_hexagon.started,right_hexagon.started,training_fix.started,training_resp.started,training_resp.keys,training_resp.rt,points_trial,points_cumul,trainBlock,training_feedback_txt.started,fix.started,training_feedback_txt.stopped,fix.stopped,curr_topStim,curr_bottStim,curr_shape,ISI.started,tgt_fix_prac1.started,top_target_prac1.started,bott_target_prac1.started,target_resp_prac1.started,top_target_prac1.stopped,tgt_fix_prac1.stopped,bott_target_prac1.stopped,target_resp_prac1.stopped,acc,E1,target_resp_prac1.keys,pracBlock,prac_fback_text.started,prac_fback_text.stopped,target_resp_prac1.rt,tgt_fix_prac2.started,top_target_prac2.started,bott_target_prac2.started,target_resp_prac2.started,target_resp_prac2.keys,target_resp_prac2.rt,star.started,hegagon.started,triangle.started,circle.started,star.stopped,hegagon.stopped,triangle.stopped,circle.stopped,top_target.started,tgt_fix.started,bot_target.started,target_resp.started,alt,task,condition,target_resp.keys,target_resp.rt,rewCond,vts_fback.started,blockNum,norew_fback.started,norew_fback.stopped,top_target.stopped,tgt_fix.stopped,bot_target.stopped,target_resp.stopped,key_resp_2.keys,key_resp_2.rt,rewExpectancy,feedbk_text.started,feedbk_text.stopped,text_3.started,debrief.started,text_3.stopped,button.started,debrief.index,debrief.itemText,debrief.type,debrief.granularity,debrief.font,debrief.markerColor,debrief.response,debrief.rt,button.numClicks,button.timesOn,button.timesOff,participant,date,expName,psychopyVersion,frameRate,
1,0,0,0,0,0,0,1,triangle,star,0,0,0,0,1,7,19,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,325.03832359900116,325.03832359900116,325.03832359900116,325.03832359900116,325.03832359900116,325.03832359900116,325.03832359900116,325.03832359900116,325.03832359900116,325.03832359900116,l,0.18976969600771554,10,110,0,325.2554267650121,326.75701842299895,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,95243,2022-11-17_08h05.55.763,vts_reward_expectancy_bt_OFFLINE,2022.2.4,59.93543862033485,
0,0,0,1,0,1,0,0,star ,circle,0,0,0,0,1,8,20,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,327.25767153600464,327.25767153600464,327.25767153600464,327.25767153600464,327.25767153600464,327.25767153600464,327.25767153600464,327.25767153600464,327.25767153600464,327.25767153600464,l,0.2559711539943237,10,120,0,327.5414246940054,329.0427206210152,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,95243,2022-11-17_08h05.55.763,vts_reward_expectancy_bt_OFFLINE,2022.2.4,59.93543862033485,
0,0,1,0,1,0,0,0,hexagon,triangle,0,0,0,0,1,9,21,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,329.54320828901837,329.54320828901837,329.54320828901837,329.54320828901837,329.54320828901837,329.54320828901837,329.54320828901837,329.54320828901837,329.54320828901837,329.54320828901837,l,0.2645590630127117,10,130,0,329.8270016030001,331.3285204700078,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,95243,2022-11-17_08h05.55.763,vts_reward_expectancy_bt_OFFLINE,2022.2.4,59.93543862033485,
0,0,1,0,0,1,0,0,hexagon,circle,0,0,0,0,1,10,22,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,331.8291202590044,331.8291202590044,331.8291202590044,331.8291202590044,331.8291202590044,331.8291202590044,331.8291202590044,331.8291202590044,331.8291202590044,331.8291202590044,a,0.3980675039929338,1,131,0,332.24612187599996,333.7481586600188,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,95243,2022-11-17_08h05.55.763,vts_reward_expectancy_bt_OFFLINE,2022.2.4,59.93543862033485,
0,1,0,0,1,0,0,0,circle,triangle,0,0,0,0,1,11,23,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,334.2485784669989,334.2485784669989,334.2485784669989,334.2485784669989,334.2485784669989,334.2485784669989,334.2485784669989,334.2485784669989,334.2485784669989,334.2485784669989,l,0.3184765769983642,10,141,0,334.59891493001487,336.1006135250209,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,95243,2022-11-17_08h05.55.763,vts_reward_expectancy_bt_OFFLINE,2022.2.4,59.93543862033485,
0,0,1,0,0,0,0,1,hexagon,star,0,0,0,0,2,0,24,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,336.60140029902686,336.60140029902686,336.60140029902686,336.60140029902686,336.60140029902686,336.60140029902686,336.60140029902686,336.60140029902686,336.60140029902686,336.60140029902686,l,0.23794049100251868,1,142,0,336.86836168001173,338.3697477130045,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,95243,2022-11-17_08h05.55.763,vts_reward_expectancy_bt_OFFLINE,2022.2.4,59.93543862033485,
1,0,0,0,0,0,1,0,triangle,hexagon,0,0,0,0,2,1,25,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,338.8704568660178,338.8704568660178,338.8704568660178,338.8704568660178,338.8704568660178,338.8704568660178,338.8704568660178,338.8704568660178,338.8704568660178,338.8704568660178,l,0.18470106599852443,1,143,0,339.0873909840011,340.58889162901323,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,95243,2022-11-17_08h05.55.763,vts_reward_expectancy_bt_OFFLINE,2022.2.4,59.93543862033485,
0,1,0,0,0,0,0,1,circle,star,0,0,0,0,2,2,26,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,341.0894173470151,341.0894173470151,341.0894173470151,341.0894173470151,341.0894173470151,341.0894173470151,341.0894173470151,341.0894173470151,341.0894173470151,341.0894173470151,a,0.03541597499861382,1,144,0,341.1561930020107,342.65779899799963,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,95243,2022-11-17_08h05.55.763,vts_reward_expectancy_bt_OFFLINE,2022.2.4,59.93543862033485,
0,0,0,1,1,0,0,0,star,triangle,0,0,0,0,2,3,27,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,343.1584791460191,343.1584791460191,343.1584791460191,343.1584791460191,343.1584791460191,343.1584791460191,343.1584791460191,343.1584791460191,343.1584791460191,343.1584791460191,l,0.2401181230088696,10,154,0,343.4255465180031,344.92700839802274,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,95243,2022-11-17_08h05.55.763,vts_reward_expectancy_bt_OFFLINE,2022.2.4,59.93543862033485,
0,0,0,1,0,0,1,0,star,hexagon,0,0,0,0,2,4,28,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,345.4276270060218,345.4276270060218,345.4276270060218,345.4276270060218,345.4276270060218,345.4276270060218,345.4276270060218,345.4276270060218,345.4276270060218,345.4276270060218,l,0.2432841779955197,1,155,0,345.69453818601323,347.1963639750029,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,95243,2022-11-17_08h05.55.763,vts_reward_expectancy_bt_OFFLINE,2022.2.4,59.93543862033485,
