LTriangleOpac,LCircleOpac,LHexagonOpac,LStarOpac,RTriangleOpac,RCircleOpac,RHexagonOpac,RStarOpac,LShape_ID,RShape_ID,training_blocks.thisRepN,training_blocks.thisTrialN,training_blocks.thisN,training_blocks.thisIndex,training.thisRepN,training.thisTrialN,training.thisN,training.thisIndex,task1_prac_redo.thisRepN,task1_prac_redo.thisTrialN,task1_prac_redo.thisN,task1_prac_redo.thisIndex,task1_prac_trials.thisRepN,task1_prac_trials.thisTrialN,task1_prac_trials.thisN,task1_prac_trials.thisIndex,task2_prac_redo.thisRepN,task2_prac_redo.thisTrialN,task2_prac_redo.thisN,task2_prac_redo.thisIndex,task2_praac_trials.thisRepN,task2_praac_trials.thisTrialN,task2_praac_trials.thisN,task2_praac_trials.thisIndex,vts_prac_redo.thisRepN,vts_prac_redo.thisTrialN,vts_prac_redo.thisN,vts_prac_redo.thisIndex,vts_practice_trials.thisRepN,vts_practice_trials.thisTrialN,vts_practice_trials.thisN,vts_practice_trials.thisIndex,trials_norew.thisRepN,trials_norew.thisTrialN,trials_norew.thisN,trials_norew.thisIndex,block.thisRepN,block.thisTrialN,block.thisN,block.thisIndex,trials_rew.thisRepN,trials_rew.thisTrialN,trials_rew.thisN,trials_rew.thisIndex,key_resp.started,key_resp.keys,key_resp.rt,left_circle.started,right_circle.started,left_triangle.started,right_triangle.started,left_star.started,right_star.started,left_hexagon.started,right_hexagon.started,training_fix.started,training_resp.started,training_resp.keys,training_resp.rt,points_trial,points_cumul,trainBlock,training_feedback_txt.started,training_feedback_txt.stopped,fix.started,curr_topStim,curr_bottStim,curr_shape,ISI.started,tgt_fix_prac1.started,top_target_prac1.started,bott_target_prac1.started,target_resp_prac1.started,acc,E1,target_resp_prac1.keys,target_resp_prac1.rt,pracBlock,prac_fback_text.started,prac_fback_text.stopped,tgt_fix_prac2.started,top_target_prac2.started,bott_target_prac2.started,target_resp_prac2.started,target_resp_prac2.keys,target_resp_prac2.rt,star.started,hegagon.started,triangle.started,circle.started,top_target.started,tgt_fix.started,bot_target.started,target_resp.started,star.stopped,hegagon.stopped,triangle.stopped,circle.stopped,alt,task,condition,target_resp.keys,target_resp.rt,rewCond,vts_fback.started,vts_fback.stopped,blockNum,norew_fback.started,norew_fback.stopped,fix.stopped,key_resp_2.keys,key_resp_2.rt,rewExpectancy,feedbk_text.started,feedbk_text.stopped,text_3.started,debrief.started,text_3.stopped,button.started,debrief.index,debrief.itemText,debrief.type,debrief.granularity,debrief.font,debrief.markerColor,debrief.response,debrief.rt,button.numClicks,button.timesOn,button.timesOff,participant,date,expName,psychopyVersion,frameRate,
1,0,0,0,0,0,0,1,triangle,star,0,0,0,0,1,7,19,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,689.5535162938759,689.5535162938759,689.5535162938759,689.5535162938759,689.5535162938759,689.5535162938759,689.5535162938759,689.5535162938759,689.5535162938759,689.5535162938759,a,1.4553101351484656,1,146,0,691.0382566698827,,692.5400692929979,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,63591,2022-11-17_11h26.51.896,vts_reward_expectancy_bt_OFFLINE,2022.2.4,60.082920153211575,
0,0,0,1,0,1,0,0,star ,circle,0,0,0,0,1,8,20,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,693.0406184718013,693.0406184718013,693.0406184718013,693.0406184718013,693.0406184718013,693.0406184718013,693.0406184718013,693.0406184718013,693.0406184718013,693.0406184718013,a,0.9276199650485069,1,147,0,693.9914948937949,,695.4931591979694,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,63591,2022-11-17_11h26.51.896,vts_reward_expectancy_bt_OFFLINE,2022.2.4,60.082920153211575,
0,0,0,1,1,0,0,0,star,triangle,0,0,0,0,1,9,21,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,695.9939871849492,695.9939871849492,695.9939871849492,695.9939871849492,695.9939871849492,695.9939871849492,695.9939871849492,695.9939871849492,695.9939871849492,695.9939871849492,a,1.619463900104165,1,148,0,697.6455980539322,,699.1474752270151,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,63591,2022-11-17_11h26.51.896,vts_reward_expectancy_bt_OFFLINE,2022.2.4,60.082920153211575,
0,0,1,0,0,1,0,0,hexagon,circle,0,0,0,0,1,10,22,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,699.647911202861,699.647911202861,699.647911202861,699.647911202861,699.647911202861,699.647911202861,699.647911202861,699.647911202861,699.647911202861,699.647911202861,l,0.7446647682227194,10,158,0,700.4153500997927,,701.9169356648345,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,63591,2022-11-17_11h26.51.896,vts_reward_expectancy_bt_OFFLINE,2022.2.4,60.082920153211575,
0,0,1,0,1,0,0,0,hexagon,triangle,0,0,0,0,1,11,23,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,702.4175850879401,702.4175850879401,702.4175850879401,702.4175850879401,702.4175850879401,702.4175850879401,702.4175850879401,702.4175850879401,702.4175850879401,702.4175850879401,a,0.6414940643589944,10,168,0,703.0849103289656,,704.5866151379887,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,63591,2022-11-17_11h26.51.896,vts_reward_expectancy_bt_OFFLINE,2022.2.4,60.082920153211575,
1,0,0,0,0,0,0,1,triangle,star,0,0,0,0,2,0,24,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,705.0871656029485,705.0871656029485,705.0871656029485,705.0871656029485,705.0871656029485,705.0871656029485,705.0871656029485,705.0871656029485,705.0871656029485,705.0871656029485,l,2.539258202072233,1,169,0,707.6568351020105,,709.158268277999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,63591,2022-11-17_11h26.51.896,vts_reward_expectancy_bt_OFFLINE,2022.2.4,60.082920153211575,
0,0,1,0,0,0,0,1,hexagon,star,0,0,0,0,2,1,25,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,709.6587523419876,709.6587523419876,709.6587523419876,709.6587523419876,709.6587523419876,709.6587523419876,709.6587523419876,709.6587523419876,709.6587523419876,709.6587523419876,a,0.7815781161189079,10,179,0,710.4596394798718,,711.9614083729684,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,63591,2022-11-17_11h26.51.896,vts_reward_expectancy_bt_OFFLINE,2022.2.4,60.082920153211575,
0,1,0,0,1,0,0,0,circle,triangle,0,0,0,0,2,2,26,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,712.4620190968271,712.4620190968271,712.4620190968271,712.4620190968271,712.4620190968271,712.4620190968271,712.4620190968271,712.4620190968271,712.4620190968271,712.4620190968271,a,1.4999424242414534,10,189,0,713.9804392748047,,715.4821040898096,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,63591,2022-11-17_11h26.51.896,vts_reward_expectancy_bt_OFFLINE,2022.2.4,60.082920153211575,
1,0,0,0,0,1,0,0,triangle,circle,0,0,0,0,2,3,27,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,715.9824778088368,715.9824778088368,715.9824778088368,715.9824778088368,715.9824778088368,715.9824778088368,715.9824778088368,715.9824778088368,715.9824778088368,715.9824778088368,l,2.9532246361486614,10,199,0,718.9524302550126,720.4540306448471,720.4540306448471,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,63591,2022-11-17_11h26.51.896,vts_reward_expectancy_bt_OFFLINE,2022.2.4,60.082920153211575,
0,1,0,0,0,0,1,0,circle,hexagon,0,0,0,0,2,4,28,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,720.9547510219272,720.9547510219272,720.9547510219272,720.9547510219272,720.9547510219272,720.9547510219272,720.9547510219272,720.9547510219272,720.9547510219272,720.9547510219272,l,1.1081155491992831,10,209,0,722.0892818539869,,723.5909255489241,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,63591,2022-11-17_11h26.51.896,vts_reward_expectancy_bt_OFFLINE,2022.2.4,60.082920153211575,
