LTriangleOpac,LCircleOpac,LHexagonOpac,LStarOpac,RTriangleOpac,RCircleOpac,RHexagonOpac,RStarOpac,LShape_ID,RShape_ID,training_blocks.thisRepN,training_blocks.thisTrialN,training_blocks.thisN,training_blocks.thisIndex,training.thisRepN,training.thisTrialN,training.thisN,training.thisIndex,task1_prac_redo.thisRepN,task1_prac_redo.thisTrialN,task1_prac_redo.thisN,task1_prac_redo.thisIndex,task1_prac_trials.thisRepN,task1_prac_trials.thisTrialN,task1_prac_trials.thisN,task1_prac_trials.thisIndex,task2_prac_redo.thisRepN,task2_prac_redo.thisTrialN,task2_prac_redo.thisN,task2_prac_redo.thisIndex,task2_praac_trials.thisRepN,task2_praac_trials.thisTrialN,task2_praac_trials.thisN,task2_praac_trials.thisIndex,vts_prac_redo.thisRepN,vts_prac_redo.thisTrialN,vts_prac_redo.thisN,vts_prac_redo.thisIndex,vts_practice_trials.thisRepN,vts_practice_trials.thisTrialN,vts_practice_trials.thisN,vts_practice_trials.thisIndex,trials_norew.thisRepN,trials_norew.thisTrialN,trials_norew.thisN,trials_norew.thisIndex,block.thisRepN,block.thisTrialN,block.thisN,block.thisIndex,trials_rew.thisRepN,trials_rew.thisTrialN,trials_rew.thisN,trials_rew.thisIndex,key_resp.started,key_resp.keys,key_resp.rt,left_circle.started,right_circle.started,left_triangle.started,right_triangle.started,left_star.started,right_star.started,left_hexagon.started,right_hexagon.started,training_fix.started,training_resp.started,training_resp.keys,training_resp.rt,points_trial,points_cumul,trainBlock,training_feedback_txt.started,fix.started,training_feedback_txt.stopped,curr_topStim,curr_bottStim,curr_shape,ISI.started,tgt_fix_prac1.started,top_target_prac1.started,bott_target_prac1.started,target_resp_prac1.started,top_target_prac1.stopped,tgt_fix_prac1.stopped,bott_target_prac1.stopped,target_resp_prac1.stopped,acc,E1,target_resp_prac1.keys,pracBlock,prac_fback_text.started,prac_fback_text.stopped,fix.stopped,target_resp_prac1.rt,tgt_fix_prac2.started,top_target_prac2.started,bott_target_prac2.started,target_resp_prac2.started,target_resp_prac2.keys,target_resp_prac2.rt,star.started,hegagon.started,triangle.started,circle.started,star.stopped,hegagon.stopped,triangle.stopped,circle.stopped,top_target.started,tgt_fix.started,bot_target.started,target_resp.started,alt,task,condition,target_resp.keys,target_resp.rt,rewCond,vts_fback.started,top_target.stopped,tgt_fix.stopped,bot_target.stopped,target_resp.stopped,vts_fback.stopped,blockNum,norew_fback.started,norew_fback.stopped,key_resp_2.keys,key_resp_2.rt,rewExpectancy,feedbk_text.started,feedbk_text.stopped,text_3.started,debrief.started,text_3.stopped,button.started,debrief.index,debrief.itemText,debrief.type,debrief.granularity,debrief.font,debrief.markerColor,debrief.response,debrief.rt,button.numClicks,button.timesOn,button.timesOff,participant,date,expName,psychopyVersion,frameRate
0,0,0,1,1,0,0,0,star,triangle,0,0,0,0,1,7,19,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,833.3879201,833.3879201,833.3879201,833.3879201,833.3879201,833.3879201,833.3879201,833.3879201,833.3879201,833.3879201,a,0.458343323,1,101,0,833.8717587,835.373443,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,98412_2,2022-11-30_14h29.30.923,vts_reward_expectancy_bt_OFFLINE,2022.2.4,60.11236648
0,0,0,1,0,0,1,0,star,hexagon,0,0,0,0,1,8,20,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,835.8740607,835.8740607,835.8740607,835.8740607,835.8740607,835.8740607,835.8740607,835.8740607,835.8740607,835.8740607,l,0.5003893,1,102,0,836.3910687,837.8930585,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,98412_2,2022-11-30_14h29.30.923,vts_reward_expectancy_bt_OFFLINE,2022.2.4,60.11236648
0,1,0,0,1,0,0,0,circle,triangle,0,0,0,0,1,9,21,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,838.3932095,838.3932095,838.3932095,838.3932095,838.3932095,838.3932095,838.3932095,838.3932095,838.3932095,838.3932095,l,0.412683176,10,112,0,838.8271476,840.3287063,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,98412_2,2022-11-30_14h29.30.923,vts_reward_expectancy_bt_OFFLINE,2022.2.4,60.11236648
0,0,1,0,0,1,0,0,hexagon,circle,0,0,0,0,1,10,22,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,840.8292179,840.8292179,840.8292179,840.8292179,840.8292179,840.8292179,840.8292179,840.8292179,840.8292179,840.8292179,l,0.889787521,1,113,0,841.7468982,843.2485979,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,98412_2,2022-11-30_14h29.30.923,vts_reward_expectancy_bt_OFFLINE,2022.2.4,60.11236648
0,0,1,0,1,0,0,0,hexagon,triangle,0,0,0,0,1,11,23,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,843.7491465,843.7491465,843.7491465,843.7491465,843.7491465,843.7491465,843.7491465,843.7491465,843.7491465,843.7491465,l,0.761789234,1,114,0,844.5333101,846.0351114,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,98412_2,2022-11-30_14h29.30.923,vts_reward_expectancy_bt_OFFLINE,2022.2.4,60.11236648
0,1,0,0,0,0,1,0,circle,hexagon,0,0,0,0,2,0,24,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,846.5356249,846.5356249,846.5356249,846.5356249,846.5356249,846.5356249,846.5356249,846.5356249,846.5356249,846.5356249,a,0.1181844,10,124,0,846.6859069,848.1874627,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,98412_2,2022-11-30_14h29.30.923,vts_reward_expectancy_bt_OFFLINE,2022.2.4,60.11236648
0,0,0,1,0,1,0,0,star ,circle,0,0,0,0,2,1,25,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,848.6880144,848.6880144,848.6880144,848.6880144,848.6880144,848.6880144,848.6880144,848.6880144,848.6880144,848.6880144,a,0.286360134,10,134,0,849.0049932,850.5067042,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,98412_2,2022-11-30_14h29.30.923,vts_reward_expectancy_bt_OFFLINE,2022.2.4,60.11236648
0,0,1,0,0,0,0,1,hexagon,star,0,0,0,0,2,2,26,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,851.0072736,851.0072736,851.0072736,851.0072736,851.0072736,851.0072736,851.0072736,851.0072736,851.0072736,851.0072736,l,0.567694332,1,135,0,851.591458,853.0929288,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,98412_2,2022-11-30_14h29.30.923,vts_reward_expectancy_bt_OFFLINE,2022.2.4,60.11236648
0,0,1,0,0,1,0,0,hexagon,circle,0,0,0,0,2,3,27,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,853.5934291,853.5934291,853.5934291,853.5934291,853.5934291,853.5934291,853.5934291,853.5934291,853.5934291,853.5934291,l,0.436476299,10,145,0,854.0606093,855.5623206,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,98412_2,2022-11-30_14h29.30.923,vts_reward_expectancy_bt_OFFLINE,2022.2.4,60.11236648
0,1,0,0,0,0,0,1,circle,star,0,0,0,0,2,4,28,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,856.0629413,856.0629413,856.0629413,856.0629413,856.0629413,856.0629413,856.0629413,856.0629413,856.0629413,856.0629413,a,0.319299211,10,155,0,856.4134212,857.9149069,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,98412_2,2022-11-30_14h29.30.923,vts_reward_expectancy_bt_OFFLINE,2022.2.4,60.11236648
0,1,0,0,1,0,0,0,circle,triangle,0,0,0,0,2,5,29,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,858.4155836,858.4155836,858.4155836,858.4155836,858.4155836,858.4155836,858.4155836,858.4155836,858.4155836,858.4155836,l,0.310676848,10,165,0,858.7492665,860.2507083,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,98412_2,2022-11-30_14h29.30.923,vts_reward_expectancy_bt_OFFLINE,2022.2.4,60.11236648
