LTriangleOpac,LCircleOpac,LHexagonOpac,LStarOpac,RTriangleOpac,RCircleOpac,RHexagonOpac,RStarOpac,LShape_ID,RShape_ID,training_blocks.thisRepN,training_blocks.thisTrialN,training_blocks.thisN,training_blocks.thisIndex,training.thisRepN,training.thisTrialN,training.thisN,training.thisIndex,task1_prac_redo.thisRepN,task1_prac_redo.thisTrialN,task1_prac_redo.thisN,task1_prac_redo.thisIndex,task1_prac_trials.thisRepN,task1_prac_trials.thisTrialN,task1_prac_trials.thisN,task1_prac_trials.thisIndex,task2_prac_redo.thisRepN,task2_prac_redo.thisTrialN,task2_prac_redo.thisN,task2_prac_redo.thisIndex,task2_praac_trials.thisRepN,task2_praac_trials.thisTrialN,task2_praac_trials.thisN,task2_praac_trials.thisIndex,vts_prac_redo.thisRepN,vts_prac_redo.thisTrialN,vts_prac_redo.thisN,vts_prac_redo.thisIndex,vts_practice_trials.thisRepN,vts_practice_trials.thisTrialN,vts_practice_trials.thisN,vts_practice_trials.thisIndex,trials_norew.thisRepN,trials_norew.thisTrialN,trials_norew.thisN,trials_norew.thisIndex,block.thisRepN,block.thisTrialN,block.thisN,block.thisIndex,trials_rew.thisRepN,trials_rew.thisTrialN,trials_rew.thisN,trials_rew.thisIndex,key_resp.started,key_resp.keys,key_resp.rt,left_circle.started,right_circle.started,left_triangle.started,right_triangle.started,left_star.started,right_star.started,left_hexagon.started,right_hexagon.started,training_fix.started,training_resp.started,training_resp.keys,training_resp.rt,points_trial,points_cumul,trainBlock,training_feedback_txt.started,fix.started,training_feedback_txt.stopped,curr_topStim,curr_bottStim,curr_shape,ISI.started,tgt_fix_prac1.started,top_target_prac1.started,bott_target_prac1.started,target_resp_prac1.started,top_target_prac1.stopped,tgt_fix_prac1.stopped,bott_target_prac1.stopped,target_resp_prac1.stopped,acc,E1,target_resp_prac1.keys,pracBlock,prac_fback_text.started,prac_fback_text.stopped,fix.stopped,target_resp_prac1.rt,tgt_fix_prac2.started,top_target_prac2.started,bott_target_prac2.started,target_resp_prac2.started,target_resp_prac2.keys,target_resp_prac2.rt,star.started,hegagon.started,triangle.started,circle.started,star.stopped,hegagon.stopped,triangle.stopped,circle.stopped,top_target.started,tgt_fix.started,bot_target.started,target_resp.started,alt,task,condition,target_resp.keys,target_resp.rt,rewCond,vts_fback.started,blockNum,norew_fback.started,key_resp_2.keys,key_resp_2.rt,rewExpectancy,feedbk_text.started,feedbk_text.stopped,top_target.stopped,tgt_fix.stopped,bot_target.stopped,target_resp.stopped,text_3.started,debrief.started,text_3.stopped,button.started,debrief.index,debrief.itemText,debrief.type,debrief.granularity,debrief.font,debrief.markerColor,debrief.response,debrief.rt,button.numClicks,button.timesOn,button.timesOff,participant,date,expName,psychopyVersion,frameRate,
1,0,0,0,0,0,1,0,triangle,hexagon,0,0,0,0,1,7,19,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,554.3820574780111,554.3820574780111,554.3820574780111,554.3820574780111,554.3820574780111,554.3820574780111,554.3820574780111,554.3820574780111,554.3820574780111,554.3820574780111,l,1.2191376660193782,10,119,0,555.6334348399832,557.1351076310093,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26157,2022-11-16_14h35.06.854,vts_reward_expectancy_bt_OFFLINE,2022.2.4,60.276964085877346,
1,0,0,0,0,1,0,0,triangle,circle,0,0,0,0,1,8,20,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,557.6357615870074,557.6357615870074,557.6357615870074,557.6357615870074,557.6357615870074,557.6357615870074,557.6357615870074,557.6357615870074,557.6357615870074,557.6357615870074,a,1.3293193540011998,1,120,0,558.9872429530078,560.4890484740026,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26157,2022-11-16_14h35.06.854,vts_reward_expectancy_bt_OFFLINE,2022.2.4,60.276964085877346,
0,0,1,0,0,0,0,1,hexagon,star,0,0,0,0,1,9,21,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,560.9895193289849,560.9895193289849,560.9895193289849,560.9895193289849,560.9895193289849,560.9895193289849,560.9895193289849,560.9895193289849,560.9895193289849,560.9895193289849,a,1.0355242980003823,10,130,0,562.0573848839849,563.5590029279992,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26157,2022-11-16_14h35.06.854,vts_reward_expectancy_bt_OFFLINE,2022.2.4,60.276964085877346,
0,0,1,0,0,1,0,0,hexagon,circle,0,0,0,0,1,10,22,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,564.0595754100068,564.0595754100068,564.0595754100068,564.0595754100068,564.0595754100068,564.0595754100068,564.0595754100068,564.0595754100068,564.0595754100068,564.0595754100068,l,0.9474096769990865,10,140,0,565.0271845280076,566.5289245489985,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26157,2022-11-16_14h35.06.854,vts_reward_expectancy_bt_OFFLINE,2022.2.4,60.276964085877346,
0,1,0,0,1,0,0,0,circle,triangle,0,0,0,0,1,11,23,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,567.0294330629986,567.0294330629986,567.0294330629986,567.0294330629986,567.0294330629986,567.0294330629986,567.0294330629986,567.0294330629986,567.0294330629986,567.0294330629986,a,1.3639358390064444,1,141,0,568.4144554150116,569.9160963390023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26157,2022-11-16_14h35.06.854,vts_reward_expectancy_bt_OFFLINE,2022.2.4,60.276964085877346,
0,1,0,0,0,0,0,1,circle,star,0,0,0,0,2,0,24,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,570.4166371249885,570.4166371249885,570.4166371249885,570.4166371249885,570.4166371249885,570.4166371249885,570.4166371249885,570.4166371249885,570.4166371249885,570.4166371249885,l,1.1268770419992507,10,151,0,571.5678139310039,573.0693768780038,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26157,2022-11-16_14h35.06.854,vts_reward_expectancy_bt_OFFLINE,2022.2.4,60.276964085877346,
0,0,1,0,0,0,0,1,hexagon,star,0,0,0,0,2,1,25,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,573.5689154769934,573.5689154769934,573.5689154769934,573.5689154769934,573.5689154769934,573.5689154769934,573.5689154769934,573.5689154769934,573.5689154769934,573.5689154769934,l,1.0245295870117843,1,152,0,574.6210806079907,576.1227678979922,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26157,2022-11-16_14h35.06.854,vts_reward_expectancy_bt_OFFLINE,2022.2.4,60.276964085877346,
0,0,0,1,1,0,0,0,star,triangle,0,0,0,0,2,2,26,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,576.6233297709841,576.6233297709841,576.6233297709841,576.6233297709841,576.6233297709841,576.6233297709841,576.6233297709841,576.6233297709841,576.6233297709841,576.6233297709841,a,1.388846525020199,1,153,0,578.0415832959989,579.5432808480109,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26157,2022-11-16_14h35.06.854,vts_reward_expectancy_bt_OFFLINE,2022.2.4,60.276964085877346,
0,0,1,0,0,1,0,0,hexagon,circle,0,0,0,0,2,3,27,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,580.0441499640001,580.0441499640001,580.0441499640001,580.0441499640001,580.0441499640001,580.0441499640001,580.0441499640001,580.0441499640001,580.0441499640001,580.0441499640001,l,0.8712604070024099,10,163,0,580.9447681779857,582.4465705429902,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26157,2022-11-16_14h35.06.854,vts_reward_expectancy_bt_OFFLINE,2022.2.4,60.276964085877346,
0,0,0,1,0,1,0,0,star ,circle,0,0,0,0,2,4,28,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,582.946950832993,582.946950832993,582.946950832993,582.946950832993,582.946950832993,582.946950832993,582.946950832993,582.946950832993,582.946950832993,582.946950832993,l,0.4877823900023941,1,164,0,583.464232592989,584.9659322109947,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26157,2022-11-16_14h35.06.854,vts_reward_expectancy_bt_OFFLINE,2022.2.4,60.276964085877346,
