LTriangleOpac,LCircleOpac,LHexagonOpac,LStarOpac,RTriangleOpac,RCircleOpac,RHexagonOpac,RStarOpac,LShape_ID,RShape_ID,training_blocks.thisRepN,training_blocks.thisTrialN,training_blocks.thisN,training_blocks.thisIndex,training.thisRepN,training.thisTrialN,training.thisN,training.thisIndex,task1_prac_redo.thisRepN,task1_prac_redo.thisTrialN,task1_prac_redo.thisN,task1_prac_redo.thisIndex,task1_prac_trials.thisRepN,task1_prac_trials.thisTrialN,task1_prac_trials.thisN,task1_prac_trials.thisIndex,task2_prac_redo.thisRepN,task2_prac_redo.thisTrialN,task2_prac_redo.thisN,task2_prac_redo.thisIndex,task2_praac_trials.thisRepN,task2_praac_trials.thisTrialN,task2_praac_trials.thisN,task2_praac_trials.thisIndex,vts_prac_redo.thisRepN,vts_prac_redo.thisTrialN,vts_prac_redo.thisN,vts_prac_redo.thisIndex,vts_practice_trials.thisRepN,vts_practice_trials.thisTrialN,vts_practice_trials.thisN,vts_practice_trials.thisIndex,trials_norew.thisRepN,trials_norew.thisTrialN,trials_norew.thisN,trials_norew.thisIndex,block.thisRepN,block.thisTrialN,block.thisN,block.thisIndex,trials_rew.thisRepN,trials_rew.thisTrialN,trials_rew.thisN,trials_rew.thisIndex,key_resp.started,key_resp.keys,key_resp.rt,left_circle.started,right_circle.started,left_triangle.started,right_triangle.started,left_star.started,right_star.started,left_hexagon.started,right_hexagon.started,training_fix.started,training_resp.started,training_resp.keys,training_resp.rt,points_trial,points_cumul,trainBlock,training_feedback_txt.started,fix.started,training_feedback_txt.stopped,curr_topStim,curr_bottStim,curr_shape,ISI.started,tgt_fix_prac1.started,top_target_prac1.started,bott_target_prac1.started,target_resp_prac1.started,acc,E1,target_resp_prac1.keys,target_resp_prac1.rt,pracBlock,prac_fback_text.started,tgt_fix_prac2.started,top_target_prac2.started,bott_target_prac2.started,target_resp_prac2.started,target_resp_prac2.keys,target_resp_prac2.rt,prac_fback_text.stopped,star.started,hegagon.started,triangle.started,circle.started,star.stopped,hegagon.stopped,triangle.stopped,circle.stopped,top_target.started,tgt_fix.started,bot_target.started,target_resp.started,alt,task,condition,target_resp.keys,target_resp.rt,rewCond,vts_fback.started,blockNum,norew_fback.started,norew_fback.stopped,key_resp_2.keys,key_resp_2.rt,rewExpectancy,feedbk_text.started,fix.stopped,feedbk_text.stopped,text_3.started,debrief.started,text_3.stopped,button.started,debrief.index,debrief.itemText,debrief.type,debrief.granularity,debrief.font,debrief.markerColor,debrief.response,debrief.rt,button.numClicks,button.timesOn,button.timesOff,participant,date,expName,psychopyVersion,frameRate,
1,0,0,0,0,0,1,0,triangle,hexagon,0,0,0,0,1,7,19,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,406.64203958099824,406.64203958099824,406.64203958099824,406.64203958099824,406.64203958099824,406.64203958099824,406.64203958099824,406.64203958099824,406.64203958099824,406.64203958099824,l,2.9598935289977817,10,119,0,409.6286967890046,411.1302383010043,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31068,2022-11-04_14h56.24.032,vts_reward_expectancy_bt_OFFLINE,2022.2.4,59.97243187170211,
0,0,1,0,0,0,0,1,hexagon,star,0,0,0,0,1,8,20,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,411.63099604200397,411.63099604200397,411.63099604200397,411.63099604200397,411.63099604200397,411.63099604200397,411.63099604200397,411.63099604200397,411.63099604200397,411.63099604200397,a,1.323748371010879,1,120,0,412.98246442200616,414.4840001859993,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31068,2022-11-04_14h56.24.032,vts_reward_expectancy_bt_OFFLINE,2022.2.4,59.97243187170211,
0,1,0,0,0,0,0,1,circle,star,0,0,0,0,1,9,21,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,414.98452100899885,414.98452100899885,414.98452100899885,414.98452100899885,414.98452100899885,414.98452100899885,414.98452100899885,414.98452100899885,414.98452100899885,414.98452100899885,l,1.0526521740102908,1,121,0,416.06909161900694,417.5707969159994,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31068,2022-11-04_14h56.24.032,vts_reward_expectancy_bt_OFFLINE,2022.2.4,59.97243187170211,
0,0,0,1,0,1,0,0,star ,circle,0,0,0,0,1,10,22,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,418.0713946150063,418.0713946150063,418.0713946150063,418.0713946150063,418.0713946150063,418.0713946150063,418.0713946150063,418.0713946150063,418.0713946150063,418.0713946150063,a,1.1033807570056524,1,122,0,419.2059007640055,420.70768852200126,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31068,2022-11-04_14h56.24.032,vts_reward_expectancy_bt_OFFLINE,2022.2.4,59.97243187170211,
0,0,1,0,0,1,0,0,hexagon,circle,0,0,0,0,1,11,23,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,421.2081391840038,421.2081391840038,421.2081391840038,421.2081391840038,421.2081391840038,421.2081391840038,421.2081391840038,421.2081391840038,421.2081391840038,421.2081391840038,a,1.4543159220047528,1,123,0,422.693094525006,424.194729313007,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31068,2022-11-04_14h56.24.032,vts_reward_expectancy_bt_OFFLINE,2022.2.4,59.97243187170211,
0,0,0,1,0,1,0,0,star ,circle,0,0,0,0,2,0,24,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,424.6949817660061,424.6949817660061,424.6949817660061,424.6949817660061,424.6949817660061,424.6949817660061,424.6949817660061,424.6949817660061,424.6949817660061,424.6949817660061,a,3.210628788001486,1,124,0,427.9323264419945,429.4338636169996,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31068,2022-11-04_14h56.24.032,vts_reward_expectancy_bt_OFFLINE,2022.2.4,59.97243187170211,
0,1,0,0,1,0,0,0,circle,triangle,0,0,0,0,2,1,25,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,429.93448808400717,429.93448808400717,429.93448808400717,429.93448808400717,429.93448808400717,429.93448808400717,429.93448808400717,429.93448808400717,429.93448808400717,429.93448808400717,l,1.3244808720046422,10,134,0,431.2859088929981,432.78749132899975,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31068,2022-11-04_14h56.24.032,vts_reward_expectancy_bt_OFFLINE,2022.2.4,59.97243187170211,
0,1,0,0,0,0,1,0,circle,hexagon,0,0,0,0,2,2,26,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,433.28819369900157,433.28819369900157,433.28819369900157,433.28819369900157,433.28819369900157,433.28819369900157,433.28819369900157,433.28819369900157,433.28819369900157,433.28819369900157,l,2.2894220750022214,1,135,0,435.6074073869968,437.10890720400494,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31068,2022-11-04_14h56.24.032,vts_reward_expectancy_bt_OFFLINE,2022.2.4,59.97243187170211,
0,1,0,0,0,0,0,1,circle,star,0,0,0,0,2,3,27,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,437.6096907519968,437.6096907519968,437.6096907519968,437.6096907519968,437.6096907519968,437.6096907519968,437.6096907519968,437.6096907519968,437.6096907519968,437.6096907519968,a,0.45600158200250007,10,145,0,438.09347622000496,439.595322166002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31068,2022-11-04_14h56.24.032,vts_reward_expectancy_bt_OFFLINE,2022.2.4,59.97243187170211,
0,0,1,0,1,0,0,0,hexagon,triangle,0,0,0,0,2,4,28,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,440.0955876990047,440.0955876990047,440.0955876990047,440.0955876990047,440.0955876990047,440.0955876990047,440.0955876990047,440.0955876990047,440.0955876990047,440.0955876990047,a,1.377400742014288,1,146,0,441.4970926090027,442.9989562249975,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31068,2022-11-04_14h56.24.032,vts_reward_expectancy_bt_OFFLINE,2022.2.4,59.97243187170211,
