LTriangleOpac,LCircleOpac,LHexagonOpac,LStarOpac,RTriangleOpac,RCircleOpac,RHexagonOpac,RStarOpac,LShape_ID,RShape_ID,training_blocks.thisRepN,training_blocks.thisTrialN,training_blocks.thisN,training_blocks.thisIndex,training.thisRepN,training.thisTrialN,training.thisN,training.thisIndex,task1_prac_redo.thisRepN,task1_prac_redo.thisTrialN,task1_prac_redo.thisN,task1_prac_redo.thisIndex,task1_prac_trials.thisRepN,task1_prac_trials.thisTrialN,task1_prac_trials.thisN,task1_prac_trials.thisIndex,task2_prac_redo.thisRepN,task2_prac_redo.thisTrialN,task2_prac_redo.thisN,task2_prac_redo.thisIndex,task2_praac_trials.thisRepN,task2_praac_trials.thisTrialN,task2_praac_trials.thisN,task2_praac_trials.thisIndex,vts_prac_redo.thisRepN,vts_prac_redo.thisTrialN,vts_prac_redo.thisN,vts_prac_redo.thisIndex,vts_practice_trials.thisRepN,vts_practice_trials.thisTrialN,vts_practice_trials.thisN,vts_practice_trials.thisIndex,trials_norew.thisRepN,trials_norew.thisTrialN,trials_norew.thisN,trials_norew.thisIndex,block.thisRepN,block.thisTrialN,block.thisN,block.thisIndex,trials_rew.thisRepN,trials_rew.thisTrialN,trials_rew.thisN,trials_rew.thisIndex,key_resp.started,key_resp.keys,key_resp.rt,left_circle.started,right_circle.started,left_triangle.started,right_triangle.started,left_star.started,right_star.started,left_hexagon.started,right_hexagon.started,training_fix.started,training_resp.started,training_resp.keys,training_resp.rt,points_trial,points_cumul,trainBlock,training_feedback_txt.started,fix.started,training_feedback_txt.stopped,fix.stopped,curr_topStim,curr_bottStim,curr_shape,ISI.started,tgt_fix_prac1.started,top_target_prac1.started,bott_target_prac1.started,target_resp_prac1.started,acc,E1,target_resp_prac1.keys,target_resp_prac1.rt,pracBlock,prac_fback_text.started,tgt_fix_prac2.started,top_target_prac2.started,bott_target_prac2.started,target_resp_prac2.started,target_resp_prac2.keys,target_resp_prac2.rt,star.started,hegagon.started,triangle.started,circle.started,star.stopped,hegagon.stopped,triangle.stopped,circle.stopped,top_target.started,tgt_fix.started,bot_target.started,target_resp.started,alt,task,condition,target_resp.keys,target_resp.rt,rewCond,vts_fback.started,vts_fback.stopped,blockNum,norew_fback.started,top_target.stopped,tgt_fix.stopped,bot_target.stopped,target_resp.stopped,norew_fback.stopped,key_resp_2.keys,key_resp_2.rt,rewExpectancy,feedbk_text.started,feedbk_text.stopped,text_3.started,debrief.started,text_3.stopped,button.started,debrief.index,debrief.itemText,debrief.type,debrief.granularity,debrief.font,debrief.markerColor,debrief.response,debrief.rt,button.numClicks,button.timesOn,button.timesOff,participant,date,expName,psychopyVersion,frameRate,
0,0,0,1,1,0,0,0,star,triangle,0,0,0,0,1,7,19,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,131.49144067801535,131.49144067801535,131.49144067801535,131.49144067801535,131.49144067801535,131.49144067801535,131.49144067801535,131.49144067801535,131.49144067801535,131.49144067801535,l,0.7504120669909753,1,119,0,132.2592980019981,133.76073713801452,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,86542,2022-11-15_14h05.40.266,vts_reward_expectancy_bt_OFFLINE,2022.2.4,59.914083798130804,
0,0,1,0,0,1,0,0,hexagon,circle,0,0,0,0,1,8,20,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,134.26123074101633,134.26123074101633,134.26123074101633,134.26123074101633,134.26123074101633,134.26123074101633,134.26123074101633,134.26123074101633,134.26123074101633,134.26123074101633,a,0.7133962910156697,10,129,0,134.99558574901312,136.49702393900952,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,86542,2022-11-15_14h05.40.266,vts_reward_expectancy_bt_OFFLINE,2022.2.4,59.914083798130804,
0,1,0,0,0,0,1,0,circle,hexagon,0,0,0,0,1,9,21,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,136.99750821801717,136.99750821801717,136.99750821801717,136.99750821801717,136.99750821801717,136.99750821801717,136.99750821801717,136.99750821801717,136.99750821801717,136.99750821801717,a,0.02405129498220049,10,139,0,137.04776569301612,138.54930197700742,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,86542,2022-11-15_14h05.40.266,vts_reward_expectancy_bt_OFFLINE,2022.2.4,59.914083798130804,
0,0,1,0,1,0,0,0,hexagon,triangle,0,0,0,0,1,10,22,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,139.04972173800343,139.04972173800343,139.04972173800343,139.04972173800343,139.04972173800343,139.04972173800343,139.04972173800343,139.04972173800343,139.04972173800343,139.04972173800343,a,0.43608093599323183,10,149,0,139.51708482802496,141.01863540700288,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,86542,2022-11-15_14h05.40.266,vts_reward_expectancy_bt_OFFLINE,2022.2.4,59.914083798130804,
1,0,0,0,0,1,0,0,triangle,circle,0,0,0,0,1,11,23,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,141.51921259300434,141.51921259300434,141.51921259300434,141.51921259300434,141.51921259300434,141.51921259300434,141.51921259300434,141.51921259300434,141.51921259300434,141.51921259300434,l,2.085205869982019,10,159,0,143.62158476901823,145.1232377970009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,86542,2022-11-15_14h05.40.266,vts_reward_expectancy_bt_OFFLINE,2022.2.4,59.914083798130804,
0,0,0,1,0,0,1,0,star,hexagon,0,0,0,0,2,0,24,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,145.62369559600484,145.62369559600484,145.62369559600484,145.62369559600484,145.62369559600484,145.62369559600484,145.62369559600484,145.62369559600484,145.62369559600484,145.62369559600484,l,1.1855855389731005,1,160,0,146.8416923750192,148.34338312101318,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,86542,2022-11-15_14h05.40.266,vts_reward_expectancy_bt_OFFLINE,2022.2.4,59.914083798130804,
0,0,0,1,1,0,0,0,star,triangle,0,0,0,0,2,1,25,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,148.84399589401437,148.84399589401437,148.84399589401437,148.84399589401437,148.84399589401437,148.84399589401437,148.84399589401437,148.84399589401437,148.84399589401437,148.84399589401437,a,0.42960884398780763,1,161,0,149.29454148301738,150.79620025900658,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,86542,2022-11-15_14h05.40.266,vts_reward_expectancy_bt_OFFLINE,2022.2.4,59.914083798130804,
0,0,1,0,0,1,0,0,hexagon,circle,0,0,0,0,2,2,26,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,151.2966697270167,151.2966697270167,151.2966697270167,151.2966697270167,151.2966697270167,151.2966697270167,151.2966697270167,151.2966697270167,151.2966697270167,151.2966697270167,l,0.384411517996341,10,171,0,151.71338042101706,153.21540135602118,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,86542,2022-11-15_14h05.40.266,vts_reward_expectancy_bt_OFFLINE,2022.2.4,59.914083798130804,
0,1,0,0,0,0,0,1,circle,star,0,0,0,0,2,3,27,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,153.71610304000205,153.71610304000205,153.71610304000205,153.71610304000205,153.71610304000205,153.71610304000205,153.71610304000205,153.71610304000205,153.71610304000205,153.71610304000205,a,0.632245368004078,1,172,0,154.3667096030258,155.86838242202066,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,86542,2022-11-15_14h05.40.266,vts_reward_expectancy_bt_OFFLINE,2022.2.4,59.914083798130804,
0,0,1,0,0,0,0,1,hexagon,star,0,0,0,0,2,4,28,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,156.36887389302137,156.36887389302137,156.36887389302137,156.36887389302137,156.36887389302137,156.36887389302137,156.36887389302137,156.36887389302137,156.36887389302137,156.36887389302137,l,0.419213643996045,10,182,0,156.81925405800575,158.32092812799965,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,86542,2022-11-15_14h05.40.266,vts_reward_expectancy_bt_OFFLINE,2022.2.4,59.914083798130804,
0,1,0,0,1,0,0,0,circle,triangle,0,0,0,0,2,5,29,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,158.82158596802037,158.82158596802037,158.82158596802037,158.82158596802037,158.82158596802037,158.82158596802037,158.82158596802037,158.82158596802037,158.82158596802037,158.82158596802037,l,0.6451177069975529,1,183,0,159.48885836201953,160.99056038301205,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,86542,2022-11-15_14h05.40.266,vts_reward_expectancy_bt_OFFLINE,2022.2.4,59.914083798130804,
