LTriangleOpac,LCircleOpac,LHexagonOpac,LStarOpac,RTriangleOpac,RCircleOpac,RHexagonOpac,RStarOpac,LShape_ID,RShape_ID,training_blocks.thisRepN,training_blocks.thisTrialN,training_blocks.thisN,training_blocks.thisIndex,training.thisRepN,training.thisTrialN,training.thisN,training.thisIndex,task1_prac_redo.thisRepN,task1_prac_redo.thisTrialN,task1_prac_redo.thisN,task1_prac_redo.thisIndex,task1_prac_trials.thisRepN,task1_prac_trials.thisTrialN,task1_prac_trials.thisN,task1_prac_trials.thisIndex,task2_prac_redo.thisRepN,task2_prac_redo.thisTrialN,task2_prac_redo.thisN,task2_prac_redo.thisIndex,task2_praac_trials.thisRepN,task2_praac_trials.thisTrialN,task2_praac_trials.thisN,task2_praac_trials.thisIndex,vts_prac_redo.thisRepN,vts_prac_redo.thisTrialN,vts_prac_redo.thisN,vts_prac_redo.thisIndex,vts_practice_trials.thisRepN,vts_practice_trials.thisTrialN,vts_practice_trials.thisN,vts_practice_trials.thisIndex,trials_norew.thisRepN,trials_norew.thisTrialN,trials_norew.thisN,trials_norew.thisIndex,block.thisRepN,block.thisTrialN,block.thisN,block.thisIndex,trials_rew.thisRepN,trials_rew.thisTrialN,trials_rew.thisN,trials_rew.thisIndex,key_resp.started,key_resp.keys,key_resp.rt,left_circle.started,right_circle.started,left_triangle.started,right_triangle.started,left_star.started,right_star.started,left_hexagon.started,right_hexagon.started,training_fix.started,training_resp.started,training_resp.keys,training_resp.rt,points_trial,points_cumul,trainBlock,training_feedback_txt.started,fix.started,training_feedback_txt.stopped,curr_topStim,curr_bottStim,curr_shape,ISI.started,tgt_fix_prac1.started,top_target_prac1.started,bott_target_prac1.started,target_resp_prac1.started,acc,E1,target_resp_prac1.keys,target_resp_prac1.rt,pracBlock,prac_fback_text.started,tgt_fix_prac2.started,top_target_prac2.started,bott_target_prac2.started,target_resp_prac2.started,target_resp_prac2.keys,target_resp_prac2.rt,star.started,hegagon.started,triangle.started,circle.started,star.stopped,hegagon.stopped,triangle.stopped,circle.stopped,top_target.started,tgt_fix.started,bot_target.started,target_resp.started,top_target.stopped,tgt_fix.stopped,bot_target.stopped,target_resp.stopped,alt,task,condition,target_resp.keys,rewCond,vts_fback.started,vts_fback.stopped,fix.stopped,target_resp.rt,blockNum,norew_fback.started,key_resp_2.keys,key_resp_2.rt,rewExpectancy,feedbk_text.started,feedbk_text.stopped,text_3.started,debrief.started,text_3.stopped,button.started,debrief.index,debrief.itemText,debrief.type,debrief.granularity,debrief.font,debrief.markerColor,debrief.response,debrief.rt,button.numClicks,button.timesOn,button.timesOff,participant,date,expName,psychopyVersion,frameRate
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,0,6,0,8,0,8,0,,,,,,,,,,,,,,,,1,1276,,,2238.267829,,D,167,triangle,0.001648695,,,,,1,0,,,,,,,,,,,2234.708698,2234.708698,2234.708698,2234.708698,2236.215536,2236.215536,2236.215536,2236.215536,2236.215536,2236.215536,2236.215536,2236.215536,,,,,switch,number,numSwt,k,Lo,,,,0.529929177,6,,,,low,2236.767574,,,,,,,,,,,,,,,,,69140_2,2022-11-04_09h05.51.782,vts_reward_expectancy_bt_OFFLINE,2022.2.4,59.94947111
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,0,6,0,9,0,9,0,,,,,,,,,,,,,,,,1,1277,,,2242.789471,,H,125,circle,0.001238929,,,,,1,0,,,,,,,,,,,2239.246136,2239.246136,2239.246136,2239.246136,2240.753962,2240.753962,2240.753962,2240.753962,2240.753962,2240.753962,2240.753962,2240.753962,,,,,repeat,number,numRpt,j,Lo,,,,0.514758516,6,,,,low,2241.288081,,,,,,,,,,,,,,,,,69140_2,2022-11-04_09h05.51.782,vts_reward_expectancy_bt_OFFLINE,2022.2.4,59.94947111
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,0,6,0,10,0,10,0,,,,,,,,,,,,,,,,10,1287,,,2247.277784,,B,139,star,0.001983982,,,,,1,0,,,,,,,,,,,2243.770992,2243.770992,2243.770992,2243.770992,2245.275712,2245.275712,2245.275712,2245.275712,2245.275712,2245.275712,2245.275712,2245.275712,,,,,repeat,number,numRpt,j,Hi,,,,0.46946396,6,,,,low,2245.791775,,,,,,,,,,,,,,,,,69140_2,2022-11-04_09h05.51.782,vts_reward_expectancy_bt_OFFLINE,2022.2.4,59.94947111
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,0,6,0,11,0,11,0,,,,,,,,,,,,,,,,10,1297,,,2251.73276,,W,174,hexagon,0.001583709,,,,,1,0,,,,,,,,,,,2248.259046,2248.259046,2248.259046,2248.259046,2249.763941,2249.763941,2249.763941,2249.763941,2249.763941,2249.763941,2249.763941,2249.763941,,,,,repeat,number,numRpt,k,Hi,,,,0.44916168,6,,,,low,2250.231561,,,,,,,,,,,,,,,,,69140_2,2022-11-04_09h05.51.782,vts_reward_expectancy_bt_OFFLINE,2022.2.4,59.94947111
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,0,6,0,12,0,12,0,,,,,,,,,,,,,,,,1,1298,,,2256.287886,,S,146,triangle,0.00163908,,,,,1,0,,,,,,,,,,,2252.711773,2252.711773,2252.711773,2252.711773,2254.218871,2254.218871,2254.218871,2254.218871,2254.218871,2254.218871,2254.218871,2254.218871,,,,,switch,letter,lettSwt,f,Lo,,,,0.539268059,6,,,,low,2254.787209,,,,,,,,,,,,,,,,,69140_2,2022-11-04_09h05.51.782,vts_reward_expectancy_bt_OFFLINE,2022.2.4,59.94947111
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,0,6,0,13,0,13,0,,,,,,,,,,,,,,,,1,1299,,,2260.792694,,F,181,circle,0.001511527,,,,,1,0,,,,,,,,,,,2257.269041,2257.269041,2257.269041,2257.269041,2258.773662,2258.773662,2258.773662,2258.773662,2258.773662,2258.773662,2258.773662,2258.773662,,,,,repeat,letter,lettRpt,d,Lo,,,,0.494797958,6,,,,low,2259.291483,,,,,,,,,,,,,,,,,69140_2,2022-11-04_09h05.51.782,vts_reward_expectancy_bt_OFFLINE,2022.2.4,59.94947111
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,0,6,0,14,0,14,0,,,,,,,,,,,,,,,,10,1309,,,2265.381092,,U,132,star,0.001637804,,,,,1,0,,,,,,,,,,,2261.771584,2261.771584,2261.771584,2261.771584,2263.278779,2263.278779,2263.278779,2263.278779,2263.278779,2263.278779,2263.278779,2263.278779,,,,,repeat,letter,lettRpt,f,Hi,,,,0.568308141,6,,,,low,2263.879452,,,,,,,,,,,,,,,,,69140_2,2022-11-04_09h05.51.782,vts_reward_expectancy_bt_OFFLINE,2022.2.4,59.94947111
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,0,6,0,15,0,15,0,,,,,,,,,,,,,,,,1,1310,,,2269.936076,,Y,160,hexagon,0.001069225,,,,,1,0,,,,,,,,,,,2266.362083,2266.362083,2266.362083,2266.362083,2267.867176,2267.867176,2267.867176,2267.867176,2267.867176,2267.867176,2267.867176,2267.867176,,,,,repeat,letter,lettRpt,f,Hi,,,,0.549108431,6,,,,low,2268.435406,,,,,,,,,,,,,,,,,69140_2,2022-11-04_09h05.51.782,vts_reward_expectancy_bt_OFFLINE,2022.2.4,59.94947111
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,0,6,0,16,0,16,0,,,,,,,,,,,,,,,,10,1320,,,2274.441162,,B,125,triangle,0.001667412,,,,,1,0,,,,,,,,,,,2270.91528,2270.91528,2270.91528,2270.91528,2272.422182,2272.422182,2272.422182,2272.422182,2272.422182,2272.422182,2272.422182,2272.422182,,,,,switch,number,numSwt,j,Lo,,,,0.493147871,6,,,,low,2272.953762,,,,,,,,,,,,,,,,,69140_2,2022-11-04_09h05.51.782,vts_reward_expectancy_bt_OFFLINE,2022.2.4,59.94947111
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,0,6,0,17,0,17,0,,,,,,,,,,,,,,,,0,1320,,,2278.995971,,H,132,hexagon,0.001343234,,,,,1,0,,,,,,,,,,,2275.422316,2275.422316,2275.422316,2275.422316,2276.927144,2276.927144,2276.927144,2276.927144,2276.927144,2276.927144,2276.927144,2276.927144,,,,,repeat,number,numRpt,j,Hi,,,,0.534414331,6,,,,low,2277.494472,,,,,,,,,,,,,,,,,69140_2,2022-11-04_09h05.51.782,vts_reward_expectancy_bt_OFFLINE,2022.2.4,59.94947111
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,0,6,0,18,0,18,0,,,,,,,,,,,,,,,,0,1320,,,2283.500933,,F,181,star,0.001008064,,,,,1,0,,,,,,,,,,,2279.973988,2279.973988,2279.973988,2279.973988,2281.482156,2281.482156,2281.482156,2281.482156,2281.482156,2281.482156,2281.482156,2281.482156,,,,,repeat,number,numRpt,k,Hi,,,,0.489833512,6,,,,low,2281.999837,,,,,,,,,,,,,,,,,69140_2,2022-11-04_09h05.51.782,vts_reward_expectancy_bt_OFFLINE,2022.2.4,59.94947111
