LTriangleOpac,LCircleOpac,LHexagonOpac,LStarOpac,RTriangleOpac,RCircleOpac,RHexagonOpac,RStarOpac,LShape_ID,RShape_ID,training_blocks.thisRepN,training_blocks.thisTrialN,training_blocks.thisN,training_blocks.thisIndex,training.thisRepN,training.thisTrialN,training.thisN,training.thisIndex,task1_prac_redo.thisRepN,task1_prac_redo.thisTrialN,task1_prac_redo.thisN,task1_prac_redo.thisIndex,task1_prac_trials.thisRepN,task1_prac_trials.thisTrialN,task1_prac_trials.thisN,task1_prac_trials.thisIndex,task2_prac_redo.thisRepN,task2_prac_redo.thisTrialN,task2_prac_redo.thisN,task2_prac_redo.thisIndex,task2_praac_trials.thisRepN,task2_praac_trials.thisTrialN,task2_praac_trials.thisN,task2_praac_trials.thisIndex,vts_prac_redo.thisRepN,vts_prac_redo.thisTrialN,vts_prac_redo.thisN,vts_prac_redo.thisIndex,vts_practice_trials.thisRepN,vts_practice_trials.thisTrialN,vts_practice_trials.thisN,vts_practice_trials.thisIndex,trials_norew.thisRepN,trials_norew.thisTrialN,trials_norew.thisN,trials_norew.thisIndex,block.thisRepN,block.thisTrialN,block.thisN,block.thisIndex,trials_rew.thisRepN,trials_rew.thisTrialN,trials_rew.thisN,trials_rew.thisIndex,key_resp.started,key_resp.keys,key_resp.rt,left_circle.started,right_circle.started,left_triangle.started,right_triangle.started,left_star.started,right_star.started,left_hexagon.started,right_hexagon.started,training_fix.started,training_resp.started,training_resp.keys,training_resp.rt,points_trial,points_cumul,trainBlock,training_feedback_txt.started,fix.started,curr_topStim,curr_bottStim,curr_shape,ISI.started,tgt_fix_prac1.started,top_target_prac1.started,bott_target_prac1.started,target_resp_prac1.started,top_target_prac1.stopped,tgt_fix_prac1.stopped,bott_target_prac1.stopped,target_resp_prac1.stopped,acc,E1,target_resp_prac1.keys,pracBlock,prac_fback_text.started,prac_fback_text.stopped,fix.stopped,target_resp_prac1.rt,tgt_fix_prac2.started,top_target_prac2.started,bott_target_prac2.started,target_resp_prac2.started,target_resp_prac2.keys,target_resp_prac2.rt,star.started,hegagon.started,triangle.started,circle.started,star.stopped,hegagon.stopped,triangle.stopped,circle.stopped,top_target.started,tgt_fix.started,bot_target.started,target_resp.started,alt,task,condition,target_resp.keys,target_resp.rt,rewCond,vts_fback.started,blockNum,norew_fback.started,key_resp_2.keys,key_resp_2.rt,rewExpectancy,feedbk_text.started,feedbk_text.stopped,text_3.started,text_3.stopped,button.started,debrief.index,debrief.itemText,debrief.type,debrief.granularity,debrief.font,debrief.markerColor,debrief.response,debrief.rt,button.numClicks,button.timesOn,button.timesOff,participant,date,expName,psychopyVersion,frameRate,
0,0,1,0,1,0,0,0,hexagon,triangle,0,0,0,0,1,7,19,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,141.4505686580087,141.4505686580087,141.4505686580087,141.4505686580087,141.4505686580087,141.4505686580087,141.4505686580087,141.4505686580087,141.4505686580087,141.4505686580087,a,1.313235102003091,1,110,0,142.7852011280047,144.28690733401163,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,92584,2022-10-27_13h57.55.785,vts_reward_expectancy_bt_OFFLINE,2022.2.4,60.10451646780016,
0,1,0,0,1,0,0,0,circle,triangle,0,0,0,0,1,8,20,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,144.78756392700598,144.78756392700598,144.78756392700598,144.78756392700598,144.78756392700598,144.78756392700598,144.78756392700598,144.78756392700598,144.78756392700598,144.78756392700598,l,1.0079597009898862,10,120,0,145.82202985500044,147.32369556699996,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,92584,2022-10-27_13h57.55.785,vts_reward_expectancy_bt_OFFLINE,2022.2.4,60.10451646780016,
0,0,0,1,0,1,0,0,star ,circle,0,0,0,0,1,9,21,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,147.8242042230122,147.8242042230122,147.8242042230122,147.8242042230122,147.8242042230122,147.8242042230122,147.8242042230122,147.8242042230122,147.8242042230122,147.8242042230122,a,1.0347640980035067,10,130,0,148.8920491260069,150.39381458700518,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,92584,2022-10-27_13h57.55.785,vts_reward_expectancy_bt_OFFLINE,2022.2.4,60.10451646780016,
0,0,0,1,0,0,1,0,star,hexagon,0,0,0,0,1,10,22,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,150.89434398400772,150.89434398400772,150.89434398400772,150.89434398400772,150.89434398400772,150.89434398400772,150.89434398400772,150.89434398400772,150.89434398400772,150.89434398400772,a,0.9652129989990499,1,131,0,151.87867292600276,153.38047737401212,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,92584,2022-10-27_13h57.55.785,vts_reward_expectancy_bt_OFFLINE,2022.2.4,60.10451646780016,
1,0,0,0,0,1,0,0,triangle,circle,0,0,0,0,1,11,23,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,153.88099135400262,153.88099135400262,153.88099135400262,153.88099135400262,153.88099135400262,153.88099135400262,153.88099135400262,153.88099135400262,153.88099135400262,153.88099135400262,l,6.22604022899759,10,141,0,160.13787830200454,161.63936150200607,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,92584,2022-10-27_13h57.55.785,vts_reward_expectancy_bt_OFFLINE,2022.2.4,60.10451646780016,
0,0,0,1,0,1,0,0,star ,circle,0,0,0,0,2,0,24,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,162.1401117780042,162.1401117780042,162.1401117780042,162.1401117780042,162.1401117780042,162.1401117780042,162.1401117780042,162.1401117780042,162.1401117780042,162.1401117780042,l,1.2235740779869957,10,151,0,163.39126453301287,164.8930627610098,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,92584,2022-10-27_13h57.55.785,vts_reward_expectancy_bt_OFFLINE,2022.2.4,60.10451646780016,
0,1,0,0,0,0,1,0,circle,hexagon,0,0,0,0,2,1,25,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,165.39360096400196,165.39360096400196,165.39360096400196,165.39360096400196,165.39360096400196,165.39360096400196,165.39360096400196,165.39360096400196,165.39360096400196,165.39360096400196,a,0.8976707050023833,1,152,0,166.3111839070043,167.81280445000448,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,92584,2022-10-27_13h57.55.785,vts_reward_expectancy_bt_OFFLINE,2022.2.4,60.10451646780016,
0,0,1,0,0,0,0,1,hexagon,star,0,0,0,0,2,2,26,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,168.31340906000696,168.31340906000696,168.31340906000696,168.31340906000696,168.31340906000696,168.31340906000696,168.31340906000696,168.31340906000696,168.31340906000696,168.31340906000696,a,1.5613162939989707,10,162,0,169.8984849610133,171.40039613300178,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,92584,2022-10-27_13h57.55.785,vts_reward_expectancy_bt_OFFLINE,2022.2.4,60.10451646780016,
1,0,0,0,0,1,0,0,triangle,circle,0,0,0,0,2,3,27,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,171.9008582940005,171.9008582940005,171.9008582940005,171.9008582940005,171.9008582940005,171.9008582940005,171.9008582940005,171.9008582940005,171.9008582940005,171.9008582940005,l,0.9991397520061582,1,163,0,172.91856983900652,174.42027446501015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,92584,2022-10-27_13h57.55.785,vts_reward_expectancy_bt_OFFLINE,2022.2.4,60.10451646780016,
0,1,0,0,0,0,0,1,circle,star,0,0,0,0,2,4,28,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,174.92082415400364,174.92082415400364,174.92082415400364,174.92082415400364,174.92082415400364,174.92082415400364,174.92082415400364,174.92082415400364,174.92082415400364,174.92082415400364,a,0.8271911189949606,1,164,0,175.7716989670007,177.2733968130051,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,92584,2022-10-27_13h57.55.785,vts_reward_expectancy_bt_OFFLINE,2022.2.4,60.10451646780016,
