LTriangleOpac,LCircleOpac,LHexagonOpac,LStarOpac,RTriangleOpac,RCircleOpac,RHexagonOpac,RStarOpac,LShape_ID,RShape_ID,training_blocks.thisRepN,training_blocks.thisTrialN,training_blocks.thisN,training_blocks.thisIndex,training.thisRepN,training.thisTrialN,training.thisN,training.thisIndex,task1_prac_redo.thisRepN,task1_prac_redo.thisTrialN,task1_prac_redo.thisN,task1_prac_redo.thisIndex,task1_prac_trials.thisRepN,task1_prac_trials.thisTrialN,task1_prac_trials.thisN,task1_prac_trials.thisIndex,task2_prac_redo.thisRepN,task2_prac_redo.thisTrialN,task2_prac_redo.thisN,task2_prac_redo.thisIndex,task2_praac_trials.thisRepN,task2_praac_trials.thisTrialN,task2_praac_trials.thisN,task2_praac_trials.thisIndex,vts_prac_redo.thisRepN,vts_prac_redo.thisTrialN,vts_prac_redo.thisN,vts_prac_redo.thisIndex,vts_practice_trials.thisRepN,vts_practice_trials.thisTrialN,vts_practice_trials.thisN,vts_practice_trials.thisIndex,trials_norew.thisRepN,trials_norew.thisTrialN,trials_norew.thisN,trials_norew.thisIndex,block.thisRepN,block.thisTrialN,block.thisN,block.thisIndex,trials_rew.thisRepN,trials_rew.thisTrialN,trials_rew.thisN,trials_rew.thisIndex,key_resp.started,key_resp.keys,key_resp.rt,left_circle.started,right_circle.started,left_triangle.started,right_triangle.started,left_star.started,right_star.started,left_hexagon.started,right_hexagon.started,training_fix.started,training_resp.started,training_resp.keys,training_resp.rt,points_trial,points_cumul,trainBlock,training_feedback_txt.started,training_feedback_txt.stopped,fix.started,fix.stopped,curr_topStim,curr_bottStim,curr_shape,ISI.started,tgt_fix_prac1.started,top_target_prac1.started,bott_target_prac1.started,target_resp_prac1.started,acc,E1,target_resp_prac1.keys,target_resp_prac1.rt,pracBlock,prac_fback_text.started,prac_fback_text.stopped,tgt_fix_prac2.started,top_target_prac2.started,bott_target_prac2.started,target_resp_prac2.started,target_resp_prac2.keys,target_resp_prac2.rt,star.started,hegagon.started,triangle.started,circle.started,top_target.started,tgt_fix.started,bot_target.started,target_resp.started,star.stopped,hegagon.stopped,triangle.stopped,circle.stopped,alt,task,condition,target_resp.keys,target_resp.rt,rewCond,vts_fback.started,vts_fback.stopped,blockNum,norew_fback.started,norew_fback.stopped,key_resp_2.keys,key_resp_2.rt,top_target.stopped,tgt_fix.stopped,bot_target.stopped,target_resp.stopped,rewExpectancy,feedbk_text.started,feedbk_text.stopped,text_3.started,text_3.stopped,button.started,debrief.index,debrief.itemText,debrief.type,debrief.granularity,debrief.font,debrief.markerColor,debrief.response,debrief.rt,button.numClicks,button.timesOn,button.timesOff,participant,date,expName,psychopyVersion,frameRate,
1,0,0,0,0,1,0,0,triangle,circle,0,0,0,0,1,7,19,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,162.52688036399195,162.52688036399195,162.52688036399195,162.52688036399195,162.52688036399195,162.52688036399195,162.52688036399195,162.52688036399195,162.52688036399195,162.52688036399195,l,0.3771151509718038,1,136,0,162.92782208498102,164.42777868098347,164.42777868098347,164.9277899620356,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21613,2022-10-31_13h51.30.563,vts_reward_expectancy_bt_OFFLINE,2022.2.4,59.892617206940045,
0,0,0,1,1,0,0,0,star,triangle,0,0,0,0,1,8,20,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,164.9277899620356,164.9277899620356,164.9277899620356,164.9277899620356,164.9277899620356,164.9277899620356,164.9277899620356,164.9277899620356,164.9277899620356,164.9277899620356,l,0.7682571319746785,1,137,0,165.72809535101987,,167.2306555340183,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21613,2022-10-31_13h51.30.563,vts_reward_expectancy_bt_OFFLINE,2022.2.4,59.892617206940045,
0,0,1,0,1,0,0,0,hexagon,triangle,0,0,0,0,1,9,21,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,167.73078904900467,167.73078904900467,167.73078904900467,167.73078904900467,167.73078904900467,167.73078904900467,167.73078904900467,167.73078904900467,167.73078904900467,167.73078904900467,l,0.3412398769869469,10,147,0,168.09852992399829,169.59804759698454,169.59804759698454,170.09803827101132,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21613,2022-10-31_13h51.30.563,vts_reward_expectancy_bt_OFFLINE,2022.2.4,59.892617206940045,
0,0,1,0,0,1,0,0,hexagon,circle,0,0,0,0,1,10,22,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,170.09803827101132,170.09803827101132,170.09803827101132,170.09803827101132,170.09803827101132,170.09803827101132,170.09803827101132,170.09803827101132,170.09803827101132,170.09803827101132,l,1.8372488789609633,10,157,0,171.9672417329857,173.46795990498504,173.46795990498504,173.96792530099628,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21613,2022-10-31_13h51.30.563,vts_reward_expectancy_bt_OFFLINE,2022.2.4,59.892617206940045,
0,0,0,1,0,1,0,0,star ,circle,0,0,0,0,1,11,23,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,173.96792530099628,173.96792530099628,173.96792530099628,173.96792530099628,173.96792530099628,173.96792530099628,173.96792530099628,173.96792530099628,173.96792530099628,173.96792530099628,l,0.6483645209809765,1,158,0,174.63620130100753,176.1354959110031,176.1354959110031,176.6356364079984,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21613,2022-10-31_13h51.30.563,vts_reward_expectancy_bt_OFFLINE,2022.2.4,59.892617206940045,
0,0,0,1,0,0,1,0,star,hexagon,0,0,0,0,2,0,24,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,176.6356364079984,176.6356364079984,176.6356364079984,176.6356364079984,176.6356364079984,176.6356364079984,176.6356364079984,176.6356364079984,176.6356364079984,176.6356364079984,l,0.4124731699703261,10,168,0,177.07195024198154,178.57138492399827,178.57138492399827,179.07172007497866,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21613,2022-10-31_13h51.30.563,vts_reward_expectancy_bt_OFFLINE,2022.2.4,59.892617206940045,
1,0,0,0,0,1,0,0,triangle,circle,0,0,0,0,2,1,25,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,179.07172007497866,179.07172007497866,179.07172007497866,179.07172007497866,179.07172007497866,179.07172007497866,179.07172007497866,179.07172007497866,179.07172007497866,179.07172007497866,l,1.7118160329991952,10,178,0,180.8055078550242,,182.30814306798857,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21613,2022-10-31_13h51.30.563,vts_reward_expectancy_bt_OFFLINE,2022.2.4,59.892617206940045,
0,0,1,0,0,1,0,0,hexagon,circle,0,0,0,0,2,2,26,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,182.8081915259827,182.8081915259827,182.8081915259827,182.8081915259827,182.8081915259827,182.8081915259827,182.8081915259827,182.8081915259827,182.8081915259827,182.8081915259827,l,1.207033781975042,1,179,0,184.04307576699648,185.54247958399355,185.54247958399355,186.04271828301717,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21613,2022-10-31_13h51.30.563,vts_reward_expectancy_bt_OFFLINE,2022.2.4,59.892617206940045,
0,0,0,1,0,1,0,0,star ,circle,0,0,0,0,2,3,27,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,186.04271828301717,186.04271828301717,186.04271828301717,186.04271828301717,186.04271828301717,186.04271828301717,186.04271828301717,186.04271828301717,186.04271828301717,186.04271828301717,l,0.26925261795986444,10,189,0,186.34379976900527,,187.84533513401402,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21613,2022-10-31_13h51.30.563,vts_reward_expectancy_bt_OFFLINE,2022.2.4,59.892617206940045,
0,1,0,0,1,0,0,0,circle,triangle,0,0,0,0,2,4,28,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,188.34544922300847,188.34544922300847,188.34544922300847,188.34544922300847,188.34544922300847,188.34544922300847,188.34544922300847,188.34544922300847,188.34544922300847,188.34544922300847,a,1.0139824009966105,1,190,0,189.37993857602123,190.87966904701898,190.87966904701898,191.3798623990151,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21613,2022-10-31_13h51.30.563,vts_reward_expectancy_bt_OFFLINE,2022.2.4,59.892617206940045,
