LTriangleOpac,LCircleOpac,LHexagonOpac,LStarOpac,RTriangleOpac,RCircleOpac,RHexagonOpac,RStarOpac,LShape_ID,RShape_ID,training_blocks.thisRepN,training_blocks.thisTrialN,training_blocks.thisN,training_blocks.thisIndex,training.thisRepN,training.thisTrialN,training.thisN,training.thisIndex,task1_prac_redo.thisRepN,task1_prac_redo.thisTrialN,task1_prac_redo.thisN,task1_prac_redo.thisIndex,task1_prac_trials.thisRepN,task1_prac_trials.thisTrialN,task1_prac_trials.thisN,task1_prac_trials.thisIndex,task2_prac_redo.thisRepN,task2_prac_redo.thisTrialN,task2_prac_redo.thisN,task2_prac_redo.thisIndex,task2_praac_trials.thisRepN,task2_praac_trials.thisTrialN,task2_praac_trials.thisN,task2_praac_trials.thisIndex,vts_prac_redo.thisRepN,vts_prac_redo.thisTrialN,vts_prac_redo.thisN,vts_prac_redo.thisIndex,vts_practice_trials.thisRepN,vts_practice_trials.thisTrialN,vts_practice_trials.thisN,vts_practice_trials.thisIndex,trials_norew.thisRepN,trials_norew.thisTrialN,trials_norew.thisN,trials_norew.thisIndex,block.thisRepN,block.thisTrialN,block.thisN,block.thisIndex,trials_rew.thisRepN,trials_rew.thisTrialN,trials_rew.thisN,trials_rew.thisIndex,key_resp.started,key_resp.keys,key_resp.rt,left_circle.started,right_circle.started,left_triangle.started,right_triangle.started,left_star.started,right_star.started,left_hexagon.started,right_hexagon.started,training_fix.started,training_resp.started,training_resp.keys,training_resp.rt,points_trial,points_cumul,trainBlock,training_feedback_txt.started,training_feedback_txt.stopped,fix.started,curr_topStim,curr_bottStim,curr_shape,ISI.started,tgt_fix_prac1.started,top_target_prac1.started,bott_target_prac1.started,target_resp_prac1.started,acc,E1,target_resp_prac1.keys,target_resp_prac1.rt,pracBlock,prac_fback_text.started,prac_fback_text.stopped,tgt_fix_prac2.started,top_target_prac2.started,bott_target_prac2.started,target_resp_prac2.started,target_resp_prac2.keys,target_resp_prac2.rt,star.started,hegagon.started,triangle.started,circle.started,top_target.started,tgt_fix.started,bot_target.started,target_resp.started,star.stopped,hegagon.stopped,triangle.stopped,circle.stopped,alt,task,condition,target_resp.keys,target_resp.rt,rewCond,vts_fback.started,vts_fback.stopped,fix.stopped,blockNum,norew_fback.started,norew_fback.stopped,key_resp_2.keys,key_resp_2.rt,rewExpectancy,feedbk_text.started,feedbk_text.stopped,text_3.started,debrief.started,text_3.stopped,button.started,debrief.index,debrief.itemText,debrief.type,debrief.granularity,debrief.font,debrief.markerColor,debrief.response,debrief.rt,button.numClicks,button.timesOn,button.timesOff,participant,date,expName,psychopyVersion,frameRate,
1,0,0,0,0,1,0,0,triangle,circle,0,0,0,0,1,9,21,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,139.72073503700085,139.72073503700085,139.72073503700085,139.72073503700085,139.72073503700085,139.72073503700085,139.72073503700085,139.72073503700085,139.72073503700085,139.72073503700085,a,0.7296541881514713,10,139,0,140.47151269495953,,141.97319289902225,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40967,2022-11-29_14h06.59.574,vts_reward_expectancy_bt_OFFLINE,2022.2.4,59.87532579691902,
0,0,0,1,1,0,0,0,star,triangle,0,0,0,0,1,10,22,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,142.47395794000477,142.47395794000477,142.47395794000477,142.47395794000477,142.47395794000477,142.47395794000477,142.47395794000477,142.47395794000477,142.47395794000477,142.47395794000477,a,0.4861339310882613,1,140,0,142.9911869399948,144.4926823589485,144.4926823589485,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40967,2022-11-29_14h06.59.574,vts_reward_expectancy_bt_OFFLINE,2022.2.4,59.87532579691902,
0,0,1,0,0,1,0,0,hexagon,circle,0,0,0,0,1,11,23,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,144.9933226479916,144.9933226479916,144.9933226479916,144.9933226479916,144.9933226479916,144.9933226479916,144.9933226479916,144.9933226479916,144.9933226479916,144.9933226479916,a,0.635077296057716,10,150,0,145.66079320001882,,147.162346286932,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40967,2022-11-29_14h06.59.574,vts_reward_expectancy_bt_OFFLINE,2022.2.4,59.87532579691902,
1,0,0,0,0,0,0,1,triangle,star,0,0,0,0,2,0,24,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,147.66299829795025,147.66299829795025,147.66299829795025,147.66299829795025,147.66299829795025,147.66299829795025,147.66299829795025,147.66299829795025,147.66299829795025,147.66299829795025,l,0.7315193640533835,1,151,0,148.41373952000868,,149.91535857191775,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40967,2022-11-29_14h06.59.574,vts_reward_expectancy_bt_OFFLINE,2022.2.4,59.87532579691902,
0,0,0,1,1,0,0,0,star,triangle,0,0,0,0,2,1,25,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,150.41600739397109,150.41600739397109,150.41600739397109,150.41600739397109,150.41600739397109,150.41600739397109,150.41600739397109,150.41600739397109,150.41600739397109,150.41600739397109,l,0.5878553000511602,10,161,0,151.03328703192528,,152.53496251197066,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40967,2022-11-29_14h06.59.574,vts_reward_expectancy_bt_OFFLINE,2022.2.4,59.87532579691902,
0,0,1,0,1,0,0,0,hexagon,triangle,0,0,0,0,2,2,26,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,153.0356900349725,153.0356900349725,153.0356900349725,153.0356900349725,153.0356900349725,153.0356900349725,153.0356900349725,153.0356900349725,153.0356900349725,153.0356900349725,a,0.8032347240950912,10,171,0,153.86985347699374,,155.3713757849764,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40967,2022-11-29_14h06.59.574,vts_reward_expectancy_bt_OFFLINE,2022.2.4,59.87532579691902,
1,0,0,0,0,0,1,0,triangle,hexagon,0,0,0,0,2,3,27,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,155.87194326496683,155.87194326496683,155.87194326496683,155.87194326496683,155.87194326496683,155.87194326496683,155.87194326496683,155.87194326496683,155.87194326496683,155.87194326496683,l,0.5549365660408512,10,181,0,156.45603383996058,,157.9577082169708,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40967,2022-11-29_14h06.59.574,vts_reward_expectancy_bt_OFFLINE,2022.2.4,59.87532579691902,
1,0,0,0,0,1,0,0,triangle,circle,0,0,0,0,2,4,28,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,158.45811218197923,158.45811218197923,158.45811218197923,158.45811218197923,158.45811218197923,158.45811218197923,158.45811218197923,158.45811218197923,158.45811218197923,158.45811218197923,a,0.5582586580421776,10,191,0,159.0422920769779,,160.54377132898662,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40967,2022-11-29_14h06.59.574,vts_reward_expectancy_bt_OFFLINE,2022.2.4,59.87532579691902,
0,0,1,0,0,1,0,0,hexagon,circle,0,0,0,0,2,5,29,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,161.04446586791892,161.04446586791892,161.04446586791892,161.04446586791892,161.04446586791892,161.04446586791892,161.04446586791892,161.04446586791892,161.04446586791892,161.04446586791892,a,0.6024520740611479,1,192,0,161.67830771394074,,163.18008143699262,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40967,2022-11-29_14h06.59.574,vts_reward_expectancy_bt_OFFLINE,2022.2.4,59.87532579691902,
0,0,1,0,0,0,0,1,hexagon,star,0,0,0,0,2,6,30,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,163.68059306696523,163.68059306696523,163.68059306696523,163.68059306696523,163.68059306696523,163.68059306696523,163.68059306696523,163.68059306696523,163.68059306696523,163.68059306696523,a,0.9153693130938336,1,193,0,164.6149133349536,,166.11661575792823,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40967,2022-11-29_14h06.59.574,vts_reward_expectancy_bt_OFFLINE,2022.2.4,59.87532579691902,
