LTriangleOpac,LCircleOpac,LHexagonOpac,LStarOpac,RTriangleOpac,RCircleOpac,RHexagonOpac,RStarOpac,LShape_ID,RShape_ID,training_blocks.thisRepN,training_blocks.thisTrialN,training_blocks.thisN,training_blocks.thisIndex,training.thisRepN,training.thisTrialN,training.thisN,training.thisIndex,task1_prac_redo.thisRepN,task1_prac_redo.thisTrialN,task1_prac_redo.thisN,task1_prac_redo.thisIndex,task1_prac_trials.thisRepN,task1_prac_trials.thisTrialN,task1_prac_trials.thisN,task1_prac_trials.thisIndex,task2_prac_redo.thisRepN,task2_prac_redo.thisTrialN,task2_prac_redo.thisN,task2_prac_redo.thisIndex,task2_praac_trials.thisRepN,task2_praac_trials.thisTrialN,task2_praac_trials.thisN,task2_praac_trials.thisIndex,vts_prac_redo.thisRepN,vts_prac_redo.thisTrialN,vts_prac_redo.thisN,vts_prac_redo.thisIndex,vts_practice_trials.thisRepN,vts_practice_trials.thisTrialN,vts_practice_trials.thisN,vts_practice_trials.thisIndex,trials_norew.thisRepN,trials_norew.thisTrialN,trials_norew.thisN,trials_norew.thisIndex,block.thisRepN,block.thisTrialN,block.thisN,block.thisIndex,trials_rew.thisRepN,trials_rew.thisTrialN,trials_rew.thisN,trials_rew.thisIndex,key_resp.started,key_resp.keys,key_resp.rt,left_circle.started,right_circle.started,left_triangle.started,right_triangle.started,left_star.started,right_star.started,left_hexagon.started,right_hexagon.started,training_fix.started,training_resp.started,training_resp.keys,training_resp.rt,points_trial,points_cumul,trainBlock,training_feedback_txt.started,fix.started,training_feedback_txt.stopped,fix.stopped,curr_topStim,curr_bottStim,curr_shape,ISI.started,tgt_fix_prac1.started,top_target_prac1.started,bott_target_prac1.started,target_resp_prac1.started,top_target_prac1.stopped,bott_target_prac1.stopped,target_resp_prac1.stopped,acc,E1,target_resp_prac1.keys,pracBlock,prac_fback_text.started,target_resp_prac1.rt,prac_fback_text.stopped,tgt_fix_prac2.started,top_target_prac2.started,bott_target_prac2.started,target_resp_prac2.started,target_resp_prac2.keys,target_resp_prac2.rt,star.started,hegagon.started,triangle.started,circle.started,top_target.started,tgt_fix.started,bot_target.started,target_resp.started,star.stopped,hegagon.stopped,triangle.stopped,circle.stopped,alt,task,condition,target_resp.keys,target_resp.rt,rewCond,vts_fback.started,vts_fback.stopped,blockNum,norew_fback.started,norew_fback.stopped,key_resp_2.keys,key_resp_2.rt,rewExpectancy,feedbk_text.started,top_target.stopped,tgt_fix.stopped,bot_target.stopped,target_resp.stopped,feedbk_text.stopped,text_3.started,text_3.stopped,button.started,debrief.index,debrief.itemText,debrief.type,debrief.granularity,debrief.font,debrief.markerColor,debrief.response,debrief.rt,button.numClicks,button.timesOn,button.timesOff,participant,date,expName,psychopyVersion,frameRate,
0,1,0,0,0,0,0,1,circle,star,0,0,0,0,1,7,19,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,126.38051231598365,126.38051231598365,126.38051231598365,126.38051231598365,126.38051231598365,126.38051231598365,126.38051231598365,126.38051231598365,126.38051231598365,126.38051231598365,l,0.920690959028434,10,92,0,127.33256225500372,128.8475395370042,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,81170,2022-10-28_09h09.52.183,vts_reward_expectancy_bt_OFFLINE,2022.2.4,59.993802760605824,
0,0,0,1,1,0,0,0,star,triangle,0,0,0,0,1,8,20,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,129.3480094219849,129.3480094219849,129.3480094219849,129.3480094219849,129.3480094219849,129.3480094219849,129.3480094219849,129.3480094219849,129.3480094219849,129.3480094219849,l,3.096404986019479,1,93,0,132.46949680900434,133.98487119498895,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,81170,2022-10-28_09h09.52.183,vts_reward_expectancy_bt_OFFLINE,2022.2.4,59.993802760605824,
0,0,1,0,0,0,0,1,hexagon,star,0,0,0,0,1,9,21,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,134.48525151400827,134.48525151400827,134.48525151400827,134.48525151400827,134.48525151400827,134.48525151400827,134.48525151400827,134.48525151400827,134.48525151400827,134.48525151400827,l,0.615573552029673,10,103,0,135.121006166999,136.62096190499142,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,81170,2022-10-28_09h09.52.183,vts_reward_expectancy_bt_OFFLINE,2022.2.4,59.993802760605824,
1,0,0,0,0,0,0,1,triangle,star,0,0,0,0,1,10,22,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,137.12108659098158,137.12108659098158,137.12108659098158,137.12108659098158,137.12108659098158,137.12108659098158,137.12108659098158,137.12108659098158,137.12108659098158,137.12108659098158,l,1.140211685007671,10,113,0,138.28844377599307,139.7888944860024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,81170,2022-10-28_09h09.52.183,vts_reward_expectancy_bt_OFFLINE,2022.2.4,59.993802760605824,
0,0,0,1,0,0,1,0,star,hexagon,0,0,0,0,1,11,23,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,140.28879639599472,140.28879639599472,140.28879639599472,140.28879639599472,140.28879639599472,140.28879639599472,140.28879639599472,140.28879639599472,140.28879639599472,140.28879639599472,a,1.8360526800097432,10,123,0,142.1417843749805,143.64204843100742,143.64204843100742,144.14226786300424,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,81170,2022-10-28_09h09.52.183,vts_reward_expectancy_bt_OFFLINE,2022.2.4,59.993802760605824,
0,0,1,0,1,0,0,0,hexagon,triangle,0,0,0,0,2,0,24,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,144.14226786300424,144.14226786300424,144.14226786300424,144.14226786300424,144.14226786300424,144.14226786300424,144.14226786300424,144.14226786300424,144.14226786300424,144.14226786300424,l,1.6061969909933396,10,133,0,145.77801925499807,147.2786452260043,147.2786452260043,147.77873081498547,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,81170,2022-10-28_09h09.52.183,vts_reward_expectancy_bt_OFFLINE,2022.2.4,59.993802760605824,
0,0,0,1,0,0,1,0,star,hexagon,0,0,0,0,2,1,25,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,147.77873081498547,147.77873081498547,147.77873081498547,147.77873081498547,147.77873081498547,147.77873081498547,147.77873081498547,147.77873081498547,147.77873081498547,147.77873081498547,a,1.426497584034223,1,134,0,149.23130657000002,150.73165536599117,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,81170,2022-10-28_09h09.52.183,vts_reward_expectancy_bt_OFFLINE,2022.2.4,59.993802760605824,
1,0,0,0,0,1,0,0,triangle,circle,0,0,0,0,2,2,26,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,151.23172790999524,151.23172790999524,151.23172790999524,151.23172790999524,151.23172790999524,151.23172790999524,151.23172790999524,151.23172790999524,151.23172790999524,151.23172790999524,l,1.2531143710075412,10,144,0,152.51774469797965,154.03272643798846,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,81170,2022-10-28_09h09.52.183,vts_reward_expectancy_bt_OFFLINE,2022.2.4,59.993802760605824,
0,1,0,0,0,0,0,1,circle,star,0,0,0,0,2,3,27,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,154.51646170098684,154.51646170098684,154.51646170098684,154.51646170098684,154.51646170098684,154.51646170098684,154.51646170098684,154.51646170098684,154.51646170098684,154.51646170098684,a,1.6959425560198724,10,154,0,156.23563008999918,157.73615091800457,157.73615091800457,158.23615887900814,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,81170,2022-10-28_09h09.52.183,vts_reward_expectancy_bt_OFFLINE,2022.2.4,59.993802760605824,
0,1,0,0,1,0,0,0,circle,triangle,0,0,0,0,2,4,28,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,158.23615887900814,158.23615887900814,158.23615887900814,158.23615887900814,158.23615887900814,158.23615887900814,158.23615887900814,158.23615887900814,158.23615887900814,158.23615887900814,a,1.3363642710028216,10,164,0,159.60331852099625,161.10565060100635,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,81170,2022-10-28_09h09.52.183,vts_reward_expectancy_bt_OFFLINE,2022.2.4,59.993802760605824,
