LTriangleOpac,LCircleOpac,LHexagonOpac,LStarOpac,RTriangleOpac,RCircleOpac,RHexagonOpac,RStarOpac,LShape_ID,RShape_ID,training_blocks.thisRepN,training_blocks.thisTrialN,training_blocks.thisN,training_blocks.thisIndex,training.thisRepN,training.thisTrialN,training.thisN,training.thisIndex,task1_prac_redo.thisRepN,task1_prac_redo.thisTrialN,task1_prac_redo.thisN,task1_prac_redo.thisIndex,task1_prac_trials.thisRepN,task1_prac_trials.thisTrialN,task1_prac_trials.thisN,task1_prac_trials.thisIndex,task2_prac_redo.thisRepN,task2_prac_redo.thisTrialN,task2_prac_redo.thisN,task2_prac_redo.thisIndex,task2_praac_trials.thisRepN,task2_praac_trials.thisTrialN,task2_praac_trials.thisN,task2_praac_trials.thisIndex,vts_prac_redo.thisRepN,vts_prac_redo.thisTrialN,vts_prac_redo.thisN,vts_prac_redo.thisIndex,vts_practice_trials.thisRepN,vts_practice_trials.thisTrialN,vts_practice_trials.thisN,vts_practice_trials.thisIndex,trials_norew.thisRepN,trials_norew.thisTrialN,trials_norew.thisN,trials_norew.thisIndex,block.thisRepN,block.thisTrialN,block.thisN,block.thisIndex,trials_rew.thisRepN,trials_rew.thisTrialN,trials_rew.thisN,trials_rew.thisIndex,key_resp.started,key_resp.keys,key_resp.rt,left_circle.started,right_circle.started,left_triangle.started,right_triangle.started,left_star.started,right_star.started,left_hexagon.started,right_hexagon.started,training_fix.started,training_resp.started,training_resp.keys,training_resp.rt,points_trial,points_cumul,trainBlock,training_feedback_txt.started,fix.started,training_feedback_txt.stopped,curr_topStim,curr_bottStim,curr_shape,ISI.started,tgt_fix_prac1.started,top_target_prac1.started,bott_target_prac1.started,target_resp_prac1.started,acc,E1,target_resp_prac1.keys,target_resp_prac1.rt,pracBlock,prac_fback_text.started,prac_fback_text.stopped,tgt_fix_prac2.started,top_target_prac2.started,bott_target_prac2.started,target_resp_prac2.started,target_resp_prac2.keys,target_resp_prac2.rt,top_target_prac2.stopped,tgt_fix_prac2.stopped,bott_target_prac2.stopped,target_resp_prac2.stopped,fix.stopped,star.started,hegagon.started,triangle.started,circle.started,star.stopped,hegagon.stopped,triangle.stopped,circle.stopped,top_target.started,tgt_fix.started,bot_target.started,target_resp.started,top_target.stopped,tgt_fix.stopped,bot_target.stopped,target_resp.stopped,alt,task,condition,target_resp.keys,rewCond,vts_fback.started,vts_fback.stopped,target_resp.rt,blockNum,norew_fback.started,norew_fback.stopped,key_resp_2.keys,key_resp_2.rt,rewExpectancy,feedbk_text.started,feedbk_text.stopped,text_3.started,debrief.started,text_3.stopped,button.started,participant,date,expName,psychopyVersion,frameRate,
0,0,1,0,1,0,0,0,hexagon,triangle,0,0,0,0,0,9,9,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,326.8638877499907,326.8638877499907,326.8638877499907,326.8638877499907,326.8638877499907,326.8638877499907,326.8638877499907,326.8638877499907,326.8638877499907,326.8638877499907,a,1.001531799993245,1,46,0,327.89816005300963,329.3998889469949,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22349,2022-11-11_14h55.54.570,vts_reward_expectancy_bt_OFFLINE,2022.2.4,59.92196243070936,
0,0,1,0,0,0,0,1,hexagon,star,0,0,0,0,0,10,10,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,329.900495984999,329.900495984999,329.900495984999,329.900495984999,329.900495984999,329.900495984999,329.900495984999,329.900495984999,329.900495984999,329.900495984999,l,2.5891387430019677,1,47,0,332.5198868289881,334.02153598400764,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22349,2022-11-11_14h55.54.570,vts_reward_expectancy_bt_OFFLINE,2022.2.4,59.92196243070936,
1,0,0,0,0,1,0,0,triangle,circle,0,0,0,0,0,11,11,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,334.5222796309972,334.5222796309972,334.5222796309972,334.5222796309972,334.5222796309972,334.5222796309972,334.5222796309972,334.5222796309972,334.5222796309972,334.5222796309972,a,1.3527305040042847,1,48,0,335.9072346559842,337.40879451698856,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22349,2022-11-11_14h55.54.570,vts_reward_expectancy_bt_OFFLINE,2022.2.4,59.92196243070936,
0,0,0,1,1,0,0,0,star,triangle,0,0,0,0,1,0,12,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,337.90940506299376,337.90940506299376,337.90940506299376,337.90940506299376,337.90940506299376,337.90940506299376,337.90940506299376,337.90940506299376,337.90940506299376,337.90940506299376,l,2.433346632984467,1,49,0,340.36216708199936,341.86359031300526,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22349,2022-11-11_14h55.54.570,vts_reward_expectancy_bt_OFFLINE,2022.2.4,59.92196243070936,
0,1,0,0,1,0,0,0,circle,triangle,0,0,0,0,1,1,13,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,342.364220568008,342.364220568008,342.364220568008,342.364220568008,342.364220568008,342.364220568008,342.364220568008,342.364220568008,342.364220568008,342.364220568008,l,1.9709562379866838,10,59,0,344.3663409919827,345.86804006100283,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22349,2022-11-11_14h55.54.570,vts_reward_expectancy_bt_OFFLINE,2022.2.4,59.92196243070936,
0,0,1,0,0,1,0,0,hexagon,circle,0,0,0,0,1,2,14,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,346.3686139950005,346.3686139950005,346.3686139950005,346.3686139950005,346.3686139950005,346.3686139950005,346.3686139950005,346.3686139950005,346.3686139950005,346.3686139950005,a,2.018631099985214,10,69,0,348.4041519089951,349.90570961200865,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22349,2022-11-11_14h55.54.570,vts_reward_expectancy_bt_OFFLINE,2022.2.4,59.92196243070936,
1,0,0,0,0,0,0,1,triangle,star,0,0,0,0,1,3,15,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,350.4064225080074,350.4064225080074,350.4064225080074,350.4064225080074,350.4064225080074,350.4064225080074,350.4064225080074,350.4064225080074,350.4064225080074,350.4064225080074,a,2.2430354449898005,10,79,0,352.67547255099635,354.1771558430046,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22349,2022-11-11_14h55.54.570,vts_reward_expectancy_bt_OFFLINE,2022.2.4,59.92196243070936,
0,1,0,0,0,0,0,1,circle,star,0,0,0,0,1,4,16,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,354.677611608,354.677611608,354.677611608,354.677611608,354.677611608,354.677611608,354.677611608,354.677611608,354.677611608,354.677611608,a,2.3486760439991485,1,80,0,357.04709214300965,358.54888154100627,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22349,2022-11-11_14h55.54.570,vts_reward_expectancy_bt_OFFLINE,2022.2.4,59.92196243070936,
0,0,1,0,1,0,0,0,hexagon,triangle,0,0,0,0,1,5,17,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,359.049221157009,359.049221157009,359.049221157009,359.049221157009,359.049221157009,359.049221157009,359.049221157009,359.049221157009,359.049221157009,359.049221157009,l,2.826340891973814,1,81,0,361.9022849909961,363.4039964840049,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22349,2022-11-11_14h55.54.570,vts_reward_expectancy_bt_OFFLINE,2022.2.4,59.92196243070936,
1,0,0,0,0,0,1,0,triangle,hexagon,0,0,0,0,1,6,18,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,363.9046423670079,363.9046423670079,363.9046423670079,363.9046423670079,363.9046423670079,363.9046423670079,363.9046423670079,363.9046423670079,363.9046423670079,363.9046423670079,a,1.3793741679983214,10,91,0,365.3062709890073,366.8078206869832,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22349,2022-11-11_14h55.54.570,vts_reward_expectancy_bt_OFFLINE,2022.2.4,59.92196243070936,
1,0,0,0,0,1,0,0,triangle,circle,0,0,0,0,1,7,19,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,367.30827542298357,367.30827542298357,367.30827542298357,367.30827542298357,367.30827542298357,367.30827542298357,367.30827542298357,367.30827542298357,367.30827542298357,367.30827542298357,a,2.128207614994608,10,101,0,369.4606923520041,370.9621778279834,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22349,2022-11-11_14h55.54.570,vts_reward_expectancy_bt_OFFLINE,2022.2.4,59.92196243070936,
0,1,0,0,0,0,1,0,circle,hexagon,0,0,0,0,1,8,20,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,371.46305216499604,371.46305216499604,371.46305216499604,371.46305216499604,371.46305216499604,371.46305216499604,371.46305216499604,371.46305216499604,371.46305216499604,371.46305216499604,a,2.4959855749912094,10,111,0,373.98248677299125,375.4840308119892,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22349,2022-11-11_14h55.54.570,vts_reward_expectancy_bt_OFFLINE,2022.2.4,59.92196243070936,
0,0,0,1,0,1,0,0,star ,circle,0,0,0,0,1,9,21,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,375.98462835498503,375.98462835498503,375.98462835498503,375.98462835498503,375.98462835498503,375.98462835498503,375.98462835498503,375.98462835498503,375.98462835498503,375.98462835498503,a,1.8676703950040974,10,121,0,377.87013939899043,379.37174064299325,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22349,2022-11-11_14h55.54.570,vts_reward_expectancy_bt_OFFLINE,2022.2.4,59.92196243070936,
0,0,0,1,0,0,1,0,star,hexagon,0,0,0,0,1,10,22,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,379.8723295890086,379.8723295890086,379.8723295890086,379.8723295890086,379.8723295890086,379.8723295890086,379.8723295890086,379.8723295890086,379.8723295890086,379.8723295890086,l,1.095332541008247,10,131,0,380.9905339239922,382.49186288999044,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22349,2022-11-11_14h55.54.570,vts_reward_expectancy_bt_OFFLINE,2022.2.4,59.92196243070936,
0,0,1,0,0,0,0,1,hexagon,star,0,0,0,0,1,11,23,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,382.992286763998,382.992286763998,382.992286763998,382.992286763998,382.992286763998,382.992286763998,382.992286763998,382.992286763998,382.992286763998,382.992286763998,l,2.576262957009021,1,132,0,385.5950752919889,387.0969329350046,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22349,2022-11-11_14h55.54.570,vts_reward_expectancy_bt_OFFLINE,2022.2.4,59.92196243070936,
1,0,0,0,0,0,1,0,triangle,hexagon,0,0,0,0,2,0,24,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,387.5973955949885,387.5973955949885,387.5973955949885,387.5973955949885,387.5973955949885,387.5973955949885,387.5973955949885,387.5973955949885,387.5973955949885,387.5973955949885,l,0.9523197289963719,10,142,0,388.582012681989,390.0834217219963,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22349,2022-11-11_14h55.54.570,vts_reward_expectancy_bt_OFFLINE,2022.2.4,59.92196243070936,
0,0,1,0,0,0,0,1,hexagon,star,0,0,0,0,2,1,25,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,390.5839769919985,390.5839769919985,390.5839769919985,390.5839769919985,390.5839769919985,390.5839769919985,390.5839769919985,390.5839769919985,390.5839769919985,390.5839769919985,a,1.5342691449914128,1,143,0,392.13570379299927,393.63724447600543,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22349,2022-11-11_14h55.54.570,vts_reward_expectancy_bt_OFFLINE,2022.2.4,59.92196243070936,
0,0,0,1,1,0,0,0,star,triangle,0,0,0,0,2,2,26,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,394.1379775250098,394.1379775250098,394.1379775250098,394.1379775250098,394.1379775250098,394.1379775250098,394.1379775250098,394.1379775250098,394.1379775250098,394.1379775250098,l,2.6706396309891716,10,153,0,396.84091258299304,398.34256093998556,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22349,2022-11-11_14h55.54.570,vts_reward_expectancy_bt_OFFLINE,2022.2.4,59.92196243070936,
0,0,0,1,0,1,0,0,star ,circle,0,0,0,0,2,3,27,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,398.843240674003,398.843240674003,398.843240674003,398.843240674003,398.843240674003,398.843240674003,398.843240674003,398.843240674003,398.843240674003,398.843240674003,l,1.2509981179900933,1,154,0,400.1112200960051,401.61276271700626,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22349,2022-11-11_14h55.54.570,vts_reward_expectancy_bt_OFFLINE,2022.2.4,59.92196243070936,
0,0,1,0,1,0,0,0,hexagon,triangle,0,0,0,0,2,4,28,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,402.11369299099897,402.11369299099897,402.11369299099897,402.11369299099897,402.11369299099897,402.11369299099897,402.11369299099897,402.11369299099897,402.11369299099897,402.11369299099897,a,0.7685794679855462,10,164,0,402.91427548299544,404.41597995898337,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22349,2022-11-11_14h55.54.570,vts_reward_expectancy_bt_OFFLINE,2022.2.4,59.92196243070936,
0,0,0,1,0,0,1,0,star,hexagon,0,0,0,0,2,5,29,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,404.9166517010017,404.9166517010017,404.9166517010017,404.9166517010017,404.9166517010017,404.9166517010017,404.9166517010017,404.9166517010017,404.9166517010017,404.9166517010017,l,0.7112361410108861,10,174,0,405.6505915989983,407.1523593410093,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22349,2022-11-11_14h55.54.570,vts_reward_expectancy_bt_OFFLINE,2022.2.4,59.92196243070936,
1,0,0,0,0,0,0,1,triangle,star,0,0,0,0,2,6,30,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,407.65336660598405,407.65336660598405,407.65336660598405,407.65336660598405,407.65336660598405,407.65336660598405,407.65336660598405,407.65336660598405,407.65336660598405,407.65336660598405,a,0.6178748589882161,10,184,0,408.30352715199115,409.80524957500165,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22349,2022-11-11_14h55.54.570,vts_reward_expectancy_bt_OFFLINE,2022.2.4,59.92196243070936,
0,1,0,0,0,0,1,0,circle,hexagon,0,0,0,0,2,7,31,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,410.3058301160054,410.3058301160054,410.3058301160054,410.3058301160054,410.3058301160054,410.3058301160054,410.3058301160054,410.3058301160054,410.3058301160054,410.3058301160054,l,1.3627980760065839,10,194,0,411.6907789289835,413.1923882300034,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22349,2022-11-11_14h55.54.570,vts_reward_expectancy_bt_OFFLINE,2022.2.4,59.92196243070936,
0,1,0,0,0,0,0,1,circle,star,0,0,0,0,2,8,32,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,413.69286750399624,413.69286750399624,413.69286750399624,413.69286750399624,413.69286750399624,413.69286750399624,413.69286750399624,413.69286750399624,413.69286750399624,413.69286750399624,a,0.6887518700095825,1,195,0,414.4102625589876,415.9120243259822,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22349,2022-11-11_14h55.54.570,vts_reward_expectancy_bt_OFFLINE,2022.2.4,59.92196243070936,
1,0,0,0,0,1,0,0,triangle,circle,0,0,0,0,2,9,33,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,416.4125457209884,416.4125457209884,416.4125457209884,416.4125457209884,416.4125457209884,416.4125457209884,416.4125457209884,416.4125457209884,416.4125457209884,416.4125457209884,a,1.961743072984973,10,205,0,418.3980997620092,419.8999754849938,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22349,2022-11-11_14h55.54.570,vts_reward_expectancy_bt_OFFLINE,2022.2.4,59.92196243070936,
0,1,0,0,1,0,0,0,circle,triangle,0,0,0,0,2,10,34,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,420.4001555409923,420.4001555409923,420.4001555409923,420.4001555409923,420.4001555409923,420.4001555409923,420.4001555409923,420.4001555409923,420.4001555409923,420.4001555409923,a,1.8678681640012655,1,206,0,422.285741951986,423.7872870019928,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22349,2022-11-11_14h55.54.570,vts_reward_expectancy_bt_OFFLINE,2022.2.4,59.92196243070936,
0,0,1,0,0,1,0,0,hexagon,circle,0,0,0,0,2,11,35,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,424.2879717529868,424.2879717529868,424.2879717529868,424.2879717529868,424.2879717529868,424.2879717529868,424.2879717529868,424.2879717529868,424.2879717529868,424.2879717529868,l,0.6448698199819773,1,207,0,424.9555384439882,426.4570890410105,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22349,2022-11-11_14h55.54.570,vts_reward_expectancy_bt_OFFLINE,2022.2.4,59.92196243070936,
