LTriangleOpac,LCircleOpac,LHexagonOpac,LStarOpac,RTriangleOpac,RCircleOpac,RHexagonOpac,RStarOpac,LShape_ID,RShape_ID,training_blocks.thisRepN,training_blocks.thisTrialN,training_blocks.thisN,training_blocks.thisIndex,training.thisRepN,training.thisTrialN,training.thisN,training.thisIndex,task1_prac_redo.thisRepN,task1_prac_redo.thisTrialN,task1_prac_redo.thisN,task1_prac_redo.thisIndex,task1_prac_trials.thisRepN,task1_prac_trials.thisTrialN,task1_prac_trials.thisN,task1_prac_trials.thisIndex,task2_prac_redo.thisRepN,task2_prac_redo.thisTrialN,task2_prac_redo.thisN,task2_prac_redo.thisIndex,task2_praac_trials.thisRepN,task2_praac_trials.thisTrialN,task2_praac_trials.thisN,task2_praac_trials.thisIndex,vts_prac_redo.thisRepN,vts_prac_redo.thisTrialN,vts_prac_redo.thisN,vts_prac_redo.thisIndex,vts_practice_trials.thisRepN,vts_practice_trials.thisTrialN,vts_practice_trials.thisN,vts_practice_trials.thisIndex,trials_norew.thisRepN,trials_norew.thisTrialN,trials_norew.thisN,trials_norew.thisIndex,block.thisRepN,block.thisTrialN,block.thisN,block.thisIndex,trials_rew.thisRepN,trials_rew.thisTrialN,trials_rew.thisN,trials_rew.thisIndex,key_resp.started,key_resp.keys,key_resp.rt,left_circle.started,right_circle.started,left_triangle.started,right_triangle.started,left_star.started,right_star.started,left_hexagon.started,right_hexagon.started,training_fix.started,training_resp.started,training_resp.keys,training_resp.rt,points_trial,points_cumul,trainBlock,training_feedback_txt.started,fix.started,training_feedback_txt.stopped,fix.stopped,curr_topStim,curr_bottStim,curr_shape,ISI.started,tgt_fix_prac1.started,top_target_prac1.started,bott_target_prac1.started,target_resp_prac1.started,acc,E1,target_resp_prac1.keys,target_resp_prac1.rt,pracBlock,prac_fback_text.started,tgt_fix_prac2.started,top_target_prac2.started,bott_target_prac2.started,target_resp_prac2.started,target_resp_prac2.keys,target_resp_prac2.rt,star.started,hegagon.started,triangle.started,circle.started,top_target.started,tgt_fix.started,bot_target.started,target_resp.started,star.stopped,hegagon.stopped,triangle.stopped,circle.stopped,alt,task,condition,target_resp.keys,target_resp.rt,rewCond,vts_fback.started,vts_fback.stopped,top_target.stopped,tgt_fix.stopped,bot_target.stopped,target_resp.stopped,blockNum,norew_fback.started,norew_fback.stopped,key_resp_2.keys,key_resp_2.rt,rewExpectancy,feedbk_text.started,feedbk_text.stopped,text_3.started,debrief.started,text_3.stopped,button.started,debrief.index,debrief.itemText,debrief.type,debrief.granularity,debrief.font,debrief.markerColor,debrief.response,debrief.rt,button.numClicks,button.timesOn,button.timesOff,participant,date,expName,psychopyVersion,frameRate,
0,0,0,1,0,1,0,0,star ,circle,0,0,0,0,1,7,19,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,370.80964527698234,370.80964527698234,370.80964527698234,370.80964527698234,370.80964527698234,370.80964527698234,370.80964527698234,370.80964527698234,370.80964527698234,370.80964527698234,a,1.089022431988269,1,92,0,371.92733035003766,373.42748543294147,373.42748543294147,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46408,2022-11-17_08h05.19.621,vts_reward_expectancy_bt_OFFLINE,2022.2.4,59.95665152737822,
0,1,0,0,0,0,0,1,circle,star,0,0,0,0,1,8,20,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,373.92767429794185,373.92767429794185,373.92767429794185,373.92767429794185,373.92767429794185,373.92767429794185,373.92767429794185,373.92767429794185,373.92767429794185,373.92767429794185,a,1.1316745481453836,1,93,0,375.08325312193483,376.5971541821491,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46408,2022-11-17_08h05.19.621,vts_reward_expectancy_bt_OFFLINE,2022.2.4,59.95665152737822,
1,0,0,0,0,1,0,0,triangle,circle,0,0,0,0,1,9,21,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,377.097420881968,377.097420881968,377.097420881968,377.097420881968,377.097420881968,377.097420881968,377.097420881968,377.097420881968,377.097420881968,377.097420881968,l,2.0235872860066593,1,94,0,379.16223059711047,380.65067910705693,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46408,2022-11-17_08h05.19.621,vts_reward_expectancy_bt_OFFLINE,2022.2.4,59.95665152737822,
1,0,0,0,0,0,0,1,triangle,star,0,0,0,0,1,10,22,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,381.1506585860625,381.1506585860625,381.1506585860625,381.1506585860625,381.1506585860625,381.1506585860625,381.1506585860625,381.1506585860625,381.1506585860625,381.1506585860625,l,0.5578924070578068,1,95,0,381.7374608460814,383.2517123569269,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46408,2022-11-17_08h05.19.621,vts_reward_expectancy_bt_OFFLINE,2022.2.4,59.95665152737822,
0,1,0,0,1,0,0,0,circle,triangle,0,0,0,0,1,11,23,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,383.7348297550343,383.7348297550343,383.7348297550343,383.7348297550343,383.7348297550343,383.7348297550343,383.7348297550343,383.7348297550343,383.7348297550343,383.7348297550343,l,0.6961474900599569,1,96,0,384.4569174309727,385.9707930430304,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46408,2022-11-17_08h05.19.621,vts_reward_expectancy_bt_OFFLINE,2022.2.4,59.95665152737822,
0,0,0,1,0,1,0,0,star ,circle,0,0,0,0,2,0,24,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,386.47106383694336,386.47106383694336,386.47106383694336,386.47106383694336,386.47106383694336,386.47106383694336,386.47106383694336,386.47106383694336,386.47106383694336,386.47106383694336,a,0.492210976080969,1,97,0,386.991002492141,388.5051207570359,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46408,2022-11-17_08h05.19.621,vts_reward_expectancy_bt_OFFLINE,2022.2.4,59.95665152737822,
1,0,0,0,0,0,1,0,triangle,hexagon,0,0,0,0,2,1,25,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,389.0050053030718,389.0050053030718,389.0050053030718,389.0050053030718,389.0050053030718,389.0050053030718,389.0050053030718,389.0050053030718,389.0050053030718,389.0050053030718,l,0.5454050519037992,1,98,0,389.5772679550573,391.09104495006613,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46408,2022-11-17_08h05.19.621,vts_reward_expectancy_bt_OFFLINE,2022.2.4,59.95665152737822,
0,1,0,0,1,0,0,0,circle,triangle,0,0,0,0,2,2,26,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,391.5915086870082,391.5915086870082,391.5915086870082,391.5915086870082,391.5915086870082,391.5915086870082,391.5915086870082,391.5915086870082,391.5915086870082,391.5915086870082,l,0.9299371659290045,1,99,0,392.54504668107256,394.0426867590286,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46408,2022-11-17_08h05.19.621,vts_reward_expectancy_bt_OFFLINE,2022.2.4,59.95665152737822,
0,0,1,0,1,0,0,0,hexagon,triangle,0,0,0,0,2,3,27,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,394.5443973559886,394.5443973559886,394.5443973559886,394.5443973559886,394.5443973559886,394.5443973559886,394.5443973559886,394.5443973559886,394.5443973559886,394.5443973559886,l,0.03548715705983341,10,109,0,394.6119965300895,396.1117344510276,396.1117344510276,396.6119577540085,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46408,2022-11-17_08h05.19.621,vts_reward_expectancy_bt_OFFLINE,2022.2.4,59.95665152737822,
0,0,0,1,0,0,1,0,star,hexagon,0,0,0,0,2,4,28,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,396.6119577540085,396.6119577540085,396.6119577540085,396.6119577540085,396.6119577540085,396.6119577540085,396.6119577540085,396.6119577540085,396.6119577540085,396.6119577540085,l,0.251442002132535,1,110,0,396.89600741607137,398.39576367102563,398.39576367102563,398.8958679919597,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46408,2022-11-17_08h05.19.621,vts_reward_expectancy_bt_OFFLINE,2022.2.4,59.95665152737822,
