LTriangleOpac,LCircleOpac,LHexagonOpac,LStarOpac,RTriangleOpac,RCircleOpac,RHexagonOpac,RStarOpac,LShape_ID,RShape_ID,training_blocks.thisRepN,training_blocks.thisTrialN,training_blocks.thisN,training_blocks.thisIndex,training.thisRepN,training.thisTrialN,training.thisN,training.thisIndex,task1_prac_redo.thisRepN,task1_prac_redo.thisTrialN,task1_prac_redo.thisN,task1_prac_redo.thisIndex,task1_prac_trials.thisRepN,task1_prac_trials.thisTrialN,task1_prac_trials.thisN,task1_prac_trials.thisIndex,task2_prac_redo.thisRepN,task2_prac_redo.thisTrialN,task2_prac_redo.thisN,task2_prac_redo.thisIndex,task2_praac_trials.thisRepN,task2_praac_trials.thisTrialN,task2_praac_trials.thisN,task2_praac_trials.thisIndex,vts_prac_redo.thisRepN,vts_prac_redo.thisTrialN,vts_prac_redo.thisN,vts_prac_redo.thisIndex,vts_practice_trials.thisRepN,vts_practice_trials.thisTrialN,vts_practice_trials.thisN,vts_practice_trials.thisIndex,trials_norew.thisRepN,trials_norew.thisTrialN,trials_norew.thisN,trials_norew.thisIndex,block.thisRepN,block.thisTrialN,block.thisN,block.thisIndex,trials_rew.thisRepN,trials_rew.thisTrialN,trials_rew.thisN,trials_rew.thisIndex,key_resp.started,key_resp.keys,key_resp.rt,left_circle.started,right_circle.started,left_triangle.started,right_triangle.started,left_star.started,right_star.started,left_hexagon.started,right_hexagon.started,training_fix.started,training_resp.started,training_resp.keys,training_resp.rt,points_trial,points_cumul,trainBlock,training_feedback_txt.started,fix.started,training_feedback_txt.stopped,fix.stopped,curr_topStim,curr_bottStim,curr_shape,ISI.started,tgt_fix_prac1.started,top_target_prac1.started,bott_target_prac1.started,target_resp_prac1.started,acc,E1,target_resp_prac1.keys,target_resp_prac1.rt,pracBlock,prac_fback_text.started,prac_fback_text.stopped,tgt_fix_prac2.started,top_target_prac2.started,bott_target_prac2.started,target_resp_prac2.started,target_resp_prac2.keys,target_resp_prac2.rt,star.started,hegagon.started,triangle.started,circle.started,top_target.started,tgt_fix.started,bot_target.started,target_resp.started,star.stopped,hegagon.stopped,triangle.stopped,circle.stopped,top_target.stopped,tgt_fix.stopped,bot_target.stopped,target_resp.stopped,alt,task,condition,target_resp.keys,rewCond,vts_fback.started,target_resp.rt,vts_fback.stopped,blockNum,norew_fback.started,norew_fback.stopped,key_resp_2.keys,key_resp_2.rt,rewExpectancy,feedbk_text.started,feedbk_text.stopped,text_3.started,debrief.started,text_3.stopped,button.started,debrief.index,debrief.itemText,debrief.type,debrief.granularity,debrief.font,debrief.markerColor,debrief.response,debrief.rt,button.numClicks,button.timesOn,button.timesOff,participant,date,expName,psychopyVersion,frameRate,
0,0,1,0,1,0,0,0,hexagon,triangle,0,0,0,0,1,7,19,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,184.41197033110075,184.41197033110075,184.41197033110075,184.41197033110075,184.41197033110075,184.41197033110075,184.41197033110075,184.41197033110075,184.41197033110075,184.41197033110075,a,0.4771746329497546,10,164,0,184.91193831106648,186.41259340802208,186.41259340802208,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11628,2022-11-09_14h26.00.408,vts_reward_expectancy_bt_OFFLINE,2022.2.4,60.0832688402612,
0,1,0,0,1,0,0,0,circle,triangle,0,0,0,0,1,8,20,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,186.9145879970165,186.9145879970165,186.9145879970165,186.9145879970165,186.9145879970165,186.9145879970165,186.9145879970165,186.9145879970165,186.9145879970165,186.9145879970165,a,0.42722556088119745,10,174,0,187.36471030209213,188.8652727410663,188.8652727410663,189.3655586860841,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11628,2022-11-09_14h26.00.408,vts_reward_expectancy_bt_OFFLINE,2022.2.4,60.0832688402612,
0,1,0,0,0,0,0,1,circle,star,0,0,0,0,1,9,21,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,189.3655586860841,189.3655586860841,189.3655586860841,189.3655586860841,189.3655586860841,189.3655586860841,189.3655586860841,189.3655586860841,189.3655586860841,189.3655586860841,l,0.2717560320161283,1,175,0,189.66643982101232,191.1662288850639,191.1662288850639,191.66632495308295,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11628,2022-11-09_14h26.00.408,vts_reward_expectancy_bt_OFFLINE,2022.2.4,60.0832688402612,
0,1,0,0,0,0,1,0,circle,hexagon,0,0,0,0,1,10,22,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,191.66632495308295,191.66632495308295,191.66632495308295,191.66632495308295,191.66632495308295,191.66632495308295,191.66632495308295,191.66632495308295,191.66632495308295,191.66632495308295,l,0.7493843679549173,10,185,0,192.4359655600274,193.93561668507755,193.93561668507755,194.4360469270032,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11628,2022-11-09_14h26.00.408,vts_reward_expectancy_bt_OFFLINE,2022.2.4,60.0832688402612,
0,0,1,0,0,1,0,0,hexagon,circle,0,0,0,0,1,11,23,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,194.4360469270032,194.4360469270032,194.4360469270032,194.4360469270032,194.4360469270032,194.4360469270032,194.4360469270032,194.4360469270032,194.4360469270032,194.4360469270032,a,0.5560161279281601,10,195,0,195.01928463205695,196.5197226780001,196.5197226780001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11628,2022-11-09_14h26.00.408,vts_reward_expectancy_bt_OFFLINE,2022.2.4,60.0832688402612,
0,1,0,0,0,0,0,1,circle,star,0,0,0,0,2,0,24,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,197.02194994909223,197.02194994909223,197.02194994909223,197.02194994909223,197.02194994909223,197.02194994909223,197.02194994909223,197.02194994909223,197.02194994909223,197.02194994909223,a,0.3671568969730288,1,196,0,197.4220913760364,198.922605372034,198.922605372034,199.4225925001083,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11628,2022-11-09_14h26.00.408,vts_reward_expectancy_bt_OFFLINE,2022.2.4,60.0832688402612,
0,0,1,0,0,0,0,1,hexagon,star,0,0,0,0,2,1,25,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,199.4225925001083,199.4225925001083,199.4225925001083,199.4225925001083,199.4225925001083,199.4225925001083,199.4225925001083,199.4225925001083,199.4225925001083,199.4225925001083,l,0.28399936691857874,1,197,0,199.73951306100935,201.23999102809466,201.23999102809466,201.74024763400666,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11628,2022-11-09_14h26.00.408,vts_reward_expectancy_bt_OFFLINE,2022.2.4,60.0832688402612,
1,0,0,0,0,0,0,1,triangle,star,0,0,0,0,2,2,26,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,201.74024763400666,201.74024763400666,201.74024763400666,201.74024763400666,201.74024763400666,201.74024763400666,201.74024763400666,201.74024763400666,201.74024763400666,201.74024763400666,l,0.6554860528558493,10,207,0,202.42668797902297,203.9261720480863,203.9261720480863,204.42624045407865,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11628,2022-11-09_14h26.00.408,vts_reward_expectancy_bt_OFFLINE,2022.2.4,60.0832688402612,
1,0,0,0,0,0,1,0,triangle,hexagon,0,0,0,0,2,3,27,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,204.42624045407865,204.42624045407865,204.42624045407865,204.42624045407865,204.42624045407865,204.42624045407865,204.42624045407865,204.42624045407865,204.42624045407865,204.42624045407865,l,0.4895163899054751,1,208,0,204.94410827907268,206.4436057000421,206.4436057000421,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11628,2022-11-09_14h26.00.408,vts_reward_expectancy_bt_OFFLINE,2022.2.4,60.0832688402612,
0,0,0,1,0,0,1,0,star,hexagon,0,0,0,0,2,4,28,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,206.94571730401367,206.94571730401367,206.94571730401367,206.94571730401367,206.94571730401367,206.94571730401367,206.94571730401367,206.94571730401367,206.94571730401367,206.94571730401367,a,0.3993912459118292,10,218,0,207.3637901650509,208.86312972509768,208.86312972509768,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11628,2022-11-09_14h26.00.408,vts_reward_expectancy_bt_OFFLINE,2022.2.4,60.0832688402612,
