LTriangleOpac,LCircleOpac,LHexagonOpac,LStarOpac,RTriangleOpac,RCircleOpac,RHexagonOpac,RStarOpac,LShape_ID,RShape_ID,training_blocks.thisRepN,training_blocks.thisTrialN,training_blocks.thisN,training_blocks.thisIndex,training.thisRepN,training.thisTrialN,training.thisN,training.thisIndex,task1_prac_redo.thisRepN,task1_prac_redo.thisTrialN,task1_prac_redo.thisN,task1_prac_redo.thisIndex,task1_prac_trials.thisRepN,task1_prac_trials.thisTrialN,task1_prac_trials.thisN,task1_prac_trials.thisIndex,task2_prac_redo.thisRepN,task2_prac_redo.thisTrialN,task2_prac_redo.thisN,task2_prac_redo.thisIndex,task2_praac_trials.thisRepN,task2_praac_trials.thisTrialN,task2_praac_trials.thisN,task2_praac_trials.thisIndex,vts_prac_redo.thisRepN,vts_prac_redo.thisTrialN,vts_prac_redo.thisN,vts_prac_redo.thisIndex,vts_practice_trials.thisRepN,vts_practice_trials.thisTrialN,vts_practice_trials.thisN,vts_practice_trials.thisIndex,trials_norew.thisRepN,trials_norew.thisTrialN,trials_norew.thisN,trials_norew.thisIndex,block.thisRepN,block.thisTrialN,block.thisN,block.thisIndex,trials_rew.thisRepN,trials_rew.thisTrialN,trials_rew.thisN,trials_rew.thisIndex,key_resp.started,key_resp.keys,key_resp.rt,left_circle.started,right_circle.started,left_triangle.started,right_triangle.started,left_star.started,right_star.started,left_hexagon.started,right_hexagon.started,training_fix.started,training_resp.started,training_resp.keys,training_resp.rt,points_trial,points_cumul,trainBlock,training_feedback_txt.started,fix.started,training_feedback_txt.stopped,fix.stopped,curr_topStim,curr_bottStim,curr_shape,ISI.started,tgt_fix_prac1.started,top_target_prac1.started,bott_target_prac1.started,target_resp_prac1.started,acc,E1,target_resp_prac1.keys,target_resp_prac1.rt,pracBlock,prac_fback_text.started,prac_fback_text.stopped,tgt_fix_prac2.started,top_target_prac2.started,bott_target_prac2.started,target_resp_prac2.started,target_resp_prac2.keys,target_resp_prac2.rt,star.started,hegagon.started,triangle.started,circle.started,top_target.started,tgt_fix.started,bot_target.started,target_resp.started,star.stopped,hegagon.stopped,triangle.stopped,circle.stopped,alt,task,condition,target_resp.keys,target_resp.rt,rewCond,vts_fback.started,vts_fback.stopped,blockNum,norew_fback.started,norew_fback.stopped,key_resp_2.keys,key_resp_2.rt,rewExpectancy,feedbk_text.started,feedbk_text.stopped,top_target.stopped,tgt_fix.stopped,bot_target.stopped,target_resp.stopped,text_3.started,text_3.stopped,button.started,debrief.index,debrief.itemText,debrief.type,debrief.granularity,debrief.font,debrief.markerColor,debrief.response,debrief.rt,button.numClicks,button.timesOn,button.timesOff,participant,date,expName,psychopyVersion,frameRate,
0,1,0,0,0,0,1,0,circle,hexagon,0,0,0,0,1,7,19,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,411.1360005479946,411.1360005479946,411.1360005479946,411.1360005479946,411.1360005479946,411.1360005479946,411.1360005479946,411.1360005479946,411.1360005479946,411.1360005479946,a,0.8470560740097426,1,128,0,412.00311236598645,413.50483468399034,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,96919,2022-10-26_14h33.13.032,vts_reward_expectancy_bt_OFFLINE,2022.2.4,59.741760980456945,
0,1,0,0,0,0,0,1,circle,star,0,0,0,0,1,8,20,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,414.00510174699593,414.00510174699593,414.00510174699593,414.00510174699593,414.00510174699593,414.00510174699593,414.00510174699593,414.00510174699593,414.00510174699593,414.00510174699593,l,0.9059429070039187,1,129,0,414.9397552799928,416.44082510098815,416.44082510098815,416.94071040599374,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,96919,2022-10-26_14h33.13.032,vts_reward_expectancy_bt_OFFLINE,2022.2.4,59.741760980456945,
0,0,1,0,0,0,0,1,hexagon,star,0,0,0,0,1,9,21,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,416.94071040599374,416.94071040599374,416.94071040599374,416.94071040599374,416.94071040599374,416.94071040599374,416.94071040599374,416.94071040599374,416.94071040599374,416.94071040599374,a,0.5545480680011678,10,139,0,417.52699618598854,419.02600414998597,419.02600414998597,419.52626626098936,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,96919,2022-10-26_14h33.13.032,vts_reward_expectancy_bt_OFFLINE,2022.2.4,59.741760980456945,
1,0,0,0,0,0,1,0,triangle,hexagon,0,0,0,0,1,10,22,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,419.52626626098936,419.52626626098936,419.52626626098936,419.52626626098936,419.52626626098936,419.52626626098936,419.52626626098936,419.52626626098936,419.52626626098936,419.52626626098936,a,0.545663761018659,10,149,0,420.0928760599927,421.59352409899293,421.59352409899293,422.0935003289924,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,96919,2022-10-26_14h33.13.032,vts_reward_expectancy_bt_OFFLINE,2022.2.4,59.741760980456945,
0,1,0,0,1,0,0,0,circle,triangle,0,0,0,0,1,11,23,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,422.0935003289924,422.0935003289924,422.0935003289924,422.0935003289924,422.0935003289924,422.0935003289924,422.0935003289924,422.0935003289924,422.0935003289924,422.0935003289924,a,0.5695020800048951,1,150,0,422.69669011399674,424.1973650199943,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,96919,2022-10-26_14h33.13.032,vts_reward_expectancy_bt_OFFLINE,2022.2.4,59.741760980456945,
0,1,0,0,1,0,0,0,circle,triangle,0,0,0,0,2,0,24,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,424.7125298139872,424.7125298139872,424.7125298139872,424.7125298139872,424.7125298139872,424.7125298139872,424.7125298139872,424.7125298139872,424.7125298139872,424.7125298139872,l,0.6393477890087524,10,160,0,425.38032383300015,426.88049117999617,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,96919,2022-10-26_14h33.13.032,vts_reward_expectancy_bt_OFFLINE,2022.2.4,59.741760980456945,
0,1,0,0,0,0,1,0,circle,hexagon,0,0,0,0,2,1,25,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,427.38271247799275,427.38271247799275,427.38271247799275,427.38271247799275,427.38271247799275,427.38271247799275,427.38271247799275,427.38271247799275,427.38271247799275,427.38271247799275,a,0.5776808980008354,1,161,0,427.98459728799935,429.4835191319871,429.4835191319871,429.9835130569991,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,96919,2022-10-26_14h33.13.032,vts_reward_expectancy_bt_OFFLINE,2022.2.4,59.741760980456945,
1,0,0,0,0,0,0,1,triangle,star,0,0,0,0,2,2,26,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,429.9835130569991,429.9835130569991,429.9835130569991,429.9835130569991,429.9835130569991,429.9835130569991,429.9835130569991,429.9835130569991,429.9835130569991,429.9835130569991,l,0.6160100480046822,1,162,0,430.6173100039887,432.11819929099875,432.11819929099875,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,96919,2022-10-26_14h33.13.032,vts_reward_expectancy_bt_OFFLINE,2022.2.4,59.741760980456945,
0,0,0,1,0,1,0,0,star ,circle,0,0,0,0,2,3,27,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,432.61889983799483,432.61889983799483,432.61889983799483,432.61889983799483,432.61889983799483,432.61889983799483,432.61889983799483,432.61889983799483,432.61889983799483,432.61889983799483,l,0.7489815710141556,1,163,0,433.386623880986,434.88711169399903,434.88711169399903,435.38711730799696,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,96919,2022-10-26_14h33.13.032,vts_reward_expectancy_bt_OFFLINE,2022.2.4,59.741760980456945,
0,0,1,0,1,0,0,0,hexagon,triangle,0,0,0,0,2,4,28,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,435.38711730799696,435.38711730799696,435.38711730799696,435.38711730799696,435.38711730799696,435.38711730799696,435.38711730799696,435.38711730799696,435.38711730799696,435.38711730799696,a,2.0210912700131303,10,173,0,437.44017397299467,438.9406062449998,438.9406062449998,439.44048243999714,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,96919,2022-10-26_14h33.13.032,vts_reward_expectancy_bt_OFFLINE,2022.2.4,59.741760980456945,
