LTriangleOpac,LCircleOpac,LHexagonOpac,LStarOpac,RTriangleOpac,RCircleOpac,RHexagonOpac,RStarOpac,LShape_ID,RShape_ID,training_blocks.thisRepN,training_blocks.thisTrialN,training_blocks.thisN,training_blocks.thisIndex,training.thisRepN,training.thisTrialN,training.thisN,training.thisIndex,task1_prac_redo.thisRepN,task1_prac_redo.thisTrialN,task1_prac_redo.thisN,task1_prac_redo.thisIndex,task1_prac_trials.thisRepN,task1_prac_trials.thisTrialN,task1_prac_trials.thisN,task1_prac_trials.thisIndex,task2_prac_redo.thisRepN,task2_prac_redo.thisTrialN,task2_prac_redo.thisN,task2_prac_redo.thisIndex,task2_praac_trials.thisRepN,task2_praac_trials.thisTrialN,task2_praac_trials.thisN,task2_praac_trials.thisIndex,vts_prac_redo.thisRepN,vts_prac_redo.thisTrialN,vts_prac_redo.thisN,vts_prac_redo.thisIndex,vts_practice_trials.thisRepN,vts_practice_trials.thisTrialN,vts_practice_trials.thisN,vts_practice_trials.thisIndex,trials_norew.thisRepN,trials_norew.thisTrialN,trials_norew.thisN,trials_norew.thisIndex,block.thisRepN,block.thisTrialN,block.thisN,block.thisIndex,trials_rew.thisRepN,trials_rew.thisTrialN,trials_rew.thisN,trials_rew.thisIndex,key_resp.started,key_resp.keys,key_resp.rt,left_circle.started,right_circle.started,left_triangle.started,right_triangle.started,left_star.started,right_star.started,left_hexagon.started,right_hexagon.started,training_fix.started,training_resp.started,training_resp.keys,training_resp.rt,points_trial,points_cumul,trainBlock,training_feedback_txt.started,fix.started,training_feedback_txt.stopped,fix.stopped,curr_topStim,curr_bottStim,curr_shape,ISI.started,tgt_fix_prac1.started,top_target_prac1.started,bott_target_prac1.started,target_resp_prac1.started,top_target_prac1.stopped,bott_target_prac1.stopped,target_resp_prac1.stopped,acc,E1,target_resp_prac1.keys,pracBlock,prac_fback_text.started,target_resp_prac1.rt,prac_fback_text.stopped,tgt_fix_prac2.started,top_target_prac2.started,bott_target_prac2.started,target_resp_prac2.started,target_resp_prac2.keys,target_resp_prac2.rt,star.started,hegagon.started,triangle.started,circle.started,top_target.started,tgt_fix.started,bot_target.started,target_resp.started,star.stopped,hegagon.stopped,triangle.stopped,circle.stopped,alt,task,condition,target_resp.keys,target_resp.rt,rewCond,vts_fback.started,vts_fback.stopped,blockNum,norew_fback.started,norew_fback.stopped,key_resp_2.keys,key_resp_2.rt,rewExpectancy,feedbk_text.started,feedbk_text.stopped,text_3.started,text_3.stopped,button.started,debrief.index,debrief.itemText,debrief.type,debrief.granularity,debrief.font,debrief.markerColor,debrief.response,debrief.rt,button.numClicks,button.timesOn,button.timesOff,participant,date,expName,psychopyVersion,frameRate,
1,0,0,0,0,0,0,1,triangle,star,0,0,0,0,1,7,19,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,544.2902312290389,544.2902312290389,544.2902312290389,544.2902312290389,544.2902312290389,544.2902312290389,544.2902312290389,544.2902312290389,544.2902312290389,544.2902312290389,l,1.5571355000138283,1,155,0,545.8754920971114,547.3746732471045,547.3746732471045,547.8747859420255,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,55611,2022-11-02_14h33.37.150,vts_reward_expectancy_bt_OFFLINE,2022.2.4,59.924121894600574,
0,0,0,1,0,0,1,0,star,hexagon,0,0,0,0,1,8,20,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,547.8747859420255,547.8747859420255,547.8747859420255,547.8747859420255,547.8747859420255,547.8747859420255,547.8747859420255,547.8747859420255,547.8747859420255,547.8747859420255,l,1.044996969983913,10,165,0,548.9455764261074,550.4609429360135,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,55611,2022-11-02_14h33.37.150,vts_reward_expectancy_bt_OFFLINE,2022.2.4,59.924121894600574,
0,1,0,0,0,0,1,0,circle,hexagon,0,0,0,0,1,9,21,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,550.9612859850749,550.9612859850749,550.9612859850749,550.9612859850749,550.9612859850749,550.9612859850749,550.9612859850749,550.9612859850749,550.9612859850749,550.9612859850749,a,0.7579452028730884,10,175,0,551.7447941350983,553.2455189950997,553.2455189950997,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,55611,2022-11-02_14h33.37.150,vts_reward_expectancy_bt_OFFLINE,2022.2.4,59.924121894600574,
0,1,0,0,1,0,0,0,circle,triangle,0,0,0,0,1,10,22,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,553.7451965280343,553.7451965280343,553.7451965280343,553.7451965280343,553.7451965280343,553.7451965280343,553.7451965280343,553.7451965280343,553.7451965280343,553.7451965280343,a,0.9180324169574305,10,185,0,554.6808386550983,556.1818626370514,556.1818626370514,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,55611,2022-11-02_14h33.37.150,vts_reward_expectancy_bt_OFFLINE,2022.2.4,59.924121894600574,
0,0,1,0,1,0,0,0,hexagon,triangle,0,0,0,0,1,11,23,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,556.6817827910418,556.6817827910418,556.6817827910418,556.6817827910418,556.6817827910418,556.6817827910418,556.6817827910418,556.6817827910418,556.6817827910418,556.6817827910418,a,0.6131381849991158,10,195,0,557.3153231460601,558.8158436700469,558.8158436700469,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,55611,2022-11-02_14h33.37.150,vts_reward_expectancy_bt_OFFLINE,2022.2.4,59.924121894600574,
0,0,0,1,0,1,0,0,star ,circle,0,0,0,0,2,0,24,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,559.3179653490661,559.3179653490661,559.3179653490661,559.3179653490661,559.3179653490661,559.3179653490661,559.3179653490661,559.3179653490661,559.3179653490661,559.3179653490661,l,0.6170232899021357,1,196,0,559.9682276831008,561.4687443160219,,561.9687640760094,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,55611,2022-11-02_14h33.37.150,vts_reward_expectancy_bt_OFFLINE,2022.2.4,59.924121894600574,
0,0,0,1,1,0,0,0,star,triangle,0,0,0,0,2,1,25,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,561.9687640760094,561.9687640760094,561.9687640760094,561.9687640760094,561.9687640760094,561.9687640760094,561.9687640760094,561.9687640760094,561.9687640760094,561.9687640760094,l,1.0711758959805593,1,197,0,563.0693978670752,564.571534914081,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,55611,2022-11-02_14h33.37.150,vts_reward_expectancy_bt_OFFLINE,2022.2.4,59.924121894600574,
1,0,0,0,0,0,0,1,triangle,star,0,0,0,0,2,2,26,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,565.0716727280524,565.0716727280524,565.0716727280524,565.0716727280524,565.0716727280524,565.0716727280524,565.0716727280524,565.0716727280524,565.0716727280524,565.0716727280524,l,1.3674108519917354,1,198,0,566.4557586680166,567.9558949370403,567.9558949370403,568.456186428084,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,55611,2022-11-02_14h33.37.150,vts_reward_expectancy_bt_OFFLINE,2022.2.4,59.924121894600574,
0,1,0,0,0,0,0,1,circle,star,0,0,0,0,2,3,27,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,568.456186428084,568.456186428084,568.456186428084,568.456186428084,568.456186428084,568.456186428084,568.456186428084,568.456186428084,568.456186428084,568.456186428084,a,0.7357744469773024,10,208,0,569.2101125490153,570.7256230140338,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,55611,2022-11-02_14h33.37.150,vts_reward_expectancy_bt_OFFLINE,2022.2.4,59.924121894600574,
1,0,0,0,0,0,1,0,triangle,hexagon,0,0,0,0,2,4,28,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,571.2258378550177,571.2258378550177,571.2258378550177,571.2258378550177,571.2258378550177,571.2258378550177,571.2258378550177,571.2258378550177,571.2258378550177,571.2258378550177,l,1.4300489809829742,10,218,0,572.6761260050116,574.1787600960815,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,55611,2022-11-02_14h33.37.150,vts_reward_expectancy_bt_OFFLINE,2022.2.4,59.924121894600574,
