LTriangleOpac,LCircleOpac,LHexagonOpac,LStarOpac,RTriangleOpac,RCircleOpac,RHexagonOpac,RStarOpac,LShape_ID,RShape_ID,training_blocks.thisRepN,training_blocks.thisTrialN,training_blocks.thisN,training_blocks.thisIndex,training.thisRepN,training.thisTrialN,training.thisN,training.thisIndex,task1_prac_redo.thisRepN,task1_prac_redo.thisTrialN,task1_prac_redo.thisN,task1_prac_redo.thisIndex,task1_prac_trials.thisRepN,task1_prac_trials.thisTrialN,task1_prac_trials.thisN,task1_prac_trials.thisIndex,task2_prac_redo.thisRepN,task2_prac_redo.thisTrialN,task2_prac_redo.thisN,task2_prac_redo.thisIndex,task2_praac_trials.thisRepN,task2_praac_trials.thisTrialN,task2_praac_trials.thisN,task2_praac_trials.thisIndex,vts_prac_redo.thisRepN,vts_prac_redo.thisTrialN,vts_prac_redo.thisN,vts_prac_redo.thisIndex,vts_practice_trials.thisRepN,vts_practice_trials.thisTrialN,vts_practice_trials.thisN,vts_practice_trials.thisIndex,trials_norew.thisRepN,trials_norew.thisTrialN,trials_norew.thisN,trials_norew.thisIndex,block.thisRepN,block.thisTrialN,block.thisN,block.thisIndex,trials_rew.thisRepN,trials_rew.thisTrialN,trials_rew.thisN,trials_rew.thisIndex,key_resp.started,key_resp.keys,key_resp.rt,left_circle.started,right_circle.started,left_triangle.started,right_triangle.started,left_star.started,right_star.started,left_hexagon.started,right_hexagon.started,training_fix.started,training_resp.started,training_resp.keys,training_resp.rt,points_trial,points_cumul,trainBlock,training_feedback_txt.started,training_feedback_txt.stopped,fix.started,fix.stopped,curr_topStim,curr_bottStim,curr_shape,ISI.started,tgt_fix_prac1.started,top_target_prac1.started,bott_target_prac1.started,target_resp_prac1.started,acc,E1,target_resp_prac1.keys,target_resp_prac1.rt,pracBlock,prac_fback_text.started,prac_fback_text.stopped,tgt_fix_prac2.started,top_target_prac2.started,bott_target_prac2.started,target_resp_prac2.started,target_resp_prac2.keys,target_resp_prac2.rt,star.started,hegagon.started,triangle.started,circle.started,top_target.started,tgt_fix.started,bot_target.started,target_resp.started,star.stopped,hegagon.stopped,triangle.stopped,circle.stopped,alt,task,condition,target_resp.keys,target_resp.rt,rewCond,vts_fback.started,top_target.stopped,tgt_fix.stopped,bot_target.stopped,target_resp.stopped,vts_fback.stopped,blockNum,norew_fback.started,norew_fback.stopped,key_resp_2.keys,key_resp_2.rt,rewExpectancy,feedbk_text.started,feedbk_text.stopped,text_3.started,debrief.started,text_3.stopped,button.started,debrief.index,debrief.itemText,debrief.type,debrief.granularity,debrief.font,debrief.markerColor,debrief.response,debrief.rt,button.numClicks,button.timesOn,button.timesOff,participant,date,expName,psychopyVersion,frameRate,
0,0,0,1,0,0,1,0,star,hexagon,0,0,0,0,1,7,19,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1625.9033125129063,1625.9033125129063,1625.9033125129063,1625.9033125129063,1625.9033125129063,1625.9033125129063,1625.9033125129063,1625.9033125129063,1625.9033125129063,1625.9033125129063,a,1.390353662893176,10,101,0,1627.3203696948476,,1628.8230122670066,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80052,2022-11-15_10h09.31.025,vts_reward_expectancy_bt_OFFLINE,2022.2.4,60.033283768246825,
0,1,0,0,0,0,0,1,circle,star,0,0,0,0,1,8,20,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1629.3232522089966,1629.3232522089966,1629.3232522089966,1629.3232522089966,1629.3232522089966,1629.3232522089966,1629.3232522089966,1629.3232522089966,1629.3232522089966,1629.3232522089966,l,0.6579841540660709,10,111,0,1630.006576379994,1631.5070497298148,1631.5070497298148,1632.0075657879934,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80052,2022-11-15_10h09.31.025,vts_reward_expectancy_bt_OFFLINE,2022.2.4,60.033283768246825,
0,0,1,0,0,1,0,0,hexagon,circle,0,0,0,0,1,9,21,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1632.0075657879934,1632.0075657879934,1632.0075657879934,1632.0075657879934,1632.0075657879934,1632.0075657879934,1632.0075657879934,1632.0075657879934,1632.0075657879934,1632.0075657879934,l,1.4283184178639203,10,121,0,1633.4578012079,,1634.9602107249666,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80052,2022-11-15_10h09.31.025,vts_reward_expectancy_bt_OFFLINE,2022.2.4,60.033283768246825,
0,1,0,0,0,0,1,0,circle,hexagon,0,0,0,0,1,10,22,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1635.460389175918,1635.460389175918,1635.460389175918,1635.460389175918,1635.460389175918,1635.460389175918,1635.460389175918,1635.460389175918,1635.460389175918,1635.460389175918,a,1.0582713540643454,1,122,0,1636.5460283469874,,1638.061444365885,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80052,2022-11-15_10h09.31.025,vts_reward_expectancy_bt_OFFLINE,2022.2.4,60.033283768246825,
0,0,0,1,0,1,0,0,star ,circle,0,0,0,0,1,11,23,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1638.561401943909,1638.561401943909,1638.561401943909,1638.561401943909,1638.561401943909,1638.561401943909,1638.561401943909,1638.561401943909,1638.561401943909,1638.561401943909,a,1.5455710510723293,1,123,0,1640.130820750026,1641.6312117378693,1641.6312117378693,1642.1313104690053,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80052,2022-11-15_10h09.31.025,vts_reward_expectancy_bt_OFFLINE,2022.2.4,60.033283768246825,
0,1,0,0,0,0,0,1,circle,star,0,0,0,0,2,0,24,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1642.1313104690053,1642.1313104690053,1642.1313104690053,1642.1313104690053,1642.1313104690053,1642.1313104690053,1642.1313104690053,1642.1313104690053,1642.1313104690053,1642.1313104690053,a,2.2059443560428917,1,124,0,1644.367231868906,1645.8679486368783,1645.8679486368783,1646.3680242919363,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80052,2022-11-15_10h09.31.025,vts_reward_expectancy_bt_OFFLINE,2022.2.4,60.033283768246825,
0,0,1,0,0,0,0,1,hexagon,star,0,0,0,0,2,1,25,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1646.3680242919363,1646.3680242919363,1646.3680242919363,1646.3680242919363,1646.3680242919363,1646.3680242919363,1646.3680242919363,1646.3680242919363,1646.3680242919363,1646.3680242919363,l,0.4895661720074713,1,125,0,1646.8847411829047,,1648.3853285820223,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80052,2022-11-15_10h09.31.025,vts_reward_expectancy_bt_OFFLINE,2022.2.4,60.033283768246825,
0,1,0,0,0,0,1,0,circle,hexagon,0,0,0,0,2,2,26,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1648.8875648928806,1648.8875648928806,1648.8875648928806,1648.8875648928806,1648.8875648928806,1648.8875648928806,1648.8875648928806,1648.8875648928806,1648.8875648928806,1648.8875648928806,l,1.0090231350623071,10,135,0,1649.9230395709164,,1651.4383157708216,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80052,2022-11-15_10h09.31.025,vts_reward_expectancy_bt_OFFLINE,2022.2.4,60.033283768246825,
1,0,0,0,0,0,1,0,triangle,hexagon,0,0,0,0,2,3,27,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1651.9382167549338,1651.9382167549338,1651.9382167549338,1651.9382167549338,1651.9382167549338,1651.9382167549338,1651.9382167549338,1651.9382167549338,1651.9382167549338,1651.9382167549338,l,0.6232259040698409,10,145,0,1652.5887268409133,,1654.09118932602,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80052,2022-11-15_10h09.31.025,vts_reward_expectancy_bt_OFFLINE,2022.2.4,60.033283768246825,
0,1,0,0,1,0,0,0,circle,triangle,0,0,0,0,2,4,28,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1654.5914098150097,1654.5914098150097,1654.5914098150097,1654.5914098150097,1654.5914098150097,1654.5914098150097,1654.5914098150097,1654.5914098150097,1654.5914098150097,1654.5914098150097,a,2.8188023099210113,1,146,0,1657.4431130108424,,1658.944726655027,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80052,2022-11-15_10h09.31.025,vts_reward_expectancy_bt_OFFLINE,2022.2.4,60.033283768246825,
