LTriangleOpac,LCircleOpac,LHexagonOpac,LStarOpac,RTriangleOpac,RCircleOpac,RHexagonOpac,RStarOpac,LShape_ID,RShape_ID,training_blocks.thisRepN,training_blocks.thisTrialN,training_blocks.thisN,training_blocks.thisIndex,training.thisRepN,training.thisTrialN,training.thisN,training.thisIndex,task1_prac_redo.thisRepN,task1_prac_redo.thisTrialN,task1_prac_redo.thisN,task1_prac_redo.thisIndex,task1_prac_trials.thisRepN,task1_prac_trials.thisTrialN,task1_prac_trials.thisN,task1_prac_trials.thisIndex,task2_prac_redo.thisRepN,task2_prac_redo.thisTrialN,task2_prac_redo.thisN,task2_prac_redo.thisIndex,task2_praac_trials.thisRepN,task2_praac_trials.thisTrialN,task2_praac_trials.thisN,task2_praac_trials.thisIndex,vts_prac_redo.thisRepN,vts_prac_redo.thisTrialN,vts_prac_redo.thisN,vts_prac_redo.thisIndex,vts_practice_trials.thisRepN,vts_practice_trials.thisTrialN,vts_practice_trials.thisN,vts_practice_trials.thisIndex,trials_norew.thisRepN,trials_norew.thisTrialN,trials_norew.thisN,trials_norew.thisIndex,block.thisRepN,block.thisTrialN,block.thisN,block.thisIndex,trials_rew.thisRepN,trials_rew.thisTrialN,trials_rew.thisN,trials_rew.thisIndex,key_resp.started,key_resp.keys,key_resp.rt,left_circle.started,right_circle.started,left_triangle.started,right_triangle.started,left_star.started,right_star.started,left_hexagon.started,right_hexagon.started,training_fix.started,training_resp.started,training_resp.keys,training_resp.rt,points_trial,points_cumul,trainBlock,training_feedback_txt.started,training_feedback_txt.stopped,fix.started,fix.stopped,curr_topStim,curr_bottStim,curr_shape,ISI.started,tgt_fix_prac1.started,top_target_prac1.started,bott_target_prac1.started,target_resp_prac1.started,top_target_prac1.stopped,bott_target_prac1.stopped,target_resp_prac1.stopped,acc,E1,target_resp_prac1.keys,pracBlock,prac_fback_text.started,target_resp_prac1.rt,prac_fback_text.stopped,tgt_fix_prac2.started,top_target_prac2.started,bott_target_prac2.started,target_resp_prac2.started,target_resp_prac2.keys,target_resp_prac2.rt,star.started,hegagon.started,triangle.started,circle.started,top_target.started,tgt_fix.started,bot_target.started,target_resp.started,star.stopped,hegagon.stopped,triangle.stopped,circle.stopped,alt,task,condition,target_resp.keys,target_resp.rt,rewCond,vts_fback.started,vts_fback.stopped,blockNum,norew_fback.started,norew_fback.stopped,key_resp_2.keys,key_resp_2.rt,rewExpectancy,feedbk_text.started,feedbk_text.stopped,text_3.started,text_3.stopped,button.started,debrief.index,debrief.itemText,debrief.type,debrief.granularity,debrief.font,debrief.markerColor,debrief.response,debrief.rt,button.numClicks,button.timesOn,button.timesOff,participant,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,5,0,5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2022.7752840709873,,Y,160,star,0.00039352200110442936,,,,,,,,1,0,,2,2021.2595162809885,,,2018.6673024169868,2020.1556515780103,2020.1556515780103,2020.1556515780103,k,1.0847931430034805,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,95450,2022-10-28_15h01.34.934,vts_reward_expectancy_bt_OFFLINE,2022.2.4,59.91780583007271,
,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,6,0,6,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2027.6122685279988,2028.1121992690023,S,174,circle,0.01691393001237884,,,,,,,,1,0,,2,2026.1125069519912,,2027.6122685279988,2023.7709386239876,2025.242871777009,2025.242871777009,2025.242871777009,k,0.8460125489800703,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,95450,2022-10-28_15h01.34.934,vts_reward_expectancy_bt_OFFLINE,2022.2.4,59.91780583007271,
,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,7,0,7,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2032.515663928003,,B,139,hexagon,0.00044824599171988666,,,,,,,,1,0,,2,2031.0144357639947,,,2028.6078306919953,2030.0963951819867,2030.0963951819867,2030.0963951819867,j,0.8889065990224481,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,95450,2022-10-28_15h01.34.934,vts_reward_expectancy_bt_OFFLINE,2022.2.4,59.91780583007271,
,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,8,0,8,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2037.2021201160096,,U,146,circle,0.0018982900073751807,,,,,,,,1,0,,2,2035.7015315520111,,,2033.511110891006,2034.9998871000134,2034.9998871000134,2034.9998871000134,j,0.6813135629927274,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,95450,2022-10-28_15h01.34.934,vts_reward_expectancy_bt_OFFLINE,2022.2.4,59.91780583007271,
,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,9,0,9,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2042.1560078870098,,D,167,star,0.0017480340029578656,,,,,,,,1,0,,2,2040.654651932011,,,2038.1982742410037,2039.6865919340053,2039.6865919340053,2039.6865919340053,k,0.9377875200007111,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,95450,2022-10-28_15h01.34.934,vts_reward_expectancy_bt_OFFLINE,2022.2.4,59.91780583007271,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,882,,,,2069.791950209008,,S,139,triangle,0.017803814000217244,,,,,,,,1,0,,3,,,,,,,,,,2065.402505239006,2065.402505239006,2065.402505239006,2065.402505239006,2066.8739736269927,2066.8739736269927,2066.8739736269927,2066.8739736269927,2066.907602137013,2066.907602137013,2066.907602137013,2066.907602137013,-1,letter,NA,f,1.383001225971384,vtsPrac,2068.278788319003,,,,,,,,,,,,,,,,,,,,,,,,95450,2022-10-28_15h01.34.934,vts_reward_expectancy_bt_OFFLINE,2022.2.4,59.91780583007271,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,882,,,,2075.2458316099946,2075.7458038589975,W,132,circle,0.016615901986369863,,,,,,,,1,0,,3,,,,,,,,,,2070.7892055239936,2070.7892055239936,2070.7892055239936,2070.7892055239936,2072.2614036329906,2072.2614036329906,2072.2614036329906,2072.2614036329906,2072.2946682370093,2072.2946682370093,2072.2946682370093,2072.2946682370093,switch,number,numSwt,j,1.451709185988875,vtsPrac,2073.7452413749998,2075.2458316099946,,,,,,,,,,,,,,,,,,,,,,,95450,2022-10-28_15h01.34.934,vts_reward_expectancy_bt_OFFLINE,2022.2.4,59.91780583007271,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,2,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,882,,,,2079.9659990500077,,D,160,star,-0.0008602540183346719,,,,,,,,0,0,,3,,,,,,,,,,2076.2540908849915,2076.2540908849915,2076.2540908849915,2076.2540908849915,2077.7316508860094,2077.7316508860094,2077.7316508860094,2077.7316508860094,2077.76514135499,2077.76514135499,2077.76514135499,2077.76514135499,switch,letter,NA,f,0.6927270470187068,vtsPrac,2078.452316949988,,,,,,,,,,,,,,,,,,,,,,,,95450,2022-10-28_15h01.34.934,vts_reward_expectancy_bt_OFFLINE,2022.2.4,59.91780583007271,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,3,0,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,882,,,,2085.6198503859923,,F,125,circle,0.017043849016772583,,,,,,,,1,1,,3,,,,,,,,,,2080.962580272986,2080.962580272986,2080.962580272986,2080.962580272986,2082.4353693840094,2082.4353693840094,2082.4353693840094,2082.4353693840094,2082.4688061279885,2082.4688061279885,2082.4688061279885,2082.4688061279885,switch,number,numSwt,j,1.6454944669967517,vtsPrac,2084.105795584008,,,,,,,,,,,,,,,,,,,,,,,,95450,2022-10-28_15h01.34.934,vts_reward_expectancy_bt_OFFLINE,2022.2.4,59.91780583007271,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,4,0,4,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,882,,,,2090.456853638985,,S,139,star,0.014800829987507313,,,,,,,,1,0,,3,,,,,,,,,,2086.6147827710083,2086.6147827710083,2086.6147827710083,2086.6147827710083,2088.089190558996,2088.089190558996,2088.089190558996,2088.089190558996,2088.1225752499886,2088.1225752499886,2088.1225752499886,2088.1225752499886,repeat,number,numRpt,j,0.8399973149935249,vtsPrac,2088.9571895510016,2090.456853638985,,,,,,,,,,,,,,,,,,,,,,,95450,2022-10-28_15h01.34.934,vts_reward_expectancy_bt_OFFLINE,2022.2.4,59.91780583007271,
